D,eta,feshbach_k11,feshbach_g_schur,feshbach_projected_action,feshbach_projected_response,feshbach_exported_response,feshbach_response_logdet_factor,feshbach_abs_response_logdet_factor,feshbach_response_equiv_norm,feshbach_projected_prefactor,feshbach_exported_prefactor,feshbach_prefactor_logdet_factor,feshbach_abs_prefactor_logdet_factor,feshbach_prefactor_equiv_norm,feshbach_response_rel_drift,feshbach_prefactor_rel_drift,feshbach_positive_psd_sign_violation_response,feshbach_positive_psd_sign_violation_prefactor
4.0,0.2,1.4003545423064692,1.8352793836830217,0.9439221716704215,0.6237777862370266,0.6237777862370265,4.440892098500627e-16,4.440892098500627e-16,2.220446049250313e-16,0.04332611611324775,0.0433261161132477,2.2204460492503143e-15,2.2204460492503143e-15,1.110223024625156e-15,2.220446049250313e-16,1.1102230246251565e-15,4.440892098500627e-16,2.2204460492503143e-15
4.8,0.2,1.3864469292404067,1.772453395517168,0.8991089945574517,0.6379122799837617,0.6379122799837617,-0.0,0.0,0.0,0.0392190539319979,0.0392190539319979,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.6,0.2,1.3740065777952906,2.062363820855729,1.0415837919166178,0.5940499359136113,0.5940499359136114,-4.4408920985006257e-16,4.4408920985006257e-16,2.2204460492503123e-16,0.044896766999869955,0.0448967669998699,2.442490654175346e-15,2.442490654175346e-15,1.2212453270876714e-15,2.220446049250313e-16,1.2212453270876722e-15,0.0,2.442490654175346e-15
6.4,0.2,1.4087562872961084,1.8684141407156378,0.9677972673665269,0.6163756784779798,0.6163756784779798,-0.0,0.0,0.0,0.04937013369273809,0.0493701336927381,-4.4408920985006257e-16,4.4408920985006257e-16,2.2204460492503123e-16,0.0,2.220446049250313e-16,0.0,0.0
7.2,0.2,1.465397035754631,1.3844355630722451,0.7074187408044637,0.7020789826398441,0.7020789826398443,-4.4408920985006257e-16,4.4408920985006257e-16,2.2204460492503123e-16,0.054392429997755225,0.0543924299977552,1.110223024625157e-15,1.110223024625157e-15,5.551115123125781e-16,2.220446049250313e-16,5.551115123125783e-16,0.0,1.110223024625157e-15
8.0,0.2,1.4813765064519049,1.3511645699238712,0.693938592428649,0.7068270301902266,0.7068270301902266,-0.0,0.0,0.0,0.05799499449697106,0.057994994496971,2.2204460492503143e-15,2.2204460492503143e-15,1.110223024625156e-15,0.0,1.1102230246251565e-15,0.0,2.2204460492503143e-15
8.8,0.2,1.489316794072924,1.640799824970484,0.8935013084364156,0.6397033957335363,0.6397033957335363,-0.0,0.0,0.0,0.045708166458971376,0.0457081664589713,3.3306690738754724e-15,3.3306690738754724e-15,1.6653345369377332e-15,0.0,1.6653345369377348e-15,0.0,3.3306690738754724e-15
9.6,0.2,1.496386180473614,1.7998543918444425,0.9907587564774977,0.6093396932206743,0.6093396932206743,-0.0,0.0,0.0,0.041139381078311686,0.0411393810783117,-8.88178419700125e-16,8.88178419700125e-16,4.440892098500623e-16,0.0,4.440892098500626e-16,0.0,0.0
10.4,0.2,1.5001900984560719,1.7700606210652616,0.9766056275710133,0.6136670180717306,0.6136670180717306,-0.0,0.0,0.0,0.04435926160034785,0.0443592616003478,2.2204460492503143e-15,2.2204460492503143e-15,1.110223024625156e-15,0.0,1.1102230246251565e-15,0.0,2.2204460492503143e-15
11.2,0.2,1.501890377156128,1.7268561942408374,0.9530270926791923,0.6209445165690671,0.6209445165690671,-0.0,0.0,0.0,0.04592527148472197,0.0459252714847219,3.1086244689504407e-15,3.1086244689504407e-15,1.554312234475218e-15,0.0,1.5543122344752192e-15,0.0,3.1086244689504407e-15
12.0,0.2,1.502567924724998,1.662124935173422,0.915272459401547,0.6327776200492675,0.6327776200492675,-0.0,0.0,0.0,0.04574443642750392,0.0457444364275039,8.881784197001254e-16,8.881784197001254e-16,4.440892098500625e-16,0.0,4.440892098500626e-16,0.0,8.881784197001254e-16
12.8,0.2,1.5279606669354249,1.7104735034951575,0.9607041836914603,0.618565561569988,0.6185655615699881,-4.4408920985006257e-16,4.4408920985006257e-16,2.2204460492503123e-16,0.039292628971168815,0.0392926289711688,6.66133814775094e-16,6.66133814775094e-16,3.3306690738754686e-16,2.220446049250313e-16,3.3306690738754696e-16,0.0,6.66133814775094e-16
13.6,0.2,1.5316649359830974,1.6115036485170577,0.9035230235251287,0.6365059508076917,0.6365059508076917,-0.0,0.0,0.0,0.039621179722529154,0.0396211797225291,2.886579864025409e-15,2.886579864025409e-15,1.4432899320127023e-15,0.0,1.4432899320127035e-15,0.0,2.886579864025409e-15
14.4,0.2,1.5288677337858356,1.5817800272422495,0.8830782305821941,0.6430459372093945,0.6430459372093945,-0.0,0.0,0.0,0.03968496675420823,0.0396849667542082,1.7763568394002513e-15,1.7763568394002513e-15,8.881784197001248e-16,0.0,8.881784197001252e-16,0.0,1.7763568394002513e-15
15.2,0.2,1.526691794633058,1.647474640232387,0.9223467630865431,0.6305433433421062,0.630543343342106,4.440892098500627e-16,4.440892098500627e-16,2.220446049250313e-16,0.04172581055068577,0.0417258105506857,3.3306690738754724e-15,3.3306690738754724e-15,1.6653345369377332e-15,2.220446049250313e-16,1.6653345369377348e-15,4.440892098500627e-16,3.3306690738754724e-15
16.0,0.2,1.5223665031335394,1.595256414951911,0.8873005191280174,0.6416898064593505,0.6416898064593507,-8.88178419700125e-16,8.88178419700125e-16,4.440892098500623e-16,0.04350625253241469,0.0435062525324147,-4.4408920985006257e-16,4.4408920985006257e-16,2.2204460492503123e-16,4.440892098500626e-16,2.220446049250313e-16,0.0,0.0
