eta,D,xi_target,quartic_target
0.2,4.0,0.13011768624754994,0.0016469199191450898
0.2,4.4,0.09743897132256495,0.0011154350111878743
0.2,4.8,0.12147420690956413,0.001501170696756512
0.2,5.2,0.1398720688881891,0.0017427019059612667
0.2,5.6,0.14021627303672377,0.0017345337478141755
0.2,6.0,0.14229798818124012,0.0017461834471554757
0.2,6.4,0.1348597404914274,0.0017274108182460713
0.2,6.800000000000001,0.11600646688863701,0.001450963894451912
0.2,7.2,0.0881899534826455,0.000958407448310699
0.2,7.6,0.08642619831267635,0.0009263211914691364
0.2,8.0,0.08445432232153717,0.0008908612526186757
0.2,8.4,0.10040767798797724,0.0011754530872675176
0.2,8.8,0.12831275159165723,0.0016843679044948898
0.2,9.2,0.14847929277041305,0.0020320795294173064
0.2,9.6,0.1474176741925554,0.002017242260757545
0.2,10.0,0.14759160750216424,0.002021786876080966
0.2,10.4,0.14505261764845964,0.001980873375495757
0.2,10.8,0.14294101304410994,0.0019458395380345498
0.2,11.2,0.14065752046386995,0.0019070914358068005
0.2,11.6,0.13737450073124582,0.0018502428682112945
0.2,12.0,0.1332407081230287,0.001777117298723509
0.2,12.4,0.13875798029048936,0.0018805515423881548
0.2,12.8,0.14352281009028767,0.001970395200473282
0.2,13.2,0.13665956446129335,0.0018485575279910166
0.2,13.6,0.13171705384368437,0.0017572314263056357
0.2,14.0,0.12574513416996738,0.001645792025862345
0.2,14.4,0.1272301023498915,0.0016734153914025828
0.2,14.8,0.1320517109229274,0.0017625726183081258
0.2,15.2,0.13558423838033126,0.0018272093581494949
0.2,15.6,0.1323403358847341,0.0017675915597276466
0.2,16.0,0.1280352887012241,0.001687522840143986
0.2,16.4,0.12540299533794944,0.001639468249467192
0.2,16.8,0.1276159920224179,0.0016777042517894206
0.2,17.200000000000003,0.12236830319971784,0.0015821644557029273
0.2,17.6,0.12127571595300085,0.001561901942803751
0.2,18.0,0.0,0.0
0.2,18.4,0.0,0.0
0.2,18.8,0.0,0.0
0.2,19.200000000000003,0.0,0.0
0.2,19.6,0.0,0.0
0.2,20.0,0.0,0.0
1.15,4.0,0.12977904273177385,0.0016382365872359525
1.15,4.4,0.09740483166401476,0.0011148032288146017
1.15,4.8,0.12147850656274234,0.0015013311145520855
1.15,5.2,0.13988120420833436,0.0017429436042982172
1.15,5.6,0.1402209815838105,0.0017346477070525775
1.15,6.0,0.1422999274141705,0.0017462277546847543
1.15,6.4,0.13486013965598115,0.0017274206041314462
1.15,6.800000000000001,0.11600648597839806,0.0014509645336846424
1.15,7.2,0.08818995817451747,0.0009584075042658224
1.15,7.6,0.08642620063456863,0.000926321222763045
1.15,8.0,0.08445432340457894,0.0008908612684527162
1.15,8.4,0.10040767773133813,0.0011754530821923596
1.15,8.8,0.12831275146765647,0.0016843679028715015
