mode,n_points,mean_abs_delta_mu_mumu,p95_abs_delta_mu_mumu,max_abs_delta_mu_mumu,f_chi2_le_4_uv_rge,best_chi2_uv_rge,max_tree_rebuild_residual,max_match_rebuild_residual,max_ir_rebuild_residual,max_abs_delta_mu_mumu_ir_recon_vs_native,kappa_diag_eff_p50,kappa_diag_eff_p90,action_norm_diag_p50,action_norm_diag_p90,action_abs_diag_p50,action_abs_diag_p90,coeff_align_p50,coeff_align_p90
constant,441,0.0013172574236484309,0.0070351836507001,0.0165821036885702,0.09523809523809523,0.2108887153962173,0.0,0.0,0.0,7.308936995055574e-08,0.0,0.0,,,,,,
input_tied,441,0.0008240677377742439,0.0065333479002305,0.0087150671682678,0.09523809523809523,0.2109549321899935,0.0,0.0,0.0,5.5462289769209036e-08,0.1818077804316926,0.2275811869146216,,,,,,
action_normalized,441,0.0003646299323887795,0.0007230423210273,0.005925946623968,0.09523809523809523,0.2107102352009858,0.0,0.0,0.0,5.542130914915309e-08,0.2402479032992314,0.328447243089204,1.373208491679968,1.445258442584182,,,,
action_absolute,441,0.0006098544991259836,0.0051572676505813,0.0060048058130917,0.09523809523809523,0.2108105494638072,0.0,0.0,0.0,5.548704728925223e-08,0.1465338694627605,0.2040366312969812,1.373208491679968,1.445258442584182,0.5966599807114793,0.6212158439142883,0.6655272940218567,0.7185911310634734
