D,region,xi_target_med,xi_low_med,xi_high_med,quartic_target_med,quartic_low_med,quartic_high_med,slice_p95_xi_resid_low,slice_p95_xi_resid_high,slice_p95_quartic_resid_low,slice_p95_quartic_resid_high
4.0,low,0.1294646066993174,0.12391188855967143,0.035585093171369965,0.0016303151657577457,0.0014935103021932927,0.0001231702067465663,0.006137549957731872,0.09458935010391784,0.00015161737543131857,0.0015228232885104449
4.8,low,0.12148306025066904,0.12114019527344295,0.13462300920574286,0.001501497276340212,0.001493033802568222,0.0018438759069728309,0.00035553330353985113,0.013158573795381032,8.776922555311277e-06,0.00034293422836677865
5.6,low,0.1402256904528129,0.13008332543843196,0.04097173816921511,0.00173476167764348,0.0014928903362222753,0.00014809944220905267,0.010150670587669525,0.09926266863038002,0.0002420765169666658,0.0015868695327684696
6.4,low,0.1348605388048677,0.12536907489424573,0.12996419305817983,0.001727430389698243,0.001492834341293385,0.001604272739804415,0.009492153616038973,0.004897374321342851,0.00023461366162818545,0.00012318365507175987
7.2,low,0.08818996286634305,0.1100642275851274,0.12234795476503262,0.000958407560219855,0.0014928091613568687,0.0018446133147436623,0.021874268407288525,0.03415803123059777,0.0005344017018544192,0.0008862069460248728
8.0,low,0.08445432448687953,0.1093244178537114,0.11387734989963175,0.0008908612842714409,0.001492796634263613,0.0016197239508573046,0.024870094539890794,0.02942303024935214,0.0006019353784556745,0.0007288628001826345
8.8,low,0.12831275132780257,0.12079547995344683,0.09221441502050368,0.0016843679010705747,0.001492789903964679,0.0008699513229548793,0.0075172715010346225,0.03609833653114357,0.00019157800024256723,0.0008144165821099869
9.6,low,0.14741767427457544,0.1268146162145638,0.07385976894158584,0.0020172422629338425,0.0014927860611196892,0.0005063780093398435,0.020603058089214782,0.07355790537525375,0.0005244562023637841,0.0015108642543267285
10.4,transition,0.14505261665287864,0.1259202749105957,0.11012793686208633,0.0019808733501373446,0.0014927837554213489,0.0011418277156651174,0.019132342282764447,0.03492468027657038,0.0004880896097674574,0.0008390456483522643
11.2,transition,0.14065751827465622,0.12444442306210436,0.12851390225967171,0.001907091391464437,0.0014927823137344557,0.001592010125460739,0.016213096745750027,0.012143618445852516,0.0004143091169058165,0.00031508132708272987
12.0,transition,0.13324067642316864,0.12211723224521438,0.13567332724085024,0.0017771167430768473,0.0014927813802472394,0.0018426008121881648,0.011123452372356471,0.0024326580228768435,0.0002843355845494253,6.54842421382645e-05
12.8,transition,0.1435224689293165,0.1249228142186444,0.07484136769014554,0.0019703905556750635,0.001492780757421165,0.0005357916277658446,0.018599738643564775,0.06868116127863344,0.0004776118689262005,0.0014346003058301156
13.6,transition,0.13172042893135177,0.12140295563644085,0.07298277336368202,0.0017572909996996296,0.001492780330907479,0.0005394831384336657,0.010318069539752908,0.058738412371012946,0.000264525802329946,0.0012178233577879332
14.4,transition,0.12722987154516846,0.1201672738558993,0.10423072537877089,0.001673406062894094,0.0014927800320827175,0.001123092180949453,0.007063788538818186,0.02299999720392018,0.0001806575308001062,0.0005503370324467182
15.2,transition,0.13559822399259594,0.12255900852800398,0.12411714590540976,0.0018273148857231975,0.001492779818447635,0.0015309591375970595,0.01304924938970678,0.01148668199753236,0.0003347892727801334,0.00029648002855751357
16.0,transition,0.12805377652661257,0.1204217196887165,0.13130419928744735,0.0016879662941707012,0.0014927796629420622,0.001774774954290747,0.007678125052406032,0.003276679488450923,0.00019639693805080906,8.747754979692205e-05
16.8,transition,0.12401066431584787,0.11931692774412728,0.13445632575091954,0.0016126473096468948,0.0014927795479066832,0.0018964453195972554,0.005070563035261863,0.01058883836448904,0.0001294091586657249,0.0002874820309397819
17.6,high,0.12127571595302504,0.1185618016610704,0.1198988751659638,0.0015619019428042068,0.0014927794615604646,0.0015266387733119103,0.005042446873661538,0.002345016533397193,0.0001287435169720387,6.053515873161359e-05
18.4,high,0.10502599838694987,0.11457902596175581,0.10032899118672046,0.0012542352936230933,0.0014927793958865623,0.0011445592272904008,0.07727300682351017,0.0046970072002294055,0.0014927793958865623,0.00010967606633269255
19.200000000000003,high,0.0,0.07727300551501387,0.0,0.0,0.001492779345330841,0.0,0.07727300551501387,0.013502482653574163,0.001492779345330841,0.00033731667991547163
20.0,high,0.0,0.07727300449657738,0.0,0.0,0.0014927793059820171,0.0,0.07727300449657738,0.0,0.0014927793059820171,0.0
