D,eta,C_uv_ee,C_uv_mumu,C_uv_tautau,C_match_ee,C_match_mumu,C_match_tautau,C_ir_ee,C_ir_mumu,C_ir_tautau,delta_C_match_mumu,abs_delta_C_match_mumu,delta_C_rge_mumu,abs_delta_C_rge_mumu,delta_C_mumu,abs_delta_C_mumu,rel_delta_C_mumu,mu_match,mu_low,log_ratio,finite_fac_diag,finite_fac_offdiag,kappa_diag,kappa_offdiag,mu_mumu_uv_tree,mu_mumu_uv_rge,delta_mu_mumu,abs_delta_mu_mumu,chi2_uv_tree,chi2_uv_rge
4.0,0.2,0.00016389844827068692,0.0014346362934189855,0.00037114010804446167,0.00016389844827068692,0.0014346362934189855,0.00037114010804446167,0.00016441236666716883,0.0014391347251688149,0.0003723038513941322,0.0,0.0,4.49843174982938e-06,4.49843174982938e-06,4.49843174982938e-06,4.49843174982938e-06,0.0031355903726015756,1.280917082806759,1.0,0.24757629233153006,1.0,1.0,0.0,0.0,1.8414487248986593,1.8414344787177772,-1.4246180882082626e-05,1.4246180882082626e-05,1.2179811044665763,1.2179024937552234
4.8,0.2,0.0001967150876654821,0.0015441407219664814,0.00015911299879987144,0.0001967150876654821,0.0015441407219664814,0.00015911299879987144,0.00019748167760610407,0.0015501581696285398,0.00015973305507389551,0.0,0.0,6.017447662058336e-06,6.017447662058336e-06,6.017447662058336e-06,6.017447662058336e-06,0.0038969554888721833,1.3602809677586774,1.0,0.30769127235057525,1.0,1.0,0.0,0.0,11.499625535413161,11.499298562444261,-0.0003269729688994971,0.0003269729688994971,637.5152247223098,637.4739465836794
5.6,0.2,0.00015746728198371424,0.0012958153417949366,6.038861206000638e-05,0.00015746728198371424,0.0012958153417949366,6.038861206000638e-05,0.0001581813735051896,0.0013016916783730275,6.0662465747721494e-05,0.0,0.0,5.876336578090847e-06,5.876336578090847e-06,5.876336578090847e-06,5.876336578090847e-06,0.004534856463383947,1.4305484675437201,1.0,0.35805791447458585,1.0,1.0,0.0,0.0,52.95881429248961,52.95280990608075,-0.006004386408861251,0.006004386408861251,16614.445820296445,16610.576307578107
6.4,0.2,0.00010389964700088626,0.0006732189309452016,2.7069570034623936e-05,0.00010389964700088626,0.0006732189309452016,2.7069570034623936e-05,0.00010441335928621218,0.000676547535473931,2.720341043819295e-05,0.0,0.0,3.328604528729409e-06,3.328604528729409e-06,3.328604528729409e-06,3.328604528729409e-06,0.00494431213343338,1.4775528482269376,1.0,0.3903872383399466,1.0,1.0,0.0,0.0,57.81314542476896,57.79750829366997,-0.01563713109899112,0.01563713109899112,19890.26860447582,19879.24338584108
7.2,0.2,7.57669288551453e-05,0.00012147002507116433,1.730011956695783e-05,7.57669288551453e-05,0.00012147002507116433,1.730011956695783e-05,7.615097151726599e-05,0.0001220857247240483,1.7387809329152136e-05,0.0,0.0,6.156996528839618e-07,6.156996528839618e-07,6.156996528839618e-07,6.156996528839618e-07,0.005068737349179343,1.4921401916441892,1.0,0.40021145959540433,1.0,1.0,0.0,0.0,3.4858311745622004,3.4844537025541538,-0.0013774720080466096,0.0013774720080466096,27.191823054847053,27.155920238073254
8.0,0.2,6.286561989931772e-05,8.64528750599865e-05,1.321051811707791e-05,6.286561989931772e-05,8.64528750599865e-05,1.321051811707791e-05,6.317010352629257e-05,8.687160130499649e-05,1.3274502000112019e-05,0.0,0.0,4.1872624500999343e-07,4.1872624500999343e-07,4.1872624500999343e-07,4.1872624500999343e-07,0.004843404510485679,1.4658274448318904,1.0,0.38241989178356733,1.0,1.0,0.0,0.0,2.3205591064701063,2.318770705646786,-0.001788400823320213,0.001788400823320213,5.296431678156504,5.275872559716833
8.8,0.2,2.203850907573997e-05,5.891157205635604e-05,6.8918079198045494e-06,2.203850907573997e-05,5.891157205635604e-05,6.8918079198045494e-06,2.2160519321189934e-05,5.923772004312488e-05,6.929962550546563e-06,0.0,0.0,3.261479867688386e-07,3.261479867688386e-07,3.261479867688386e-07,3.261479867688386e-07,0.0055362295621111356,1.5482467554553723,1.0,0.43712316521321565,1.0,1.0,0.0,0.0,1.5837658802857078,1.583771000707045,5.120421337156955e-06,5.120421337156955e-06,0.2110618672323819,0.2110736293804296
9.600000000000001,0.2,1.0923751797978272e-05,4.3907092537965577e-05,3.8727558546728065e-06,1.0923751797978272e-05,4.3907092537965577e-05,3.8727558546728065e-06,1.0984206650112087e-05,4.415008568135608e-05,3.894188681678995e-06,0.0,0.0,2.4299314339050617e-07,2.4299314339050617e-07,2.4299314339050617e-07,2.4299314339050617e-07,0.005534257208682058,1.5480056645464257,1.0,0.4369674344285572,1.0,1.0,0.0,0.0,1.0000000014127328,1.0000000014127328,0.0,0.0,0.9999999929363355,0.9999999929363355
10.4,0.2,7.393924899711902e-06,3.0161262250200297e-05,2.0741068099095594e-06,7.393924899711902e-06,3.0161262250200297e-05,2.0741068099095594e-06,7.433317415146791e-06,3.0321952006296285e-05,2.085157001199189e-06,0.0,0.0,1.60689756095988e-07,1.60689756095988e-07,1.60689756095988e-07,1.60689756095988e-07,0.005327686711617014,1.5229622419775668,1.0,0.42065728173279693,1.0,1.0,0.0,0.0,0.4941368214608463,0.4939376795916252,-0.00019914186922109778,0.00019914186922109778,5.128675613956615,5.130930802898799
11.2,0.2,4.548398839660539e-06,1.653601331350465e-05,7.882499257589801e-07,4.548398839660539e-06,1.653601331350465e-05,7.882499257589801e-07,4.57173381053342e-06,1.6620849187100334e-05,7.922939398629653e-07,0.0,0.0,8.483587359568568e-08,8.483587359568568e-08,8.483587359568568e-08,8.483587359568568e-08,0.005130370421654283,1.499419168235305,1.0,0.40507781194222237,1.0,1.0,0.0,0.0,0.150984353804738,0.150863428900592,-0.00012092490414597479,0.00012092490414597479,9.750250527753549,9.752138582862411
