D,eta,C_uv_ee,C_uv_mumu,C_uv_tautau,C_match_ee,C_match_mumu,C_match_tautau,C_ir_ee,C_ir_mumu,C_ir_tautau,delta_C_match_mumu,abs_delta_C_match_mumu,delta_C_rge_mumu,abs_delta_C_rge_mumu,delta_C_mumu,abs_delta_C_mumu,rel_delta_C_mumu,mu_match,mu_low,log_ratio,finite_fac_diag,finite_fac_offdiag,kappa_diag,kappa_offdiag,finite_match_mode,kappa_diag_eff,kappa_offdiag_eff,shell_spread,coeff_cv,offdiag_mix,mu_mumu_uv_tree,mu_mumu_uv_rge,delta_mu_mumu,abs_delta_mu_mumu,chi2_uv_tree,chi2_uv_rge
4.0,0.2,0.00016277754232253458,0.0014758502143104744,0.0003435162004482209,0.00016277754232253458,0.0014758502143104744,0.0003435162004482209,0.00016328794601711685,0.0014804778760338683,0.000344593326539179,0.0,0.0,4.627661723393848e-06,4.627661723393848e-06,4.627661723393848e-06,4.627661723393848e-06,0.0031355903726015435,1.280917082806759,1.0,0.24757629233153006,1.0,1.0,0.0,0.0,constant,0.0,0.0,0.0,0.0,0.0,2.4083057749134755,2.408283091800887,-2.268311258868394e-05,2.268311258868394e-05,6.3542533482741534,6.353967457572223
4.8,0.2,0.00019561316472304778,0.0015683202593658858,0.00015202569746888047,0.00019561316472304778,0.0015683202593658858,0.00015202569746888047,0.0001963754605190109,0.001574431933608931,0.00015261813484508145,0.0,0.0,6.1116742430453435e-06,6.1116742430453435e-06,6.1116742430453435e-06,6.1116742430453435e-06,0.003896955488872189,1.3602809677586774,1.0,0.30769127235057525,1.0,1.0,0.0,0.0,constant,0.0,0.0,0.0,0.0,0.0,13.739693054108729,13.739247292265354,-0.00044576184337508096,0.00044576184337508096,951.67515418512,951.6063983729864
5.6,0.2,0.00015714102819852153,0.0013021892258809095,5.9531521082067194e-05,0.00015714102819852153,0.0013021892258809095,5.9531521082067194e-05,0.0001578536402059104,0.0013080944671084447,5.980148798522129e-05,0.0,0.0,5.9052412275351854e-06,5.9052412275351854e-06,5.9052412275351854e-06,5.9052412275351854e-06,0.004534856463384104,1.4305484675437201,1.0,0.35805791447458585,1.0,1.0,0.0,0.0,constant,0.0,0.0,0.0,0.0,0.0,57.97841649278864,57.971396100373646,-0.007020392414993637,0.007020392414993637,20006.98258019661,20002.017854658567
6.4,0.2,0.00010403201165275425,0.0006722767776805341,2.7226734432871954e-05,0.00010403201165275425,0.0006722767776805341,2.7226734432871954e-05,0.00010454637839023444,0.0006756007239094455,2.736135190628217e-05,0.0,0.0,3.3239462289113685e-06,3.3239462289113685e-06,3.3239462289113685e-06,3.3239462289113685e-06,0.004944312133433393,1.4775528482269376,1.0,0.3903872383399466,1.0,1.0,0.0,0.0,constant,0.0,0.0,0.0,0.0,0.0,59.89373701777076,59.87715710517647,-0.01657991259428826,0.01657991259428826,21384.482939400787,21372.361894396818
7.2,0.2,7.600592234179314e-05,0.00012096550465777007,1.756797557663314e-05,7.600592234179314e-05,0.00012096550465777007,1.756797557663314e-05,7.639117639912581e-05,0.00012157864702919125,1.765702303058789e-05,0.0,0.0,6.131423714211733e-07,6.131423714211733e-07,6.131423714211733e-07,6.131423714211733e-07,0.005068737349179396,1.4921401916441892,1.0,0.40021145959540433,1.0,1.0,0.0,0.0,constant,0.0,0.0,0.0,0.0,0.0,3.5327999605622566,3.531394482587157,-0.0014054779750996005,0.0014054779750996005,28.43022294858977,28.39276525251859
8.0,0.2,6.313930504949174e-05,8.591083119440962e-05,1.3492972406410483e-05,6.313930504949174e-05,8.591083119440962e-05,1.3492972406410483e-05,6.344511424435738e-05,8.632693210171619e-05,1.3558324329823551e-05,0.0,0.0,4.161009073065761e-07,4.161009073065761e-07,4.161009073065761e-07,4.161009073065761e-07,0.004843404510485665,1.4658274448318904,1.0,0.38241989178356733,1.0,1.0,0.0,0.0,constant,0.0,0.0,0.0,0.0,0.0,2.326336307979538,2.324543270099281,-0.0017930378802568647,0.0017930378802568647,5.363118471757258,5.3423766142867
8.8,0.2,2.214685757277516e-05,5.848230801141066e-05,7.047750343537498e-06,2.214685757277516e-05,5.848230801141066e-05,7.047750343537498e-06,2.226946766037742e-05,5.880607949388392e-05,7.086768307335769e-06,0.0,0.0,3.237714824732592e-07,3.237714824732592e-07,3.237714824732592e-07,3.237714824732592e-07,0.005536229562111111,1.5482467554553723,1.0,0.43712316521321565,1.0,1.0,0.0,0.0,constant,0.0,0.0,0.0,0.0,0.0,1.5836854177066555,1.5836905358878322,5.118181176655412e-06,5.118181176655412e-06,0.2108770792379284,0.21088883109224366
9.600000000000001,0.2,1.0975147167186832e-05,4.3579838328899834e-05,3.956029559913731e-06,1.0975147167186832e-05,4.3579838328899834e-05,3.956029559913731e-06,1.1035886454513182e-05,4.382102036332475e-05,3.9779232450234425e-06,0.0,0.0,2.4118203442491425e-07,2.4118203442491425e-07,2.4118203442491425e-07,2.4118203442491425e-07,0.005534257208682097,1.5480056645464257,1.0,0.4369674344285572,1.0,1.0,0.0,0.0,constant,0.0,0.0,0.0,0.0,0.0,1.0000000014340404,1.0000000014340404,0.0,0.0,0.9999999928297973,0.9999999928297973
10.4,0.2,7.422066641493796e-06,2.996797540013284e-05,2.1099883030150735e-06,7.422066641493796e-06,2.996797540013284e-05,2.1099883030150735e-06,7.461609087312418e-06,3.0127635384446193e-05,2.121229659658714e-06,0.0,0.0,1.596599843133514e-07,1.596599843133514e-07,1.596599843133514e-07,1.596599843133514e-07,0.00532768671161695,1.5229622419775668,1.0,0.42065728173279693,1.0,1.0,0.0,0.0,constant,0.0,0.0,0.0,0.0,0.0,0.4952545984950411,0.4950549751909506,-0.00019962330409051265,0.00019962330409051265,5.116026509652305,5.1182843620415674
11.2,0.2,4.558508069825639e-06,1.6473387012688423e-05,7.956067069737132e-07,4.558508069825639e-06,1.6473387012688423e-05,7.956067069737132e-07,4.581894904793945e-06,1.6557901590162785e-05,7.996884640904409e-07,0.0,0.0,8.451457747436178e-08,8.451457747436178e-08,8.451457747436178e-08,8.451457747436178e-08,0.005130370421654361,1.499419168235305,1.0,0.40507781194222237,1.0,1.0,0.0,0.0,constant,0.0,0.0,0.0,0.0,0.0,0.15211173576309514,0.1519898999467061,-0.00012183581638905427,0.00012183581638905427,9.732657000126215,9.734557561468954
12.0,0.2,2.510492526187209e-06,8.248761138314983e-06,4.859955493187072e-07,2.510492526187209e-06,8.248761138314983e-06,4.859955493187072e-07,2.522914132461146e-06,8.289574987405988e-06,4.884001951408125e-07,0.0,0.0,4.081384909100548e-08,4.081384909100548e-08,4.081384909100548e-08,4.081384909100548e-08,0.004947876221245841,1.4779687035454037,1.0,0.3906686474340275,1.0,1.0,0.0,0.0,constant,0.0,0.0,0.0,0.0,0.0,0.03820536915314077,0.03816086843121535,-4.450072192541815e-05,4.450072192541815e-05,11.590528853770833,11.59128637670013
