D,eta,coeff_1,coeff_2,coeff_3,basis_1_mumu,basis_2_mumu,basis_3_mumu,basis_1_offdiag_frob,basis_2_offdiag_frob,basis_3_offdiag_frob,tree_term_1_mumu,tree_term_2_mumu,tree_term_3_mumu,C_tree_mumu,C_match_mumu,C_ir_mumu,delta_C_match_diag_mumu,delta_C_rge_diag_mumu,tree_rebuild_residual,match_rebuild_residual,ir_rebuild_residual,mu_match,mu_low,log_ratio,finite_fac_diag,finite_fac_offdiag,shell_spread,coeff_cv,offdiag_mix,gap_cv,gap_asym,g_col_norm_cv,c_tree_diag_cv,pkin_entropy,action_norm_diag,action_norm_offdiag,mu_mumu_tree_recon,mu_mumu_ir_recon,mu_mumu_ir_native,abs_delta_mu_mumu_ir_recon_vs_native,chi2_uv_rge
4.0,0.2,0.049995184152834875,0.35553548601005625,0.12845290190625552,1.0000000000000001e-60,0.0041510630369783405,1.0000000000000001e-60,1.1412036525285907e-31,1.2885748774484689e-31,1.0342645694866756e-31,4.999518415283488e-62,0.0014758502143104744,1.2845290190625553e-61,0.0014758502143104744,0.0014774317711839177,0.0014820643920218177,1.5815568734432565e-06,4.632620837900043e-06,0.0,0.0,0.0,1.280917082806759,1.0,0.24757629233153006,1.0010716242462194,1.0,0.07718149434815945,0.7278992382235014,2.877780199832257e-29,0.052928468881864164,0.11177290657100736,0.09029178776792637,0.8794894425499511,0.758788855870295,1.2689095420204013,1.0767321020559757,1146.8677377240476,2.408278813616308,2.408278813616308,0.0,6.353913537421932
4.8,0.2,0.07701036367732576,0.3769000766018832,0.09569135686240444,1.0000000000000001e-60,0.004161103583490356,1.0000000000000001e-60,1.0079858792610566e-31,1.2901323317381603e-31,7.971721936714691e-32,7.7010363677325776e-62,0.0015683202593658858,9.569135686240445e-62,0.0015683202593658858,0.0015701395120066252,0.0015762582757962345,1.8192526407394011e-06,6.1187637896093026e-06,0.0,0.0,0.0,1.3602809677586774,1.0,0.30769127235057525,1.0011600007268127,1.0,0.07111786048012514,0.7487878177500273,2.993923942695591e-29,0.3330127461264275,0.9985580509745398,0.1957340473559828,1.0296902220130237,0.8335514729768704,1.4728624404054653,1.4163259993902102,1295.085007464517,13.739148378932706,13.739148378932706,0.0,951.591141983235
5.6,0.2,0.10060441067224961,0.3791667999611166,0.06704947289713248,1.0000000000000001e-60,0.00343434400378527,1.0000000000000001e-60,7.904352146000565e-32,1.1720655278243226e-31,5.959444798111691e-32,1.0060441067224962e-61,0.0013021892258809097,6.704947289713248e-62,0.0013021892258809097,0.0013043750722614884,0.0013102902259886104,2.1858463805787213e-06,5.915153727121961e-06,0.0,0.0,0.0,1.4305484675437201,1.0,0.35805791447458585,1.0016785935078676,1.0,0.1092096338293002,0.7675103934186478,3.36805073534966e-29,0.04896323098045846,0.10296811348511037,0.28060102967778355,1.1143805860015705,0.8789935460298314,1.3732270194100678,1.0711593535980681,892.8468401558591,57.97250501092242,57.972505010922404,1.4210854715202004e-14,20002.802020067757
6.4,0.2,0.1257516113210336,0.34686755800755326,0.05236204997297603,1.0000000000000001e-60,0.0019381367964826934,1.0000000000000001e-60,5.752501155700377e-32,8.804855016370669e-32,4.5605734319466625e-32,1.2575161132103362e-61,0.0006722767776805341,5.236204997297603e-62,0.0006722767776805341,0.0006736775993664272,0.0006770084716949969,1.4008216858930802e-06,3.3308723285696866e-06,0.0,0.0,0.0,1.4775528482269376,1.0,0.3903872383399466,1.0020836978643322,1.0,0.1316552460415761,0.715292935971534,4.490444037185556e-29,0.23684225745303278,0.6206901777936342,0.28047183716500834,1.0740913062068647,0.9010333708810129,1.4570619145694848,1.309910589913548,237.9715229784984,59.89301479211669,59.89301479211669,0.0,21383.954871692382
7.2,0.2,0.1554611778513543,0.3068207296420088,0.04629897694402536,1.0000000000000001e-60,0.0003942546672087957,1.0000000000000001e-60,4.4222443481515865e-32,3.9711694358654393e-32,3.895876290432982e-32,1.554611778513543e-61,0.00012096550465777006,4.629897694402537e-62,0.00012096550465777006,0.0001212171028283863,0.00012183152048485185,2.5159817061623784e-07,6.144176564655557e-07,0.0,0.0,0.0,1.4921401916441892,1.0,0.40021145959540433,1.0020799166781311,1.0,0.14069871838435052,0.6301156865399458,8.300515088233312e-29,0.5397550802947837,2.3455123877977533,0.05673892634684577,0.5919366112864753,0.9103279160506171,1.432046424555722,1.6204236024415644,7.704631176615447,3.5330866403474794,3.5330866403474803,8.881784197001252e-16,28.437866345180634
8.0,0.2,0.1820472369122112,0.30804499395090496,0.04395337715187565,1.0000000000000001e-60,0.0002788905285962925,1.0000000000000001e-60,3.724670408224819e-32,3.3400031652457607e-32,3.50419033094253e-32,1.820472369122112e-61,8.591083119440962e-05,4.395337715187566e-62,8.591083119440962e-05,8.610283385421893e-05,8.651986470807405e-05,1.9200265980931757e-07,4.170308538551217e-07,0.0,0.0,0.0,1.4658274448318904,1.0,0.38241989178356733,1.0022349063225198,1.0,0.1520636193182569,0.6058619719411955,9.732597934525726e-29,0.5891268740470006,2.8676826827286432,0.04473497088292337,0.5580450552791809,0.9133806537148066,1.4452584435640263,1.665287061215118,3.886195211173796,2.3264012603689763,2.3264012603689763,0.0,5.363870595082675
8.8,0.2,0.155329249657946,0.2682273453142331,0.042357383623688884,1.0000000000000001e-60,0.00021803260940042338,1.0000000000000001e-60,2.3881380588317396e-32,2.9531854625161854e-32,2.579827620959073e-32,1.5532924965794602e-61,5.848230801141067e-05,4.2357383623688885e-62,5.848230801141067e-05,5.856953708002433e-05,5.889379148264592e-05,8.722906861366073e-08,3.2425440262159427e-07,0.0,0.0,0.0,1.5482467554553723,1.0,0.43712316521321565,1.0014915462740739,1.0,0.11517223325097901,0.5937428255184164,1.2483365521746187e-28,0.1526414316992487,0.36027589124483117,0.08885835383790645,0.738612427686607,0.9135092970649155,1.2831884112307528,1.2087482232265034,1.8008509862034379,1.5836127886356395,1.5836127886356386,8.881784197001252e-16,0.2107103509409733
9.600000000000001,0.2,0.16152502998349624,0.2625585969697808,0.041326764841969545,1.0000000000000001e-60,0.00016598138027800193,1.0000000000000001e-60,1.6485998528050524e-32,2.5766752242221136e-32,1.956789256143102e-32,1.6152502998349625e-61,4.357983832889983e-05,4.132676484196955e-62,4.357983832889983e-05,4.364614015550588e-05,4.388768912129264e-05,6.630182660605563e-08,2.415489657867553e-07,0.0,0.0,0.0,1.5480056645464257,1.0,0.4369674344285572,1.001521387622085,1.0,0.11485685465158924,0.5829075341898452,1.520540354152665e-28,0.1066533286499557,0.23877254389671365,0.18728807642891,0.8851615251699385,0.9126874950814605,1.32143906472469,1.1497013156171452,1.0000000001205427,1.0000000014359136,1.000000001435914,4.440892098500626e-16,0.9999999928204293
10.4,0.2,0.17639310314567963,0.2674407994958114,0.04063826049004364,1.0000000000000001e-60,0.00011205461341960352,1.0000000000000001e-60,1.297333462625057e-32,2.117117034267152e-32,1.4411276959137232e-32,1.7639310314567967e-61,2.996797540013284e-05,4.063826049004365e-62,2.996797540013284e-05,3.001974356096118e-05,3.0179679349817063e-05,5.176816082833871e-08,1.599357888558825e-07,0.0,0.0,0.0,1.5229622419775668,1.0,0.42065728173279693,1.0017274493901283,1.0,0.12533762689732517,0.577057574905652,1.8818072702544209e-28,0.19108966093919896,0.472461907610346,0.220824975839357,0.9172112440472516,0.9115432970884193,1.3800538854412516,1.2559774722814012,0.47287197658864255,0.49525486370468275,0.49525486370468275,0.0,5.116023510312699
11.2,0.2,0.19039181628226284,0.27312194620045815,0.040136040046769475,1.0000000000000001e-60,6.0315134839430895e-05,1.0000000000000001e-60,9.786270620734407e-33,1.553256383723317e-32,8.90454950613309e-33,1.9039181628226286e-61,1.6473387012688423e-05,4.013604004676948e-62,1.6473387012688423e-05,1.6505087546202806e-05,1.658976475915666e-05,3.1700533514382966e-08,8.467721295385411e-08,0.0,0.0,0.0,1.499419168235305,1.0,0.40507781194222237,1.0019243482527282,1.0,0.1353663151635882,0.574437990656976,2.5787377245512494e-28,0.26361689275729705,0.7159775670150244,0.25761164719784035,0.9184677656480011,0.9102765574924555,1.4258282995901088,1.3404293458524341,0.14288761047149318,0.15211189444082934,0.15211189444082934,0.0,9.732654524975347
