D,eta,hk_loop_local_prefactor_diag,shell_access,coeff_l1,coeff_l2,coeff_align,coeff_participation,coeff_participation_access,gap_cv,c_tree_diag_cv,shell_gap_screen,tree_diag_screen,diag_dispersion_screen,eymh_loop_prefactor_diag,eymh_prefactor_source_recon,eymh_source_residual,abs_mu_diff_vs_const
4.0,0.2,0.2594822797956052,0.26767767385469626,0.5339835720691466,0.3813202699293874,0.7141048711513722,1.9609928441583608,0.8450472597147287,0.0529284688818641,0.8794894425499511,0.9745420116059422,0.7381572794492011,0.719365279995994,0.0422231203520771,0.042223120352077086,1.3877787807814457e-17,1.1206078065484348e-07
4.8,0.2,0.2385972532567175,0.25767406620130606,0.5496017971416134,0.3964102668125378,0.7212681415421147,1.9222350876001533,0.8492750682447441,0.3330127461264275,1.0296902220130235,0.8661295363125563,0.7511256409565624,0.650572103114179,0.0339687809967384,0.033968780996738474,-7.632783294297951e-17,3.45160431791669e-06
5.6,0.2,0.2408620932557482,0.31377884425076946,0.5468206835304987,0.3979753025694525,0.7277985536318061,1.8878940758247258,0.8531111027479399,0.0489632309804584,1.1143805860015703,0.9763822314504504,0.696333612351461,0.6798877662616724,0.0438364055482439,0.04383640554824397,-7.632783294297951e-17,7.620429086330205e-05
6.4,0.2,0.2348317398037009,0.3410845234930134,0.5249812193015628,0.3726558128157027,0.7098459889888737,1.9845942769963154,0.842523583639576,0.2368422574530327,1.0740913062068649,0.8991721408122968,0.7315827004097961,0.6578187829087174,0.0443922488046886,0.04439224880468862,-1.3877787807814457e-17,0.000646382952147917
7.2,0.2,0.2205935934157932,0.35120411348378744,0.5085808844373885,0.3470601291174894,0.6824089141718738,2.1473884723984598,0.826080452602453,0.5397550802947837,0.5919366112864753,0.8058870502159887,0.8498917755867974,0.6849167760304733,0.0438341549649706,0.04383415496497061,-1.3877787807814457e-17,6.176204798480356e-05
8.0,0.2,0.2258410747793691,0.3633075560105363,0.5340456080149918,0.3605063302199267,0.6750478326371827,2.1944763538676506,0.8216129457580271,0.5891268740470006,0.5580450552791809,0.7932694219547243,0.8602919827877128,0.6824433238982924,0.0460056557608796,0.04600565576087965,-4.85722573273506e-17,7.070844131851217e-05
8.8,0.2,0.2223372469819722,0.32136821487248435,0.465913978595868,0.3128373899025909,0.6714488173233043,2.218064513107652,0.8194198053033038,0.1526414316992487,0.7386124276866068,0.9314357157759846,0.7806784649252572,0.7271518047685539,0.0425742187425198,0.04257421874251986,-6.245004513516506e-17,6.944641498085602e-06
9.6,0.2,0.2103436369428326,0.3209732984685203,0.4654103917952466,0.311022914985717,0.6682766875616928,2.2391716011124116,0.81748191879802,0.1066533286499557,0.8851615251699383,0.9505921042738744,0.7453861415266694,0.7085581807704207,0.0391067708277571,0.03910677082775711,-1.3877787807814457e-17,1.9317880628477724e-14
10.4,0.2,0.2165968878056446,0.3337331239271595,0.4844721631315347,0.3229405150921417,0.6665821891699958,2.2505703315056387,0.816444847598413,0.1910896609391989,0.9172112440472516,0.9162790831336259,0.7516331566998593,0.68870573967378,0.0406454635476514,0.04064546354765139,1.3877787807814457e-17,6.191759849505374e-06
11.2,0.2,0.2141961374641878,0.3452926237866013,0.5036498025294905,0.3353439173657705,0.665827556531475,2.2556747049941768,0.815982571217961,0.263616892757297,0.9184677656480013,0.8895949081049276,0.7609776709350862,0.6769618612453999,0.0408548876661451,0.04085488766614508,1.3877787807814457e-17,3.444050288015088e-06
