label,diag_scale,mean_abs_mapdiff,p95_abs_mapdiff,max_abs_mapdiff,acceptance_mismatch_fraction,kappa_diag_eff_p50,kappa_diag_eff_p90,kappa_diag_eff_max,kappa_offdiag_eff_max,offdiag_mix_max
diag0.25_off0,,0.00012661603574544322,0.0002575593723559422,0.001968879341546881,0.0,0.0454519451079231,0.0568952967286554,0.0610482958947328,0.0,1.6870931452033958e-26
diag0.50_off0,,0.00025314397143313234,0.0005149513644360226,0.003936344202898567,0.0,0.0909038902158463,0.1137905934573108,0.1220965917894656,0.0,1.6870931452033958e-26
diag1.00_off0,,0.0005059359084266733,0.0010292338449908733,0.007867036520302406,0.0,0.1818077804316926,0.2275811869146216,0.2441931835789313,0.0,1.6870931452033958e-26
diag1.50_off0,,0.000758376541325959,0.0015428487141497804,0.011792089002398143,0.0,0.272711670647539,0.3413717803719324,0.3662897753683969,0.0,1.6870931452033958e-26
diag2.00_off0,,0.0010104665984582357,0.002055797241246271,0.015711513665280563,0.0,0.3636155608633853,0.4551623738292432,0.4883863671578626,0.0,1.6870931452033958e-26
diag1.00_off2,,0.0005059359084266733,0.0010292338449908733,0.007867036520302406,0.0,0.1818077804316926,0.2275811869146216,0.2441931835789313,3.447517208295368e-27,1.6870931452033958e-26
