mode,n_points,mean_abs_delta_mu_mumu,p95_abs_delta_mu_mumu,max_abs_delta_mu_mumu,f_chi2_le_4_uv_rge,best_chi2_uv_rge,max_tree_rebuild_residual,max_match_rebuild_residual,max_ir_rebuild_residual,max_abs_delta_mu_mumu_ir_recon_vs_native,kappa_diag_eff_p50,kappa_diag_eff_p90,action_abs_diag_p50,action_abs_diag_p90,hk_curv_access_p50,hk_curv_access_p90,hk_loop_prefactor_diag_p50,hk_loop_prefactor_diag_p90,eymh_loop_prefactor_diag_p50,eymh_loop_prefactor_diag_p90
constant,441,0.0013172574236484309,0.0070351836507001,0.0165821036885702,0.09523809523809523,0.2108887153962173,0.0,0.0,0.0,7.308936995055574e-08,0.0,0.0,,,,,,,,
action_absolute,441,0.0006098544991259836,0.0051572676505813,0.0060048058130917,0.09523809523809523,0.2108105494638072,0.0,0.0,0.0,5.548704728925223e-08,0.1465338694627605,0.2040366312969812,0.5966599807114793,0.6212158439142883,,,,,,
action_loop_contrast,441,0.0008318558021700924,0.0061587412124097,0.0089083854189198,0.09523809523809523,0.2108595482273746,0.0,0.0,0.0,5.55252922894241e-08,0.0913204731175329,0.1322548274354687,0.5966599807114793,0.6212158439142883,0.370218636236617,0.4212504580203828,,,,
action_loop_absolute,441,0.0009829090036146838,0.0063430599225142,0.0112560882343117,0.09523809523809523,0.2109145984154826,0.0,0.0,0.0,5.5552712424741034e-08,0.0530900250200707,0.0776282253749102,0.5966599807114793,0.6212158439142883,0.370218636236617,0.4212504580203828,0.3512080175322714,0.4041913140454261,,
action_loop_eymh_absolute,441,0.0012765307313484622,0.0069588608984005,0.0159356676517887,0.09523809523809523,0.2109046615004011,0.0,0.0,0.0,5.558603759332343e-08,0.0057304664510394,0.0089437732289041,0.5966599807114793,0.6212158439142883,0.370218636236617,0.4212504580203828,0.3512080175322714,0.4041913140454261,0.0378415295702462,0.04383639273056
