D,E_part_med,E_tree_med,xi_target_med,E_part_p95,E_tree_p95,xi_target_p95,E_part_mean,E_tree_mean,xi_target_mean,E_part_norm,E_tree_norm,xi_target_norm,region
4.0,0.3949498233383917,0.8871122031006866,0.1294646066993198,0.39975307658888504,0.8919576225852586,0.1300483029570847,0.39520111873461045,0.8866811125446588,0.12948585482932398,0.7284484114417212,0.7586169658771426,0.8719371190595954,low-D
4.4,0.39259367114345767,0.9563847221198736,0.09737282767958508,0.3929342709488597,0.9564044804809693,0.09743197317150758,0.39261335638161005,0.9563693744791473,0.09737440080093906,0.7241027066911608,0.8178555920772127,0.6558007242767911,low-D
4.8,0.3866248413496567,1.0292175379602213,0.12148306025067343,0.38679113421471323,1.0296433488128534,0.12149189190667815,0.3866261643383619,1.0292159403676016,0.12148324536041974,0.7130937523265073,0.8801388180050858,0.8181818357161236,low-D
5.2,0.37956121180859226,1.0790411281870225,0.13989035653569792,0.37967044355758617,1.0792394166992887,0.13990687336376417,0.3795612879561395,1.0790410473555359,0.1398903689572569,0.7000655411104396,0.9227456277354126,0.9421539799309252,low-D
5.6,0.3740576674985092,1.1143064750811726,0.14022569045281164,0.3741036633893582,1.1143731758769126,0.14023416722247878,0.3740576707483983,1.1143064711461843,0.14022569068755772,0.689914762775886,0.9529029070152341,0.9444124357132857,low-D
6.0,0.3692493534995811,1.1693809168569975,0.14230186658640012,0.3692655874568542,1.169399683315296,0.14230535694344593,0.369249353532999,1.1693809166903444,0.1423018665418923,0.6810462724329213,1.0,0.9583953696033628,low-D
6.4,0.40876208937352154,1.0740829653405333,0.13486053880486842,0.40876731110623266,1.0740904721174924,0.13486125723364709,0.40876208934425295,1.074082965345027,0.1348605387934514,0.7539238583393898,0.9185056382033313,0.9082784297444557,low-D
6.800000000000001,0.4442592631967599,0.8655712839744574,0.11600650506671412,0.4442607752922061,0.8655741473795167,0.11600653942182133,0.44425926319112735,0.8655712839796715,0.11600650506561144,0.8193951115321118,0.7401961768804093,0.7812975329617595,low-D
7.2,0.4653975001957116,0.5919361404002297,0.08818996286634301,0.46539791818798126,0.5919365641942425,0.08818997131170667,0.46539750019450693,0.5919361404020621,0.08818996286636069,0.8583826341303227,0.5061961691586395,0.5939546267671612,low-D
7.6,0.4744778656885882,0.5746129275723644,0.08642620295646346,0.47447798400055663,0.5746130224434922,0.08642620713584231,0.47447786568536654,0.5746129275758054,0.0864262029564425,0.8751305282366807,0.49138216580169597,0.582075799234746,low-D
8.0,0.48137654338687397,0.5580450355574558,0.08445432448687819,0.4813765766534146,0.5580450533015606,0.08445432643436698,0.48137654339233893,0.5580450355511203,0.08445432448681574,0.8878545010388131,0.47721407756280204,0.5687953044667898,low-D
8.4,0.4851361173527553,0.6107347084495436,0.10040767747102865,0.48513612810376294,0.6107347257290405,0.10040767793717423,0.4851361173443923,0.6107347084625149,0.1004076774713402,0.8947886874121476,0.5222718274649506,0.6762402733658768,low-D
8.8,0.4893167977386246,0.7386124190984011,0.1283127513278027,0.489316801242625,0.7386124270377548,0.12831275157026376,0.4893167977433758,0.7386124190889903,0.1283127513276429,0.9024995656196375,0.631626879189722,0.8641794354747178,low-D
9.2,0.4934887080203627,0.8648841756716079,0.14847929267990154,0.49348870905933473,0.8648841783853629,0.1484792927314062,0.49348870802749045,0.8648841756517671,0.14847929268369942,0.9101942681813999,0.7396085939183954,1.0,low-D
9.6,0.4963861813219064,0.8851615244197655,0.14741767427457422,0.4963861817913029,0.8851615257375978,0.1474176743110608,0.49638618121939804,0.8851615244708287,0.14741767427587982,0.9155383896342556,0.7569488364825189,0.9928500574984823,low-D
10.0,0.49844749346982065,0.9185571848549621,0.14759160740545657,0.49844749424188706,0.918557187029885,0.1475916074566539,0.49844749347504563,0.9185571849759097,0.14759160740127222,0.919340289194411,0.7855072471370692,0.9940214877211284,transition
10.4,0.5001900866904507,0.9172112583548901,0.14505261665287944,0.5001900954544594,0.9172112610478027,0.14505261716213108,0.5001900879576032,0.9172112564106899,0.145052616723653,0.9225543411786031,0.7843562735914349,0.9769215224212477,transition
10.8,0.5012073334368792,0.9202811758006644,0.1429410129189407,0.5012073427122445,0.9202811851200092,0.14294101346548493,0.5012073349364538,0.9202811731171325,0.14294101296546186,0.9244305586945816,0.7869815237571597,0.9626999855602727,transition
11.2,0.5018903608205016,0.9184677741110561,0.14065751827459697,0.5018904005975711,0.9184677975390219,0.14065751984793237,0.5018903657939765,0.9184677662859799,0.14065751840030918,0.9256903395152574,0.78543078724054,0.9473207727210345,transition
11.6,0.5024661751524557,0.9024796906213441,0.137374516328295,0.5024661937968091,0.9024797866803307,0.13737452073865378,0.5024661753179505,0.9024796790460223,0.13737451600331863,0.9267523757806538,0.7717585242001238,0.9252099322998075,transition
12.0,0.5025679772754248,0.8771174535857547,0.1332406764231668,0.5025680421661873,0.8771177803698647,0.13324068885851154,0.5025679772601618,0.8771174667503393,0.13324067789639005,0.9269401403785245,0.7500699224194852,0.8973687442761002,transition
12.4,0.5156246678269274,0.8477732257871085,0.13875786531430093,0.5156249705061062,0.8477739806157525,0.1387579031489646,0.5156246363481322,0.8477733842200127,0.13875786536619664,0.9510219981966481,0.7249761079270134,0.9345267128490535,transition
12.8,0.5279636012455764,0.7916631112424155,0.1435224689293072,0.5279643046823461,0.7916661241159773,0.1435225942222114,0.5279635939170186,0.7916634417137959,0.1435224881377574,0.9737800193845673,0.6769933559119532,0.9666160603197343,transition
13.2,0.5331058175220649,0.6921533090286713,0.13666101792768792,0.5331066609741175,0.692155945660099,0.13666117740212405,0.5331059235742569,0.6921522810291092,0.13666092049830153,0.9832643615884334,0.5918972159123357,0.920404559188654,transition
13.6,0.5316470463244689,0.6820485800640339,0.13172042893134894,0.5316525975284991,0.6820652232564057,0.13172131689608654,0.531647798522423,0.6820459694280062,0.13172023479731454,0.9805737930687072,0.5832561231606287,0.8871299596996187,transition
14.0,0.5302127819141333,0.6604789559717466,0.12575394827299588,0.5302187789746349,0.6604852507768735,0.12575469662364167,0.5302135312551732,0.6604706568410471,0.12575314789502057,0.9779284250509042,0.5648107870162173,0.8469460353916287,transition
14.4,0.5288277286523766,0.695860911849425,0.1272298715451561,0.528867733785854,0.6958830990375247,0.12723154500528933,0.5288344647355951,0.6958439735595434,0.12722894790580044,0.9753738224440195,0.5950677848580979,0.8568862987476921,transition
14.8,0.5273601573473397,0.7619404224188107,0.13198917456375034,0.5273998165912339,0.7620432415298701,0.1320015963941047,0.5273572156907037,0.7619539054561857,0.13199155105848687,0.9726670229402363,0.6515758992088868,0.8889399469884238,transition
15.2,0.5260573446774435,0.8192935642592201,0.13559822399259674,0.5262903497000453,0.8194747314850288,0.13561375158563857,0.5261043838330126,0.8192380907338432,0.13560022702990387,0.9702641054967744,0.7006216301710101,0.9132466995578004,transition
15.6,0.5246495518668586,0.809709690266355,0.13249961069277766,0.5250349668792813,0.8101582940180556,0.1325407633919726,0.5247101869941854,0.809565079935288,0.13249832099036776,0.9676675618957636,0.692425948289503,0.8923777066909013,transition
16.0,0.5232080093859286,0.7856815930066916,0.12805377652662855,0.5235368559178706,0.7870578910227013,0.12811883764030768,0.523140646866876,0.7856943656276,0.12804654436483187,0.96500877015006,0.6718782405979452,0.8624352542053979,transition
16.4,0.5224110308065044,0.7829068083011594,0.12609034328579247,0.5265319361502261,0.7847129459570934,0.1262333320002947,0.5231498817962082,0.7810912145821371,0.12602015496966548,0.9635388168906122,0.6695053741815938,0.8492116375959832,transition
