D,eta,C_uv_ee,C_uv_mumu,C_uv_tautau,C_match_ee,C_match_mumu,C_match_tautau,C_ir_ee,C_ir_mumu,C_ir_tautau,delta_C_match_mumu,abs_delta_C_match_mumu,delta_C_rge_mumu,abs_delta_C_rge_mumu,delta_C_mumu,abs_delta_C_mumu,rel_delta_C_mumu,mu_match,mu_low,log_ratio,finite_fac_diag,finite_fac_offdiag,kappa_diag,kappa_offdiag,finite_match_mode,kappa_diag_eff,kappa_offdiag_eff,shell_spread,coeff_cv,offdiag_mix,gap_cv,gap_asym,g_col_norm_cv,c_tree_diag_cv,pkin_entropy,action_norm_diag,action_norm_offdiag,mu_mumu_uv_tree,mu_mumu_uv_rge,delta_mu_mumu,abs_delta_mu_mumu,chi2_uv_tree,chi2_uv_rge
4.0,0.2,0.00016277754232253458,0.0014758502143104744,0.0003435162004482209,0.00016295197868362743,0.0014774317711839177,0.0003438843207375904,0.00016346292933918418,0.0014820643920218177,0.0003449626011029838,1.5815568734432565e-06,1.5815568734432565e-06,4.632620837900043e-06,4.632620837900043e-06,6.2141777113433e-06,6.2141777113433e-06,0.004210574793490543,1.280917082806759,1.0,0.24757629233153006,1.0010716242462194,1.0,0.0,0.0,action_normalized,0.16922411802883341,0.0,0.07718149434815945,0.7278992382235014,2.8777801998322563e-29,0.052928468881864164,0.11177290657100736,0.09029178776792637,0.8794894425499511,0.758788855870295,1.2689095420204013,1.0767321020559757,2.4083057749134755,2.408278813616308,-2.6961297167726883e-05,2.6961297167726883e-05,6.3542533482741534,6.353913537421932
4.8,0.2,0.00019561316472304778,0.0015683202593658858,0.00015202569746888047,0.00019584007613630066,0.0015701395120066252,0.00015220204738843857,0.00019660325619594114,0.0015762582757962345,0.00015279517199242652,1.8192526407394011e-06,1.8192526407394011e-06,6.1187637896093026e-06,6.1187637896093026e-06,7.938016430348704e-06,7.938016430348704e-06,0.005061476686884258,1.3602809677586774,1.0,0.30769127235057525,1.0011600007268127,1.0,0.0,0.0,action_normalized,0.18317997245788747,0.0,0.07111786048012514,0.7487878177500273,2.993923942695591e-29,0.3330127461264275,0.9985580509745398,0.1957340473559828,1.0296902220130237,0.8335514729768704,1.4728624404054653,1.4163259993902102,13.739693054108729,13.739148378932706,-0.0005446751760231905,0.0005446751760231905,951.67515418512,951.591141983235
5.6,0.2,0.00015714102819852153,0.0013021892258809095,5.9531521082067194e-05,0.0001574048041082752,0.0013043750722614882,5.9631450306869035e-05,0.00015811861230155332,0.0013102902259886102,5.99018703747141e-05,2.1858463805787213e-06,2.1858463805787213e-06,5.915153727121961e-06,5.915153727121961e-06,8.101000107700682e-06,8.101000107700682e-06,0.006221062151870047,1.4305484675437201,1.0,0.35805791447458585,1.0016785935078676,1.0,0.0,0.0,action_normalized,0.26507286196622537,0.0,0.1092096338293002,0.7675103934186478,3.368050735349661e-29,0.04896323098045846,0.10296811348511037,0.28060102967778355,1.1143805860015703,0.8789935460298314,1.3732270194100678,1.0711593535980681,57.97841649278864,57.972505010922404,-0.005911481866235135,0.005911481866235135,20006.98258019661,20002.802020067757
6.4,0.2,0.00010403201165275425,0.0006722767776805341,2.7226734432871954e-05,0.00010424878293325727,0.0006736775993664272,2.7283466721262467e-05,0.00010476422145560983,0.0006770084716949969,2.741836469681453e-05,1.4008216858930802e-06,1.4008216858930802e-06,3.3308723285696866e-06,3.3308723285696866e-06,4.731694014462767e-06,4.731694014462767e-06,0.007038312450398618,1.4775528482269376,1.0,0.3903872383399466,1.0020836978643322,1.0,0.0,0.0,action_normalized,0.3290443777976545,0.0,0.1316552460415761,0.715292935971534,4.490444037185556e-29,0.23684225745303278,0.6206901777936342,0.28047183716500834,1.0740913062068647,0.9010333708810129,1.4570619145694848,1.309910589913548,59.89373701777076,59.89301479211669,-0.0007222256540728722,0.0007222256540728722,21384.482939400787,21383.954871692382
7.2,0.2,7.600592234179314e-05,0.00012096550465777007,1.756797557663314e-05,7.616400832730857e-05,0.00012121710282838631,1.760451550203598e-05,7.65500636809804e-05,0.00012183152048485187,1.7693748167275354e-05,2.5159817061623784e-07,2.5159817061623784e-07,6.144176564655557e-07,6.144176564655557e-07,8.660158270817935e-07,8.660158270817935e-07,0.0071591965786600474,1.4921401916441892,1.0,0.40021145959540433,1.0020799166781311,1.0,0.0,0.0,action_normalized,0.32844727680611663,0.0,0.14069871838435052,0.6301156865399458,8.300515088233312e-29,0.5397550802947837,2.3455123877977533,0.05673892634684577,0.5919366112864753,0.9103279160506171,1.432046424555722,1.6204236024415644,3.5327999605622566,3.5330866403474803,0.00028667978522367576,0.00028667978522367576,28.43022294858977,28.437866345180634
8.0,0.2,6.313930504949174e-05,8.591083119440962e-05,1.3492972406410483e-05,6.328041548154635e-05,8.610283385421893e-05,1.3523127935751154e-05,6.358690813131509e-05,8.651986470807405e-05,1.3588625914591047e-05,1.9200265980931757e-07,1.9200265980931757e-07,4.170308538551217e-07,4.170308538551217e-07,6.090335136644393e-07,6.090335136644393e-07,0.007089135388368472,1.4658274448318904,1.0,0.38241989178356733,1.0022349063225198,1.0,0.0,0.0,action_normalized,0.3529222604282308,0.0,0.1520636193182569,0.6058619719411955,9.73259793452573e-29,0.5891268740470006,2.8676826827286432,0.04473497088292337,0.5580450552791809,0.9133806537148066,1.4452584435640263,1.665287061215118,2.326336307979538,2.3264012603689763,6.495238943848847e-05,6.495238943848847e-05,5.363118471757258,5.363870595082675
8.8,0.2,2.214685757277516e-05,5.848230801141066e-05,7.047750343537498e-06,2.217989063567028e-05,5.856953708002432e-05,7.0582623893030045e-06,2.2302683601891867e-05,5.8893791482645916e-05,7.097338550199801e-06,8.722906861366073e-08,8.722906861366073e-08,3.2425440262159427e-07,3.2425440262159427e-07,4.11483471235255e-07,4.11483471235255e-07,0.007036033378760791,1.5482467554553723,1.0,0.43712316521321565,1.0014915462740739,1.0,0.0,0.0,action_normalized,0.23553554673643157,0.0,0.11517223325097901,0.5937428255184164,1.2483365521746187e-28,0.1526414316992487,0.36027589124483117,0.08885835383790645,0.7386124276866068,0.9135092970649155,1.2831884112307528,1.2087482232265034,1.5836854177066555,1.5836127886356386,-7.26290710169053e-05,7.26290710169053e-05,0.2108770792379284,0.2107103509409733
9.600000000000001,0.2,1.0975147167186832e-05,4.3579838328899834e-05,3.956029559913731e-06,1.0991844620237552e-05,4.364614015550589e-05,3.962048214318786e-06,1.1052676315563815e-05,4.3887689121292645e-05,3.983975208210025e-06,6.630182660605563e-08,6.630182660605563e-08,2.415489657867553e-07,2.415489657867553e-07,3.0785079239281096e-07,3.0785079239281096e-07,0.007064064581181814,1.5480056645464257,1.0,0.4369674344285572,1.001521387622085,1.0,0.0,0.0,action_normalized,0.2402479035310889,0.0,0.11485685465158924,0.5829075341898452,1.5205403541526647e-28,0.1066533286499557,0.23877254389671365,0.18728807642891,0.8851615251699383,0.9126874950814605,1.3214390647246899,1.1497013156171452,1.0000000014340404,1.000000001435914,1.873612376357414e-12,1.873612376357414e-12,0.9999999928297973,0.9999999928204293
10.4,0.2,7.422066641493796e-06,2.996797540013284e-05,2.1099883030150735e-06,7.434887885987135e-06,3.001974356096118e-05,2.1136332010222948e-06,7.474498639379671e-06,3.0179679349817063e-05,2.1248939765406136e-06,5.176816082833871e-08,5.176816082833871e-08,1.599357888558825e-07,1.599357888558825e-07,2.117039496842212e-07,2.117039496842212e-07,0.007064339410906042,1.5229622419775668,1.0,0.42065728173279693,1.0017274493901283,1.0,0.0,0.0,action_normalized,0.2727878736554888,0.0,0.12533762689732517,0.577057574905652,1.8818072702544209e-28,0.19108966093919896,0.472461907610346,0.220824975839357,0.9172112440472516,0.9115432970884193,1.3800538854412516,1.2559774722814012,0.4952545984950411,0.49525486370468275,2.652096416366767e-07,2.652096416366767e-07,5.116026509652305,5.116023510312699
11.2,0.2,4.558508069825639e-06,1.6473387012688423e-05,7.956067069737132e-07,4.567280226864855e-06,1.6505087546202806e-05,7.97137731350137e-07,4.590712066248169e-06,1.658976475915666e-05,8.012273431890403e-07,3.1700533514382966e-08,3.1700533514382966e-08,8.467721295385411e-08,8.467721295385411e-08,1.1637774646823708e-07,1.1637774646823708e-07,0.007064591293739324,1.499419168235305,1.0,0.40507781194222237,1.0019243482527282,1.0,0.0,0.0,action_normalized,0.30388089574967864,0.0,0.1353663151635882,0.574437990656976,2.5787377245512494e-28,0.26361689275729705,0.7159775670150244,0.25761164719784035,0.9184677656480011,0.9102765574924555,1.4258282995901088,1.3404293458524341,0.15211173576309514,0.15211189444082934,1.58677734202195e-07,1.58677734202195e-07,9.732657000126215,9.732654524975347
