D,eta,parent_normal_e_part,parent_normal_e_tree,parent_normal_c_parent,parent_normal_xi_target,parent_normal_part_curvature,parent_normal_tree_curvature,eymh_parented_prefactor_diag
4.0,0.2,0.40035454230646916,0.8794894425499511,0.5933865462204695,0.13011768624754755,0.0,0.0,0.0433261161132477
4.8,0.2,0.3864469292404067,1.0296902220130235,0.6308094992672555,0.1214742069095597,0.0,0.0,0.0392190539319979
5.6,0.2,0.37400657779529056,1.11438058600157,0.6455893968552749,0.14021627303672501,0.0,0.0,0.0448967669998699
6.4,0.2,0.40875628729610836,1.0740913062068647,0.6626021238587645,0.13485974049142668,0.0,0.0,0.0493701336927381
7.2,0.2,0.4653970357546311,0.5919366112864752,0.5248671681934076,0.08818995348264555,0.0,0.0,0.0543924299977552
8.0,0.2,0.4813765064519049,0.5580450552791809,0.5182950695820405,0.08445432232153849,0.0,0.0,0.057994994496971
8.8,0.2,0.48931679407292394,0.7386124276866068,0.6011783971318578,0.12831275159165703,0.0,0.0,0.0457081664589713
9.6,0.2,0.49638618047361405,0.8851615251699381,0.662858920571568,0.1474176741925567,0.0,0.0,0.0411393810783117
10.4,0.2,0.5001900984560719,0.9172112440472515,0.6773329923051223,0.14505261764845878,0.0,0.0,0.0443592616003478
11.2,0.2,0.501890377156128,0.9184677656480009,0.6789478133898226,0.14065752046392918,0.0,0.0,0.0459252714847219
12.0,0.2,0.5025679247249979,0.8771178989054504,0.663936233528539,0.13324070812303054,0.0,0.0,0.0457444364275039
12.8,0.2,0.5279606669354249,0.7916713924836571,0.6465070427840428,0.14352281009029708,0.0,0.0,0.0392926289711688
13.6,0.2,0.5316649359830974,0.6819962957925976,0.6021573855258117,0.13171705384368726,0.0,0.0,0.0396211797225291
14.4,0.2,0.5288677337858356,0.6958086696085117,0.6066224148878698,0.12723010234990387,0.0,0.0,0.0396849667542082
15.2,0.2,0.526691794633058,0.8180925978636038,0.6564165282385889,0.1355842383803304,0.0,0.0,0.0417258105506857
16.0,0.2,0.5223665031335394,0.7868027023414568,0.6410923305407153,0.1280352887012083,0.0,0.0,0.0435062525324147
16.8,0.2,0.5107813949965139,0.8324265017386816,0.6520643908312673,0.12761599202241608,0.0,0.0,0.0426372294501484
17.6,0.2,0.53334510636259,0.6787167217905434,0.6016562491767586,0.1212757159530251,0.0,0.0,0.0407600933091185
18.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0586804347402074
19.200000000000003,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0580670617382019
20.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0622911350603241
4.0,0.39,0.3997530765888655,0.8803624715424814,0.5932348662313136,0.1300483029570823,0.0,0.0,0.0433256378659887
4.8,0.39,0.3864643936808021,1.0296433488128858,0.6308093947512533,0.12147504644064842,0.0,0.0,0.0392191959549454
5.6,0.39,0.37401168596625833,1.1143731758769109,0.645591659104497,0.14021721472029527,0.0,0.0,0.044896760436053
6.4,0.39,0.4087568675125235,1.0740904721175026,0.6626023368565779,0.1348598203258129,0.0,0.0,0.0493701324354692
7.2,0.39,0.4653970822022533,0.591936564194218,0.5248671735066082,0.08818995442108465,0.0,0.0,0.0543924297365417
8.0,0.39,0.4813765101636158,0.5580450533015735,0.5182950706618581,0.0844543225396209,0.0,0.0,0.0579949944510229
8.8,0.39,0.4893167943415895,0.7386124270377519,0.601178397032839,0.12831275157026362,0.0,0.0,0.0457081664626894
9.6,0.39,0.49638618012669444,0.885161526332956,0.6628589207754019,0.14741767423132074,0.0,0.0,0.0411393810710699
10.4,0.39,0.500190095454452,0.9172112450982504,0.6773329906608644,0.1450526171621302,0.0,0.0,0.0443592616336688
11.2,0.39,0.5018904231040391,0.918467625615526,0.6789477927112942,0.14065751661931963,0.0,0.0,0.0459252722558148
12.0,0.39,0.5025679899633055,0.8771172910146923,0.663936046549149,0.1332406640766865,0.0,0.0,0.0457444417491334
12.8,0.39,0.5279656298691038,0.7916601549970119,0.6465054929196423,0.14352250199571986,0.0,0.0,0.0392926809931249
13.6,0.39,0.5316503535312396,0.6820295090330517,0.6021637896753339,0.13171867550818192,0.0,0.0,0.0396210022414701
14.4,0.39,0.5288230534254279,0.6958914603017465,0.6066328765319676,0.1272326411612439,0.0,0.0,0.0396846783076986
15.2,0.39,0.5262903497000526,0.818792226554341,0.6564468350483296,0.13558685239523743,0.0,0.0,0.0417242863639605
16.0,0.39,0.5223479269530871,0.7870578910225601,0.6411848857916903,0.1280583253114329,0.0,0.0,0.0435038855570558
16.8,0.39,0.5202307488638929,0.7709150726278873,0.6332880273174822,0.12305643834295361,0.0,0.0,0.0431099782091254
17.6,0.39,0.53334510636259,0.6787167217905434,0.6016562491767586,0.1212757159530251,0.0,0.0,0.0407600933091185
18.4,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0586804347402074
19.200000000000003,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0580670617382019
20.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0622911350603241
4.0,0.5800000000000001,0.3991650182625559,0.8812104686253468,0.5930837991397101,0.1299796954955477,0.0,0.0,0.0433252408187335
4.8,0.5800000000000001,0.38648193092656835,1.0295963875021603,0.6308093213617363,0.1214758961842552,0.0,0.0,0.0392193376908345
5.6,0.5800000000000001,0.37401679431504564,1.1143657655370727,0.6455939213782977,0.14021815641680668,0.0,0.0,0.0448967538721383
6.4,0.5800000000000001,0.40875744772434097,1.0740896380316574,0.6626025498509506,0.13485990015909327,0.0,0.0,0.0493701311782508
7.2,0.5800000000000001,0.4653971286434333,0.5919365171091071,0.52486717881934,0.08818995535945841,0.0,0.0,0.0543924294753566
8.0,0.5800000000000001,0.48137651382519264,0.5580450513598041,0.5182950717313286,0.08445432275577983,0.0,0.0,0.0579949944055722
8.8,0.5800000000000001,0.48931679457424093,0.738612426486779,0.6011783969515313,0.12831275155289246,0.0,0.0,0.0457081664657773
9.6,0.5800000000000001,0.4963861819629267,0.8851615233941381,0.6628589209010497,0.14741767432381722,0.0,0.0,0.0411393810761781
10.4,0.5800000000000001,0.5001900944194106,0.9172112454606636,0.6773329900938788,0.1450526169944307,0.0,0.0,0.0443592616451587
11.2,0.5800000000000001,0.5018904005970815,0.9184677042342904,0.6789478065460037,0.14065751939166984,0.0,0.0,0.0459252717726018
12.0,0.5800000000000001,0.5025678316156819,0.8771177803699077,0.6639361271628954,0.1332406808610286,0.0,0.0,0.0457444390761541
12.8,0.5800000000000001,0.5279633895732954,0.7916640565541826,0.6465057143612044,0.14352251695019655,0.0,0.0,0.0392926695816402
13.6,0.5800000000000001,0.5316419342261165,0.6820654711364538,0.6021748968064276,0.13172162322192224,0.0,0.0,0.0396207147568535
14.4,0.5800000000000001,0.5288748624391366,0.6957040105816505,0.6065808791041192,0.12721912480271702,0.0,0.0,0.0396859720081252
15.2,0.5800000000000001,0.5261519456798223,0.8190331257612831,0.6564570608162621,0.1355876871728906,0.0,0.0,0.0417237648573981
16.0,0.5800000000000001,0.5223414824099712,0.7871454402130791,0.6412165906409075,0.12806621536388982,0.0,0.0,0.043503074629235
16.8,0.5800000000000001,0.5202307488638929,0.7709150726278873,0.6332880273174822,0.12305643834295361,0.0,0.0,0.0431099782091254
