label,diag_scale,mean_abs_mapdiff,p95_abs_mapdiff,max_abs_mapdiff,acceptance_mismatch_fraction,kappa_diag_eff_p50,kappa_diag_eff_p90,kappa_diag_eff_max,kappa_offdiag_eff_max,offdiag_mix_max,diag_scale_value,offdiag_scale_value,rel_match_shift_diag_p90,rel_match_shift_diag_max,abs_delta_C_match_mumu_p90,abs_delta_C_match_mumu_max,pass_conservative_window,pass_extended_window
diag0.25_off0,,0.0001266160357454,0.0002575593723559,0.0019688793415468,0.0,0.0454519451079231,0.0568952967286554,0.0610482958947328,0.0,1.6870931452033958e-26,0.25,0.0,0.0003865928404800704,0.9999999999999998,3.090112590880493e-07,3.979397342323415e-07,True,True
diag0.50_off0,,0.0002531439714331,0.000514951364436,0.0039363442028985,0.0,0.0909038902158463,0.1137905934573108,0.1220965917894656,0.0,1.6870931452033958e-26,0.5,0.0,0.0007731856809601408,0.9999999999999998,6.180225181758817e-07,7.958794684644662e-07,True,True
diag1.00_off0,,0.0005059359084266,0.0010292338449908,0.0078670365203024,0.0,0.1818077804316926,0.2275811869146216,0.2441931835789313,0.0,1.6870931452033958e-26,1.0,0.0,0.0015463713619204393,0.9999999999999998,1.2360450363515466e-06,1.5917589369291493e-06,True,True
diag1.50_off0,,0.0007583765413259,0.0015428487141497,0.0117920890023981,0.0,0.272711670647539,0.3413717803719324,0.3662897753683969,0.0,1.6870931452033958e-26,1.5,0.0,0.0023195570428804226,0.9999999999999998,1.8540675545274284e-06,2.387638405394049e-06,False,True
diag2.00_off0,,0.0010104665984582,0.0020557972412462,0.0157115136652805,0.0,0.3636155608633853,0.4551623738292432,0.4883863671578626,0.0,1.6870931452033958e-26,2.0,0.0,0.003092742723840721,0.9999999999999998,2.47209007270331e-06,3.1835178738585154e-06,False,False
diag1.00_off2,,0.0005059359084266,0.0010292338449908,0.0078670365203024,0.0,0.1818077804316926,0.2275811869146216,0.2441931835789313,3.447517208295368e-27,1.6870931452033958e-26,1.0,2.0,0.0015463713619204393,0.9999999999999998,1.2360450363515466e-06,1.5917589369291493e-06,False,False
