q_ss,q_dd,q_sd,mean_objective,max_objective,max_abs_det_ratio_residual,max_abs_schur_residual,max_abs_weight_residual,mean_abs_xi_residual,max_abs_xi_residual,"corr(xi_gen, xi_target)"
0.0,0.0,0.0,0.00025732417575299193,0.0008613978550933431,4.440892098500626e-16,4.440892098500626e-16,1.1102230246251565e-16,4.451102010417688e-18,8.326672684688674e-17,1.0
0.0,-0.0125,0.0125,0.0002573805838377793,0.0008619013972855113,0.00027577096730491135,0.00019805552450202768,2.6211841669732117e-05,0.000511479250087257,0.002233187355025923,0.9998925439483669
0.0,0.0125,-0.0125,0.00025726791880434423,0.0008608981592868715,0.0002795557975145968,0.00020134884448408386,2.665131941348431e-05,0.0005106830382514596,0.002270321388816443,0.9998916092246548
0.0,0.0125,-0.025,0.00025722538956897157,0.0008597370009884897,0.00038904267276729243,0.00029228552598503654,5.190757272333091e-05,0.0016154258058803932,0.0039432577854545126,0.9997339471616773
0.0,-0.0125,0.025,0.0002574266135913671,0.0008631018571807368,0.00040190057160094383,0.0003019455915442837,5.3867848281208275e-05,0.001642681496646586,0.00409118330345995,0.999734792608061
-0.0125,0.0,0.0,0.0002571459043171909,0.0008584965097041661,0.0004314922929102849,0.00032062901570384383,7.10745862888551e-05,0.0026426603995189754,0.005039826965507796,0.9996527248908726
-0.0125,0.0125,0.0,0.00025713218280029853,0.0008591580477335587,0.0004428837693448706,0.0003315504407312986,7.101207261717146e-05,0.001978265809056263,0.005035393512349912,0.9990613041894578
-0.0125,0.0,0.0125,0.00025718762401267804,0.0008596469550734973,0.00045499558523243167,0.00028584434968559336,7.314952591119805e-05,0.0015128194739113786,0.005188366019302615,0.999374976155497
0.0,0.0,-0.0125,0.0002572806672441453,0.0008602289653459556,0.00046166246430745517,0.00034684435835252714,4.644931968256216e-05,0.001327595336397557,0.003910865082828174,0.9997628587578321
0.0,0.0,0.0125,0.00025736920548470154,0.0008625903722874376,0.0004752762391717624,0.0003570723092320982,4.788762873242369e-05,0.0013483702583522207,0.004026190977564986,0.9997623604403979
-0.0125,0.0125,-0.0125,0.0002570914300741112,0.0008580151836448925,0.0005309227865275545,0.0003945128412630172,7.471752606591497e-05,0.002894763981207324,0.0056763557687304345,0.9994226652914852
0.0,-0.025,0.025,0.00025743714784223526,0.0008624088176828946,0.0005478083461909478,0.00039287159551726347,5.1991510133242436e-05,0.0010237814160189936,0.0044298480512665606,0.9995722104081017
-0.0125,-0.0125,0.0125,0.00025720051732541245,0.0008589815313024508,0.0005548532735097922,0.0004168580781618303,7.321192516329678e-05,0.002398487829321153,0.005345627500622507,0.999672696822688
-0.0125,-0.0125,0.025,0.00025724320663216823,0.0008601396175647891,0.0005554767055304666,0.0003453284288055247,8.473277045295546e-05,0.0011123870559109192,0.006268062627386051,0.9994761875307852
0.0,0.025,-0.025,0.00025721180822316225,0.0008604022783393268,0.0005629483702986882,0.0004060457711507759,5.374954657610953e-05,0.0010205966716341048,0.004578394286022025,0.999564739542095
