D,eta,coeff_1,coeff_2,coeff_3,basis_1_mumu,basis_2_mumu,basis_3_mumu,basis_1_offdiag_frob,basis_2_offdiag_frob,basis_3_offdiag_frob,tree_term_1_mumu,tree_term_2_mumu,tree_term_3_mumu,C_tree_mumu,C_match_mumu,C_ir_mumu,delta_C_match_diag_mumu,delta_C_rge_diag_mumu,tree_rebuild_residual,match_rebuild_residual,ir_rebuild_residual,mu_match,mu_low,log_ratio,finite_fac_diag,finite_fac_offdiag,mu_mumu_tree_recon,mu_mumu_ir_recon,mu_mumu_ir_native,abs_delta_mu_mumu_ir_recon_vs_native,chi2_uv_rge
4.0,0.2,0.049995184152834875,0.35553548601005625,0.12845290190625552,1.0000000000000001e-60,0.0041510630369783405,1.0000000000000001e-60,1.1412036525285907e-31,1.2885748774484689e-31,1.0342645694866756e-31,4.999518415283488e-62,0.0014758502143104744,1.2845290190625553e-61,0.0014758502143104744,0.001477096604869509,0.0014817281747631405,1.246390559034652e-06,4.631569893631367e-06,0.0,0.0,0.0,1.280917082806759,1.0,0.24757629233153006,1.0008445237510888,1.0,1146.8677377240476,2.408280173158848,2.408280173158848,0.0,6.3539306724077305
4.8,0.2,0.07701036367732576,0.3769000766018832,0.09569135686240444,1.0000000000000001e-60,0.004161103583490356,1.0000000000000001e-60,1.0079858792610566e-31,1.2901323317381603e-31,7.971721936714691e-32,7.7010363677325776e-62,0.0015683202593658858,9.569135686240445e-62,0.0015683202593658858,0.0015695554410032411,0.001575671928694148,1.2351816373553683e-06,6.1164876909067765e-06,0.0,0.0,0.0,1.3602809677586774,1.0,0.30769127235057525,1.0007875825297665,1.0,1295.085007464517,13.73914770080708,13.73914770080708,0.0,951.591037389579
5.6,0.2,0.10060441067224961,0.3791667999611166,0.06704947289713248,1.0000000000000001e-60,0.00343434400378527,1.0000000000000001e-60,7.904352146000565e-32,1.1720655278243226e-31,5.959444798111691e-32,1.0060441067224962e-61,0.0013021892258809097,6.704947289713248e-62,0.0013021892258809097,0.0013037809848178389,0.0013096934444436772,1.5917589369291493e-06,5.912459625838319e-06,0.0,0.0,0.0,1.4305484675437201,1.0,0.35805791447458585,1.0012223714536206,1.0,892.8468401558591,57.97189759503053,57.971897595030526,7.105427357601002e-15,20002.372484391373
6.4,0.2,0.1257516113210336,0.34686755800755326,0.05236204997297603,1.0000000000000001e-60,0.0019381367964826934,1.0000000000000001e-60,5.752501155700377e-32,8.804855016370669e-32,4.5605734319466625e-32,1.2575161132103362e-61,0.0006722767776805341,5.236204997297603e-62,0.0006722767776805341,0.0006732381793010733,0.0006765668789996822,9.614016205391866e-07,3.328699698608873e-06,0.0,0.0,0.0,1.4775528482269376,1.0,0.3903872383399466,1.0014300681690302,1.0,237.9715229784984,59.88502351170254,59.88502351170254,0.0,21378.11234477749
7.2,0.2,0.1554611778513543,0.3068207296420088,0.04629897694402536,1.0000000000000001e-60,0.0003942546672087957,1.0000000000000001e-60,4.4222443481515865e-32,3.9711694358654393e-32,3.895876290432982e-32,1.554611778513543e-61,0.00012096550465777006,4.629897694402537e-62,0.00012096550465777006,0.00012114119600848468,0.00012175522891321715,1.756913507146231e-07,6.140329047324644e-07,0.0,0.0,0.0,1.4921401916441892,1.0,0.40021145959540433,1.0014524086946248,1.0,7.704631176615447,3.5323071954447833,3.5323071954447847,1.3322676295501878e-15,28.41708734841002
8.0,0.2,0.1820472369122112,0.30804499395090496,0.04395337715187565,1.0000000000000001e-60,0.0002788905285962925,1.0000000000000001e-60,3.724670408224819e-32,3.3400031652457607e-32,3.50419033094253e-32,1.820472369122112e-61,8.591083119440962e-05,4.395337715187566e-62,8.591083119440962e-05,8.604368124670604e-05,8.646042560055512e-05,1.3285005229642056e-07,4.1674435384908364e-07,0.0,0.0,0.0,1.4658274448318904,1.0,0.38241989178356733,1.0015463713998505,1.0,3.886195211173796,2.3255725038351196,2.3255725038351187,8.881784197001252e-16,5.354277874097567
8.8,0.2,0.155329249657946,0.2682273453142331,0.042357383623688884,1.0000000000000001e-60,0.00021803260940042338,1.0000000000000001e-60,2.3881380588317396e-32,2.9531854625161854e-32,2.579827620959073e-32,1.5532924965794602e-61,5.848230801141067e-05,4.2357383623688885e-62,5.848230801141067e-05,5.855028639077429e-05,5.8874434217160965e-05,6.797837936362071e-08,3.241478263866761e-07,0.0,0.0,0.0,1.5482467554553723,1.0,0.43712316521321565,1.0011623751126641,1.0,1.8008509862034379,1.5837193720676335,1.5837193720676328,6.661338147750939e-16,0.2109550479557833
9.600000000000001,0.2,0.16152502998349624,0.2625585969697808,0.041326764841969545,1.0000000000000001e-60,0.00016598138027800193,1.0000000000000001e-60,1.6485998528050524e-32,2.5766752242221136e-32,1.956789256143102e-32,1.6152502998349625e-61,4.357983832889983e-05,4.132676484196955e-62,4.357983832889983e-05,4.363001228574427e-05,4.387147199575153e-05,5.0173956844440956e-08,2.4145971000726405e-07,0.0,0.0,0.0,1.5480056645464257,1.0,0.4369674344285572,1.001151311220243,1.0,1.0000000001205427,1.0000000014353765,1.000000001435377,4.440892098500626e-16,0.9999999928231149
10.4,0.2,0.17639310314567963,0.2674407994958114,0.04063826049004364,1.0000000000000001e-60,0.00011205461341960352,1.0000000000000001e-60,1.297333462625057e-32,2.117117034267152e-32,1.4411276959137232e-32,1.7639310314567967e-61,2.996797540013284e-05,4.063826049004365e-62,2.996797540013284e-05,3.0005487095418408e-05,3.0165346930292264e-05,3.7511695285565965e-08,1.598598348738565e-07,0.0,0.0,0.0,1.5229622419775668,1.0,0.42065728173279693,1.0012517260437086,1.0,0.47287197658864255,0.49515241301730306,0.49515241301730306,0.0,5.117182222927556
11.2,0.2,0.19039181628226284,0.27312194620045815,0.040136040046769475,1.0000000000000001e-60,6.0315134839430895e-05,1.0000000000000001e-60,9.786270620734407e-33,1.553256383723317e-32,8.90454950613309e-33,1.9039181628226286e-61,1.6473387012688423e-05,4.013604004676948e-62,1.6473387012688423e-05,1.6495620077864293e-05,1.6580248719198615e-05,2.223306517586983e-08,8.462864133432224e-08,0.0,0.0,0.0,1.499419168235305,1.0,0.40507781194222237,1.0013496353335682,1.0,0.14288761047149318,0.15204995779700906,0.15204995779700906,0.0,9.73362067396529
