D,eta,coeff_1,coeff_2,coeff_3,basis_1_mumu,basis_2_mumu,basis_3_mumu,basis_1_offdiag_frob,basis_2_offdiag_frob,basis_3_offdiag_frob,tree_term_1_mumu,tree_term_2_mumu,tree_term_3_mumu,C_tree_mumu,C_match_mumu,C_ir_mumu,delta_C_match_diag_mumu,delta_C_rge_diag_mumu,tree_rebuild_residual,match_rebuild_residual,ir_rebuild_residual,mu_match,mu_low,log_ratio,finite_fac_diag,finite_fac_offdiag,shell_spread,coeff_cv,offdiag_mix,gap_cv,gap_asym,g_col_norm_cv,c_tree_diag_cv,pkin_entropy,action_norm_diag,action_norm_offdiag,coeff_l1,coeff_l2,coeff_align,action_abs_diag,action_abs_offdiag,hk_omega_mid,hk_R_mid,hk_X_mid,hk_a1_well,hk_a2_well,hk_a2_barrier,hk_diag_density,hk_barrier_density,hk_abs_diag,hk_abs_offdiag,hk_barrier_ratio,hk_a1_flat,hk_a2_flat,hk_a1_well_geom,hk_a2_well_geom,hk_a2_barrier_geom,hk_diag_density_geom,hk_barrier_density_geom,hk_abs_diag_geom,hk_abs_offdiag_geom,hk_barrier_ratio_geom,hk_R_well_abs,hk_R_barrier_abs,hk_X_well_abs,hk_X_barrier_abs,hk_gradX_barrier,hk_curv_contrast_log,hk_curv_access,hk_barrier_stiffness_log,hk_loop_prefactor_diag,hk_loop_prefactor_offdiag,mu_mumu_tree_recon,mu_mumu_ir_recon,mu_mumu_ir_native,abs_delta_mu_mumu_ir_recon_vs_native,chi2_uv_rge
4.0,0.2,0.049995184152834875,0.35553548601005625,0.12845290190625552,1.0000000000000001e-60,0.0041510630369783405,1.0000000000000001e-60,1.1412036525285907e-31,1.2885748774484689e-31,1.0342645694866756e-31,4.999518415283488e-62,0.0014758502143104744,1.2845290190625553e-61,0.0014758502143104744,0.0014762244439048922,0.0014808532790589995,3.7422959441773054e-07,4.628835154107339e-06,0.0,0.0,0.0,1.280917082806759,1.0,0.24757629233153006,1.0002535688180203,1.0,0.07718149434815945,0.7278992382235014,2.877780199832257e-29,0.052928468881864164,0.11177290657100736,0.09029178776792637,0.8794894425499511,0.758788855870295,1.2689095420204013,1.0767321020559757,0.5339835720691466,0.3813202699293874,0.7141048711513722,0.5418548181523541,0.025796226649847147,1.0399282813788122,0.0003971717229458095,1.0000556040412125,2.1966240095107397,11.939227316409962,0.5001836766919643,11.939227316409962,0.5001836766919643,0.9227156324294754,0.3334149574236889,0.041894141340661384,1.0,0.5,1.1966240095107399,11.439227316409962,0.0001836766919642534,11.439227316409962,0.0001836766919642534,0.9196091546071524,0.00018364296103266838,1.605673940063792e-05,3.9020348136219765,0.0005873525588659454,0.5462848739070769,8.222935824121802e-05,0.0002535704397484617,3.8223922746698986,0.4553745263706248,2.405807972768336,0.4366871128119951,4.7145169454714e-06,1146.8677377240476,2.4082823053400206,2.4082823053400206,0.0,6.353957545386166
4.8,0.2,0.07701036367732576,0.3769000766018832,0.09569135686240444,1.0000000000000001e-60,0.004161103583490356,1.0000000000000001e-60,1.0079858792610566e-31,1.2901323317381603e-31,7.971721936714691e-32,7.7010363677325776e-62,0.0015683202593658858,9.569135686240445e-62,0.0015683202593658858,0.0015687715787957581,0.0015748850118105328,4.5131942987236377e-07,6.113433014774726e-06,0.0,0.0,0.0,1.3602809677586774,1.0,0.30769127235057525,1.0002877724923702,1.0,0.07111786048012514,0.7487878177500273,2.993923942695591e-29,0.3330127461264275,0.9985580509745398,0.1957340473559828,1.0296902220130237,0.8335514729768704,1.4728624404054653,1.4163259993902102,0.5496017971416134,0.3964102668125378,0.7212681415421147,0.6012141217937196,0.10017820878952571,1.0333205335754574,0.00016518363110749093,1.000023125708355,2.1006236190363605,8.712081613251453,0.5000639755523397,8.712081613251453,0.5000639755523397,0.8970354616217835,0.3333617656995001,0.05739890852166959,1.0,0.5,1.10062361903636,8.212081613251454,6.397555233973386e-05,8.212081613251454,6.397555233973386e-05,0.8914469017988819,6.397145973026364e-05,7.790418477636594e-06,3.588990062075087,0.00020859695254771168,0.5024586086905123,2.9203573356669195e-05,2.5792971459201976e-07,4.235664296367017,0.43703287156825393,0.09965637607141929,0.4126309918075527,7.084411682736998e-06,1295.085007464517,13.73923402881128,13.73923402881128,0.0,951.604352611089
5.6,0.2,0.10060441067224961,0.3791667999611166,0.06704947289713248,1.0000000000000001e-60,0.00343434400378527,1.0000000000000001e-60,7.904352146000565e-32,1.1720655278243226e-31,5.959444798111691e-32,1.0060441067224962e-61,0.0013021892258809097,6.704947289713248e-62,0.0013021892258809097,0.0013027544276177202,0.0013086622319540045,5.652017368105305e-07,5.9078043362843e-06,0.0,0.0,0.0,1.4305484675437201,1.0,0.35805791447458585,1.0004340396353903,1.0,0.1092096338293002,0.7675103934186478,3.36805073534966e-29,0.04896323098045846,0.10296811348511037,0.28060102967778355,1.1143805860015705,0.8789935460298314,1.3732270194100678,1.0711593535980681,0.5468206835304987,0.39797530256945257,0.7277985536318061,0.6397302314522036,0.02839906131900997,1.0285452641561494,7.660504636946285e-05,1.0000107247064918,2.2063608369255485,12.101930923526595,0.5000279354719778,12.101930923526595,0.5000279354719778,0.9236753722915497,0.33334574886743423,0.04131802921630508,1.0,0.5,1.206360836925548,11.601930923526593,2.7935471977609552e-05,11.601930923526593,2.7935471977609552e-05,0.9206470813029853,2.793469160881491e-05,2.4078295381815732e-06,3.9337853378007,9.109242879519339e-05,0.5507299472920979,1.2752940031335227e-05,6.694228054582783e-10,4.63532837546055,0.42125045802038286,0.00029062936435809007,0.40419131404542613,2.4071299555326695e-06,892.8468401558591,57.9720871475034,57.97208714750338,2.1316282072803006e-14,20002.50652640448
6.4,0.2,0.1257516113210336,0.34686755800755326,0.05236204997297603,1.0000000000000001e-60,0.0019381367964826934,1.0000000000000001e-60,5.752501155700377e-32,8.804855016370669e-32,4.5605734319466625e-32,1.2575161132103362e-61,0.0006722767776805341,5.236204997297603e-62,0.0006722767776805341,0.0006726295516033094,0.0006759552420566075,3.5277392277527093e-07,3.3256904532981456e-06,0.0,0.0,0.0,1.4775528482269376,1.0,0.3903872383399466,1.0005247450670427,1.0,0.1316552460415761,0.715292935971534,4.490444037185556e-29,0.23684225745303278,0.6206901777936342,0.28047183716500834,1.0740913062068647,0.9010333708810129,1.4570619145694848,1.309910589913548,0.5249812193015628,0.3726558128157027,0.7098459889888737,0.6395949242650113,0.09346826913250748,1.0249824673198273,3.9737823800067885e-05,1.000005563295332,2.209439552837929,12.152665839924776,0.5000138690251117,12.152665839924776,0.5000138690251117,0.9239697858844318,0.33333949728750206,0.04114437734167195,1.0,0.5,1.209439552837929,11.652665839924776,1.3869025111697671e-05,11.652665839924776,1.3869025111697671e-05,0.9209652722476431,1.386883276450779e-05,1.1902019076337988e-06,3.9438246288193346,4.5224740072564076e-05,0.5521354480347069,6.331463610151786e-06,6.577947116532334e-11,4.940541515352905,0.4102862686474258,2.8566721808008824e-05,0.39373915908072726,1.1901679084382537e-06,237.9715229784984,59.88248269587838,59.88248269587838,0.0,21376.25488921071
7.2,0.2,0.1554611778513543,0.3068207296420088,0.04629897694402536,1.0000000000000001e-60,0.0003942546672087957,1.0000000000000001e-60,4.4222443481515865e-32,3.9711694358654393e-32,3.895876290432982e-32,1.554611778513543e-61,0.00012096550465777006,4.629897694402537e-62,0.00012096550465777006,0.0001210249696744106,0.00012163841345838259,5.9465016640544276e-08,6.13443783971989e-07,0.0,0.0,0.0,1.4921401916441892,1.0,0.40021145959540433,1.0004915865627046,1.0,0.14069871838435052,0.6301156865399458,8.300515088233312e-29,0.5397550802947837,2.3455123877977533,0.05673892634684577,0.5919366112864753,0.9103279160506171,1.432046424555722,1.6204236024415644,0.5085808844373885,0.34706012911748946,0.6824089141718738,0.6212158847324463,0.10022513471094248,1.02221845280947,2.237315547532781e-05,1.0000031322417666,2.109334315750343,8.824249410586136,0.5000075435908989,8.824249410586136,0.5000075435908989,0.898211053261489,0.3333366860235386,0.05666289792206664,1.0,0.5,1.1093343157503428,8.324249410586134,7.5435908988445985e-06,8.324249410586134,7.5435908988445985e-06,0.8927527615397475,7.54353399351022e-06,9.062187503958309e-07,3.617394507881553,2.4598568383405263e-05,0.5064352311034175,3.443799573673375e-06,1.0770583261022989e-11,5.167486042626169,0.40266688248483545,4.677579687065356e-06,0.38046219877998355,9.062145115052397e-07,7.704631176615447,3.5318659421514735,3.531865942151476,2.6645352591003757e-15,28.40532747065876
8.0,0.2,0.1820472369122112,0.30804499395090496,0.04395337715187565,1.0000000000000001e-60,0.0002788905285962925,1.0000000000000001e-60,3.724670408224819e-32,3.3400031652457607e-32,3.50419033094253e-32,1.820472369122112e-61,8.591083119440962e-05,4.395337715187566e-62,8.591083119440962e-05,8.595560710566037e-05,8.637192488081746e-05,4.477591125075177e-08,4.1631777515709024e-07,0.0,0.0,0.0,1.4658274448318904,1.0,0.38241989178356733,1.0005211905254348,1.0,0.1520636193182569,0.6058619719411955,9.732597934525726e-29,0.5891268740470006,2.8676826827286432,0.04473497088292337,0.5580450552791809,0.9133806537148066,1.4452584435640263,1.665287061215118,0.5340456080149918,0.3605063302199267,0.6750478326371827,0.6165756306629133,0.09391703086917513,1.0199910205174039,1.3227190912142285e-05,1.0000018518067277,2.2137482258156496,12.22510261724053,0.5000043966685783,12.22510261724053,0.5000043966685783,0.9243862199831722,0.33333528740252943,0.040899811831717786,1.0,0.5,1.2137482258156496,11.725102617240529,4.396668578344474e-06,11.725102617240529,4.396668578344474e-06,0.9214151720360073,4.3966492477348765e-06,3.749791129230405e-07,3.9578746493988577,1.4336930217086677e-05,0.55410245091584,2.0071702304065375e-06,2.2373623786036913e-12,5.441005864084353,0.39402443296809153,9.71673048094801e-07,0.37822552315694763,3.7497874856629695e-07,3.886195211173796,2.325025658191693,2.325025658191693,0.0,5.347952926956092
8.8,0.2,0.155329249657946,0.2682273453142331,0.042357383623688884,1.0000000000000001e-60,0.00021803260940042338,1.0000000000000001e-60,2.3881380588317396e-32,2.9531854625161854e-32,2.579827620959073e-32,1.5532924965794602e-61,5.848230801141067e-05,4.2357383623688885e-62,5.848230801141067e-05,5.8502222283661994e-05,5.8826104016117993e-05,1.991427225132538e-08,3.2388173245599997e-07,0.0,0.0,0.0,1.5482467554553723,1.0,0.43712316521321565,1.0003405178921365,1.0,0.11517223325097901,0.5937428255184164,1.2483365521746187e-28,0.1526414316992487,0.36027589124483117,0.08885835383790645,0.738612427686607,0.9135092970649155,1.2831884112307528,1.2087482232265034,0.46591397859586803,0.3128373899025909,0.6714488173233043,0.6133747371280805,0.06882897700825975,1.0181750711259014,8.259727716180359e-06,1.0000011563618803,2.2153271804510855,12.251230609730406,0.5000027059548982,12.251230609730406,0.5000027059548982,0.9245353107608211,0.3333345359777852,0.040812447490603636,1.0,0.5,1.2153271804510855,11.751230609730404,2.705954898062309e-06,11.751230609730404,2.705954898062309e-06,0.92157619679179,2.705947575890212e-06,2.3026991707759439e-07,3.9630234145144088,8.82375377797098e-06,0.5548232780320173,1.2353255289095678e-06,5.531180724703706e-13,5.652373257409156,0.3877141894585874,2.4021606027423186e-07,0.3722008151608848,2.3026986176307537e-07,1.8008509862034379,1.5837018080081906,1.5837018080081897,8.881784197001252e-16,0.21091471415923643
9.600000000000001,0.2,0.16152502998349624,0.2625585969697808,0.041326764841969545,1.0000000000000001e-60,0.00016598138027800193,1.0000000000000001e-60,1.6485998528050524e-32,2.5766752242221136e-32,1.956789256143102e-32,1.6152502998349625e-61,4.357983832889983e-05,4.132676484196955e-62,4.357983832889983e-05,4.35944897184947e-05,4.38357528374781e-05,1.465138959487526e-08,2.4126311898339505e-07,0.0,0.0,0.0,1.5480056645464257,1.0,0.4369674344285572,1.0003361965109714,1.0,0.11485685465158924,0.5829075341898452,1.520540354152665e-28,0.1066533286499557,0.23877254389671365,0.18728807642891,0.8851615251699385,0.9126874950814605,1.32143906472469,1.1497013156171452,0.4654103917952466,0.31102291498571705,0.6682766875616928,0.6099277759920172,0.05251232590366241,1.0166650798672585,5.388569962363167e-06,1.0000007543997946,2.113724665240571,8.881031909501738,0.5000017405965005,8.881031909501738,0.5000017405965005,0.8987959952807777,0.33333410693088034,0.05629995992487686,1.0,0.5,1.113724665240571,8.38103190950174,1.740596500556963e-06,8.38103190950174,1.740596500556963e-06,0.8934019189309939,1.7405934708860589e-06,2.0768283898115396e-07,3.631710864914905,5.675853141313554e-06,0.5084395210880868,7.946194397895338e-07,1.5661252291734766e-13,5.80608011542953,0.3833111668199893,6.801594918813654e-08,0.3623054875621284,2.076828248554095e-07,1.0000000001205427,1.0000000014337591,1.0000000014337591,0.0,0.999999992831204
10.4,0.2,0.17639310314567963,0.2674407994958114,0.04063826049004364,1.0000000000000001e-60,0.00011205461341960352,1.0000000000000001e-60,1.297333462625057e-32,2.117117034267152e-32,1.4411276959137232e-32,1.7639310314567967e-61,2.996797540013284e-05,4.063826049004365e-62,2.996797540013284e-05,2.997937348293089e-05,3.0139094192658506e-05,1.1398082798049072e-08,1.5972070972761484e-07,0.0,0.0,0.0,1.5229622419775668,1.0,0.42065728173279693,1.0003803421033908,1.0,0.12533762689732517,0.577057574905652,1.8818072702544209e-28,0.19108966093919896,0.472461907610346,0.220824975839357,0.9172112440472516,0.9115432970884193,1.3800538854412516,1.2559774722814012,0.4844721631315347,0.3229405150921417,0.6665821891699958,0.6076185264964343,0.07885407263065519,1.0153805273192358,3.613952576791553e-06,1.0000005059533608,2.217750923707844,12.292100047434756,0.5000011613836357,12.292100047434756,0.5000011613836357,0.9247673432767315,0.3333338495034384,0.0406766264067287,1.0,0.5,1.217750923707844,11.792100047434758,1.1613836357476172e-06,11.792100047434758,1.1613836357476172e-06,0.9218267527386534,1.1613822869372342e-06,9.848827868453028e-08,3.9709269251342745,3.7871183290639358e-06,0.5559297695187984,5.30196566061681e-07,4.9491738844059265e-14,6.020583020118831,0.3774100061779538,2.149398858491227e-08,0.36235817545643023,9.848827656762438e-08,0.47287197658864255,0.4950978457911567,0.4950978457911567,0.0,5.1177994293237825
11.2,0.2,0.19039181628226284,0.27312194620045815,0.040136040046769475,1.0000000000000001e-60,6.0315134839430895e-05,1.0000000000000001e-60,9.786270620734407e-33,1.553256383723317e-32,8.90454950613309e-33,1.9039181628226286e-61,1.6473387012688423e-05,4.013604004676948e-62,1.6473387012688423e-05,1.64802701933438e-05,1.6564820084084604e-05,6.883180655378469e-09,8.454989074080244e-08,0.0,0.0,0.0,1.499419168235305,1.0,0.40507781194222237,1.0004178363957623,1.0,0.1353663151635882,0.574437990656976,2.5787377245512494e-28,0.26361689275729705,0.7159775670150244,0.25761164719784035,0.9184677656480011,0.9102765574924555,1.4258282995901088,1.3404293458524341,0.5036498025294905,0.33534391736577057,0.665827556531475,0.6060872160430844,0.09311009170774293,1.0142824410064095,2.503424455001628e-06,1.0000003504794237,2.218709133881447,12.30799250134595,0.5000007992184813,12.30799250134595,0.5000007992184813,0.9248571863939011,0.333333688541358,0.040624074085502025,1.0,0.5,1.2187091338814469,11.807992501345952,7.992184813274223e-07,11.807992501345952,7.992184813274223e-07,0.9219237519154612,7.992178425777519e-07,6.76845349653061e-08,3.974051523526457,2.6061461721852246e-06,0.556367213293704,3.6486046412016194e-07,1.7133770280926153e-14,6.183234722887541,0.37311264781838893,7.4411017798086714e-09,0.3582510509304326,6.768453446165858e-08,0.14288761047149318,0.15201464140903093,0.15201464140903093,0.0,9.734171595358934
