D,eta,C_uv_ee,C_uv_mumu,C_uv_tautau,C_match_ee,C_match_mumu,C_match_tautau,C_ir_ee,C_ir_mumu,C_ir_tautau,delta_C_match_mumu,abs_delta_C_match_mumu,delta_C_rge_mumu,abs_delta_C_rge_mumu,delta_C_mumu,abs_delta_C_mumu,rel_delta_C_mumu,mu_match,mu_low,log_ratio,finite_fac_diag,finite_fac_offdiag,kappa_diag,kappa_offdiag,finite_match_mode,kappa_diag_eff,kappa_offdiag_eff,shell_spread,coeff_cv,offdiag_mix,gap_cv,gap_asym,g_col_norm_cv,c_tree_diag_cv,pkin_entropy,action_norm_diag,action_norm_offdiag,coeff_l1,coeff_l2,coeff_align,action_abs_diag,action_abs_offdiag,hk_omega_mid,hk_R_mid,hk_X_mid,hk_a1_well,hk_a2_well,hk_a2_barrier,hk_diag_density,hk_barrier_density,hk_abs_diag,hk_abs_offdiag,hk_barrier_ratio,hk_a1_flat,hk_a2_flat,hk_a1_well_geom,hk_a2_well_geom,hk_a2_barrier_geom,hk_diag_density_geom,hk_barrier_density_geom,hk_abs_diag_geom,hk_abs_offdiag_geom,hk_barrier_ratio_geom,hk_R_well_abs,hk_R_barrier_abs,hk_X_well_abs,hk_X_barrier_abs,hk_gradX_barrier,hk_curv_contrast_log,hk_curv_access,hk_barrier_stiffness_log,mu_mumu_uv_tree,mu_mumu_uv_rge,delta_mu_mumu,abs_delta_mu_mumu,chi2_uv_tree,chi2_uv_rge
4.0,0.2,0.00016277754232253458,0.0014758502143104744,0.0003435162004482209,0.00016285697619784905,0.0014765704150226469,0.0003436838330506399,0.00016336762896452603,0.00148120033500046,0.00034476148476877234,7.202007121724207e-07,7.202007121724207e-07,4.6299199778132485e-06,4.6299199778132485e-06,5.350120689985669e-06,5.350120689985669e-06,0.0036251108941196147,1.280917082806759,1.0,0.24757629233153006,1.0004879903835695,1.0,0.0,0.0,action_loop_contrast,0.07706035259786673,1.1274977024762982e-35,0.07718149434815945,0.7278992382235014,2.8777801998322563e-29,0.052928468881864164,0.11177290657100736,0.09029178776792637,0.8794894425499511,0.758788855870295,1.2689095420204013,1.0767321020559757,0.5339835720691466,0.3813202699293874,0.7141048711513722,0.5418548181523541,0.025796226649847147,1.0399282813788122,0.0003971717229458095,1.0000556040412125,2.1966240095107397,11.939227316409962,0.5001836766919643,11.939227316409962,0.5001836766919643,0.9227156324294754,0.3334149574236889,0.041894141340661384,1.0,0.5,1.1966240095107399,11.439227316409962,0.0001836766919642534,11.439227316409962,0.0001836766919642534,0.9196091546071524,0.00018364296103266838,1.605673940063792e-05,3.9020348136219765,0.0005873525588659454,0.5462848739070769,8.222935824121802e-05,0.0002535704397484617,3.8223922746698986,0.4553745263706248,2.405807972768336,2.4083057749134755,2.4082821861247337,-2.3588788741868427e-05,2.3588788741868427e-05,6.3542533482741534,6.353956042852952
4.8,0.2,0.00019561316472304778,0.0015683202593658858,0.00015202569746888047,0.00019571233246957331,0.0015691153325715764,0.0001521027681806258,0.0001964750147178306,0.0015752301051795148,0.00015269550589795992,7.950732056906905e-07,7.950732056906905e-07,6.114772607938336e-06,6.114772607938336e-06,6.9098458136290265e-06,6.9098458136290265e-06,0.004405889532041666,1.3602809677586774,1.0,0.30769127235057525,1.0005069584486603,1.0,0.0,0.0,action_loop_contrast,0.08005566937706422,2.1364191603746763e-35,0.07111786048012514,0.7487878177500273,2.993923942695591e-29,0.3330127461264275,0.9985580509745398,0.1957340473559828,1.0296902220130237,0.8335514729768704,1.4728624404054653,1.4163259993902102,0.5496017971416134,0.3964102668125378,0.7212681415421147,0.6012141217937196,0.10017820878952571,1.0333205335754574,0.00016518363110749093,1.000023125708355,2.1006236190363605,8.712081613251453,0.5000639755523397,8.712081613251453,0.5000639755523397,0.8970354616217835,0.3333617656995001,0.05739890852166959,1.0,0.5,1.10062361903636,8.212081613251454,6.397555233973386e-05,8.212081613251454,6.397555233973386e-05,0.8914469017988819,6.397145973026364e-05,7.790418477636594e-06,3.588990062075087,0.00020859695254771168,0.5024586086905123,2.9203573356669195e-05,2.5792971459201976e-07,4.235664296367017,0.43703287156825393,0.09965637607141929,13.739693054108729,13.739226423441325,-0.00046663066740393333,0.00046663066740393333,951.67515418512,951.6031795559537
5.6,0.2,0.00015714102819852153,0.0013021892258809095,5.9531521082067194e-05,0.00015725214392132002,0.0013031100146698906,5.9573616313784594e-05,0.00015796525982256262,0.0013090194315424168,5.984377411277232e-05,9.207887889811379e-07,9.207887889811379e-07,5.909416872526205e-06,5.909416872526205e-06,6.830205661507343e-06,6.830205661507343e-06,0.005245171381975474,1.4305484675437201,1.0,0.35805791447458585,1.0007071082840193,1.0,0.0,0.0,action_loop_contrast,0.11166206451204616,9.484036089176972e-36,0.1092096338293002,0.7675103934186478,3.368050735349661e-29,0.04896323098045846,0.10296811348511037,0.28060102967778355,1.1143805860015703,0.8789935460298314,1.3732270194100678,1.0711593535980681,0.5468206835304987,0.39797530256945257,0.7277985536318061,0.6397302314522036,0.02839906131900997,1.0285452641561494,7.660504636946285e-05,1.0000107247064918,2.2063608369255485,12.101930923526595,0.5000279354719778,12.101930923526595,0.5000279354719778,0.9236753722915497,0.33334574886743423,0.04131802921630508,1.0,0.5,1.206360836925548,11.601930923526593,2.7935471977609552e-05,11.601930923526593,2.7935471977609552e-05,0.9206470813029853,2.793469160881491e-05,2.4078295381815732e-06,3.9337853378007,9.109242879519339e-05,0.5507299472920979,1.2752940031335227e-05,6.694228054582783e-10,4.63532837546055,0.42125045802038286,0.00029062936435809007,57.97841649278864,57.972271241365675,-0.006145251422964293,0.006145251422964293,20006.98258019661,20002.63670879156
6.4,0.2,0.00010403201165275425,0.0006722767776805341,2.7226734432871954e-05,0.00010412094993258176,0.0006728515155830795,2.7250010911787527e-05,0.00010463575640867803,0.0006761783034955759,2.7384743471374872e-05,5.747379025454209e-07,5.747379025454209e-07,3.326787912496425e-06,3.326787912496425e-06,3.901525815041846e-06,3.901525815041846e-06,0.00580345171002746,1.4775528482269376,1.0,0.3903872383399466,1.0008549126217454,1.0,0.0,0.0,action_loop_contrast,0.13500238998601355,9.2167402106661e-36,0.1316552460415761,0.715292935971534,4.490444037185556e-29,0.23684225745303278,0.6206901777936342,0.28047183716500834,1.0740913062068647,0.9010333708810129,1.4570619145694848,1.309910589913548,0.5249812193015628,0.3726558128157027,0.7098459889888737,0.6395949242650113,0.09346826913250748,1.0249824673198273,3.9737823800067885e-05,1.000005563295332,2.209439552837929,12.152665839924776,0.5000138690251117,12.152665839924776,0.5000138690251117,0.9239697858844318,0.33333949728750206,0.04114437734167195,1.0,0.5,1.209439552837929,11.652665839924776,1.3869025111697671e-05,11.652665839924776,1.3869025111697671e-05,0.9209652722476431,1.386883276450779e-05,1.1902019076337988e-06,3.9438246288193346,4.5224740072564076e-05,0.5521354480347069,6.331463610151786e-06,6.577947116532334e-11,4.940541515352905,0.4102862686474258,2.8566721808008824e-05,59.89373701777076,59.884830123541335,-0.008906894229426143,0.008906894229426143,21384.482939400787,21377.9709661218
7.2,0.2,7.600592234179314e-05,0.00012096550465777007,1.756797557663314e-05,7.606957833274518e-05,0.000121066814908771,1.758268899448133e-05,7.645515504557669e-05,0.00012168047079524528,1.767181102688666e-05,1.0131025100093365e-07,1.0131025100093365e-07,6.136558864742715e-07,6.136558864742715e-07,7.149661374752052e-07,7.149661374752052e-07,0.005910496050076043,1.4921401916441892,1.0,0.40021145959540433,1.0008375135646113,1.0,0.0,0.0,action_loop_contrast,0.1322548410121528,1.7149630114155443e-35,0.14069871838435052,0.6301156865399458,8.300515088233312e-29,0.5397550802947837,2.3455123877977533,0.05673892634684577,0.5919366112864753,0.9103279160506171,1.432046424555722,1.6204236024415644,0.5085808844373885,0.34706012911748946,0.6824089141718738,0.6212158847324463,0.10022513471094248,1.02221845280947,2.237315547532781e-05,1.0000031322417666,2.109334315750343,8.824249410586136,0.5000075435908989,8.824249410586136,0.5000075435908989,0.898211053261489,0.3333366860235386,0.05666289792206664,1.0,0.5,1.1093343157503428,8.324249410586134,7.5435908988445985e-06,8.324249410586134,7.5435908988445985e-06,0.8927527615397475,7.54353399351022e-06,9.062187503958309e-07,3.617394507881553,2.4598568383405263e-05,0.5064352311034175,3.443799573673375e-06,1.0770583261022989e-11,5.167486042626169,0.40266688248483545,4.677579687065356e-06,3.5327999605622566,3.532165947281237,-0.0006340132810196408,0.0006340132810196408,28.43022294858977,28.413322667160596
8.0,0.2,6.313930504949174e-05,8.591083119440962e-05,1.3492972406410483e-05,6.319490600746793e-05,8.598648493356933e-05,1.3504854421759793e-05,6.350098450026423e-05,8.64029522625374e-05,1.3570263894579597e-05,7.56537391597182e-08,7.56537391597182e-08,4.1646732896806233e-07,4.1646732896806233e-07,4.921210681277805e-07,4.921210681277805e-07,0.005728277346242272,1.4658274448318904,1.0,0.38241989178356733,1.0008806076964676,1.0,0.0,0.0,action_loop_contrast,0.13905999354705076,9.241657485552243e-36,0.1520636193182569,0.6058619719411955,9.73259793452573e-29,0.5891268740470006,2.8676826827286432,0.04473497088292337,0.5580450552791809,0.9133806537148066,1.4452584435640263,1.665287061215118,0.5340456080149918,0.3605063302199267,0.6750478326371827,0.6165756306629133,0.09391703086917513,1.0199910205174039,1.3227190912142285e-05,1.0000018518067277,2.2137482258156496,12.22510261724053,0.5000043966685783,12.22510261724053,0.5000043966685783,0.9243862199831722,0.33333528740252943,0.040899811831717786,1.0,0.5,1.2137482258156496,11.725102617240529,4.396668578344474e-06,11.725102617240529,4.396668578344474e-06,0.9214151720360073,4.3966492477348765e-06,3.749791129230405e-07,3.9578746493988577,1.4336930217086677e-05,0.55410245091584,2.0071702304065375e-06,2.2373623786036913e-12,5.441005864084353,0.39402443296809153,9.71673048094801e-07,2.326336307979538,2.325318653977905,-0.001017654001632895,0.001017654001632895,5.363118471757258,5.351341321246761
8.8,0.2,2.214685757277516e-05,5.848230801141066e-05,7.047750343537498e-06,2.2159664959980876e-05,5.851612795904543e-05,7.051826012841023e-06,2.2282345952218798e-05,5.884008667651257e-05,7.090866540480177e-06,3.3819947634770766e-08,3.3819947634770766e-08,3.2395871746713936e-07,3.2395871746713936e-07,3.5777866510191013e-07,3.5777866510191013e-07,0.006117724783230218,1.5482467554553723,1.0,0.43712316521321565,1.0005782936546925,1.0,0.0,0.0,action_loop_contrast,0.09132047359160078,4.001772765186348e-36,0.11517223325097901,0.5937428255184164,1.2483365521746187e-28,0.1526414316992487,0.36027589124483117,0.08885835383790645,0.7386124276866068,0.9135092970649155,1.2831884112307528,1.2087482232265034,0.46591397859586803,0.3128373899025909,0.6714488173233043,0.6133747371280805,0.06882897700825975,1.0181750711259014,8.259727716180359e-06,1.0000011563618803,2.2153271804510855,12.251230609730406,0.5000027059548982,12.251230609730406,0.5000027059548982,0.9245353107608211,0.3333345359777852,0.040812447490603636,1.0,0.5,1.2153271804510855,11.751230609730404,2.705954898062309e-06,11.751230609730404,2.705954898062309e-06,0.92157619679179,2.705947575890212e-06,2.3026991707759439e-07,3.9630234145144088,8.82375377797098e-06,0.5548232780320173,1.2353255289095678e-06,5.531180724703706e-13,5.652373257409156,0.3877141894585874,2.4021606027423186e-07,1.5836854177066555,1.5836778327189571,-7.5849876983724585e-06,7.5849876983724585e-06,0.2108770792379284,0.21085966395208267
9.600000000000001,0.2,1.0975147167186832e-05,4.3579838328899834e-05,3.956029559913731e-06,1.0981547487398625e-05,4.3605252559418495e-05,3.958336577356419e-06,1.1042322195743245e-05,4.384657524273186e-05,3.980243030094044e-06,2.5414230518661096e-08,2.5414230518661096e-08,2.4132268331336485e-07,2.4132268331336485e-07,2.6673691383202595e-07,2.6673691383202595e-07,0.0061206494576447334,1.5480056645464257,1.0,0.4369674344285572,1.0005831648646069,1.0,0.0,0.0,action_loop_contrast,0.0920897042285579,4.170042489989506e-36,0.11485685465158924,0.5829075341898452,1.5205403541526647e-28,0.1066533286499557,0.23877254389671365,0.18728807642891,0.8851615251699383,0.9126874950814605,1.3214390647246899,1.1497013156171452,0.4654103917952466,0.31102291498571705,0.6682766875616928,0.6099277759920172,0.05251232590366241,1.0166650798672585,5.388569962363167e-06,1.0000007543997946,2.113724665240571,8.881031909501738,0.5000017405965005,8.881031909501738,0.5000017405965005,0.8987959952807777,0.33333410693088034,0.05629995992487686,1.0,0.5,1.113724665240571,8.38103190950174,1.740596500556963e-06,8.38103190950174,1.740596500556963e-06,0.8934019189309939,1.7405934708860589e-06,2.0768283898115396e-07,3.631710864914905,5.675853141313554e-06,0.5084395210880868,7.946194397895338e-07,1.5661252291734766e-13,5.80608011542953,0.3833111668199893,6.801594918813654e-08,1.0000000014340404,1.0000000014347592,7.187583861423263e-13,7.187583861423263e-13,0.9999999928297973,0.9999999928262036
10.4,0.2,7.422066641493796e-06,2.996797540013284e-05,2.1099883030150735e-06,7.426905507457235e-06,2.9987513222030882e-05,2.1113639239944966e-06,7.46647373323775e-06,3.0147277297738334e-05,2.1226126095157496e-06,1.95378218980407e-08,1.95378218980407e-08,1.5976407570745204e-07,1.5976407570745204e-07,1.7930189760549274e-07,1.7930189760549274e-07,0.0059831168175844785,1.5229622419775668,1.0,0.42065728173279693,1.0006519566850003,1.0,0.0,0.0,action_loop_contrast,0.10295287308158892,2.9175815057619297e-36,0.12533762689732517,0.577057574905652,1.8818072702544209e-28,0.19108966093919896,0.472461907610346,0.220824975839357,0.9172112440472516,0.9115432970884193,1.3800538854412516,1.2559774722814012,0.4844721631315347,0.3229405150921417,0.6665821891699958,0.6076185264964343,0.07885407263065519,1.0153805273192358,3.613952576791553e-06,1.0000005059533608,2.217750923707844,12.292100047434756,0.5000011613836357,12.292100047434756,0.5000011613836357,0.9247673432767315,0.3333338495034384,0.0406766264067287,1.0,0.5,1.217750923707844,11.792100047434758,1.1613836357476172e-06,11.792100047434758,1.1613836357476172e-06,0.9218267527386534,1.1613822869372342e-06,9.848827868453028e-08,3.9709269251342745,3.7871183290639358e-06,0.5559297695187984,5.30196566061681e-07,4.9491738844059265e-14,6.020583020118831,0.3774100061779538,2.149398858491227e-08,0.4952545984950411,0.4951217644699849,-0.00013283402505620545,0.00013283402505620545,5.116026509652305,5.1175288820994576
11.2,0.2,4.558508069825639e-06,1.6473387012688423e-05,7.956067069737132e-07,4.56178107256562e-06,1.648521488268523e-05,7.961779515326751e-07,4.585184699250373e-06,1.6569790141513972e-05,8.002626393455918e-07,1.1827869996805968e-08,1.1827869996805968e-08,8.457525882874279e-08,8.457525882874279e-08,9.640312882554876e-08,9.640312882554876e-08,0.005852052692703415,1.499419168235305,1.0,0.40507781194222237,1.0007179986719001,1.0,0.0,0.0,action_loop_contrast,0.11338180563458641,3.167022538259351e-36,0.1353663151635882,0.574437990656976,2.5787377245512494e-28,0.26361689275729705,0.7159775670150244,0.25761164719784035,0.9184677656480011,0.9102765574924555,1.4258282995901088,1.3404293458524341,0.5036498025294905,0.33534391736577057,0.665827556531475,0.6060872160430844,0.09311009170774293,1.0142824410064095,2.503424455001628e-06,1.0000003504794237,2.218709133881447,12.30799250134595,0.5000007992184813,12.30799250134595,0.5000007992184813,0.9248571863939011,0.333333688541358,0.040624074085502025,1.0,0.5,1.2187091338814469,11.807992501345952,7.992184813274223e-07,11.807992501345952,7.992184813274223e-07,0.9219237519154612,7.992178425777519e-07,6.76845349653061e-08,3.974051523526457,2.6061461721852246e-06,0.556367213293704,3.6486046412016194e-07,1.7133770280926153e-14,6.183234722887541,0.37311264781838893,7.4411017798086714e-09,0.15211173576309514,0.15203075313786682,-8.098262522832078e-05,8.098262522832078e-05,9.732657000126215,9.733920256960246
