kappa,delta,nu,mean_objective,max_objective,max_abs_det_ratio_residual,max_abs_schur_residual,max_abs_weight_residual,mean_abs_xi_residual,max_abs_xi_residual,"corr(xi_warp, xi_target)"
0.9,-0.2,0.05,0.00025715041066707846,0.0008538163812220982,0.00246149631420689,0.001539994048663118,0.000328349360794844,0.011781623622246077,0.02483837098566656,0.9774948250029039
0.9,-0.2,0.0,0.0002571646547878732,0.0008531698140702372,0.002466702437075252,0.001543251172465121,0.00033064814806293974,0.01208623581371374,0.024838371111139942,0.9828667987988121
0.9,-0.2,-0.05,0.00025717854910860407,0.0008525346966331139,0.0024719063337612646,0.0015465069034936718,0.00033294197859401464,0.012736580048650456,0.024838371236613338,0.9874382416543931
0.9,-0.2,-0.1,0.00025719209483291534,0.0008519107563777729,0.0024920813754096827,0.0015591290812684289,0.00033523086312636785,0.013694746395793534,0.02483837136208679,0.9911973189875669
0.9,-0.3,-0.05,0.00025715895498925305,0.0008563925050926218,0.0025837431461850358,0.001941151388670903,0.00036375201161020776,0.010210812862369535,0.02692510570115504,0.9698515529412403
0.9,-0.2,0.1,0.00025713581641008973,0.0008544746785720015,0.002615077309121361,0.0019646925653495906,0.0003260456060276695,0.01171958042166307,0.024838370860193165,0.9713398417048076
1.1,0.2,-0.1,0.0002575334809648738,0.0008677230000632859,0.0026969037333053336,0.0018977438607139518,0.00038929636975959525,0.011574034717703513,0.028767605219186046,0.9702179136026466
1.1,0.2,-0.05,0.00025752394689542324,0.0008684120460943077,0.0026969037517186045,0.0016872727793630915,0.00039315339176493325,0.011572924615008518,0.02905237581147445,0.9761832373602036
1.1,0.2,0.0,0.0002575141455299892,0.0008691127343168719,0.0026969037701323195,0.0016872727908832097,0.0003970187753034038,0.0117632074261852,0.029337758842717596,0.9815232828242937
1.1,0.2,0.05,0.00025750407651572744,0.0008698253411112494,0.0026969037885455904,0.0016872728024033279,0.0004008925386453921,0.012242492682285321,0.029623755630051055,0.9861877727278158
1.1,0.2,0.1,0.00025749374025097117,0.000870550150813037,0.0026969038069597495,0.0016872728139236681,0.00040477470010247263,0.01321144498758982,0.02991036749344307,0.9901282343749676
1.0,0.1,-0.05,0.0002573435766533397,0.0008568261689743542,0.002708739052963871,0.0020001516773384687,0.00026454979672829726,0.006747128595752338,0.022552834338744387,0.9924023232048456
0.9,-0.1,0.1,0.00025715847112549046,0.0008507283672217194,0.002845466399683083,0.001784960121555157,0.0003192333684634008,0.015164520785509896,0.025484302565992878,0.988690809708628
1.1,0.1,-0.1,0.00025754370833723354,0.0008721150855078908,0.0029103785639836843,0.001820829729471285,0.0003534052536559029,0.015198532379902879,0.027453430686434077,0.9886701265799434
0.9,-0.1,0.05,0.00025717238457009523,0.0008501222094571213,0.00291430212460142,0.0018281407487914514,0.0003193261519192081,0.016096107442406707,0.02568631945441585,0.9925509208636087
1.1,0.3,0.05,0.00025749827558731127,0.0008655614756840317,0.0029765962996592954,0.0018806348714068832,0.0004545976627696735,0.010015663073513913,0.033588252823093565,0.965688536220639
0.9,-0.1,0.0,0.00025718593706315,0.0008495266564291551,0.0029828468049979406,0.0018711388038963328,0.00031995201941636964,0.01703141365793574,0.025919155338873956,0.9955597248020885
1.1,0.1,-0.05,0.0002575340211600208,0.0008728614772127647,0.002989165882131495,0.0018751027588703728,0.0003534052560710821,0.016252468991699975,0.027525946119095257,0.9924023232048452
1.1,0.3,0.1,0.0002574882018896392,0.0008662306337977293,0.0030027514821755474,0.0018667487603136745,0.00045859626902977624,0.009742741446770647,0.033883390891728274,0.9719094053126646
1.0,0.2,0.1,0.000257319076724718,0.0008549360096335726,0.0030273865686010204,0.0021344214993894717,0.00027388695417907005,0.009391578171132257,0.02406680204815634,0.9901282343749673
0.9,-0.1,-0.05,0.0002571991319983915,0.0008489414581567466,0.0030511016714389605,0.0019301656300128034,0.0003205776174067809,0.017948610891214224,0.02651224931975113,0.9977164551067051
1.1,0.1,0.0,0.0002575240903580933,0.0008736207342548799,0.0030830680602411675,0.0019340075638161203,0.00035340525848626125,0.01741357027939442,0.027598492573235378,0.9953856985802605
1.1,0.3,0.0,0.0002575080658020676,0.0008649033658529268,0.0031094524852344207,0.0023361137962307765,0.00045060770858607047,0.010378533113481806,0.03329374812796203,0.958886118598519
0.9,-0.1,-0.1,0.00025721197332991593,0.0008483663716325877,0.003156359768773598,0.0021404299281262418,0.0003225984302418494,0.018848170392018554,0.027102835638302902,0.9990265974676914
1.1,0.1,0.05,0.00025751391920087363,0.0008743931668786562,0.0031773689522172077,0.0019931624818367855,0.0003534052609014404,0.018596832515219135,0.02778926964025566,0.9975804139731375
1.0,-0.1,0.05,0.00025730621269208346,0.000866378332448141,0.0031890451534217767,0.002395911310781429,0.0003173691096923781,0.007361483277241875,0.02701524664084004,0.9925509208636082
1.1,0.1,0.1,0.00025750351206454476,0.0008751790944149764,0.003272070251020054,0.002179447923675415,0.0003534052633166196,0.019802839291480762,0.02843233416271898,0.9989507337338255
1.0,0.1,-0.1,0.00025735469236206926,0.0008562155799577357,0.003273348300820267,0.0024503083153990524,0.0003240401333634013,0.007683641597788663,0.027628603441505556,0.9886701265799434
0.9,-0.3,0.0,0.0002571444868439444,0.0008570825146578142,0.003455346078109933,0.0025959816662761703,0.0003615247535464494,0.010534451804641224,0.029271152347730173,0.9631668067857374
1.0,-0.2,-0.1,0.00025734157744954403,0.0008686112401642708,0.0035558867724376775,0.002507034038931266,0.0003222090639332098,0.010450004716322151,0.02826821785678066,0.9911973189875666
1.0,0.2,0.05,0.00025733056897489975,0.00085434291384859,0.0035587855795493617,0.0025090778070731012,0.00032401435167073167,0.01030426518833213,0.028291262491275226,0.9861877727278151
0.9,0.0,0.1,0.0002571816435060046,0.0008472387631615049,0.0035658868157049106,0.00228886140508755,0.00036209234654804856,0.020235399864872678,0.030431141719313437,0.9982753511747691
1.1,0.3,-0.05,0.00025751757493174443,0.0008642560506839181,0.0036887137650833957,0.0027713094693933016,0.0004466263876047316,0.01076567231318359,0.03299987544709869,0.9515563510348488
0.9,0.0,0.05,0.0002571947802458342,0.0008466800455148313,0.003710353272758926,0.002381591129497096,0.0003689160373671063,0.021112602069035726,0.031192206953446433,0.999571616123085
1.1,0.0,-0.1,0.0002575586749473739,0.0008768206442499217,0.003836855560587882,0.002462790061324771,0.00039584258103431136,0.021788211561167684,0.033203719115748986,0.9983314600149515
0.9,0.0,0.0,0.00025720755655072913,0.0008461309261776071,0.0038706603071876344,0.0027287379733569317,0.00037923038841614076,0.021972982512813995,0.03239621174904961,0.9999999999999998
1.1,0.0,-0.05,0.0002575490489955227,0.0008776300230514122,0.004047116418590235,0.0025977517103412673,0.00040594644044833483,0.02302514637923096,0.03405037041680592,0.9995786555836925
1.0,0.2,0.0,0.0002573417368806503,0.0008537597207215033,0.004073900973343925,0.0028856256291374116,0.00037882172485315113,0.011199937125517319,0.03253705082215223,0.9815232828242936
1.0,-0.1,0.1,0.00025729340098129316,0.0008671351637437775,0.004088859516896637,0.0030719366749067945,0.00040701100001938606,0.008534121155320725,0.03463781257853596,0.9886908097086278
1.1,0.3,-0.1,0.00025752680586033495,0.0008636192835391673,0.004242179554347469,0.0031871251386084154,0.0004426536809936099,0.011209980151001624,0.035936627247956654,0.9437529174324916
1.1,0.0,0.0,0.000257539220432194,0.0008784536369963128,0.004278098234260508,0.003015973549499673,0.0004200138226901906,0.02428592804047865,0.03580633930158114,1.0
1.0,-0.2,-0.05,0.0002573294482345016,0.000869390511516166,0.0043121918959792005,0.0030621938436858898,0.000403643068116355,0.011652597269972363,0.034527956680602045,0.9874382416543928
0.9,-0.3,0.05,0.00025712969111025636,0.0008577851999469624,0.004367571981970908,0.0032813317494202465,0.0004347854480003521,0.011003060164228279,0.03699885973328454,0.9557734730020186
0.9,0.0,-0.05,0.0002572199778691498,0.0008455911819865439,0.004375936400756952,0.003085028707956017,0.0003957586467154828,0.022816976848029386,0.034787139069985595,0.9995786555836929
1.0,0.2,-0.05,0.0002573525851753177,0.000853186202865428,0.004573231727555527,0.0032766016448144697,0.00043319137712460876,0.012079026628469321,0.03694552514531882,0.976183237360204
0.9,0.1,0.1,0.00025720468403134245,0.0008439849284161013,0.004664992423754288,0.0032887262022143204,0.0004449742282597313,0.024974058452225795,0.03801890646850073,0.9989507337338251
1.0,0.3,0.1,0.0002573308901786783,0.0008514013526019141,0.004858237923649256,0.003425240628644577,0.0004393307478586239,0.014585720059827726,0.03862151322992033,0.9719094053126652
0.9,0.0,-0.1,0.0002572320499835389,0.0008450605959103312,0.004865776537775535,0.003430555635401511,0.0004400116700710166,0.02364500759400563,0.038681442918379605,0.9983314600149518
1.1,0.0,0.05,0.00025752919759071223,0.0008792918349859228,0.005056735653243827,0.003565104401281438,0.0004583667604045605,0.025571187715752355,0.04019925115436304,0.9995716161230848
1.0,0.2,-0.1,0.00025736311891796134,0.0008526221391082175,0.005057261529625379,0.003669915793545364,0.00048512565645653094,0.012941953450553064,0.04138036323281456,0.9702179136026475
1.0,-0.2,0.0,0.00025731707539113606,0.000870183896175177,0.005092405027768532,0.0037528928827801344,0.0004973484701382702,0.012879254163193247,0.04231597655085245,0.9828667987988121
0.9,0.1,0.05,0.00025721699265423653,0.0008434694281657305,0.005145945670978591,0.00362778860628854,0.00046531220728540656,0.025781385302450527,0.040908439087908144,0.9975804139731375
0.9,-0.3,0.1,0.0002571145718471532,0.0008585008762234918,0.0053223141807339225,0.003998624080776114,0.0005299581206505977,0.011567023690474963,0.045086733920430916,0.9477013314662172
1.0,0.3,0.05,0.00025734173229579563,0.0008508534287934275,0.0053335343037734795,0.003760342469567135,0.0004858352341504668,0.015426544788153007,0.042399974828881595,0.9656885362206395
1.1,-0.1,-0.1,0.0002575798993863555,0.0008818674507436134,0.005524701795456721,0.0038948040862019084,0.0005228591308527042,0.02895385725796319,0.044562136466824304,0.9990265974676907
0.9,0.1,0.0,0.0002572289493091169,0.0008429626247595002,0.005612171889435746,0.003956669861040041,0.0005074131126068249,0.026573486468581115,0.04461477181631332,0.9953856985802602
1.0,0.3,0.0,0.00025735225501495146,0.0008503144835897627,0.005794266215148891,0.004085175811728625,0.0005329510445040153,0.016251953151451837,0.04606265333295449,0.9588861185985187
1.1,0.0,0.1,0.00025751899038531026,0.0008801449763276906,0.005860361211960985,0.004131775272683047,0.0005313183188573323,0.026881576193576163,0.046588088446241016,0.9982753511747691
1.0,-0.2,0.05,0.00025730446778311663,0.000870991744978721,0.005979232921080602,0.0044921633580647935,0.0005954695344394523,0.014130624495715798,0.05065166666351564,0.9774948250029045
0.9,0.1,-0.05,0.0002572405607521522,0.0008424643186686158,0.006064196974347791,0.00427548715873538,0.0005482272246646325,0.027350752619847648,0.048208520734137325,0.9924023232048457
1.0,0.3,-0.05,0.00025736246439052345,0.000849784313631604,0.006240879955619061,0.004422635261201346,0.000580418490114476,0.01706233339645889,0.04986769829341259,0.9515563510348493
0.9,0.2,0.1,0.00025722713014623744,0.0008409479150214671,0.006322671584160666,0.00445746053910101,0.0005715541808432034,0.02938647943251643,0.05026299186021077,0.9901282343749673
1.1,-0.1,-0.05,0.00025757063296854606,0.0008827461099027236,0.006342716593446429,0.004471573167740495,0.0005751120401588095,0.030297643672744966,0.05042234255953984,0.9977164551067048
1.0,-0.3,-0.1,0.00025734491927983385,0.0008733634436970593,0.006379917438897653,0.004511272988057868,0.000591782954844966,0.017397744774748855,0.05086713848217814,0.9758023066587161
0.9,0.1,-0.1,0.00025725183390842355,0.0008419743157684274,0.006502539248272932,0.00458453496361777,0.0005877933495591625,0.028113562716217566,0.05169320843319676,0.9886701265799431
1.0,0.3,-0.1,0.00025737236664485506,0.0008492627210372263,0.0066738081471591215,0.004749239474393985,0.0006257613031583897,0.017858062268926857,0.05355034436366968,0.9437529174324912
0.9,0.2,0.05,0.00025723859185537544,0.0008404718314810952,0.006752865867134972,0.004760932148324848,0.0006103797870667949,0.03013010630920201,0.053682883508167606,0.9861877727278161
1.0,-0.2,0.1,0.0002572916360236544,0.0008718144193148448,0.007009090123133888,0.005265889160047443,0.0006982167158555708,0.01540737777606817,0.05937585995016709,0.9713398417048069
0.9,0.2,0.0,0.00025724971546194216,0.0008400036360897937,0.007169978129855981,0.0050551045014346485,0.0006480224850075045,0.0308599447543546,0.05699914445368931,0.9815232828242937
1.1,-0.1,0.0,0.00025756122825104064,0.0008836405412204792,0.007186706963684841,0.0050668989590554325,0.0006517767718962064,0.03166777781134616,0.057132133592384615,0.9955597248020888
1.0,-0.3,-0.05,0.0002573329190843276,0.000874210566649019,0.007225494664879761,0.005236825978962134,0.0006943562810087789,0.018706866238032985,0.05904815624859516,0.9698515529412409
0.9,0.2,-0.05,0.0002572605084781896,0.0008395431501945987,0.007574436040767019,0.005340262554786701,0.0006845110653339592,0.03157634522243478,0.06021446177711004,0.9761832373602037
0.9,0.3,0.1,0.00025724866249316164,0.0008381105464716211,0.007805402186205956,0.0055030240337980985,0.0007053388618379897,0.03349845546086381,0.06205017314734054,0.9719094053126642
0.9,0.2,-0.1,0.00025727097846662417,0.0008390901999155053,0.007966500180443425,0.005616682532844752,0.0007198747831230756,0.032279647725022974,0.06333125239038606,0.9702179136026472
1.1,-0.1,0.05,0.0002575517005284538,0.0008845511378462729,0.008057788090159779,0.00568104394580482,0.000730930018082887,0.033064963639482116,0.06405696349556983,0.9925509208636081
1.0,-0.3,0.0,0.0002573207403326114,0.0008750733398363594,0.008109446028275347,0.006045258420449784,0.0008017681393250875,0.02004260437567628,0.06816368640238929,0.9631668067857383
0.9,0.3,0.05,0.0002572592820131112,0.000837670453428643,0.008190281127503862,0.005774456524945126,0.0007400565814480453,0.03418397407329197,0.06511024282751993,0.9656885362206391
0.9,0.3,0.0,0.00025726958078111446,0.0008372375220159126,0.008563473975717883,0.006037571532095942,0.0007737083579727466,0.03485699904557915,0.06807701241581901,0.9588861185985181
1.1,-0.2,-0.1,0.00025760931938322056,0.0008872862956158904,0.00858026192646566,0.006049309166922701,0.0007784154989771697,0.03665218199306476,0.06821003267808723,0.9911973189875668
0.9,0.3,-0.05,0.00025727956666278523,0.0008368115920586046,0.008925231105498366,0.0062926239272442785,0.0008063232070661952,0.03551784486928255,0.07095287152223083,0.9515563510348488
1.1,-0.1,0.1,0.0002575420673055853,0.0008854783048804389,0.008956405476944873,0.00631460303269904,0.0008302959910555519,0.0344899271304659,0.07120069828949949,0.9886908097086277
1.0,-0.3,0.05,0.0002573083994310362,0.0008759521588316589,0.009172663793318492,0.006891369634208111,0.0009142496192116045,0.021405683645416947,0.07770406589072801,0.9557734730020181
0.9,0.3,-0.1,0.0002572892474903483,0.0008363925076059289,0.009275902940645953,0.006539860772360573,0.0008379332510847215,0.03616681672014047,0.07374060590934031,0.9437529174324915
1.1,-0.2,-0.05,0.0002576008200179726,0.0008882412698278513,0.00949525141362928,0.0066945097033723755,0.0008616217786462377,0.03811323026732155,0.07548435952626831,0.987438241654393
1.0,-0.3,0.1,0.00025729591523137115,0.0008768474313321027,0.010351357865865385,0.007776915722301769,0.0010320431213065584,0.022796851411165095,0.08768909575140257,0.9477013314662165
1.1,-0.2,0.0,0.0002575922777021498,0.0008892137443816252,0.010439309303094113,0.007360106055302573,0.0009475031707141257,0.03960340471266526,0.08298933248988122,0.9828667987988124
1.1,-0.2,0.05,0.0002575837171816614,0.0008902041632193155,0.011413210364454862,0.008046742966890452,0.0010588503483767164,0.041123490754929576,0.09073154958939461,0.9774948250029037
1.1,-0.3,-0.1,0.0002576494023249411,0.0008931113862597997,0.011997199320560537,0.008458477165702138,0.0010893105958176275,0.044929581426306944,0.09537408409445725,0.9758023066587165
1.1,-0.2,0.1,0.00025757516624483004,0.0008912129840484309,0.012417897987856197,0.008914580133133398,0.0011834774259752434,0.04267429851462303,0.1005169014029817,0.9713398417048074
1.1,-0.3,-0.05,0.00025764221909256276,0.0008941505559820371,0.013020347763998519,0.009179835335614062,0.0011857640358023946,0.04651939831056482,0.10350780289651074,0.9698515529412406
1.1,-0.3,0.0,0.0002576351293368713,0.0008952091734270711,0.014075839557578185,0.009924554659583418,0.0013090941092377406,0.04814142947345074,0.11190493184059894,0.9631668067857367
1.1,-0.3,0.05,0.0002576281705160448,0.0008962877410166307,0.015164697126055948,0.010881411506868055,0.001445559756385717,0.04979655152356755,0.12269403059106043,0.955773473002019
1.1,-0.3,0.1,0.0002576213842285264,0.0008973867770764823,0.016287975214661188,0.011952922273461564,0.0015884880146189717,0.051485668786015536,0.13477591672247663,0.9477013314662163
