kappa,delta,nu,mean_objective,max_objective,max_abs_det_ratio_residual,max_abs_schur_residual,max_abs_weight_residual,mean_abs_xi_residual,max_abs_xi_residual,"corr(xi_warp, xi_target)"
1.0,0.0,0.0,0.00025732417575299193,0.0008613978550933431,0.0,0.0,0.0,0.0,0.0,1.0
1.0,0.0,-0.05,0.0002573360932805209,0.0008607247151290921,0.000717730490718882,0.0005392267961337183,7.135618990017356e-05,0.0010419683150807353,0.006080085196541324,0.9995786555836927
1.0,0.0,0.05,0.0002573119513880534,0.0008620827959893927,0.0007511818990537655,0.0005643586471224538,7.470993982916507e-05,0.0010621980787386006,0.006363460941686466,0.9995716161230855
1.0,0.1,0.1,0.0002573083257404519,0.0008587215232782173,0.0009806569340327087,0.0006913434924169515,9.02501427268998e-05,0.0038286665701717975,0.00779587407582924,0.9989507337338258
1.0,-0.1,-0.1,0.0002573429741038849,0.0008641868280638297,0.0010302508770219099,0.0007263062286799737,9.492066622851514e-05,0.003978885927061274,0.008190128295679888,0.9990265974676907
1.0,0.0,-0.1,0.00025734770448341003,0.0008600630985064315,0.0014034992212437203,0.0010544409053734327,0.00013951032582826262,0.0020642284952983175,0.011889413852120861,0.9983314600149512
1.0,0.0,0.1,0.00025729942050651937,0.0008627798234636141,0.0015373742829125625,0.0011550204704322553,0.0001529326325784286,0.002145163762890508,0.013023504978471323,0.998275351174769
1.0,0.1,0.05,0.00025732039630294723,0.0008580788895217639,0.001574550571306066,0.0011101174280581105,0.00014249887547601592,0.0048201161480520794,0.01251719793813888,0.9975804139731378
1.0,-0.1,-0.05,0.00025733100325711443,0.0008649044809932241,0.0017064620550555354,0.0012031199900199852,0.0001545587201837728,0.005084456534110284,0.013565854095955898,0.9977164551067049
1.0,0.1,0.0,0.0002573321457106859,0.0008574471896359593,0.002150468718873366,0.0015312777487914708,0.0002022672862396213,0.005792776058567456,0.01726601726577673,0.9953856985802598
1.0,-0.1,0.0,0.00025731874832291403,0.0008656348785274756,0.0024043039208190287,0.001749990506588972,0.00023175766922400864,0.006211795058516351,0.019732126536521122,0.9955597248020879
0.9,-0.3,-0.1,0.000257173092768135,0.000855714865074877,0.0024401230072133018,0.0015266221961929283,0.00036597446787789423,0.009984435103461479,0.02708974725102338,0.9758023066587158
