alpha,beta,lambda,j_direct,j_blockdet,max_abs_det_ratio_residual,max_abs_schur_norm_residual,max_abs_action_factor_residual,max_abs_weight_factor_residual,mean_logdet_part,mean_log_schur_eff,mean_even_penalty,mean_xi_cross
0.9,0.9,-0.4,0.0011235353191111192,0.0011235353191111192,8.881784197001252e-16,4.440892098500626e-16,3.3306690738754696e-16,1.1102230246251565e-16,0.32636720309863815,0.39663262434839786,-0.01580585890113253,0.09792311219325318
0.9,0.9,-0.2,0.0008613978550933429,0.0008613978550933431,8.881784197001252e-16,4.440892098500626e-16,3.3306690738754696e-16,1.1102230246251565e-16,0.32636720309863815,0.408513000453828,-0.00392548279570229,0.09792311219325318
0.9,0.9,-0.1,0.0008020372600165011,0.0008020372600165011,8.881784197001252e-16,4.440892098500626e-16,3.3306690738754696e-16,1.1102230246251565e-16,0.32636720309863815,0.41145871841746745,-0.0009797648320629007,0.09792311219325318
0.9,0.9,0.0,0.0007827855356371696,0.0007827855356371695,4.440892098500626e-16,2.220446049250313e-16,3.3306690738754696e-16,1.1102230246251565e-16,0.32636720309863815,0.41243848324953036,0.0,0.09792311219325318
0.9,0.9,0.1,0.0008020372600165011,0.0008020372600165011,8.881784197001252e-16,4.440892098500626e-16,3.3306690738754696e-16,1.1102230246251565e-16,0.32636720309863815,0.41145871841746745,-0.0009797648320629007,0.09792311219325318
0.9,0.9,0.2,0.0008613978550933429,0.0008613978550933431,8.881784197001252e-16,4.440892098500626e-16,3.3306690738754696e-16,1.1102230246251565e-16,0.32636720309863815,0.408513000453828,-0.00392548279570229,0.09792311219325318
0.9,0.9,0.4,0.0011235353191111192,0.0011235353191111192,8.881784197001252e-16,4.440892098500626e-16,3.3306690738754696e-16,1.1102230246251565e-16,0.32636720309863815,0.39663262434839786,-0.01580585890113253,0.09792311219325318
0.9,0.95,-0.4,0.0006632065186421274,0.0006632065186421277,8.881784197001252e-16,4.440892098500626e-16,3.3306690738754696e-16,1.1102230246251565e-16,0.32636720309863815,0.4188565059317908,-0.016495226387157832,0.10215530575106799
0.9,0.95,-0.2,0.00046055692871962045,0.0004605569287196207,8.881784197001252e-16,4.440892098500626e-16,4.440892098500626e-16,2.220446049250313e-16,0.32636720309863815,0.43125620860425773,-0.004095523714690891,0.10215530575106799
0.9,0.95,-0.1,0.0004162386398521481,0.000416238639852148,4.440892098500626e-16,4.440892098500626e-16,3.3306690738754696e-16,1.1102230246251565e-16,0.32636720309863815,0.43432959863680387,-0.0010221336821447512,0.10215530575106799
0.9,0.95,0.0,0.00040201499903032387,0.00040201499903032387,4.440892098500626e-16,2.220446049250313e-16,3.3306690738754696e-16,1.1102230246251565e-16,0.32636720309863815,0.4353517323189487,0.0,0.10215530575106799
0.9,0.95,0.1,0.0004162386398521481,0.000416238639852148,4.440892098500626e-16,4.440892098500626e-16,3.3306690738754696e-16,1.1102230246251565e-16,0.32636720309863815,0.43432959863680387,-0.0010221336821447512,0.10215530575106799
0.9,0.95,0.2,0.00046055692871962045,0.0004605569287196207,8.881784197001252e-16,4.440892098500626e-16,4.440892098500626e-16,2.220446049250313e-16,0.32636720309863815,0.43125620860425773,-0.004095523714690891,0.10215530575106799
0.9,0.95,0.4,0.0006632065186421274,0.0006632065186421277,8.881784197001252e-16,4.440892098500626e-16,3.3306690738754696e-16,1.1102230246251565e-16,0.32636720309863815,0.4188565059317908,-0.016495226387157832,0.10215530575106799
0.9,1.0,-0.4,0.00032913996232260284,0.0003291399623226028,8.881784197001252e-16,4.440892098500626e-16,3.3306690738754696e-16,1.1102230246251565e-16,0.32636720309863815,0.44109713927596256,-0.017167842112404477,0.10628158966146627
0.9,1.0,-0.2,0.00018931604758793544,0.00018931604758793544,8.881784197001252e-16,4.440892098500626e-16,4.440892098500626e-16,2.220446049250313e-16,0.32636720309863815,0.4540036416256527,-0.0042613397627143225,0.10628158966146627
0.9,1.0,-0.1,0.00016083484365319326,0.00016083484365319358,8.881784197001252e-16,4.440892098500626e-16,4.440892098500626e-16,1.1102230246251565e-16,0.32636720309863815,0.4572015372419728,-0.0010634441463941797,0.10628158966146627
0.9,1.0,0.0,0.00015190072610767817,0.00015190072610767814,4.440892098500626e-16,2.220446049250313e-16,2.220446049250313e-16,1.1102230246251565e-16,0.32636720309863815,0.45826498138836697,0.0,0.10628158966146627
