D,eta,block_split_k_part,block_split_k_bg,block_split_k_full,block_split_g_schur,block_split_c_mix,block_split_xi_cross,block_split_s_part,block_split_s_schur,block_split_response_action,block_split_split_action,block_split_action_residual,block_split_coeff_share,block_split_tree_share,eymh_parented_prefactor_diag
4.0,0.2,1.4003545423064692,1.052928468881864,1.9324179114318152,1.8352793836830217,0.5782801184135987,0.13011768624754755,0.3367254490648569,0.6071967226055646,0.9439221716704217,0.9439221716704215,-2.220446049250313e-16,0.35673009827597046,0.6432699017240295,0.0433261161132477
4.8,0.2,1.3864469292404067,1.3330127461264274,2.362702968139451,1.772453395517168,0.5463627391019037,0.1214742069095597,0.326744308558147,0.5723646859993047,0.8991089945574519,0.8991089945574517,-1.1102230246251565e-16,0.3634090088476682,0.6365909911523318,0.0392190539319979
5.6,0.2,1.3740065777952906,1.0489632309804584,2.163343816982029,2.062363820855729,0.630342015902304,0.14021627303672507,0.3177309811215154,0.7238528107951023,1.0415837919166173,1.0415837919166178,4.440892098500626e-16,0.30504601126411424,0.6949539887358858,0.0448967669998699
6.4,0.2,1.4087562872961084,1.2368422574530327,2.3109335636598978,1.8684141407156378,0.59579337021686,0.1348597404914267,0.34270724939373237,0.6250900179727946,0.9677972673665268,0.9677972673665269,1.1102230246251565e-16,0.35411057764842946,0.6458894223515707,0.0493701336927381
7.2,0.2,1.465397035754631,1.5397550802947837,2.131691691581259,1.3844355630722451,0.4229836539306045,0.08818995348264555,0.3821262199183088,0.3252925208861549,0.7074187408044632,0.7074187408044637,4.440892098500626e-16,0.5401697719850648,0.4598302280149352,0.0543924299977552
8.0,0.2,1.4813765064519049,1.5891268740470006,2.1471719293261815,1.3511645699238712,0.4111476302493288,0.08445432232153847,0.3929717274540861,0.3009668649745629,0.693938592428649,0.693938592428649,0.0,0.5662917897083114,0.4337082102916886,0.057994994496971
8.8,0.2,1.489316794072924,1.1526414316992488,1.8912538593858557,1.640799824970484,0.5599590306415712,0.12831275159165706,0.39831748733366634,0.4951838211027493,0.8935013084364157,0.8935013084364156,-1.1102230246251565e-16,0.44579396087365875,0.5542060391263413,0.0457081664589713
9.6,0.2,1.496386180473614,1.1066533286499558,1.991814853819894,1.7998543918444425,0.630108456142836,0.1474176741925567,0.40305298826718194,0.5877057682103157,0.9907587564774977,0.9907587564774977,0.0,0.40681244110340214,0.5931875588965979,0.0411393810783117
10.4,0.2,1.5001900984560719,1.191089660939199,2.1083009049864505,1.7700606210652616,0.6206260531654928,0.1450526176484588,0.4055918323823523,0.571013795188661,0.9766056275710134,0.9766056275710133,-1.1102230246251565e-16,0.41530769527831735,0.5846923047216827,0.0443592616003478
11.2,0.2,1.501890377156128,1.263616892757297,2.1820846584052984,1.7268561942408374,0.6039885176605609,0.14065752046392924,0.4067245660953016,0.5463025265838907,0.9530270926791923,0.9530270926791923,0.0,0.42677125259041626,0.5732287474095837,0.0459252714847219
12.0,0.2,1.502567924724998,1.324701506182844,2.201819405088294,1.662124935173422,0.5768559218546521,0.13324070812303052,0.4071755942090428,0.5080968651925042,0.915272459401547,0.915272459401547,0.0,0.44486818108268605,0.555131818917314,0.0457444364275039
12.8,0.2,1.5279606669354249,1.114287005200122,1.9059583976837793,1.7104735034951575,0.6124557655416849,0.14352281009029713,0.423933948878602,0.5367702348128583,0.9607041836914598,0.9607041836914603,4.440892098500626e-16,0.44127417791567836,0.5587258220843218,0.0392926289711688
13.6,0.2,1.5316649359830974,1.1152775579450587,1.7972738537376562,1.6115036485170577,0.5701886075170671,0.13171705384368732,0.4263553372040366,0.4771676863210921,0.9035230235251286,0.9035230235251287,1.1102230246251565e-16,0.47188098820171226,0.5281190117982878,0.0396211797225291
14.4,0.2,1.5288677337858356,1.195999582362392,1.8918082519709034,1.5817800272422495,0.5546933247926013,0.12723010234990384,0.424527418159913,0.45855081242228113,0.883078230582194,0.8830782305821941,1.1102230246251565e-16,0.48073591156248,0.51926408843752,0.0396849667542082
