D,eta,coeff_l1,coeff_l2,projected_logdet_part_kernel,projected_logdet_part_action,tree_diag_susceptibility_parented,schur_bg_kernel,schur_full_kernel,projected_schur_gain,projected_schur_action,projected_logdet_schur_response_action,projected_logdet_schur_response_weight,projected_logdet_schur_response_weight_residual,shell_spread,shell_access_parented,hk_loop_local_prefactor_diag,eymh_parented_prefactor_diag,projected_logdet_schur_prefactor_recon,projected_logdet_schur_prefactor_residual,projected_logdet_part_share,projected_schur_share,mu_mumu_uv_rge,mu_mumu_uv_rge_const,abs_mu_diff_vs_const
4.0,0.2,0.5339835720691466,0.3813202699293874,1.4003545423064692,0.3367254490648569,0.8352793836830217,1.052928468881864,1.9324179114318152,1.8352793836830217,0.6071967226055646,0.9439221716704215,0.6237777862370266,1.1102230246251565e-16,0.0771814943481594,0.26767767385469626,0.2594822797956052,0.0433261161132477,0.04332611611324775,4.85722573273506e-17,0.35673009827597046,0.6432699017240295,2.4082829678814335,2.408283091800887,1.2391945336531762e-07
4.8,0.2,0.5496017971416134,0.3964102668125378,1.3864469292404067,0.326744308558147,0.7724533955171682,1.3330127461264274,2.362702968139451,1.772453395517168,0.5723646859993047,0.8991089945574517,0.6379122799837617,0.0,0.0711178604801251,0.25767406620130606,0.2385972532567175,0.0392190539319979,0.0392190539319979,0.0,0.3634090088476682,0.6365909911523318,13.739244327095353,13.739247292265354,2.9651700010902005e-06
5.6,0.2,0.5468206835304987,0.3979753025694525,1.3740065777952906,0.3177309811215154,1.062363820855729,1.0489632309804584,2.163343816982029,2.062363820855729,0.7238528107951023,1.0415837919166178,0.5940499359136113,-1.1102230246251565e-16,0.1092096338293002,0.31377884425076946,0.2408620932557482,0.0448967669998699,0.044896766999869955,5.551115123125783e-17,0.30504601126411424,0.6949539887358858,57.971467023169026,57.971396100373646,7.0922795380568e-05
6.4,0.2,0.5249812193015628,0.3726558128157027,1.4087562872961084,0.34270724939373237,0.8684141407156374,1.2368422574530327,2.3109335636598978,1.8684141407156378,0.6250900179727946,0.9677972673665269,0.6163756784779798,0.0,0.1316552460415761,0.3410845234930134,0.2348317398037009,0.0493701336927381,0.04937013369273809,-6.938893903907228e-18,0.35411057764842946,0.6458894223515707,59.87793765426565,59.87715710517647,0.0007805490891783506
7.2,0.2,0.5085808844373885,0.3470601291174894,1.465397035754631,0.3821262199183088,0.3844355630722452,1.5397550802947837,2.131691691581259,1.3844355630722451,0.3252925208861549,0.7074187408044637,0.7020789826398441,-1.1102230246251565e-16,0.1406987183843505,0.35120411348378744,0.2205935934157932,0.0543924299977552,0.054392429997755225,2.7755575615628914e-17,0.5401697719850648,0.4598302280149352,3.5314919255891972,3.531394482587157,9.74430020401762e-05
8.0,0.2,0.5340456080149918,0.3605063302199267,1.4813765064519049,0.3929717274540861,0.3511645699238713,1.5891268740470006,2.1471719293261815,1.3511645699238712,0.3009668649745629,0.693938592428649,0.7068270301902266,0.0,0.1520636193182569,0.3633075560105363,0.2258410747793691,0.057994994496971,0.05799499449697106,6.245004513516506e-17,0.5662917897083114,0.4337082102916886,2.324652153604843,2.324543270099281,0.00010888350556204074
8.8,0.2,0.465913978595868,0.3128373899025909,1.489316794072924,0.39831748733366634,0.640799824970484,1.1526414316992488,1.8912538593858557,1.640799824970484,0.4951838211027493,0.8935013084364156,0.6397033957335363,0.0,0.115172233250979,0.32136821487248435,0.2223372469819722,0.0457081664589713,0.045708166458971376,7.632783294297951e-17,0.44579396087365875,0.5542060391263413,1.58370004028358,1.5836905358878322,9.504395747761407e-06
9.6,0.2,0.4654103917952466,0.311022914985717,1.496386180473614,0.40305298826718194,0.7998543918444424,1.1066533286499558,1.991814853819894,1.7998543918444425,0.5877057682103157,0.9907587564774977,0.6093396932206743,0.0,0.1148568546515892,0.3209732984685203,0.2103436369428326,0.0411393810783117,0.041139381078311686,-1.3877787807814457e-17,0.40681244110340214,0.5931875588965979,1.0000000014340196,1.0000000014340404,2.0872192862952943e-14
10.4,0.2,0.4844721631315347,0.3229405150921417,1.5001900984560719,0.4055918323823523,0.7700606210652617,1.191089660939199,2.1083009049864505,1.7700606210652616,0.571013795188661,0.9766056275710133,0.6136670180717306,0.0,0.1253376268973251,0.3337331239271595,0.2165968878056446,0.0443592616003478,0.04435926160034785,4.85722573273506e-17,0.41530769527831735,0.5846923047216827,0.4950631213671755,0.4950549751909506,8.146176224910207e-06
11.2,0.2,0.5036498025294905,0.3353439173657705,1.501890377156128,0.4067245660953016,0.7268561942408373,1.263616892757297,2.1820846584052984,1.7268561942408374,0.5463025265838907,0.9530270926791923,0.6209445165690671,0.0,0.1353663151635882,0.3452926237866013,0.2141961374641878,0.0459252714847219,0.04592527148472197,6.938893903907228e-17,0.42677125259041626,0.5732287474095837,0.1519945649010222,0.1519898999467061,4.66495431611369e-06
