D,eta,loop_trace_p1,loop_trace_p2,h_part_neff,h_part_imbalance,h_part_ratio_low_high,coeff_participation_access_parented,coeff_participation_access_parented_exact,coeff_participation_access_parented_exact_residual,eymh_parented_prefactor_diag,mu_mumu_uv_rge,mu_mumu_uv_rge_const,abs_mu_diff_vs_const
4.0,0.2,0.5833948767255386,0.4166051232744614,1.945868238127748,0.16678975345107733,0.7141048711513719,0.8450472597147287,0.8450472597147286,-1.1102230246251565e-16,0.0433261161132477,2.4082829678814335,2.408283091800887,1.2391945336531762e-07
4.8,0.2,0.5809670067465968,0.4190329932534031,1.9488948614185644,0.1619340134931935,0.721268141542115,0.8492750682447441,0.8492750682447443,2.220446049250313e-16,0.0392190539319979,13.739244327095353,13.739247292265354,2.9651700010902005e-06
5.6,0.2,0.5787711755505381,0.4212288244494618,1.9515630017717331,0.15754235110107642,0.727798553631806,0.85311110274794,0.8531111027479399,-1.1102230246251565e-16,0.0448967669998699,57.971467023169026,57.971396100373646,7.0922795380568e-05
6.4,0.2,0.5848479959246827,0.4151520040753172,1.94401862132757,0.1696959918493651,0.7098459889888744,0.8425235836395761,0.8425235836395765,3.3306690738754696e-16,0.0493701336927381,59.87793765426565,59.87715710517647,0.0007805490891783506
7.2,0.2,0.5943858187961554,0.4056141812038445,1.9311828194108682,0.1887716375923105,0.6824089141718743,0.8260804526024531,0.8260804526024534,3.3306690738754696e-16,0.0543924299977552,3.5314919255891972,3.531394482587157,9.74430020401762e-05
8.0,0.2,0.5969978770251638,0.4030021229748362,1.9274612439427554,0.1939957540503278,0.6750478326371825,0.821612945758027,0.8216129457580269,-1.1102230246251565e-16,0.057994994496971,2.324652153604843,2.324543270099281,0.00010888350556204074
8.8,0.2,0.5982833513271573,0.4017166486728427,1.9255978480274196,0.19656670265431403,0.671448817323305,0.8194198053033038,0.8194198053033042,3.3306690738754696e-16,0.0457081664589713,1.58370004028358,1.5836905358878322,9.504395747761407e-06
9.6,0.2,0.5994209518455673,0.4005790481544327,1.9239314026831542,0.19884190369113455,0.6682766875616929,0.8174819187980201,0.8174819187980202,1.1102230246251565e-16,0.0411393810783117,1.0000000014340196,1.0000000014340404,2.0872192862952943e-14
10.4,0.2,0.6000304134403524,0.3999695865596477,1.9230319269918368,0.20006082688070478,0.6665821891699956,0.816444847598413,0.8164448475984128,-1.1102230246251565e-16,0.0443592616003478,0.4950631213671755,0.4950549751909506,8.146176224910207e-06
11.2,0.2,0.600302231812135,0.3996977681878649,1.9226292632075566,0.2006044636242702,0.6658275565314747,0.8159825712179611,0.8159825712179609,-2.220446049250313e-16,0.0459252714847219,0.1519945649010222,0.1519898999467061,4.66495431611369e-06
12.0,0.2,0.6004104463578593,0.3995895536421406,1.9224687002836658,0.2008208927157186,0.6655273172978332,0.8157985764254758,0.815798576425476,2.220446049250313e-16,0.0457444364275039,0.0381623276974709,0.0381608684312153,1.4592662556031644e-06
12.8,0.2,0.6044242249970322,0.3955757750029678,1.9164106241067451,0.20884844999406463,0.6544671087677036,0.8089914145203916,0.8089914145203914,-2.220446049250313e-16,0.0392926289711688,0.0023614708275849,0.0023615110031041,4.017551920006482e-08
13.6,0.2,0.6050030216136483,0.3949969783863516,1.9155206762194927,0.21000604322729635,0.6528843068135863,0.808012565999803,0.8080125659998032,2.220446049250313e-16,0.0396211797225291,0.0001778882187932,0.0001778917797778,3.560984600020547e-09
