p_part,p_tree,mean_objective,max_objective,max_abs_det_ratio_residual,max_abs_schur_residual,max_abs_weight_residual,mean_abs_xi_residual,max_abs_xi_residual,"corr(xi_gen, xi_target)",part_anchor_leak,tree_anchor_leak,part_onset_residual,tree_onset_residual
1.0,1.0,0.0328883508855363,0.11980197819140737,4.440892098500626e-16,4.440892098500626e-16,1.1102230246251565e-16,4.825284792542471e-18,8.326672684688674e-17,0.9999999999999998,0.0,0.0,6.938893903907228e-17,1.1102230246251565e-16
0.75,1.0,0.032887057831359416,0.11980197819140737,0.0008248720976493651,0.0005512427925307151,9.79556874433074e-05,0.0012102793943989923,0.007851734132779453,0.9998772970529662,0.0,0.0,0.002021327297322517,0.008233330302492792
1.25,1.0,0.032889710672759295,0.11980197819140737,0.0008841264002836802,0.0005908410615791393,0.00010543443989052825,0.0012808153000635877,0.008447045653038526,0.999875092375337,0.0,0.0,0.002043799239615618,0.00860908841065694
0.5,1.0,0.032885827433209024,0.11980197819140737,0.0015948740955753493,0.0010658171766082525,0.00018902014800681322,0.0023546244397904285,0.015154432655211436,0.9995140488958113,0.0,0.0,0.004020448207145588,0.01610830042325806
1.5,1.0,0.032891141582343665,0.11980197819140737,0.0018336346018408278,0.001224459549031609,0.00021898899582395437,0.002637127014791909,0.01753983197641029,0.9994964446204574,0.0,0.0,0.004110339072852576,0.017612157170167564
-0.5,1.25,0.0328828732975672,0.11980197819140737,0.0033159732639425066,0.002170188385864913,0.00039543507663486466,0.005005910466229944,0.03171930428747305,0.9950218476480227,0.0,0.0,0.006574022947306191,0.04231719855086308
-1.0,1.25,0.03288090331927594,0.11980197819140737,0.004432238686217893,0.002918402630068817,0.0005283814703498368,0.006781216807072551,0.04239706305584219,0.9918361035492564,0.0,0.0,0.007553255198445408,0.05478254110240696
0.0,1.0,0.0328835397111045,0.11980197819140737,0.002986118557462447,0.001995553416261453,0.00035258429927320645,0.004462286759517852,0.028279153275411265,0.9980983334300622,0.0,0.0,0.007953117809913646,0.030848850583188148
2.0,1.0,0.032894236054397855,0.11980197819140737,0.003960800967128808,0.002634126371334977,0.00047332498013086255,0.005598059792717311,0.037887474083280026,0.9979585519542511,0.0,0.0,0.008312730820810188,0.03687748212356706
2.0,0.75,0.03289243449087244,0.11980197819140737,0.0026375440464359023,0.0017261802195520648,0.00032022631286865444,0.003825716855928462,0.025229715537883918,0.9973037645922992,0.0,0.0,0.008891584641288974,0.03423270695114716
0.0,1.25,0.03288503533161482,0.11980197819140737,0.0020334949194702467,0.001330851217932194,0.0002444713134941434,0.003076260123494697,0.01945161766503857,0.997445464427563,0.0,0.0,0.00965809379000887,0.028712160552853416
