D,eta,eymh_loop_prefactor_diag,hk_loop_local_prefactor_diag,shell_access,align_access,diag_dispersion_screen,eymh_prefactor_recon,eymh_prefactor_residual,log10_hk_loop_local_prefactor_diag,log10_shell_access,log10_align_access,log10_diag_dispersion_screen,log10_eymh_loop_prefactor_diag,log10_prefactor_residual,abs_mu_diff_vs_const,abs_mu_diff_vs_loop_abs,shell_spread,coeff_align,gap_cv,c_tree_diag_cv
12.0,0.2,0.0397447039527705,0.2033633873147403,0.3554793714957137,0.8157985764254758,0.6739212528366479,0.039744703952770535,-3.469446951953614e-17,-0.6917272329198442,-0.4491855963562059,-0.08841705686533248,-0.17139084746545363,-1.4007207336068366,-3.885780586188048e-16,1.0299384482978513e-06,6.770511581905003e-06,0.1446435501863265,0.665527317297833,0.324701506182844,0.8771178989054502
12.8,0.2,0.0372231013185129,0.2100711557195202,0.3023840820031647,0.8089914145203916,0.7243413723270806,0.037223101318512905,-6.938893903907228e-18,-0.6776335752562322,-0.519441074546968,-0.09205608734471597,-0.14005670842042095,-1.429187445568337,5.551115123125783e-17,3.864752559992746e-08,2.966398069000585e-07,0.1006380909200492,0.654467108767704,0.1142870052001219,0.7916713924836573
13.6,0.2,0.0375176753407169,0.2082773251008593,0.2988704261474397,0.808012565999803,0.745921064847076,0.037517675340716976,-7.632783294297951e-17,-0.6813580085909113,-0.5245170571802344,-0.09258188513885664,-0.12730712817764384,-1.4257640790876471,-8.881784197001252e-16,3.4219493000103244e-09,2.8126727200002968e-08,0.0980848135726996,0.6528843068135859,0.1152775579450587,0.6819962957925976
14.4,0.2,0.0362877889325018,0.1981620938639441,0.31143214686360643,0.80875139435662,0.7270452513938361,0.03628778893250189,-9.020562075079397e-17,-0.7029794174600048,-0.5066365604098594,-0.09218495756174229,-0.13843855775300642,-1.4402394931846139,-9.71445146547012e-16,6.079558187443729e-10,4.6899461269320035e-09,0.1074074264709029,0.6540788178737772,0.1959995823623919,0.6958086696085115
15.2,0.2,0.0371205952526775,0.205104029139777,0.3226380950411735,0.8093275313456636,0.693107791299799,0.037120595252677475,2.7755575615628914e-17,-0.6880258081056236,-0.49128435520682556,-0.0918756857187419,-0.15919921917412808,-1.430385068205319,1.942890293094024e-16,4.051330791161748e-11,3.607286091334523e-10,0.1161901986479192,0.6550110529940661,0.2635129579283289,0.8180925978636038
16.0,0.2,0.0378417138317903,0.2036891577435576,0.33285771202960807,0.8104764316211523,0.6886584343965517,0.03784171383179037,-6.938893903907228e-17,-0.6910320876295052,-0.47774137636259545,-0.09125960976759905,-0.16199612909102723,-1.4220292028507278,-8.326672684688674e-16,7.660203385997678e-12,2.64603330440945e-11,0.1245991237260836,0.6568720462133565,0.3217878591111364,0.786802702341457
16.8,0.2,0.036388859618348,0.1940657427146949,0.3422610674663284,0.813577980777496,0.6733841352201668,0.036388859618348014,-1.3877787807814457e-17,-0.7120511212991004,-0.46564249947785463,-0.08960081396465734,-0.17173711970840064,-1.4390315544500132,-1.3877787807814457e-16,4.454248815303273e-12,3.357708278877494e-11,0.1326858033760381,0.6619091308059877,0.3729068193667717,0.8324265017386813
17.6,0.2,0.0361985046360608,0.2011363173486186,0.31092929648788725,0.807569752807658,0.7167347272310843,0.03619850463606079,1.3877787807814457e-17,-0.6965095057330672,-0.5073383557837621,-0.09281995574465564,-0.14464155258438316,-1.441309369845868,0.0,4.034350757563207e-12,3.332516858239867e-11,0.1070237670782771,0.6521689056498219,0.2679119024066777,0.6787167217905434
18.4,0.2,5.35013104793351e-17,0.1999781067668977,0.2934342948281214,1e-15,0.9117401859103199,5.3501310479335094e-17,6.162975822039155e-33,-0.6990175474898864,-0.5324891298103454,-15.0,-0.04012890279118393,-16.271635580091417,-1.1518563880486e-15,4.034350757563207e-12,3.332516858239867e-11,0.0942160330487811,0.0,0.20297833384972,0.0
19.200000000000003,0.2,5.1556393066254794e-17,0.1907155475682234,0.3044694702587371,1e-15,0.8878767329178662,5.155639306625478e-17,1.232595164407831e-32,-0.7196139008299743,-0.516456248393634,-15.0,-0.051647324682628296,-16.287717473906238,-4.163336342344337e-17,4.034350757563207e-12,3.332516858239867e-11,0.1021732919162485,0.0,0.2685122027208125,0.0
20.0,0.2,5.409153402121938e-17,0.1978582751435992,0.3148270397844881,1e-15,0.8683664853567993,5.409153402121933e-17,4.930380657631324e-32,-0.7036457812632696,-0.5019279741373668,-15.0,-0.061296946509051445,-16.26687070190969,-1.4849232954361469e-15,4.034350757563207e-12,3.332516858239867e-11,0.110020904054865,0.0,0.3261537967964966,0.0
4.0,0.39,0.0422226542800312,0.2594822797956052,0.26767767385469626,0.8452287961502849,0.7192028373834816,0.04222265428003126,-6.245004513516506e-17,-0.5858922950400162,-0.5723878504270297,-0.07302571536306028,-0.14314860790224931,-1.374454468732356,-6.661338147750939e-16,1.1459487181397776e-07,6.887341559291826e-07,0.0771814943481594,0.7144117178416599,0.0529284688818641,0.8803624715424814
4.8,0.39,0.0339689040070081,0.2385972532567175,0.25767406620130606,0.8492697193296964,0.6505785564962886,0.033968904007008166,-6.938893903907228e-17,-0.6223345602562768,-0.5889292891418788,-0.07095436038769738,-0.18670025545442778,-1.4689184652402816,-8.604228440844963e-16,3.4573371987534074e-06,9.828013736168373e-06,0.0711178604801251,0.7212590561703414,0.3330127461264275,1.029643348812886
5.6,0.39,0.0438363991394497,0.2408620932557482,0.31377884425076946,0.8531095169384951,0.6798889306780739,0.04383639913944974,-4.163336342344337e-17,-0.618231543651437,-0.5033763409749502,-0.06899521320640901,-0.16756202954888516,-1.3581651273816815,-1.6653345369377348e-16,7.621052748163493e-05,0.0006148932818277331,0.1092096338293002,0.7277958478910325,0.0489632309804584,1.114373175876911
6.4,0.39,0.0443922476741875,0.2348317398037009,0.3410845234930134,0.8425234101369388,0.6578189016226013,0.04439224767418748,2.0816681711721685e-17,-0.6292432043153414,-0.4671379859988473,-0.07441802309514665,-0.18189365175263794,-1.3526928651619732,1.6653345369377348e-16,0.0006463856065508367,0.004679226334715736,0.1316552460415761,0.7098456966287764,0.2368422574530327,1.0740904721175029
7.2,0.39,0.043834154754462,0.2205935934157932,0.35120411348378744,0.8260804395106183,0.6849167835958914,0.043834154754462014,-1.3877787807814457e-17,-0.6564071046998696,-0.4544404060550915,-0.08297766123329273,-0.1643621914572447,-1.3581873634454988,-2.7755575615628914e-16,6.176205511687627e-05,0.00040969755488751147,0.1406987183843505,0.6824088925420562,0.5397550802947837,0.5919365641942181
8.0,0.39,0.0460056557244304,0.2258410747793691,0.3633075560105363,0.8216129447287177,0.6824433242125674,0.04600565572443043,-3.469446951953614e-17,-0.6461970680455217,-0.43972556965846205,-0.08533272693272936,-0.16593341022682015,-1.3371887748635336,-3.608224830031759e-16,7.070844132517351e-05,0.0004116796503077502,0.1520636193182569,0.6750478309457949,0.5891268740470006,0.5580450533015735
8.8,0.39,0.042574218745983,0.2223372469819722,0.32136821487248435,0.8194198052293943,0.72715180489329,0.042574218745982995,6.938893903907228e-18,-0.6529877761507202,-0.4929970796203284,-0.08649354343646208,-0.13837491356293874,-1.3708533127704494,5.551115123125783e-17,6.944641429695864e-06,4.327478268395524e-06,0.115172233250979,0.6714488172021784,0.1526414316992487,0.738612427037752
9.6,0.39,0.0391067708208731,0.2103436369428326,0.3209732984685203,0.8174819188927818,0.7085581805635577,0.039106770820873146,-4.85722573273506e-17,-0.6770706211911424,-0.49353109472943196,-0.08752184430918361,-0.14962448351065427,-1.4077480437404126,-4.163336342344337e-16,6.505906924303417e-14,5.440092820663267e-13,0.1148568546515892,0.6682766877166246,0.1066533286499557,0.8851615263329561
10.4,0.39,0.0406454635781826,0.2165968878056446,0.3337331239271595,0.8164448484151952,0.6887057395021184,0.04064546357818267,-6.938893903907228e-17,-0.6643477878701882,-0.47660068628839386,-0.08807314691986821,-0.16196629769754267,-1.3909879187759937,-7.216449660063518e-16,6.191759863993784e-06,3.667884016539391e-05,0.1253376268973251,0.666582190503711,0.1910896609391989,0.9172112450982502
11.2,0.39,0.0408548883521054,0.2141961374641878,0.3452926237866013,0.8159825587361267,0.6769618829669792,0.04085488835210541,-1.3877787807814457e-17,-0.6691883649379355,-0.46181269904119887,-0.0883191239981111,-0.16943578402260184,-1.3887559719998475,-1.1102230246251565e-16,3.444047315309673e-06,2.1297389122487687e-05,0.1353663151635882,0.6658275361615564,0.263616892757297,0.9184676256155258
12.0,0.39,0.0397447085764276,0.2033633873147403,0.3554793714957137,0.8157985587153559,0.6739213458666632,0.03974470857642763,-3.469446951953614e-17,-0.6917272329198442,-0.4491855963562059,-0.08841706629340414,-0.1713907875142066,-1.4007206830836612,-3.3306690738754696e-16,1.0299350128029072e-06,6.770483129199534e-06,0.1446435501863265,0.6655272884020519,0.324701506182844,0.8771172910146925
12.8,0.39,0.0372231506004926,0.2100711557195202,0.3023840820031647,0.808990100690447,0.724343507686515,0.03722315060049262,-2.0816681711721685e-17,-0.6776335752562322,-0.519441074546968,-0.09205679265449825,-0.14005542812153465,-1.4291868705792332,-1.1102230246251565e-16,3.8647148199993236e-08,2.9663920869974977e-07,0.1006380909200492,0.6544649830151394,0.1142870052001219,0.791660154997012
13.6,0.39,0.0375175072821988,0.2082773251008593,0.2988704261474397,0.8080164124312916,0.7459141727108914,0.03751750728219886,-6.245004513516506e-17,-0.6813580085909113,-0.5245170571802344,-0.09257981774527294,-0.1273111409756233,-1.4257660244920427,-6.938893903907228e-16,3.4220579999788385e-09,2.8127218100021086e-08,0.0980848135726996,0.6528905227583351,0.1152775579450587,0.6820295090330518
14.4,0.39,0.036287525178065,0.1981620938639441,0.31143214686360643,0.8087632122840402,0.727029343173555,0.036287525178065015,-1.3877787807814457e-17,-0.7029794174600048,-0.5066365604098594,-0.09217861145439321,-0.13844806050109248,-1.44024264982535,-1.1102230246251565e-16,6.079778327918589e-10,4.689878512493108e-09,0.1074074264709029,0.6540979335439996,0.1959995823623919,0.6958914603017464
15.2,0.39,0.0371192392881612,0.205104029139777,0.3226380950411735,0.8094339590236094,0.6929913437111747,0.03711923928816126,-5.551115123125783e-17,-0.6880258081056236,-0.49128435520682556,-0.09181857915474811,-0.15927219021063202,-1.43040093267783,-6.38378239159465e-16,4.0274339142866975e-11,3.5853248030236293e-10,0.1161901986479192,0.6551833340206342,0.2635129579283289,0.8187922265543413
16.0,0.39,0.0378396550379627,0.2036891577435576,0.33285771202960807,0.8104813764534904,0.6886167663052826,0.037839655037962765,-6.245004513516506e-17,-0.6910320876295052,-0.47774137636259545,-0.09125696008308824,-0.16202240738617976,-1.4220528314613694,-7.494005416219807e-16,7.680608253631213e-12,2.666205388436718e-11,0.1245991237260836,0.6568800615779444,0.3217878591111364,0.7870578910225603
16.8,0.39,0.036792328334468,0.1940657427146949,0.3422610674663284,0.8110455462011041,0.6829763248397934,0.036792328334468015,-1.3877787807814457e-17,-0.7120511212991004,-0.46564249947785463,-0.09095475625938507,-0.16559435073961654,-1.4342427277759568,-1.942890293094024e-16,2.8192562417687953e-12,1.7924874918604786e-11,0.1326858033760381,0.6577948780126474,0.3729068193667717,0.7709150726278873
17.6,0.39,0.0361985046360608,0.2011363173486186,0.31092929648788725,0.807569752807658,0.7167347272310843,0.03619850463606079,1.3877787807814457e-17,-0.6965095057330672,-0.5073383557837621,-0.09281995574465564,-0.14464155258438316,-1.441309369845868,0.0,4.034350757563207e-12,3.332516858239867e-11,0.1070237670782771,0.6521689056498219,0.2679119024066777,0.6787167217905434
18.4,0.39,5.35013104793351e-17,0.1999781067668977,0.2934342948281214,1e-15,0.9117401859103199,5.3501310479335094e-17,6.162975822039155e-33,-0.6990175474898864,-0.5324891298103454,-15.0,-0.04012890279118393,-16.271635580091417,-1.1518563880486e-15,4.034350757563207e-12,3.332516858239867e-11,0.0942160330487811,0.0,0.20297833384972,0.0
19.200000000000003,0.39,5.1556393066254794e-17,0.1907155475682234,0.3044694702587371,1e-15,0.8878767329178662,5.155639306625478e-17,1.232595164407831e-32,-0.7196139008299743,-0.516456248393634,-15.0,-0.051647324682628296,-16.287717473906238,-4.163336342344337e-17,4.034350757563207e-12,3.332516858239867e-11,0.1021732919162485,0.0,0.2685122027208125,0.0
20.0,0.39,5.409153402121938e-17,0.1978582751435992,0.3148270397844881,1e-15,0.8683664853567993,5.409153402121933e-17,4.930380657631324e-32,-0.7036457812632696,-0.5019279741373668,-15.0,-0.061296946509051445,-16.26687070190969,-1.4849232954361469e-15,4.034350757563207e-12,3.332516858239867e-11,0.110020904054865,0.0,0.3261537967964966,0.0
4.0,0.5800000000000001,0.0422222673408004,0.2594822797956052,0.26767767385469626,0.8454063990812368,0.7190451577154028,0.042222267340800444,-4.163336342344337e-17,-0.5858922950400162,-0.5723878504270297,-0.07293446921677922,-0.14324383405276392,-1.3744584487365894,-4.440892098500626e-16,1.1717587611315139e-07,7.0332825696795e-07,0.0771814943481594,0.7147119796075034,0.0529284688818641,0.8812104686253469
4.8,0.5800000000000001,0.0339690267686481,0.2385972532567175,0.25767406620130606,0.8492643482179081,0.6505850222018279,0.03396902676864808,2.0816681711721685e-17,-0.6223345602562768,-0.5889292891418788,-0.07095710704348243,-0.18669593928652498,-1.4689168957281626,3.3306690738754696e-16,3.4630775829214144e-06,9.844206269704614e-06,0.0711178604801251,0.7212499331539882,0.3330127461264275,1.0295963875021603
5.6,0.5800000000000001,0.04383639273056,0.2408620932557482,0.31377884425076946,0.8531079310826909,0.6798900951342712,0.04383639273056009,-9.020562075079397e-17,-0.618231543651437,-0.5033763409749502,-0.06899602052252886,-0.16756128572670326,-1.35816519087562,-7.771561172376096e-16,7.621676395785926e-05,0.0006149437230931198,0.1092096338293002,0.7277931420761893,0.0489632309804584,1.1143657655370731
6.4,0.5800000000000001,0.0443922465437317,0.2348317398037009,0.3410845234930134,0.8425232366357835,0.657819020336049,0.044392246543731716,-1.3877787807814457e-17,-0.6292432043153414,-0.4671379859988473,-0.07441811252957799,-0.1818935733775859,-1.3526928762213528,-1.942890293094024e-16,0.0006463882609608618,0.004679244919579162,0.1316552460415761,0.7098454042712365,0.2368422574530327,1.0740896380316576
7.2,0.5800000000000001,0.0438341545439763,0.2205935934157932,0.35120411348378744,0.8260804264205999,0.6849167911601615,0.043834154543976316,-1.3877787807814457e-17,-0.6564071046998696,-0.4544404060550915,-0.08297766811509567,-0.1643621866608653,-1.3581873655309222,-1.3877787807814457e-16,6.176206225250169e-05,0.0004096975934504421,0.1406987183843505,0.68240887091524,0.5397550802947837,0.591936517109107
8.0,0.5800000000000001,0.0460056556883757,0.2258410747793691,0.3633075560105363,0.8216129437133111,0.6824433245211472,0.046005655688375766,-6.245004513516506e-17,-0.6461970680455217,-0.43972556965846205,-0.0853327274694608,-0.1659334100304456,-1.3371887752038907,-5.551115123125783e-16,7.07084413460457e-05,0.0004116796496012043,0.1520636193182569,0.6750478292772525,0.5891268740470006,0.5580450513598044
8.8,0.5800000000000001,0.0425742187488591,0.2223372469819722,0.32136821487248435,0.8194198051653918,0.7271518049992095,0.04257421874885915,-5.551115123125783e-17,-0.6529877761507202,-0.4929970796203284,-0.08649354347038354,-0.13837491349967787,-1.3708533127411107,-6.106226635438361e-16,6.9446413701879095e-06,4.327477771903787e-06,0.115172233250979,0.6714488170972888,0.1526414316992487,0.7386124264867792
9.6,0.5800000000000001,0.0391067708257289,0.2103436369428326,0.3209732984685203,0.8174819183912112,0.7085581810862778,0.039106770825728956,-5.551115123125783e-17,-0.6770706211911424,-0.49353109472943196,-0.0875218445756474,-0.14962448319026497,-1.4077480436864873,-6.106226635438361e-16,9.181544413650045e-14,8.29558643999917e-13,0.1148568546515892,0.6682766868965749,0.1066533286499557,0.8851615233941379
10.4,0.5800000000000001,0.0406454635887107,0.2165968878056446,0.3337331239271595,0.8164448486968443,0.6887057394429247,0.04064546358871069,6.938893903907228e-18,-0.6643477878701882,-0.47660068628839386,-0.08807314677004956,-0.16196629773486995,-1.3909879186635015,1.3877787807814457e-16,6.191759887475001e-06,3.6678840208081986e-05,0.1253376268973251,0.6665821909636129,0.1910896609391989,0.9172112454606636
11.2,0.5800000000000001,0.0408548879222415,0.2141961374641878,0.3452926237866013,0.815982564850183,0.6769618707717812,0.040854887922241526,-2.7755575615628914e-17,-0.6691883649379355,-0.46181269904119887,-0.08831912074399634,-0.16943579184624363,-1.3887559765693747,-2.7755575615628914e-16,3.444049016476658e-06,2.1297402320513692e-05,0.1353663151635882,0.665827546139483,0.263616892757297,0.9184677042342904
12.0,0.5800000000000001,0.03974470625403,0.2033633873147403,0.3554793714957137,0.8157986017016879,0.673921270977015,0.03974470625403004,-3.469446951953614e-17,-0.6917272329198442,-0.4491855963562059,-0.08841704340941382,-0.17139083577527292,-1.4007207084607372,-3.3306690738754696e-16,1.0299378016970229e-06,6.770504960298962e-06,0.1446435501863265,0.6655273585384293,0.324701506182844,0.8771177803699077
12.8,0.5800000000000001,0.0372231397900464,0.2100711557195202,0.3023840820031647,0.8089906937597835,0.7243427663062378,0.03722313979004638,2.0816681711721685e-17,-0.6776335752562322,-0.519441074546968,-0.09205647427403152,-0.14005587263097627,-1.4291869967082078,1.942890293094024e-16,3.864722260011472e-08,2.9663918869968914e-07,0.1006380909200492,0.6544659425899357,0.1142870052001219,0.7916640565541827
13.6,0.5800000000000001,0.0375172350602562,0.2082773251008593,0.2988704261474397,0.8080186332269031,0.7459067103688801,0.037517235060256296,-9.71445146547012e-17,-0.6813580085909113,-0.5245170571802344,-0.0925786241086843,-0.12731548580548108,-1.4257691756853121,-9.992007221626409e-16,3.422269000005968e-09,2.8128304599997446e-08,0.0980848135726996,0.6528941116418727,0.1152775579450587,0.6820654711364537
14.4,0.5800000000000001,0.036288708133019,0.1981620938639441,0.31143214686360643,0.8087495088801958,0.7270653631059345,0.03628870813301905,-4.85722573273506e-17,-0.7029794174600048,-0.5066365604098594,-0.09218597005206629,-0.1384265443538889,-1.44022849227582,-5.551115123125783e-16,6.078661426005294e-10,4.6899528878473445e-09,0.1074074264709029,0.6540757681139578,0.1959995823623919,0.6957040105816507
15.2,0.5800000000000001,0.0371187753394981,0.205104029139777,0.3226380950411735,0.809470661258451,0.6929512615505816,0.03711877533949808,2.0816681711721685e-17,-0.6880258081056236,-0.49128435520682556,-0.09179888734848815,-0.15929731024245308,-1.4304063609033904,8.326672684688674e-17,4.019809404979635e-11,3.5783049164391694e-10,0.1161901986479192,0.6552427514381939,0.2635129579283289,0.819033125761283
16.0,0.5800000000000001,0.0378389496934031,0.2036891577435576,0.33285771202960807,0.8104830919610516,0.6886024727128324,0.03783894969340308,2.0816681711721685e-17,-0.6910320876295052,-0.47774137636259545,-0.09125604083349083,-0.16203142211404886,-1.42206092693964,2.7755575615628914e-16,7.687624295507715e-12,2.6731393243179717e-11,0.1245991237260836,0.6568828423547464,0.3217878591111364,0.7871454402130791
16.8,0.5800000000000001,0.036792328334468,0.1940657427146949,0.3422610674663284,0.8110455462011041,0.6829763248397933,0.036792328334468015,-1.3877787807814457e-17,-0.7120511212991004,-0.46564249947785463,-0.09095475625938507,-0.16559435073961662,-1.4342427277759568,-1.1102230246251565e-16,2.8192562417158557e-12,1.7924874918710665e-11,0.1326858033760381,0.6577948780126474,0.3729068193667717,0.7709150726278875
17.6,0.5800000000000001,0.0361985046360608,0.2011363173486186,0.31092929648788725,0.8075697528076581,0.7167347272310843,0.036198504636060794,6.938893903907228e-18,-0.6965095057330672,-0.5073383557837621,-0.09281995574465558,-0.14464155258438316,-1.441309369845868,-5.551115123125783e-17,4.034350757563207e-12,3.332516858239867e-11,0.1070237670782771,0.652168905649822,0.2679119024066777,0.6787167217905432
18.4,0.5800000000000001,0.0360817095016701,0.1999781067668977,0.2934342948281214,0.8056874198342773,0.7631803861321128,0.03608170950167017,-6.938893903907228e-17,-0.6990175474898864,-0.5324891298103454,-0.09383341746456332,-0.1173727996038182,-1.442712894368614,-7.494005416219807e-16,4.034350757563207e-12,3.332516858239867e-11,0.0942160330487811,0.649132218479215,0.20297833384972,0.5139240325215797
19.200000000000003,0.5800000000000001,5.1556393066254794e-17,0.1907155475682234,0.3044694702587371,1e-15,0.8878767329178662,5.155639306625478e-17,1.232595164407831e-32,-0.7196139008299743,-0.516456248393634,-15.0,-0.051647324682628296,-16.287717473906238,-4.163336342344337e-17,4.034350757563207e-12,3.332516858239867e-11,0.1021732919162485,0.0,0.2685122027208125,0.0
20.0,0.5800000000000001,5.409153402121938e-17,0.1978582751435992,0.3148270397844881,1e-15,0.8683664853567993,5.409153402121933e-17,4.930380657631324e-32,-0.7036457812632696,-0.5019279741373668,-15.0,-0.061296946509051445,-16.26687070190969,-1.4849232954361469e-15,4.034350757563207e-12,3.332516858239867e-11,0.110020904054865,0.0,0.3261537967964966,0.0
4.0,0.77,0.042221956231503,0.2594822797956052,0.26767767385469626,0.8455800398790628,0.7188922038928496,0.04222195623150298,2.0816681711721685e-17,-0.5858922950400162,-0.5723878504270297,-0.07284527720570605,-0.14333622611815555,-1.3744616487909074,5.551115123125783e-17,1.1980423986202027e-07,7.181852974547098e-07,0.0771814943481594,0.7150056038418774,0.0529284688818641,0.8820335834498795
4.8,0.77,0.0339691492818225,0.2385972532567175,0.25767406620130606,0.849258954932388,0.6505915002170586,0.033969149281822555,-5.551115123125783e-17,-0.6223345602562768,-0.5889292891418788,-0.07095986505585278,-0.1866916149443317,-1.4689153293983406,-5.273559366969494e-16,3.4688254775261385e-06,9.860427367058833e-06,0.0711178604801251,0.7212407725328518,0.3330127461264275,1.029549338188574
5.6,0.77,0.0438363863215752,0.2408620932557482,0.31377884425076946,0.8531063451805618,0.6798912596302394,0.0438363863215752,0.0,-0.618231543651437,-0.5033763409749502,-0.06899682786373222,-0.16756054188039088,-1.3581652543705103,0.0,7.62230001498665e-05,0.000614994162802418,0.1092096338293002,0.7277904361873359,0.0489632309804584,1.1143583549822196
6.4,0.77,0.0443922454132966,0.2348317398037009,0.3410845234930134,0.8425230631346802,0.6578191390498112,0.0443922454132966,0.0,-0.6292432043153414,-0.4671379859988473,-0.07441820196400102,-0.18189349500234048,-1.3526928872805302,5.551115123125783e-17,0.0006463909153495706,0.004679263504243636,0.1316552460415761,0.7098451119138444,0.2368422574530327,1.0740888039440537
7.2,0.77,0.0438341543334881,0.2205935934157932,0.35120411348378744,0.8260804133300051,0.6849167987248713,0.04383415433348816,-6.245004513516506e-17,-0.6564071046998696,-0.4544404060550915,-0.08297767499720173,-0.16436218186420712,-1.3581873676163707,-7.494005416219807e-16,6.176206938501849e-05,0.0004096976319978296,0.1406987183843505,0.6824088492874721,0.5397550802947837,0.5919364700212614
8.0,0.77,0.0460056556521801,0.2258410747793691,0.3633075560105363,0.821612942687908,0.6824433248359387,0.04600565565218011,-6.938893903907228e-18,-0.6461970680455217,-0.43972556965846205,-0.08533272801147625,-0.165933409830118,-1.337188775545578,-5.551115123125783e-17,7.070844134116072e-05,0.0004116796487370067,0.1520636193182569,0.6750478275922835,0.5891268740470006,0.5580450493789465
8.8,0.77,0.0425742187541317,0.2223372469819722,0.32136821487248435,0.8194198050254742,0.7271518052134266,0.042574218754131775,-7.632783294297951e-17,-0.6529877761507202,-0.4929970796203284,-0.08649354354454022,-0.1383749133717358,-1.3708533126873255,-8.049116928532385e-16,6.944641252504269e-06,4.327476822663101e-06,0.115172233250979,0.6714488168679861,0.1526414316992487,0.7386124253724621
