D,eta,eymh_loop_prefactor_diag,hk_loop_local_prefactor_diag,shell_access,align_access,diag_dispersion_screen,eymh_prefactor_recon,eymh_prefactor_residual,log10_hk_loop_local_prefactor_diag,log10_shell_access,log10_align_access,log10_diag_dispersion_screen,log10_eymh_loop_prefactor_diag,log10_prefactor_residual,abs_mu_diff_vs_const,abs_mu_diff_vs_loop_abs,shell_spread,coeff_align,gap_cv,c_tree_diag_cv
4.0,0.2,0.0422231203520771,0.2594822797956052,0.26767767385469626,0.8450472597147287,0.719365279995994,0.04222312035207708,2.0816681711721685e-17,-0.5858922950400162,-0.5723878504270297,-0.07311900222263094,-0.1430505271375116,-1.3744496748271884,0.0,1.1206078065484348e-07,6.744000855540833e-07,0.0771814943481594,0.7141048711513722,0.0529284688818641,0.8794894425499511
4.8,0.2,0.0339687809967384,0.2385972532567175,0.25767406620130606,0.8492750682447441,0.650572103114179,0.033968780996738474,-7.632783294297951e-17,-0.6223345602562768,-0.5889292891418788,-0.07095162510004836,-0.1867045634386249,-1.46892003793683,-1.0547118733938987e-15,3.45160431791669e-06,9.811849755791968e-06,0.0711178604801251,0.7212681415421147,0.3330127461264275,1.0296902220130235
5.6,0.2,0.0438364055482439,0.2408620932557482,0.31377884425076946,0.8531111027479399,0.6798877662616724,0.04383640554824397,-7.632783294297951e-17,-0.618231543651437,-0.5033763409749502,-0.06899440591539019,-0.16756277334692046,-1.3581650638886984,-5.828670879282072e-16,7.620429086330205e-05,0.0006148428388712546,0.1092096338293002,0.7277985536318061,0.0489632309804584,1.1143805860015703
6.4,0.2,0.0443922488046886,0.2348317398037009,0.3410845234930134,0.842523583639576,0.6578187829087174,0.04439224880468861,-6.938893903907228e-18,-0.6292432043153414,-0.4671379859988473,-0.07441793365996979,-0.181893730127992,-1.3526928541021506,-2.7755575615628914e-17,0.000646382952147917,0.004679207749759939,0.1316552460415761,0.7098459889888737,0.2368422574530327,1.0740913062068649
7.2,0.2,0.0438341549649706,0.2205935934157932,0.35120411348378744,0.8260804526024531,0.6849167760304733,0.04383415496497062,-2.0816681711721685e-17,-0.6564071046998696,-0.4544404060550915,-0.08297765435053493,-0.16436219625435206,-1.3581873613598483,-1.6653345369377348e-16,6.176204798480356e-05,0.0004096975163343508,0.1406987183843505,0.6824089141718738,0.5397550802947837,0.5919366112864753
8.0,0.2,0.0460056557608796,0.2258410747793691,0.3633075560105363,0.821612945758027,0.6824433238982924,0.046005655760879643,-4.163336342344337e-17,-0.6461970680455217,-0.43972556965846205,-0.08533272638864914,-0.165933410426819,-1.3371887745194522,-3.0531133177191805e-16,7.070844131851217e-05,0.00041167965109334403,0.1520636193182569,0.6750478326371827,0.5891268740470006,0.5580450552791809
8.8,0.2,0.0425742187425198,0.2223372469819722,0.32136821487248435,0.8194198053033038,0.7271518047685539,0.04257421874251986,-6.245004513516506e-17,-0.6529877761507202,-0.4929970796203284,-0.08649354339728985,-0.1383749136374379,-1.3708533128057772,-7.771561172376096e-16,6.944641498085602e-06,4.3274788592562174e-06,0.115172233250979,0.6714488173233043,0.1526414316992487,0.7386124276866068
9.6,0.2,0.0391067708277571,0.2103436369428326,0.3209732984685203,0.8174819187980201,0.7085581807704207,0.03910677082775712,-2.0816681711721685e-17,-0.6770706211911424,-0.49353109472943196,-0.08752184435952658,-0.14962448338386236,-1.4077480436639636,-2.7755575615628914e-16,1.9317880628477724e-14,2.6201263381153694e-13,0.1148568546515892,0.6682766875616928,0.1066533286499557,0.8851615251699383
10.4,0.2,0.0406454635476514,0.2165968878056446,0.3337331239271595,0.816444847598413,0.68870573967378,0.04064546354765139,1.3877787807814457e-17,-0.6643477878701882,-0.47660068628839386,-0.08807314735434214,-0.1619662975892937,-1.3909879191022176,2.7755575615628914e-16,6.191759849505374e-06,3.6678840356574316e-05,0.1253376268973251,0.6665821891699958,0.1910896609391989,0.9172112440472516
11.2,0.2,0.0408548876661451,0.2141961374641878,0.3452926237866013,0.8159825712179611,0.6769618612453999,0.0408548876661451,0.0,-0.6691883649379355,-0.46181269904119887,-0.08831911735484191,-0.16943579795774713,-1.3887559792917235,0.0,3.444050288015088e-06,2.1297412036797025e-05,0.1353663151635882,0.665827556531475,0.263616892757297,0.9184677656480013
