proxy_label,proxy_family,proxy_normalization,scale_to_xi_target,c4_target,c4_proxy,abs_c4_gap,rel_c4_gap,corr_xi,corr_quartic,p95_abs_xi_resid,p95_abs_quartic_resid,max_abs_xi_resid,max_abs_quartic_resid,mean_xi_proxy,mean_xi_target,rank_score
hk_curv_screen_offdiag:over_diag,hk_curv_screen_offdiag,over_diag,0.19977205129009548,0.0014974113157501156,0.0013347887039296513,0.00016262261182046437,0.10860249960045208,0.5843717750894655,0.07945828147452479,0.06948186484386186,0.0012069323855451717,0.0872970220877528,0.001468556160250192,0.1098398849110263,0.11592162866948753,0.0187400212083311
action_norm_offdiag:over_diag,action_norm_offdiag,over_diag,0.05449294968252618,0.0014974113157501156,0.0013067631688453475,0.00019064814690476816,0.1273184895155307,0.5234835087843829,-0.46881147422991204,0.07334375072253309,0.0013448264425122683,0.07678146771617769,0.0014738484461626093,0.10854682824322145,0.11592162866948753,0.019871412270050307
hk_abs_offdiag:over_diag,hk_abs_offdiag,over_diag,0.2211005342805654,0.0014974113157501156,0.001357982510932354,0.00013942880481776173,0.09311323038046901,0.9915850396810143,0.06690597667179114,0.07370018238219384,0.0013579292207921586,0.07370018460153772,0.0013579293025751846,0.11196528227899842,0.11592162866948753,0.01992240362115838
hk_curv_screen_offdiag:over_tree,hk_curv_screen_offdiag,over_tree,0.23465589215407057,0.0014974113157501156,0.0012860333736342397,0.000211377942115876,0.14116224439641553,0.442788196895931,-0.32385260875126703,0.08161466470496871,0.0016294927497126422,0.08761355621965305,0.0016652383737261163,0.10708979881976119,0.11592162866948753,0.022244536868070697
hk_curv_screen_offdiag:over_sqrt_diag,hk_curv_screen_offdiag,over_sqrt_diag,0.2390916652207222,0.0014974113157501156,0.0012746988661704987,0.00022271244957961693,0.1487316458992104,0.39089193270999967,-0.48360851053518156,0.08315745201032394,0.0016916806378098335,0.08964164226419254,0.0017287904562123325,0.10641128343038977,0.11592162866948753,0.022703756089970436
hk_curv_screen_offdiag:over_part,hk_curv_screen_offdiag,over_part,0.24285110978028315,0.0014974113157501156,0.0012607757684430126,0.00023663554730710308,0.15802975763446964,0.3180841715403138,-0.6025384853411057,0.08446500838314253,0.0017452983974700484,0.09169323539756716,0.0017835844102910843,0.10551535809186689,0.11592162866948753,0.023098186040562782
action_norm_offdiag:over_tree,action_norm_offdiag,over_tree,0.06362641963592265,0.0014974113157501156,0.0012513493318602484,0.00024606198388986726,0.16432491280233485,0.28430191997462717,-0.8097709613545037,0.08563677114804444,0.001833414143165634,0.08965067799840735,0.00200931101639353,0.10530437215833648,0.11592162866948753,0.02348866891406661
hk_abs_offdiag:over_tree,hk_abs_offdiag,over_tree,0.2587930400451265,0.0014974113157501156,0.0013040867513356375,0.0001933245644144782,0.12910585246755255,0.9190048387958946,-0.8259736379203019,0.08626435170149983,0.0018603845936200143,0.08626435429919031,0.0018603847056640585,0.10886074922246274,0.11592162866948753,0.02361979708340945
action_norm_offdiag:over_sqrt_diag,action_norm_offdiag,over_sqrt_diag,0.06432155821796902,0.0014974113157501156,0.0012328478095068964,0.0002645635062432192,0.176680584326083,0.12910577870583617,-0.8208984951454845,0.08657237972082779,0.0018736942326317988,0.0906301397619312,0.0020534555583167956,0.10402427244688962,0.11592162866948753,0.023781352669081966
action_norm_offdiag:over_part,action_norm_offdiag,over_part,0.06485170603757251,0.0014974113157501156,0.001212555669376442,0.00028485564637367364,0.19023206474900825,-0.0034585079457506965,-0.818017612909357,0.08728592211032266,0.0019047080496623285,0.09137712681131714,0.0020874448260728836,0.10258724845634927,0.11592162866948753,0.024011044223616666
hk_abs_offdiag:over_sqrt_diag,hk_abs_offdiag,over_sqrt_diag,0.2633948841401899,0.0014974113157501156,0.0012907372255141004,0.00020667409023601528,0.1380209218817634,0.990468738381514,-0.9421445730959871,0.0877982998224493,0.001927135362928175,0.08779830246633177,0.00192713547899237,0.10802043019572498,0.11592162866948753,0.024083384408776512
action_abs_offdiag:over_tree,action_abs_offdiag,over_tree,1.138607179682056,0.0014974113157501156,0.0013316392594851566,0.00016577205626495907,0.11070575901312522,0.5590748944705958,0.257703331408604,0.09023135664133136,0.0014909128511485614,0.09380082354378963,0.001544767578983865,0.10412926052476641,0.11592162866948753,0.024214524067746362
hk_abs_offdiag:over_part,hk_abs_offdiag,over_part,0.2673000865882193,0.0014974113157501156,0.0012750604306189027,0.00022235088513121296,0.1484901862250374,0.8527718400664069,-0.9373715579508858,0.08910003404754138,0.0019847040168182585,0.08910003673062315,0.0019847041363495986,0.10698310871821334,0.11592162866948753,0.02448206341383482
action_abs_offdiag:over_diag,action_abs_offdiag,over_diag,0.9328094103404673,0.0014974113157501156,0.0013321798214191857,0.00016523149433092998,0.11034476138452223,0.5597419507626907,0.2652511343100896,0.09145493628973411,0.0015002453009502047,0.09564194127877435,0.001559553123737607,0.1041353562555134,0.11592162866948753,0.024529210867714663
action_abs_offdiag:over_sqrt_diag,action_abs_offdiag,over_sqrt_diag,1.1552873425192547,0.0014974113157501156,0.0013205673716635215,0.00017684394408659415,0.11809977808135212,0.5335581628945428,0.2172282394581864,0.09229783691134227,0.0015065048142085585,0.09766779352337962,0.0015751310905031853,0.10336278265848857,0.11592162866948753,0.02475780798613072
action_abs_offdiag:raw,action_abs_offdiag,raw,1.4286324261511285,0.0014974113157501156,0.0013076007724224987,0.00018981054332761695,0.1267591217797983,0.5059043943643916,0.16774027251469548,0.09317896315465957,0.0015680164584226182,0.09966393343451214,0.0015897722844224601,0.10248612877313326,0.11592162866948753,0.025052567790415127
action_abs_offdiag:over_part,action_abs_offdiag,over_part,1.1694406391338747,0.0014974113157501156,0.0013075444498166883,0.0001898668659334273,0.12679673509633863,0.5058491846904392,0.17397603086290436,0.09434168185827914,0.001522307838759479,0.10130498143263203,0.0016012823794192429,0.10244641823101458,0.11592162866948753,0.02529759516926269
hk_curv_screen_offdiag:raw,hk_curv_screen_offdiag,raw,0.2800923948163218,0.0014974113157501156,0.0011920860200120742,0.00030532529573804143,0.20390208924332276,0.05689843889623712,-0.81452725667466,0.0963664953796164,0.0023216253579374075,0.09741774084384217,0.0023725540577794984,0.10126486127235532,0.11592162866948753,0.026718574498579548
action_norm_offdiag:raw,action_norm_offdiag,raw,0.07413892984760766,0.0014974113157501156,0.0011363070672447766,0.00036110424850533903,0.24115234385312956,-0.41307595566079947,-0.9388929061536839,0.099785884619161,0.002489305692307128,0.10446297882148628,0.002728128486064573,0.09771475191295356,0.11592162866948753,0.02779688109560272
hk_abs_offdiag:raw,hk_abs_offdiag,raw,0.3065773737550677,0.0014974113157501156,0.0011991727157147985,0.00029823860003531715,0.19916945791605498,0.10978215828158917,-0.9281857133487461,0.10219246386501639,0.00261082491770067,0.10219246694235233,0.0026108250749409434,0.10219446890112897,0.11592162866948753,0.028457179483990083
hk_mass_access_offdiag:over_part,hk_mass_access_offdiag,over_part,23.19918672876917,0.0014974113157501156,0.0004932528911377977,0.001004158424612318,0.6705962577218092,0.16366460186559065,0.060324566757399875,0.12757423220026184,0.001957839452278781,0.13114263163881723,0.004381097993647739,0.039760203887243016,0.11592162866948753,0.034855555926956557
hk_mass_access_offdiag:raw,hk_mass_access_offdiag,raw,27.19179482649746,0.0014974113157501156,0.0004845127718265313,0.0010128985439235845,0.6764330770508312,0.1597849265164579,0.060748034740048626,0.12798574543181118,0.001962704975521786,0.13178367956300013,0.004297377097952762,0.03911631195618073,0.11592162866948753,0.034972039877398164
hk_mass_access_offdiag:over_sqrt_diag,hk_mass_access_offdiag,over_sqrt_diag,21.501506160406592,0.0014974113157501156,0.0004826683286748224,0.0010147429870752934,0.6776648315676487,0.16795059659569134,0.06405233837402355,0.12801730551121515,0.0019612798952970884,0.13172030840154403,0.004311112956156451,0.038861948929915444,0.11592162866948753,0.03498034926017617
hk_mass_access_offdiag:over_diag,hk_mass_access_offdiag,over_diag,16.99170858096618,0.0014974113157501156,0.0004807497723685902,0.0010166615433815254,0.6789460802706953,0.17514672640308226,0.06704038267031223,0.12805331206586865,0.0019598870433205663,0.13166377454459793,0.004317692756904132,0.038618419366177346,0.11592162866948753,0.034989876603169254
hk_mass_access_offdiag:over_tree,hk_mass_access_offdiag,over_tree,19.911710633752904,0.0014974113157501156,0.00047242351027490087,0.0010249878054752147,0.6845065178112105,0.17181045028653233,0.06733630436020624,0.12844184872449374,0.001964607544972444,0.13228026068618526,0.004242235392232964,0.03799623779944263,0.11592162866948753,0.03510005753157109
hk_loop_prefactor_offdiag:over_part,hk_loop_prefactor_offdiag,over_part,22924.00986123491,0.0014974113157501156,0.00027978263522806363,0.001217628680522052,0.8131557894045238,0.11337695081639476,0.030491978377679824,0.14228727884487,0.0020140938992167117,0.14254525320244818,0.002219750340973335,0.022596209880809473,0.11592162866948753,0.03880354229095626
hk_loop_prefactor_offdiag:over_diag,hk_loop_prefactor_offdiag,over_diag,17064.99648149167,0.0014974113157501156,0.00027979533761115843,0.0012176159781389572,0.813147306509436,0.11971044757801745,0.03395872806747752,0.14231383205174034,0.0020141020904517774,0.14257107554762558,0.0021527573919539176,0.022566903874143555,0.11592162866948753,0.038810176081525816
hk_loop_prefactor_offdiag:over_sqrt_diag,hk_loop_prefactor_offdiag,over_sqrt_diag,21439.446164493478,0.0014974113157501156,0.00027878089182169235,0.0012186304239284232,0.8138247728667394,0.11665113157428174,0.032321854234979075,0.14235716450253558,0.0020142221186712733,0.1425824026428634,0.0021778791902001622,0.022499412894374984,0.11592162866948753,0.03882214366823359
hk_loop_prefactor_offdiag:raw,hk_loop_prefactor_offdiag,raw,26930.438814914647,0.0014974113157501156,0.0002778158580979716,0.001219595457652144,0.8144692408987159,0.11350830572643779,0.03068969826325897,0.14240028465603943,0.002014338595389759,0.14259376071386023,0.0022018520080587124,0.022436890407910314,0.11592162866948753,0.038834005217051756
