D,level,rel_B1_vs_fine,rel_B2_vs_fine,rel_B3_vs_fine,rel_yraw1_vs_fine,rel_yraw2_vs_fine,rel_yraw3_vs_fine
4.0,coarse,0.0031197145774003606,0.00015527992644086603,0.0,0.024106169922356695,0.01814019317597966,0.021360265864419904
4.0,fine,0.0,0.0,0.0,0.0,0.0,0.0
4.0,mid,0.003947794746680584,0.000828428219524938,0.0,0.014941610890221321,0.00943702003677334,0.008768206363782404
5.0,coarse,0.0010808980453940356,0.0004583851814201841,0.0,0.007779727180320698,0.005351389935214433,0.008977193417514552
5.0,fine,0.0,0.0,0.0,0.0,0.0,0.0
5.0,mid,1.1095434516963838,0.004259728042953925,0.0,0.7487415398601022,0.6870948195123495,0.188523250348053
6.0,coarse,0.00855379495840811,0.007066313908527301,0.0,0.008859669991413894,0.006852309840513983,0.046430132036045874
6.0,fine,0.0,0.0,0.0,0.0,0.0,0.0
6.0,mid,1.736373606513738,0.044572184123332526,0.0,1.8497027154055963,0.6524685213266127,0.34831161157214496
7.0,coarse,0.03060139260462296,0.0274481166467023,0.0,0.021809765864967127,0.0292533121076116,0.12302040597522562
7.0,fine,0.0,0.0,0.0,0.0,0.0,0.0
7.0,mid,0.13562808863889003,0.0371349406963759,0.0,0.009709848937266346,0.34709611370801763,0.050802292963441256
8.0,coarse,0.025948710728914165,0.028959299777912898,0.0,0.0089847396908695,0.015627621672706284,0.07458615111488075
8.0,fine,0.0,0.0,0.0,0.0,0.0,0.0
8.0,mid,0.18445287305385286,0.014194780737619695,0.0,0.013392635109239109,0.38463379323581676,0.1429352064629114
9.0,coarse,0.10866632611919046,0.08279925684081711,0.0,0.009324244250696685,0.3239669074198575,0.07790468593223195
9.0,fine,0.0,0.0,0.0,0.0,0.0,0.0
9.0,mid,1.6451038179193544,0.10497357775665107,0.0,1.898008909978911,0.550777701181079,0.16232711970013278
9.6,coarse,0.0432514732547778,0.04173703136992912,0.0,0.008725209804093952,0.006736269069698071,0.13862877013460614
9.6,fine,0.0,0.0,0.0,0.0,0.0,0.0
9.6,mid,1.9851008105870485,0.06968037235445103,0.0,1.775963885053761,0.6434172417527685,0.23951427305372616
10.0,coarse,0.026540350539068665,0.021502329019042303,0.0,0.019264085747381005,0.012414226986751035,0.06447254529641436
10.0,fine,0.0,0.0,0.0,0.0,0.0,0.0
10.0,mid,1.7977405668642992,0.03272659732418012,0.0,1.6902136699379724,0.6337984234660662,0.12301545732461844
11.0,coarse,0.012172843994735963,0.010209713892503296,0.0,0.007903830211992164,0.005177335671315005,0.04859586501310791
11.0,fine,0.0,0.0,0.0,0.0,0.0,0.0
11.0,mid,0.572541830604391,0.22973133673878932,0.0,0.25562009925868884,0.785290658350192,0.05195537527752735
12.0,coarse,0.09007924657488156,0.2650828845108727,0.0,0.5546045325776342,0.6760269700480486,0.06480499850503044
12.0,fine,0.0,0.0,0.0,0.0,0.0,0.0
12.0,mid,0.5958559453387507,0.2402898247191424,0.0,0.23368847493593806,0.8028077777175524,0.12346748326612254
13.0,coarse,0.021786342716876912,0.01957303406111731,0.0,0.020885259075087773,0.017586322949388538,0.035651737439114754
13.0,fine,0.0,0.0,0.0,0.0,0.0,0.0
13.0,mid,1.0470175335135188,0.007439285393691052,0.0,1.0111225168500495,0.5125415821462465,0.0305302736639768
14.0,coarse,0.09385250666687911,0.09754205958517925,0.0,0.008788270453146979,0.3322770215964447,0.06126410317625219
14.0,fine,0.0,0.0,0.0,0.0,0.0,0.0
14.0,mid,1.3436303215162826,0.1115744993812648,0.0,1.5347528402552897,0.4882912339131302,0.11240599033279568
15.0,coarse,0.05394486396026134,0.052886157074367716,0.0,0.007418816794814153,0.005992871741831349,0.19824446915925695
15.0,fine,0.0,0.0,0.0,0.0,0.0,0.0
15.0,mid,1.5390053795533467,0.0388124300590323,0.0,1.4303701535324274,0.5930720715875395,0.1560389600891068
16.0,coarse,0.02513911664549743,0.021398422839548573,0.0,0.016336847323440293,0.011034196205120793,0.06227433448008778
16.0,fine,0.0,0.0,0.0,0.0,0.0,0.0
16.0,mid,1.3993931522970426,0.030583543077041687,0.0,1.3097803303839324,0.5742953196053199,0.11185510759030232
17.0,coarse,0.5220440797326276,0.13951522557272086,0.0,0.1877300263044446,0.6993675011148854,0.2719545910337715
17.0,fine,0.0,0.0,0.0,0.0,0.0,0.0
17.0,mid,0.8206814200486292,0.1357015154644401,0.0,0.20677755873346124,0.8106055559335376,0.40998208609278664
18.0,coarse,0.03204218907405652,0.030939458641351586,0.0,0.007804706350510901,0.006132458377996308,0.06275089934360302
18.0,fine,0.0,0.0,0.0,0.0,0.0,0.0
18.0,mid,0.8950894460218618,0.04809103317890899,0.0,0.7981227854911404,0.4499060360228141,0.11047050183840691
19.0,coarse,0.058810236031281445,0.27927811573209027,0.0,0.017624030068619168,0.3510445786116664,0.4290613199547907
19.0,fine,0.0,0.0,0.0,0.0,0.0,0.0
19.0,mid,1.4648468064692957,0.28326002332745587,0.0,1.3114982394272363,0.4321026128254575,0.448339836950188
20.0,coarse,0.07500402441463236,0.11651860375509412,0.0,0.008569027712696102,0.3416041855933856,0.12024661218920016
20.0,fine,0.0,0.0,0.0,0.0,0.0,0.0
20.0,mid,1.0984127059941984,0.13023760266093734,0.0,1.223082150119743,0.4126896682375291,0.16930154780627246
