D,level,dr,dz,rho_max,z_max,Nr,Nz,sigma_l,sigma_r,frame_power,n_eigs,window_k,window_gap_scale,window_sigma_mult,window_floor,frame_model,dirac_rescaling_power,higgs_rescaling_power,yukawa_net_omega_power,lambda_1,lambda_2,lambda_3,track_idx_1,track_idx_2,track_idx_3,track_score_1,track_score_2,track_score_3,parity_1,parity_2,parity_3,y_eff_center_1,y_eff_center_2,y_eff_center_3,y_eff_raw_1,y_eff_raw_2,y_eff_raw_3,y_eff_cum_1,y_eff_cum_2,y_eff_cum_3,nwin_1,nwin_2,nwin_3,sigma_mc_1,sigma_mc_2,sigma_mc_3,B1,B2,B3,sigma_scale_e,sigma_scale_mu,sigma_scale_tau,y_eff_flavor_e_1,y_eff_flavor_e_2,y_eff_flavor_e_3,y_eff_flavor_mu_1,y_eff_flavor_mu_2,y_eff_flavor_mu_3,y_eff_flavor_tau_1,y_eff_flavor_tau_2,y_eff_flavor_tau_3,g_uv_e_1,g_uv_e_2,g_uv_e_3,g_uv_mu_1,g_uv_mu_2,g_uv_mu_3,g_uv_tau_1,g_uv_tau_2,g_uv_tau_3,build_s,solve_s
4.0,coarse,0.12,0.06,3.0,8.0,25,267,2.5,2.5,0.0,8,1,1.0,2.0,0.05,minimal_dirac_conformal,-1.5,-1.0,0.0,1.283718548701631,1.6215888992773002,2.0429038926600493,0,1,2,1.0,1.0,1.0,-0.9999998134937833,0.9999997794762118,-0.9999999555145193,0.00011861621437100889,0.008636200978401076,5.2085124794892844e-05,0.0033343508627278143,0.004226364122307274,0.0027313808610786817,0.0033343508627278143,0.007560714985035089,0.01029209584611377,2,3,4,0.3378703505756693,0.3378703505756693,0.42131499338274914,0.32397199876319105,0.7346137364130715,1.0,1.5,1.0,0.7978827341882164,0.0007207979172543539,0.0009002979370131822,0.000536058321424797,0.0033343508627278143,0.004226364122307274,0.0027313808610786817,0.004327569598012509,0.0055031935612343775,0.003985514553678555,0.02684767992312099,0.030004965205998525,0.023152933322255237,0.05774383830962239,0.06501049240166755,0.052262614372787376,0.06578426558085534,0.07418351273183535,0.06313093182963922,0.0017271041870117188,0.016278982162475586
4.0,fine,0.06,0.03,3.0,8.0,50,533,2.5,2.5,0.0,8,1,1.0,2.0,0.05,minimal_dirac_conformal,-1.5,-1.0,0.0,1.301617994348551,1.6419653290034093,2.066705423812488,0,1,2,1.0,1.0,1.0,-0.9999999515593545,0.9999999427843499,-0.9999999890237051,5.9006660141659765e-05,0.008526591864399854,2.5644414973745247e-05,0.0032558644412625797,0.004151063036931665,0.0026742579992251802,0.0032558644412625797,0.007406927478194245,0.010081185477419426,2,3,4,0.3403473346548582,0.3403473346548582,0.4247400948090787,0.32296444188585777,0.7347278248956753,1.0,1.5,1.0,0.7978827341882164,0.0006829977456728894,0.0008641526671985465,0.0005201338683520425,0.0032558644412625797,0.004151063036931665,0.0026742579992251802,0.004263491210122921,0.005444819795942175,0.003930589997479033,0.026134225560993565,0.029396473720474475,0.02280644357088677,0.057060182625562804,0.06442874387206121,0.051713228474203586,0.06529541492419602,0.07378902219125942,0.06269441759422471,0.0029659271240234375,0.1607990264892578
4.0,mid,0.08,0.04,3.0,8.0,38,400,2.5,2.5,0.0,8,1,1.0,2.0,0.05,minimal_dirac_conformal,-1.5,-1.0,0.0,1.2792024981095955,1.618825002891938,2.042403170933776,0,1,2,1.0,1.0,1.0,-1.0,1.0,-1.0,1.959618990514389e-13,0.008495022779288201,1.5276408610320757e-16,0.0032072165816699263,0.004111889371878232,0.002650809553217978,0.0032072165816699263,0.007319105953548158,0.009969915506766135,2,3,4,0.33962250478234246,0.33962250478234246,0.42357816804183823,0.32168944455881615,0.7341191556318616,1.0,1.5,1.0,0.7978827341882164,0.0006687516325996084,0.0008573891597833584,0.000516975494498525,0.0032072165816699263,0.004111889371878232,0.002650809553217978,0.004204316360758734,0.005390245192292377,0.003891726661338748,0.025860232647824506,0.029281208304702155,0.022737095120057112,0.05663229274601132,0.06412401556264417,0.051486013180454926,0.06484069987869297,0.0734182892220486,0.062383705094669936,0.0020818710327148438,0.14531993865966797
5.0,coarse,0.12,0.06,3.0,8.5,25,283,2.5,2.5,0.0,8,1,1.0,2.0,0.05,minimal_dirac_conformal,-1.5,-1.0,0.0,1.8892667262741667,1.5163436658249445,2.332661485121962,1,0,2,0.08195882486107083,0.6877293482675831,0.09446014971585129,-0.9999999241146043,0.9999997964528371,0.9999999629278903,4.1400160203294454e-05,0.006699657933395551,0.0018073690572935595,0.002379513993013237,0.004185894840674096,0.0013291473070924757,0.002379513993013237,0.006565408833687333,0.007894556140779808,3,2,4,0.3729230604492222,0.3729230604492222,0.44339475884779533,0.3014120047511871,0.8316374874799249,1.0,1.5,1.0,0.7978827341882164,0.0005849258921694192,0.0011794402612864455,0.0002195282843276242,0.002379513993013237,0.004185894840674096,0.0013291473070924757,0.002686690967589692,0.0042334037762559226,0.0018607583479575177,0.024185241205524892,0.03434297979626179,0.014816486909103123,0.04878026233030361,0.06469849179597695,0.036457472582345524,0.051833299794530656,0.06506461231926247,0.04313650829584515,0.0014469623565673828,0.02038407325744629
5.0,fine,0.06,0.03,3.0,8.5,50,567,2.5,2.5,0.0,8,1,1.0,2.0,0.05,minimal_dirac_conformal,-1.5,-1.0,0.0,1.9024687989070346,1.5294372486180352,2.3463512759659455,1,0,2,0.07257840125190625,0.6725336157176156,0.09740026895494701,-0.9999999805358204,0.9999999465400107,0.9999999903249537,2.0622707803748944e-05,0.006676464792000691,0.0017991731757645707,0.002361144929627537,0.004163613720118135,0.0013173214575747847,0.002361144929627537,0.0065247586497456725,0.007842080107320458,3,2,4,0.37303155028899937,0.37303155028899937,0.44388247705891093,0.3010865608760418,0.8320188726017875,1.0,1.5,1.0,0.7978827341882164,0.000579483054922731,0.0011661066538294085,0.0002193859594660416,0.002361144929627537,0.004163613720118135,0.0013173214575747847,0.0026724355293863385,0.004220883569927439,0.0018498174894364394,0.024072454277092956,0.03414830382067913,0.014811683208401455,0.048591613778794555,0.06452607008115507,0.03629492330305693,0.05169560454609597,0.06496832743673982,0.043009504640677265,0.007031917572021484,0.21030831336975098
5.0,mid,0.08,0.04,3.0,8.5,38,425,2.5,2.5,0.0,8,1,1.0,2.0,0.05,minimal_dirac_conformal,-1.5,-1.0,0.0,1.5087220899321545,2.3254477130313336,3.30184141087657,0,2,4,0.10428328870231086,0.12735993222894026,0.007267612887342591,1.0,1.0,1.0,0.0066334168564833205,0.0017893198342064797,0.0020852060068305006,0.004129032220069732,0.001302816302574423,0.0010689757346395515,0.004129032220069732,0.005431848522644155,0.006500824257283706,2,4,4,0.3730201197476257,0.44370550335155334,0.09155650056253295,0.6351551828898386,0.8355630467256763,1.0,1.5,1.0,0.7978827341882164,0.0011594258762584989,0.00021621552414117771,0.004427092783119369,0.004129032220069732,0.001302816302574423,0.0010689757346395515,0.004185335904103147,0.0018292178845223457,0.000754362497906721,0.034050343261977534,0.014704268908761758,0.06653640193998597,0.06425754601655538,0.036094546715181544,0.032695194366138144,0.06469417210308163,0.04276935684017642,0.02746566033989937,0.0046520233154296875,0.0895528793334961
6.0,coarse,0.12,0.06,3.0,9.0,25,300,2.5,2.5,0.0,8,1,1.0,2.0,0.05,minimal_dirac_conformal,-1.5,-1.0,0.0,2.1476465776577474,1.4225783333464113,3.113840163771764,2,0,4,0.09310225452598835,0.7331603091794575,0.06996088864568208,1.0,1.0,1.0,0.0015127580360274266,0.0047687708716261604,0.00031004793605003645,0.0010383042472245354,0.0029683659274073134,0.0005736453420987974,0.0010383042472245354,0.004006670174631849,0.004580315516730647,4,2,4,0.39527688299046426,0.32979136132087183,0.21496373873091645,0.22668836752225746,0.8747585532037199,1.0,1.5,1.0,0.7978827341882164,0.0001756250657810732,0.0012336646761427676,0.0023125504410839277,0.0010383042472245354,0.0029683659274073134,0.0005736453420987974,0.001044869327092464,0.002224717809682509,0.0004695207889769682,0.013252360762561257,0.03512356297619545,0.04808898461273567,0.032222728736476296,0.054482712188430135,0.02395089439037293,0.03232443854257122,0.04716691435405235,0.02166842839194777,0.003774881362915039,0.036051034927368164
6.0,fine,0.06,0.03,3.0,9.0,50,600,2.5,2.5,0.0,8,1,1.0,2.0,0.05,minimal_dirac_conformal,-1.5,-1.0,0.0,2.166109564691628,1.438288008658346,3.1362387829019926,2,0,4,0.09180811444515528,0.7398697758086241,0.0685971968005389,1.0,1.0000000000000002,1.0,0.0014966795366415464,0.004736316165755654,0.0003059205087500972,0.0010291859989143704,0.002948164192896875,0.0006015766241897251,0.0010291859989143704,0.003977350191811246,0.004578926816000971,4,2,5,0.39697827591369617,0.33084328011958597,0.267638565671406,0.2247657672356544,0.8686206073249462,1.0,1.5,1.0,0.7978827341882164,0.00017548852780261656,0.0012091921587978971,0.0022839668269014307,0.0010291859989143704,0.002948164192896875,0.0006015766241897251,0.001041095631857092,0.0022192250402972243,0.0004135794617439975,0.013247208302227928,0.034773440422223065,0.04779086551739182,0.03208092889731173,0.054296999851712574,0.024527059020390624,0.03226601357244325,0.047108651437896464,0.02033665315984903,0.0032057762145996094,0.3184199333190918
6.0,mid,0.08,0.04,3.0,9.0,38,450,2.5,2.5,0.0,8,1,1.0,2.0,0.05,minimal_dirac_conformal,-1.5,-1.0,0.0,1.4166811539277833,2.1436204020131076,3.294293428458302,0,2,5,0.7372353101286795,0.5615416142705738,0.9322821183889661,1.0,0.9999999999999998,1.0,0.004711752220182528,0.0014911239095607958,0.001354087969884228,0.0029328741357637026,0.0010245798613293844,0.0008111127476453789,0.0029328741357637026,0.003957453997093087,0.0047685667447384655,2,4,3,0.3305536240775593,0.396385624007765,0.0848207234701106,0.615043113111455,0.8299042896819377,1.0,1.5,1.0,0.7978827341882164,0.0012072316292213775,0.00017355937606310077,0.004419521605151205,0.0029328741357637026,0.0010245798613293844,0.0008111127476453789,0.0022072830658389233,0.0010358858196821187,0.0003428368602869477,0.03474523894321893,0.013174193564051683,0.06647948258787222,0.05415601661647303,0.03200905905098406,0.0284800412156545,0.046981731192442484,0.032185180125053184,0.018515854295358552,0.0049152374267578125,0.10788989067077637
7.0,coarse,0.12,0.06,3.0,9.5,25,317,2.5,2.5,0.0,8,1,1.0,2.0,0.05,minimal_dirac_conformal,-1.5,-1.0,0.0,1.9908069663508494,1.6373530802727638,3.3218986157155896,1,0,4,0.6318912563914537,0.044596552437574516,0.5137377564041589,0.9999999639137365,-0.9999998275455351,0.9999979177361328,0.0011208721045876222,1.975687062628464e-05,0.0008447122728967391,0.0005358629423337951,0.00043547265247987445,0.0004464701717957316,0.0005358629423337951,0.0009713355948136695,0.001417805766609401,3,2,4,0.3534538860780856,0.3534538860780856,0.05,0.37795229428025234,0.6850977882087201,1.0,1.5,1.0,0.7978827341882164,4.162595206820071e-05,3.564886022070436e-05,0.0032037795157303997,0.0005358629423337951,0.00043547265247987445,0.0004464701717957316,0.0004182785160093338,0.000338458723163021,0.00011209812311696324,0.0064518177336469066,0.005970666647930059,0.05660193915167924,0.02314871362157723,0.02086798151426904,0.021129840789644666,0.02045185849768509,0.01839724770619293,0.01058764011085394,0.0034368038177490234,0.04058432579040527
