uv_blend,uv_m2_power,f_chi2_le_4,best_chi2,mu_p50,mu_p90,target_f_chi2_le_4,delta_f_chi2_le_4,score_abs_delta
0.0,1.0,0.15,2.194400748429602e-05,0.0532254392021002,17.626512178936103,0.1613888888888889,-0.011388888888888893,0.011388888888888893
0.0,0.5,0.15,0.024015537254283188,0.04894178915004514,20.453591619585893,0.1613888888888889,-0.011388888888888893,0.011388888888888893
0.0,0.0,0.15,0.07705886818858157,0.04501339162885588,20.481934348095095,0.1613888888888889,-0.011388888888888893,0.011388888888888893
0.0,0.75,0.1461111111111111,0.009054873891387778,0.05103721237260983,19.582776712080214,0.1613888888888889,-0.015277777777777779,0.015277777777777779
0.0,1.25,0.14416666666666667,1.008421583712063e-06,0.05551069205121971,15.891795673318951,0.1613888888888889,-0.017222222222222222,0.017222222222222222
0.15,0.0,0.1786111111111111,0.05501358882679098,0.044628053917812056,11.921896267099138,0.1613888888888889,0.017222222222222222,0.017222222222222222
0.15,0.5,0.18333333333333332,2.4773635328375217e-05,0.0485216148794963,9.213128269227392,0.1613888888888889,0.021944444444444433,0.021944444444444433
0.15,0.75,0.18333333333333332,0.0025474907714155286,0.05059877287842805,8.019221967589187,0.1613888888888889,0.021944444444444433,0.021944444444444433
0.15,1.0,0.18611111111111112,7.541831535742513e-05,0.05276803151788109,6.955926729216687,0.1613888888888889,0.02472222222222223,0.02472222222222223
0.15,1.25,0.1986111111111111,0.004455294434134487,0.0550335374226196,6.028149869538951,0.1613888888888889,0.03722222222222221,0.03722222222222221
0.25,0.0,0.21666666666666667,0.0006641556361454055,0.04448362222600993,5.837162019604806,0.1613888888888889,0.05527777777777779,0.05527777777777779
0.25,0.75,0.25,0.00023097691295476426,0.050424676878795135,3.7515273515286585,0.1613888888888889,0.08861111111111111,0.08861111111111111
0.25,0.5,0.25,0.005733261669139819,0.04835766352214555,4.343532332305404,0.1613888888888889,0.08861111111111111,0.08861111111111111
1.0,0.0,0.26666666666666666,0.0005151486128184055,0.04552668231454282,1.6798161989667966,0.1613888888888889,0.10527777777777778,0.10527777777777778
0.25,1.25,0.26666666666666666,0.010290573813381651,0.05483745034887384,2.8172153337248926,0.1613888888888889,0.10527777777777778,0.10527777777777778
0.25,1.0,0.2683333333333333,0.0019237875162456065,0.052583276049110256,3.2464339181162494,0.1613888888888889,0.10694444444444443,0.10694444444444443
0.35,0.5,0.26944444444444443,0.0019348572366133753,0.04828280185181589,2.285112241631465,0.1613888888888889,0.10805555555555554,0.10805555555555554
0.35,1.0,0.26944444444444443,0.005319275918369044,0.0524887656971371,1.856230660457174,0.1613888888888889,0.10805555555555554,0.10805555555555554
0.35,0.75,0.2833333333333333,0.000155101869216158,0.05034035920162755,2.015580699119519,0.1613888888888889,0.12194444444444444,0.12194444444444444
0.35,1.25,0.2833333333333333,0.007836141654485925,0.05473179481083712,1.8200502849706275,0.1613888888888889,0.12194444444444444,0.12194444444444444
0.35,0.0,0.2833333333333333,0.028429969418648234,0.04442657807697212,2.9765200573151516,0.1613888888888889,0.12194444444444444,0.12194444444444444
1.0,1.0,0.3,0.00014727493834592524,0.05360274899485383,1.558597602444733,0.1613888888888889,0.1386111111111111,0.1386111111111111
1.0,0.75,0.3,0.0022203166759827285,0.05145918238531995,1.5917106174245563,0.1613888888888889,0.1386111111111111,0.1386111111111111
1.0,1.25,0.3,0.004941993425115275,0.05583173208932553,1.5262144192420584,0.1613888888888889,0.1386111111111111,0.1386111111111111
1.0,0.5,0.3,0.008307094745613629,0.049399257965468804,1.625221923023075,0.1613888888888889,0.1386111111111111,0.1386111111111111
0.5,0.0,0.31666666666666665,0.00010560081136533525,0.04448688939395173,1.8326773364101787,0.1613888888888889,0.15527777777777776,0.15527777777777776
0.5,0.5,0.31666666666666665,0.00033526981226218743,0.04832100477829508,1.786534905037661,0.1613888888888889,0.15527777777777776,0.15527777777777776
0.5,0.75,0.31666666666666665,0.001432285016301443,0.050366490139070776,1.7210127335987055,0.1613888888888889,0.15527777777777776,0.15527777777777776
0.5,1.0,0.31666666666666665,0.008468631130442736,0.05250153404075095,1.6784026268690497,0.1613888888888889,0.15527777777777776,0.15527777777777776
0.7,1.25,0.3333333333333333,0.0038531306546848903,0.054991214757381904,1.4467383096283262,0.1613888888888889,0.17194444444444443,0.17194444444444443
0.7,1.0,0.3333333333333333,0.005831300680529852,0.052774396322589845,1.4729089569103884,0.1613888888888889,0.17194444444444443,0.17194444444444443
0.7,0.5,0.35,3.0560986081130974e-06,0.048609133358334916,1.5305292977856608,0.1613888888888889,0.1886111111111111,0.1886111111111111
0.7,0.75,0.35,0.000526857864668255,0.0506479998409992,1.5008636642280477,0.1613888888888889,0.1886111111111111,0.1886111111111111
0.7,0.0,0.35,0.011421624046512188,0.044784992015637,1.5942961166849283,0.1613888888888889,0.1886111111111111,0.1886111111111111
0.5,1.25,0.35,0.02084809202961777,0.054729573960274724,1.6610124989648427,0.1613888888888889,0.1886111111111111,0.1886111111111111
