D,eta,mu_ee,mu_mumu,mu_tautau,chi2_mumu
4.0,0.2,0.45532939141407497,2.372936441357069,15.833534918925247,5.916283243253482
4.8,0.2,2.933315559073639,13.627857003977132,15.667661017890703,934.5030431857036
5.6,0.2,13.901468044229643,58.334949649587166,14.68758642483726,20259.928072506413
6.4,0.2,22.43975963916818,60.19274710368821,11.97527889411466,21603.669449988993
7.2,0.2,21.438040171745747,3.2676710695750155,9.050345958043936,21.801220150796766
8.0,0.2,19.336572592210345,2.3322085411558175,6.9666753876014464,5.43132977627411
8.8,0.2,3.4706864586462234,1.588944807417972,2.7791286927842633,0.2231258765638409
9.600000000000001,0.2,1.0000000096721853,1.0000000014340404,0.9999999804639137,0.9999999928297973
10.4,0.2,0.4765913276034229,0.48978985469932995,0.2935395538274145,5.178015678801666
11.2,0.2,0.1824277692712454,0.1504618902311912,0.04283147536723469,9.758409298528797
12.0,0.2,0.055521904895902884,0.03791211049100246,0.016089223784239146,11.595521367169216
12.8,0.2,0.0041693444249666185,0.0022514620625185074,0.0029423336145261037,12.210631095664793
13.600000000000001,0.2,0.0004380339623263637,0.00017536216765139738,0.0005486572726399175,12.24693135426541
14.4,0.2,0.00010834824433028903,4.3059688596331765e-05,0.00011296194598459786,12.249246467037917
15.200000000000001,0.2,2.171961284444268e-05,1.1930310595834944e-05,9.488510784587129e-06,12.249791220454147
16.0,0.2,3.5867203396650764e-06,1.7584690624318879e-06,6.810261731484342e-06,12.249969226810734
16.8,0.2,8.693418605291365e-07,4.045845971609861e-07,6.810261733512902e-06,12.24999291977057
17.6,0.2,8.693418605958216e-07,5.5913793192827445e-08,6.810261734035301e-06,12.249999021508637
18.4,0.2,8.693418605958216e-07,5.5913793192827445e-08,6.810261734035301e-06,12.249999021508637
19.200000000000003,0.2,8.693418605958216e-07,5.5913793192827445e-08,6.810261734035301e-06,12.249999021508637
20.0,0.2,8.693418605958216e-07,5.5913793192827445e-08,6.810261734035301e-06,12.249999021508637
