channel,uv_tree_mu_p50,uv_rge_mu_p50,delta_mu_p50,uv_tree_mu_p90,uv_rge_mu_p90,delta_mu_p90,uv_tree_f_mu_gt_1p0,uv_rge_f_mu_gt_1p0,delta_f_mu_gt_1p0,uv_tree_f_chi2_le_4,uv_rge_f_chi2_le_4,delta_f_chi2_le_4,uv_tree_best_chi2,uv_rge_best_chi2,delta_best_chi2
ee,0.0889440429423217,0.0888727960955164,-7.124684680528959e-05,20.972038928874067,20.963241873903417,-0.008797054970649754,0.35,0.35,0.0,,,,,,
mumu,0.0532254392021002,0.0531825945088355,-4.2844693264695866e-05,17.626512178936103,17.625792407064143,-0.0007197718719602619,0.3833333333333333,0.3833333333333333,0.0,0.15,0.15,0.0,2.194400748429602e-05,2.2079807637329057e-05,1.35800153033039e-07
tautau,0.0305596205123145,0.0305354320226518,-2.4188489662700652e-05,15.19923399165664,15.198343929718398,-0.0008900619382430364,0.3833333333333333,0.3833333333333333,0.0,,,,,,
