channel,matched_mu_p50,uvtree_mu_p50,delta_mu_p50,matched_mu_p90,uvtree_mu_p90,delta_mu_p90,matched_f_mu_gt_1p0,uvtree_f_mu_gt_1p0,delta_f_mu_gt_1p0,matched_f_chi2_le_4,uvtree_f_chi2_le_4,delta_f_chi2_le_4,matched_best_chi2,uvtree_best_chi2,delta_best_chi2
ee,0.0600135446280991,0.0889440429423217,0.02893049831422259,14.072879543184197,20.972038928874067,6.89915938568987,0.3475,0.35,0.0025000000000000022,,,,,,
mumu,0.0364599654901013,0.0532254392021002,0.0167654737119989,18.949298945773,17.626512178936103,-1.3227867668368951,0.3508333333333333,0.3833333333333333,0.03250000000000003,0.1613888888888889,0.15,-0.011388888888888893,6.392023399609519e-05,2.194400748429602e-05,-4.197622651179917e-05
tautau,0.0273017203841449,0.0305596205123145,0.0032579001281695975,15.032770650447702,15.19923399165664,0.1664633412089387,0.3716666666666666,0.3833333333333333,0.011666666666666714,,,,,,
