channel,layer_N,mu_ref,mu_min,mu_p10,mu_p50,mu_p90,mu_max,mu_mean,mu_std,f_mu_gt_0p8,f_mu_gt_1p0,f_mu_gt_1p2,obs_mu,obs_sigma,f_chi2_le_1,f_chi2_le_4,best_chi2,best_D,best_eta,obs_source
ee,1,1.0,8.693418605291365e-07,8.693418605958216e-07,0.05552204063700345,19.336599225623793,22.44495716326305,4.09227688996738,7.565642915735576,0.3333333333333333,0.3310104529616725,0.2857142857142857,nan,nan,nan,nan,nan,nan,nan,
mumu,2,1.0,5.5913793192827445e-08,5.5913793192827445e-08,0.0379120553557605,13.847382567934682,60.19583392665018,6.853647200132038,17.265409562380185,0.38095238095238093,0.34494773519163763,0.3333333333333333,1.4,0.4,0.059233449477351915,0.09523809523809523,0.22312575689588757,8.8,4.0,"ATLAS Collaboration, arXiv:2507.03595"
tautau,3,1.0,6.810261731477358e-06,6.810261734035301e-06,0.01608917789257485,14.687449429435572,15.833534918925247,3.72901560157279,5.783101078038953,0.38095238095238093,0.3403019744483159,0.3333333333333333,nan,nan,nan,nan,nan,nan,nan,
