D,eta,mu_ee,mu_mumu,mu_tautau,chi2_mumu
4.0,0.2,0.4277800470531317,1.7088539774154017,29.291958956101087,0.5961923710332094
4.8,0.2,0.6185897333949432,13.625837637521375,10.092246580960623,934.1944121189639
5.6,0.2,27.32868917157738,57.61912314552814,39.439808522369,19753.68629532536
6.4,0.2,76.40426189432661,33.01742199258988,122.00236114676014,6247.883584109413
7.2,0.2,20.32022163188674,2.774400041770444,14.212457570159485,11.806096717616239
8.0,0.2,19.596012446197307,2.00188417036137,6.882129533021703,2.2641534658224667
8.8,0.2,15.366629203813806,1.2870731579759587,3.8995731812767427,0.0797029478095173
9.600000000000001,0.2,1.0000000096721862,1.0000000014340409,0.9999999804639123,0.9999999928297951
10.4,0.2,1.6470768484153921,0.3622999617385583,0.8513127829281298,6.730133558798733
11.2,0.2,0.5875659829088518,0.11257176501196524,0.3015520118472578,10.359196626527538
12.0,0.2,0.058744119561439184,0.030818594422415857,0.009921629696303788,11.716610758621306
12.8,0.2,0.009302359250341678,0.00048460761533359047,0.0021485663579215992,12.241520834510041
13.600000000000001,0.2,0.002329675535222852,0.00011738525978553659,0.0005773372912185155,12.247945844074371
14.4,0.2,0.0005033569151637942,2.5030198657180715e-05,0.00013691849462125482,12.249561975439192
15.200000000000001,0.2,6.154719784544028e-05,8.463064550086728e-06,2.943129224358481e-05,12.249851896818019
16.0,0.2,1.086901888262442e-05,1.4270380256571926e-06,1.42159708387474e-05,12.249975026847276
16.8,0.2,9.246004573666579e-07,2.487002673883347e-07,1.4215970842897889e-05,12.249995647745703
17.6,0.2,9.246004574335895e-07,4.493067492073981e-08,1.421597084392698e-05,12.249999213713197
18.4,0.2,9.246004574335895e-07,4.493067492073981e-08,1.421597084392698e-05,12.249999213713197
19.200000000000003,0.2,9.246004574335895e-07,4.493067492073981e-08,1.421597084392698e-05,12.249999213713197
20.0,0.2,9.246004574335895e-07,4.493067492073981e-08,1.421597084392698e-05,12.249999213713197
4.0,0.29500000000000004,0.4339991323020661,1.721749963029307,29.29058922902087,0.6470189919335028
4.8,0.29500000000000004,0.619258177312857,13.631913290420133,10.092184124567131,935.1231421522292
5.6,0.29500000000000004,27.33084563886739,57.62061280200494,39.43971789257393,19754.73314895601
6.4,0.29500000000000004,76.40471105692824,33.01746536905455,122.00229254464901,6247.900727271023
7.2,0.29500000000000004,20.320230842625133,2.7744001760379007,14.212456158103304,11.806099024331328
8.0,0.29500000000000004,19.596013201739094,2.001884168907774,6.882129441176031,2.264153454886262
8.8,0.29500000000000004,15.366629227150632,1.2870731568223872,3.8995731881257245,0.07970294943788207
9.600000000000001,0.29500000000000004,1.0000000010549637,1.00000000080122,1.0000000005796625,0.9999999959938997
10.4,0.29500000000000004,1.647076926696885,0.3622999649159132,0.8513126440633642,6.730133517584469
11.2,0.29500000000000004,0.5875659464960774,0.112571772147509,0.301552042303419,10.359196511696283
12.0,0.29500000000000004,0.058744289506924174,0.030818581170868452,0.00992156271436882,11.716610985418455
12.8,0.29500000000000004,0.009302649722870421,0.00048459084188122903,0.002148589325307667,12.241521127943852
13.600000000000001,0.29500000000000004,0.002329288158617358,0.00011741517264325467,0.0005772006093975559,12.247945320643256
14.4,0.29500000000000004,0.0005034083191762773,2.5033482705740277e-05,0.00013686289930368232,12.24956191796937
15.200000000000001,0.29500000000000004,6.15728361816158e-05,8.479824171033737e-06,2.9197447477366052e-05,12.249851603526425
