channel,layer_N,mu_ref,mu_min,mu_p10,mu_p50,mu_p90,mu_max,mu_mean,mu_std,f_mu_gt_0p8,f_mu_gt_1p0,f_mu_gt_1p2,obs_mu,obs_sigma,f_chi2_le_1,f_chi2_le_4,best_chi2,best_D,best_eta,obs_source
ee,1,1.0,3.5686205169419835e-07,3.5686205170538914e-07,0.07129848805809899,6.64195561546843,8.712959199031507,1.6281606563268824,2.6402355258166046,0.3333333333333333,0.3325396825396825,0.3,nan,nan,nan,nan,nan,nan,nan,
mumu,2,1.0,7.201191611511974e-08,7.201191611511974e-08,0.05060889607729824,17.888841274953226,19.36253116459439,3.4268221882002345,6.373060852397968,0.38333333333333336,0.36904761904761907,0.36666666666666664,1.4,0.4,0.03571428571428571,0.10555555555555556,0.0007546260337228057,9.694915254237287,0.2,"ATLAS Collaboration, arXiv:2507.03595"
tautau,3,1.0,1.0520833231957006e-05,1.0520833243209612e-05,0.07106699310299679,15.564273558650408,15.845891639582652,3.798365147767938,5.930697653511097,0.38333333333333336,0.3682539682539683,0.36666666666666664,nan,nan,nan,nan,nan,nan,nan,
