D,eta,mu_ee,mu_mumu,mu_tautau,chi2_mumu
4.0,0.2,0.23154477953250144,0.9249524847275824,15.854877433304457,1.4104383860406104
4.8,0.2,0.16700436393230433,8.836965564762057,15.729722556990856,345.6778550716038
5.6,0.2,5.432252077612742,8.77543102692711,15.660899321204482,339.9811427059943
6.4,0.2,9.720813156865844,8.097559437911562,15.525802692522422,280.3581401522389
7.2,0.2,15.603785417578097,2.130415855495604,10.913667349973922,3.3344207622460935
8.0,0.2,19.6817463669257,2.0106425531827186,6.912239366477529,2.330527048484434
8.8,0.2,14.50094614216654,1.2145655561325217,3.679889729295662,0.21491208107775578
9.600000000000001,0.2,1.0000000096721848,1.0000000014340404,0.9999999804639144,0.9999999928297973
10.4,0.2,0.4760290470676042,0.36847195621905776,0.15872510437923346,6.650313156915859
11.2,0.2,0.18025653510822764,0.11310461600046971,0.04318983073180373,10.350623308495615
12.0,0.2,0.05876299500617907,0.030828496939968596,0.009924817735148032,11.716441279947906
12.8,0.2,0.010421809935501864,0.0004325870755242186,0.0021486488571356406,12.242430895750685
13.600000000000001,0.2,0.0026367111475183703,0.00010371585725887052,0.0005773364383225766,12.248185039729087
14.4,0.2,0.0005815651720739856,2.1664112130870555e-05,0.00013691832971936095,12.249620880971042
15.200000000000001,0.2,0.0002029358451549153,2.566706885158143e-06,2.943126196700412e-05,12.24995508267068
16.0,0.2,3.467294299545919e-05,4.473370262752247e-07,1.421596539927461e-05,12.249992171603289
16.8,0.2,4.218610333480129e-06,4.493065747653763e-08,1.4215965400535306e-05,12.249999213713505
17.6,0.2,9.246000984603305e-07,4.4930657476538374e-08,1.421596540053554e-05,12.249999213713505
18.4,0.2,9.246000984603305e-07,4.4930657476538374e-08,1.421596540053554e-05,12.249999213713505
19.200000000000003,0.2,9.246000984603305e-07,4.4930657476538374e-08,1.421596540053554e-05,12.249999213713505
20.0,0.2,9.246000984603305e-07,4.4930657476538374e-08,1.421596540053554e-05,12.249999213713505
4.0,0.29500000000000004,0.23492054275469784,0.9319706093459652,15.854780905169529,1.3690719407249186
4.8,0.29500000000000004,0.16718524658305542,8.840928047078105,15.729664620853105,346.04631376120983
5.6,0.29500000000000004,5.432690938560302,8.775674394809046,15.660892765540192,340.00357986401116
6.4,0.29500000000000004,9.720875210112235,8.097574624837588,15.52580179942162,280.35941159542716
7.2,0.29500000000000004,15.603792858879869,2.13041600890491,10.913666523350413,3.3344221629036106
8.0,0.29500000000000004,19.68174712594128,2.010642551739954,6.912239274289118,2.3305270374717657
8.8,0.29500000000000004,14.50094615586659,1.2145655543468985,3.679889733646915,0.21491208521670638
9.600000000000001,0.29500000000000004,1.000000000188345,0.9999999999346036,0.9999999997130475,1.000000000326981
10.4,0.29500000000000004,0.4760290694979645,0.36847195930027965,0.158725078423523,6.650313117186272
11.2,0.29500000000000004,0.1802565239409844,0.11310462317208361,0.04318983509476794,10.350623193131653
12.0,0.29500000000000004,0.05876316518839775,0.030828483779711452,0.009924750762450528,11.716441505181022
12.8,0.29500000000000004,0.010422135355666612,0.00043257210229861564,0.002148671823758992,12.242431157701168
13.600000000000001,0.29500000000000004,0.0026362727347733505,0.00010374228748121559,0.000577199760534918,12.248184577234463
14.4,0.29500000000000004,0.0005816245639172517,2.166695457511185e-05,0.00013686273470793302,12.249620831229036
15.200000000000001,0.29500000000000004,0.00020302038319899106,2.5717898290607424e-06,2.919741777386329e-05,12.249954993719326
16.0,0.29500000000000004,3.4879788322169474e-05,4.3795493521333015e-07,1.4215965399303939e-05,12.249992335789829
16.8,0.29500000000000004,5.471749237496294e-06,4.4930657476537355e-08,1.4215965400535216e-05,12.249999213713505
17.6,0.29500000000000004,9.246000984603305e-07,4.4930657476538374e-08,1.421596540053554e-05,12.249999213713505
18.4,0.29500000000000004,9.246000984603305e-07,4.4930657476538374e-08,1.421596540053554e-05,12.249999213713505
19.200000000000003,0.29500000000000004,9.246000984603305e-07,4.4930657476538374e-08,1.421596540053554e-05,12.249999213713505
20.0,0.29500000000000004,9.246000984603305e-07,4.4930657476538374e-08,1.421596540053554e-05,12.249999213713505
4.0,0.39,0.23833606571277532,0.939014148957326,15.854683983296326,1.3281747178846142
4.8,0.39,0.16736628045414464,8.844890895829984,15.729606672500598,346.415002817576
5.6,0.39,5.4331298245609325,8.77591776139094,15.660886209787977,340.0260176425145
6.4,0.39,9.720937263586848,8.097589811760036,15.525800906319793,280.3606830411989
7.2,0.39,15.60380029822151,2.1304161623290887,10.913665696887724,3.3344235636972113
8.0,0.39,19.68174787997497,2.0106425504969723,6.912239182403662,2.3305270279840467
8.8,0.39,14.50094621714668,1.2145655551874293,3.6798897185276624,0.21491208326841443
9.600000000000001,0.39,1.000000000690053,1.000000004530878,0.9999999901763682,0.9999999773456102
10.4,0.39,0.4760290575894109,0.36847195630449664,0.15872509172742638,6.6503131558141995
11.2,0.39,0.18025663709145354,0.1131045681653754,0.04318981651809815,10.350624077980152
12.0,0.39,0.058763185838204,0.03082844207872743,0.009924776590764881,11.716442218878527
12.8,0.39,0.010422009313859662,0.00043257335329243156,0.002148727957075071,12.242431135815544
13.600000000000001,0.39,0.0026366397314966394,0.00010372344884628174,0.0005772453023326541,12.248184906886149
14.4,0.39,0.0005815939417003064,2.1668139809175853e-05,0.00013683497316693184,12.249620810487766
15.200000000000001,0.39,0.00020285146773753996,2.5717070223653136e-06,2.9278468726104506e-05,12.249954995168439
16.0,0.39,3.4636684697485265e-05,4.4769715434625136e-07,1.4215965399273486e-05,12.249992165301052
16.8,0.39,5.471749237496301e-06,4.4930657476537355e-08,1.4215965400535216e-05,12.249999213713505
