D,eta,mu_ee,mu_mumu,mu_tautau,chi2_mumu
4.0,0.2,0.38828270166165557,1.8414344787177772,15.840815489084893,1.2179024937552234
4.8,0.2,3.0150787106228294,11.499298562444261,15.694158387983762,637.4739465836794
5.6,0.2,12.633077300903937,52.95280990608075,14.78229905067235,16610.576307578107
6.4,0.2,22.240796464803378,57.79750829366997,12.011252685938198,19879.24338584108
7.2,0.2,21.90188727111793,3.4844537025541538,9.084975859454667,27.155920238073254
8.0,0.2,19.808475095938963,2.318770705646786,6.959334922938584,5.275872559716833
8.8,0.2,3.5808101794904803,1.583771000707045,2.7860352320898847,0.2110736293804296
9.600000000000001,0.2,1.000000009650878,1.0000000014127328,0.9999999804426073,0.9999999929363355
10.4,0.2,0.4795665874390388,0.4939376795916252,0.3002371842249472,5.130930802898799
11.2,0.2,0.1844017945964151,0.150863428900592,0.04406353513525878,9.752138582862411
12.0,0.2,0.05625578397879037,0.037592486809649356,0.01677325295557767,11.600963949984468
12.8,0.2,0.004364026793861927,0.0023379827642972893,0.0029880240578083334,12.209119465146083
13.600000000000001,0.2,0.0004454592846592366,0.00017661838854020898,0.0005682689578349346,12.24690937316339
14.4,0.2,0.00011068245693455459,4.3649691030855146e-05,0.00011749716489808823,12.249236142315056
15.200000000000001,0.2,2.2084638398133345e-05,1.2015806871942535e-05,9.829801001492733e-06,12.24978972428211
16.0,0.2,3.633915829249412e-06,1.7584384501651072e-06,7.03927950796495e-06,12.249969227346446
16.8,0.2,8.847586422787684e-07,4.076501180249607e-07,7.039279510056933e-06,12.249992866123968
17.6,0.2,8.847586423474565e-07,5.476449637638419e-08,7.039279510603427e-06,12.249999041621331
18.4,0.2,8.847586423474565e-07,5.476449637638419e-08,7.039279510603427e-06,12.249999041621331
19.200000000000003,0.2,8.847586423474565e-07,5.476449637638419e-08,7.039279510603427e-06,12.249999041621331
20.0,0.2,8.847586423474565e-07,5.476449637638419e-08,7.039279510603427e-06,12.249999041621331
4.0,0.29500000000000004,0.39394173714443204,1.8553977041522354,15.840644312526672,1.2961691809195433
4.8,0.29500000000000004,3.0183416361743864,11.50444450080809,15.694086490709982,638.1237416869426
5.6,0.29500000000000004,12.63407610166267,52.954187064558965,14.78226735531028,16611.463774297114
6.4,0.29500000000000004,22.240925377101437,57.79758274615296,12.011244940410172,19879.295872557308
7.2,0.29500000000000004,21.90189710752671,3.484453856673913,9.084974918973854,27.155924253767182
8.0,0.29500000000000004,19.808475861783407,2.318770704210207,6.959334830804219,5.275872543218247
8.8,0.29500000000000004,3.5808101832480714,1.5837709985442883,2.7860352356756275,0.2110736244122802
9.600000000000001,0.29500000000000004,1.0000000001924523,0.9999999999387104,0.9999999997171536,1.0000000003064478
10.4,0.29500000000000004,0.4795666105789386,0.4939376842811309,0.30023713546816405,5.130930749786494
11.2,0.29500000000000004,0.18440178325332937,0.15086343853261414,0.04406353960582983,9.752138432466024
12.0,0.29500000000000004,0.05625594706385445,0.03759247087147954,0.016773139818495635,11.600964221413
12.8,0.29500000000000004,0.004364163248554082,0.0023379019400974026,0.002988056125335407,12.209120877207553
13.600000000000001,0.29500000000000004,0.00044538493971877215,0.00017666328674912303,0.0005681340729712371,12.24690858754387
14.4,0.29500000000000004,0.00011069354831533215,4.36553345007009e-05,0.00011744923084807355,12.249236043557413
15.200000000000001,0.29500000000000004,2.2093722299335608e-05,1.2039538997167433e-05,9.751647746923626e-06,12.249789308973488
16.0,0.29500000000000004,3.655935120569859e-06,1.72171883692283e-06,7.039279508021815e-06,12.24996986993888
16.8,0.29500000000000004,8.847586422922478e-07,3.383992852028565e-07,7.039279510164178e-06,12.24999407801322
17.6,0.29500000000000004,8.847586423474565e-07,5.476449637638419e-08,7.039279510603427e-06,12.249999041621331
18.4,0.29500000000000004,8.847586423474565e-07,5.476449637638419e-08,7.039279510603427e-06,12.249999041621331
