D,kappa_iso,sigma_exact,c_sigma_exact,amp_exact_disc,c_sigma_box_local,sigma_box_local,amp_box_local,log_amp_resid_local,rel_amp_resid_local,rel_drift_local_vs_ref,rel_drift_local_vs_exact
4.0,6308.363739994032,2.5,22.280205405639244,0.007944244960265977,22.2825,2.5002574700635587,0.007944267054541872,2.781163632725736e-06,2.7811674998545755e-06,0.0009347317243394437,0.0001029880254235227
5.0,6317.088724329641,2.5,22.28790525098099,0.005542472170062985,20.58,2.30842689883274,0.0055424527028472646,3.5123766641831367e-06,3.5123704952289003e-06,0.07726856406987126,0.07662924046690389
6.0,6322.919525939479,2.5,22.293046519433712,0.003569566513184227,22.29,2.4996583554168947,0.0035695113528298648,1.5453075424609608e-05,1.5452956026562603e-05,0.0005984593351521239,0.00013665783324223746
7.0,6327.091207952643,2.5,22.296722689130583,0.0021221882597193312,22.295,2.499806845028908,0.0021220754987947336,5.313568196463336e-05,5.313427028974527e-05,0.0003742777423604293,7.726198843660548e-05
8.0,6330.223660697244,2.5,22.299481874382497,0.0011646733262768367,22.3,2.5000580871811757,0.0011648650848685878,0.00016463226471508108,0.0001646458173505394,0.00015009614956884576,2.3234872470245804e-05
9.0,6332.6621823307505,2.5,22.301629109551108,0.0005900453760590095,22.3,2.49981737774143,0.0005899103262273334,0.00022890661404417756,0.0002288804169234826,0.00015009614956884576,7.304890342785253e-05
10.0,6334.614357672427,2.5,22.30334764660425,0.00027594540365260764,22.302500000000002,2.499904986617067,0.0002759076567380842,0.00013680059889686902,0.00013679124212173654,3.800535317299847e-05,3.800535317299847e-05
11.0,6336.212485306803,2.5,22.304754213072584,0.00011912768726097251,22.305,2.5000275487150705,0.00011914889515900537,0.00017801076273116223,0.00017802660758792221,7.408544322262678e-05,1.1019486028329695e-05
12.0,6337.5448698650425,2.5,22.305926686651315,4.74748189220879e-05,22.305,2.4998961389651804,4.746056279777952e-05,0.00030033321944422653,0.0003002881239373423,7.408544322262678e-05,4.154441392789643e-05
13.0,6338.672704859032,2.5,22.306919015956026,1.7465072567888394e-05,22.3075,2.5000651125379036,1.747179389976225e-05,0.00038477016609306247,0.00038484419962925287,0.00018617623961847407,2.604501516145774e-05
14.0,6339.639735289282,2.5,22.307769755397103,5.93101831016755e-06,22.3075,2.4999697688966602,5.930604939068372e-06,6.969890893593345e-05,6.969648002419504e-05,0.00018617623961847407,1.2092441335931348e-05
15.0,6340.478062731118,2.5,22.30850719037135,1.8592988281080565e-06,22.3075,2.4998871293400815,1.8581336706620346e-06,0.0006268614074702583,0.0006266649709060212,0.00018617623961847407,4.514826396739835e-05
16.0,6341.211777386964,2.5,22.30915254267263,5.380536693157631e-07,22.310000000000002,2.500094967449542,5.384764708794513e-07,0.0007854895457928279,0.0007857981234955513,0.00029826703601432136,3.7986979816828637e-05
17.0,6341.859310485514,2.5,22.309722045869837,1.4373210702080572e-07,22.310000000000002,2.5000311471977996,1.4378333694760997e-07,0.0003563629601206486,0.0003564264649431603,0.00029826703601432136,1.2458879119714439e-05
18.0,6342.435003716673,2.5,22.3102283295224,3.544402606248347e-08,22.310000000000002,2.499974414255311,3.5438610964848446e-08,0.00015279052452399355,0.00015277885264719515,0.00029826703601432136,1.023429787561092e-05
19.0,6342.9501839108825,2.5,22.310681366789204,8.068425131764437e-09,22.310000000000002,2.499923650159088,8.06253359093161e-09,0.000730463848562124,0.0007301971247936079,0.00029826703601432136,3.053993636503716e-05
20.0,6343.413915622875,2.5,22.31108913787859,1.6954550977317768e-09,22.310000000000002,2.4998779600278747,1.6931421555282214e-09,0.0013651327613679598,0.0013642013915022844,0.00029826703601432136,4.881598885009275e-05
