D,c_sigma_exact,c_sigma_self,mirror_fraction,mirror_multiplier,c_sigma_analytic,c_sigma_analytic_factored,factorization_residual,c_sigma_analytic_linearized,linearized_relerr,relerr_csigma_analytic,relerr_csigma_self
4.0,22.280205405639244,22.319782286451296,-0.0069066988336836275,0.9982688350795444,22.281143062324787,22.281143062324787,0.0,22.28124328287982,4.4979988124138e-06,4.2084741521675184e-05,0.001776324773111737
5.0,22.28790525098099,22.319782286451296,-0.005533184971331619,0.9986138241947131,22.288843144266544,22.288843144266547,3.552713678800501e-15,22.2889074154736,2.8835595745862064e-06,4.208081804857322e-05,0.001430239186291482
6.0,22.293046519433712,22.319782286451296,-0.0046152822660551415,0.9988441770872261,22.29398457067649,22.29398457067649,0.0,22.29402926260908,2.0046632959929534e-06,4.20781987764407e-05,0.0011992872752621953
7.0,22.296722689130583,22.319782286451296,-0.003958563273698211,0.9990088866965399,22.29766085329686,22.29766085329686,0.0,22.297693718842275,1.4739458829458743e-06,4.207632571651132e-05,0.0010342146530779583
8.0,22.299481874382497,22.319782286451296,-0.0034654429476969543,0.999132511110291,22.300420123297076,22.300420123297076,0.0,22.30044530342162,1.1291322944891454e-06,4.207491994057122e-05,0.0009103535312235955
9.0,22.301629109551108,22.319782286451296,-0.003081563389343969,0.9992287172958794,22.30256742441402,22.30256742441402,0.0,22.302587330463282,8.925451893157667e-07,4.2073826010735615e-05,0.0008139843421759441
10.0,22.30334764660425,22.319782286451296,-0.0027742459572721013,0.9993057157994634,22.304286014250398,22.304286014250398,0.0,22.30430214500745,7.232133341250648e-07,4.207295070735029e-05,0.0007368687475732827
11.0,22.304754213072584,22.319782286451296,-0.0025226638031392,0.9993687365604347,22.3056926239148,22.3056926239148,0.0,22.305705959734304,5.978661917279059e-07,4.2072234163637034e-05,0.0006737609944118539
12.0,22.305926686651315,22.319782286451296,-0.002312915741097432,0.9994212688639401,22.30686513349205,22.30686513349205,0.0,22.306876342504246,5.02491593039451e-07,4.207163656189117e-05,0.0006211622585612364
13.0,22.306919015956026,22.319782286451296,-0.002135368498047634,0.9994657298611003,22.307857493268905,22.3078574932689,3.552713678800501e-15,22.307867046456852,4.282431851762505e-07,4.207113103360527e-05,0.0005766493564651753
14.0,22.307769755397103,22.319782286451296,-0.0019831356008196952,0.9995038469701734,22.308708258844803,22.308708258844803,0.0,22.308716497737596,3.693128574408794e-07,4.207069814632369e-05,0.0005384909018655293
15.0,22.30850719037135,22.319782286451296,-0.0018511635242649213,0.9995368875084778,22.309445716466385,22.309445716466385,0.0,22.309452894741742,3.2175946675068545e-07,4.207032263625621e-05,0.0005054168790286084
16.0,22.30915254267263,22.319782286451296,-0.0017356599136463453,0.9995658023119894,22.31009108858562,22.31009108858562,0.0,22.31009739860232,2.828324042288734e-07,4.20699939718272e-05,0.00047647456613741923
17.0,22.309722045869837,22.319782286451296,-0.001633723269586632,0.9995913187202718,22.310660609263216,22.310660609263216,0.0,22.310666199527926,2.505647326053785e-07,4.206970357811812e-05,0.0004509352721102644
18.0,22.3102283295224,22.319782286451296,-0.0015430958753887736,0.9996140025976666,22.311166908468078,22.31116690846808,3.552713678800501e-15,22.311171895454848,2.2351976437023206e-07,4.206944598750262e-05,0.000428232144816576
19.0,22.310681366789204,22.319782286451296,-0.0014619946305768942,0.9996343007873872,22.311619959643455,22.311619959643455,0.0,22.311624435986687,2.0062833806696094e-07,4.206921513594253e-05,0.00040791760289482504
20.0,22.31108913787859,22.319782286451296,-0.001388992562578941,0.9996525708407578,22.312027743257048,22.312027743257044,3.552713678800501e-15,22.312031783552733,1.8108151047773307e-07,4.206900759795573e-05,0.0003896335368920312
