D,rho_max,z_max,z_margin,sigma_exact,kappa_rho,kappa_z,kappa_iso,lambda_rho,lambda_z,lambda_iso,q4_iso,c_sigma_exact,core_anisotropy_ratio,kernel_norm_max,sigma_curv0,sigma_curv0_relerr,sigma_curv1,sigma_curv1_relerr,kernel_rel_sup_curv0,kernel_rel_sup_curv1
4.0,3.0,8.0,6.0,2.5,6308.3559795060755,6308.379260969943,6308.363739994032,-521622.4861291844,-521624.47859605734,-521623.15028480877,-1.0410744004668526,22.280205405639244,0.999996309438145,0.00794306929901294,2.5025244058102856,0.001009762324114316,2.499997883639923,8.46544030763674e-07,0.0007416267736559896,8.80869938636667e-05
5.0,3.0,8.5,6.0,2.5,6317.084738764578,6317.096695459768,6317.088724329641,-522296.1470605488,-522297.17138535157,-522296.48850214976,-1.040259381211347,22.28790525098099,0.9999981072483506,0.005541651944879975,2.5016598539077304,0.0006639415630922407,2.4999995155809045,1.9376763815692755e-07,0.0004983042866017164,9.452537478912476e-05
6.0,3.0,9.0,6.0,2.5,6322.917214912849,6322.924147992737,6322.919525939479,-522746.23131616233,-522746.82567083155,-522746.4294343854,-1.0397156795668228,22.293046519433712,0.9999989035010186,0.003568924049035362,2.5010829159430106,0.00043316637720414164,2.500000078809798,3.152391903071816e-08,0.0005223200892841566,9.100751548444948e-05
7.0,3.0,9.5,6.0,2.5,6327.089750602256,6327.0941226534205,6327.091207952643,-523068.19632192963,-523068.57130612154,-523068.3213166602,-1.0393271586400543,22.296722689130583,0.9999993089953966,0.002121874199097952,2.500670550172796,0.0002682200691184189,2.500000223526246,8.941049833843806e-08,0.000575098248966321,8.755449336281788e-05
8.0,3.0,10.0,6.0,2.5,6330.222683391896,6330.225615307939,6330.223660697244,-523309.92965619784,-523310.1812127216,-523310.0135083725,-1.0390356834418455,22.299481874382497,0.9999995368386182,0.0011645009673794207,2.5003611343154777,0.00014445372619098507,2.500000190982639,7.639305565909638e-08,0.0005305948698132892,9.473639124121253e-05
9.0,3.0,10.5,6.0,2.5,6332.66149539935,6332.663556193552,6332.6621823307505,-523498.0979119304,-523498.2747748992,-523498.15686625335,-1.038808932376736,22.301629109551108,0.999999674577027,0.0005899391774494807,2.5001203956978877,4.81582791551638e-05,2.5000000819829715,3.279318860904823e-08,0.0003018838036342748,9.112657035974825e-05
10.0,3.0,11.0,6.0,2.5,6334.613856587624,6334.615359842033,6334.614357672427,-523648.7289951223,-523648.8580373807,-523648.7720092084,-1.0386275021472844,22.30334764660425,0.9999997626920777,0.00027590456675487187,2.4999277542341307,2.889830634766888e-05,2.4999999420200396,2.319198411093737e-08,8.308174828533902e-05,8.725504467455323e-05
11.0,3.0,11.5,6.0,2.5,6336.212108646322,6336.2132386277635,6336.212485306803,-523772.03629608476,-523772.13331418205,-523772.0686354505,-1.038479040302773,22.304754213072584,0.9999998216629714,0.00011911005766787993,2.499770105576864,9.195776925441379e-05,2.4999997926041377,8.295834486027331e-08,0.0006023520316317488,9.387697312072782e-05
12.0,3.0,12.0,6.0,2.5,6337.544579618992,6337.545450357141,6337.5448698650425,-523874.8361181914,-523874.91088481393,-523874.86104039894,-1.0383553093766156,22.305926686651315,0.9999998626064057,4.7466274223727834e-05,2.49963870935904,0.00014451625638400856,2.499999644071984,1.4237120637972112e-07,0.0012697126080936762,8.964186726691604e-05
13.0,3.0,12.5,6.0,2.5,6338.672476491781,6338.673161593533,6338.672704859032,-523961.8515947342,-523961.91042944905,-523961.87120630575,-1.038250605093717,22.306919015956026,0.9999998919171671,1.746248792841638e-05,2.499527512257337,0.00018899509706515882,2.4999995013469354,1.9946122586933512e-07,0.0020692196816264347,8.511405983174738e-05
14.0,3.0,13.0,6.0,2.5,6339.639552390253,6339.640101087341,6339.639735289282,-524036.4588968779,-524036.50602480903,-524036.47460618825,-1.038160852190705,22.307769755397103,0.9999999134498049,5.930140584410954e-06,2.4994321891182674,0.0002271243526930089,2.4999993665675357,2.5337298570349276e-07,0.0029862202701868164,9.106493866199462e-05
15.0,3.0,13.5,6.0,2.5,6340.477913987286,6340.478360218783,6340.478062731118,-524101.1354333598,-524101.1737607456,-524101.1482091551,-1.0380830616518881,22.30850719037135,0.9999999296217933,1.858964184437831e-06,2.4993495673320454,0.00026017306718184585,2.4999992404577203,3.0381691185077386e-07,0.004038995591544668,8.615219289722827e-05
