D,n_points,f_accept_release,f_accept_direct,acceptance_flip_fraction,acceptance_gain_fraction,acceptance_loss_fraction,mean_abs_delta_mu_mumu,p95_abs_delta_mu_mumu,max_abs_delta_mu_mumu
8.0,21,0.0,1.0,1.0,1.0,0.0,0.2700559400908765,0.2700559811321761,0.2700559856983875
6.4,21,0.0,0.0,0.0,0.0,0.0,3.1368082286660774,3.1369887255311895,3.137008780667415
5.6,21,0.0,0.0,0.0,0.0,0.0,0.816884940955433,0.8176932633664507,0.8177831132295807
7.2,21,0.0,0.0,0.0,0.0,0.0,0.3230093413101698,0.3230103235227868,0.32301043265738505
8.8,21,1.0,1.0,0.0,0.0,0.0,0.25618950871580665,0.25618951077333363,0.25618951088332054
9.6,21,1.0,1.0,0.0,0.0,0.0,0.17995732914082177,0.1799573297727184,0.17995733020029192
10.4,21,0.0,0.0,0.0,0.0,0.0,0.09251966486279833,0.09251966621769248,0.09251966647648874
4.8,21,0.0,0.0,0.0,0.0,0.0,0.032556154242265614,0.033045085918402606,0.033099846312229175
11.2,21,0.0,0.0,0.0,0.0,0.0,0.02878394479916418,0.028783947595631548,0.028783949561667008
12.0,21,0.0,0.0,0.0,0.0,0.0,0.007237092106245178,0.007237099217693627,0.007237101285284545
4.0,21,0.0,0.0,0.0,0.0,0.0,0.0014286245615974195,0.0017401663508409548,0.00177887297199808
12.8,21,0.0,0.0,0.0,0.0,0.0,0.00044812342838211887,0.0004481267750122988,0.00044813397891273546
13.6,21,0.0,0.0,0.0,0.0,0.0,3.376608699588525e-05,3.376771721374784e-05,3.3767886216267665e-05
14.4,21,0.0,0.0,0.0,0.0,0.0,8.328674900118751e-06,8.329537985499825e-06,8.329886100670718e-06
15.2,21,0.0,0.0,0.0,0.0,0.0,2.2993111636333262e-06,2.300972292770337e-06,2.301010773153339e-06
16.0,21,0.0,0.0,0.0,0.0,0.0,3.347578430110944e-07,3.361659120856188e-07,3.362585781683975e-07
16.8,21,0.0,0.0,0.0,0.0,0.0,6.707322533818123e-08,6.811042808951297e-08,7.80477751802014e-08
17.6,21,0.0,0.0,0.0,0.0,0.0,5.540180778277107e-09,6.016693637224794e-09,6.095428965975934e-09
19.200000000000003,21,0.0,0.0,0.0,0.0,0.0,1.513994448668842e-10,4.541983346006526e-10,4.541983346006526e-10
18.4,21,0.0,0.0,0.0,0.0,0.0,3.851413351950197e-10,4.256825283734428e-10,4.256825283734428e-10
20.0,21,0.0,0.0,0.0,0.0,0.0,1.0667757876168576e-52,1.0667757876168576e-52,1.0667757876168576e-52
