section,n_points,mu_obs,sigma_obs,accept_lower,accept_upper,y2_release,y2_direct,rel_y2_direct_vs_release,amp_release,amp_direct,amp_direct_over_release,log_y_direct_over_release,log_amp_direct_over_release,width_scale,br_sum,denominator_a_min,denominator_b_min,denominator_b_max,n_accept_release,n_accept_direct,n_acceptance_flips,n_upper_gain_crossings,n_lower_loss_crossings,first_cross_s,first_cross_log_y,first_cross_y2,first_cross_y2_over_release,first_cross_amp,first_cross_amp_over_release,direct_s_over_first_cross_s,direct_log_y_over_first_cross_log_y,max_abs_mu_cross_validation_error,verdict
projector_continuation_parameters,441.0,1.4,0.4,0.5999999999999999,2.2,0.0001659813802779,0.000184400649653,0.11097190145220437,520717137.269355,421886589.8045907,0.8102030058333926,0.10523521911552632,-0.21047043823105271,1.0,0.063220005,0.936779995,0.012758745640330301,7.645488077162943,,,,,,,,,,,,,,,
topology_crossing_certificate,,,,,,,,,,,,,,,,,,,42.0,63.0,21.0,21.0,0.0,0.4570843082747914,0.04810136733556645,0.00017416044680352964,1.0492770123488282,472956887.28027576,0.9082798575834581,2.1877802013689274,2.1877802013689274,4.440892098500626e-16,obstructed_direct_projector_continuation_crosses_acceptance_boundary
