D,eta,C_uv_mumu,C_match_mumu,C_ir_mumu,finite_fac_diag,log_ratio,kappa_diag_eff,action_abs_diag,eymh_parented_prefactor_diag,coeff_participation_access_parented,tree_diag_compressibility_parented,rge_fac_diag,chain_fac_diag,C_ir_mumu_factorized,abs_factorization_residual,A_tree_local,A_ir_local,A_ir_over_A_tree,Z_diag_local
4.0,0.2,0.0014758502143104,0.0014758873436746,0.0014805151218205,1.0000251579488606,0.24757629233153,0.0039727840447645,0.5418548181523541,0.0433261161132477,0.8450472597147287,0.738157279449201,1.0031355903726016,1.0031608272064845,0.0014805151218204883,1.1709383462843448e-17,459108.60697000026,456219.9838799376,0.9937081922529686,1.0031608272064925
4.8,0.2,0.0015683202593658,0.0015683631556131,0.0015744749970209,1.0000273517140557,0.3076912723505752,0.0043192095587324,0.6012141217937196,0.0392190539319979,0.8492750682447441,0.7511256409565624,1.0038969554888721,1.0039244137913401,0.0015744749970208933,6.7220534694101275e-18,406565.473625679,403393.0980841439,0.9921971349085685,1.0039244137913443
5.6,0.2,0.0013021892258809,0.0013022520073653,0.0013081575332978,1.0000482122591496,0.3580579144745858,0.0076133748014512,0.6397302314522036,0.0448967669998699,0.85311110274794,0.696333612351461,1.004534856463384,1.0045832873582088,0.0013081575332978754,7.546047120499111e-17,589728.0762659847,584359.2283822827,0.9908960619312951,1.0045832873581506
6.4,0.2,0.0006722767776805,0.0006723210112685,0.000675645176202,1.0000657966918378,0.3903872383399466,0.010390197109431,0.6395949242650113,0.0493701336927381,0.8425235836395761,0.7315827004097961,1.0049443121334334,1.005010434144653,0.0006756451762020476,4.7596475372113645e-17,2212604.4446624727,2190597.7592894817,0.990053945057338,1.005010434144582
7.2,0.2,0.0001209655046577,0.0001209740060194,0.000121587191482,1.00007027922297,0.4002114595954043,0.0110980500532926,0.6212158847324463,0.0543924299977552,0.8260804526024531,0.8498917755867975,1.0050687373491793,1.0051393727990718,0.00012158719148196378,3.6225905088171917e-17,68340305.63902752,67643231.40097512,0.9897999543383031,1.0051393727993712
8.0,0.2,8.591083119440962e-05,8.591769688317887e-05,8.633383104379341e-05,1.0000799164514391,0.3824198917835673,0.0126199001735104,0.6165756306629133,0.057994994496971,0.821612945758027,0.8602919827877128,1.0048434045104857,1.0049237080296263,8.63338310437934e-05,1.3552527156068805e-20,135489037.69201896,134164610.41351363,0.9902248381044975,1.0049237080296265
8.8,0.2,5.848230801141066e-05,5.848475358604107e-05,5.880853860777689e-05,1.0000418173412364,0.4371231652132156,0.0066035298417334,0.6133747371280805,0.0457081664589713,0.8194198053033038,0.7806784649252572,1.005536229562111,1.0055782784137484,5.880853860777689e-05,0.0,292382242.32828814,289147355.96669394,0.9889361052304878,1.0055782784137484
9.6,0.2,4.3579838328899834e-05,4.358150197772813e-05,4.382269321921357e-05,1.000038174736119,0.4369674344285572,0.0060283126977242,0.6099277759920172,0.0411393810783117,0.8174819187980201,0.7453861415266694,1.005534257208682,1.0055726432136094,4.382269321921358e-05,1.3552527156068805e-20,526536849.38179964,520717137.20659846,0.9889471892004633,1.0055726432136094
10.4,0.2,2.996797540013284e-05,2.9969370733730445e-05,3.0129038151944063e-05,1.0000465608229776,0.4206572817327969,0.0073525904540579,0.6076185264964343,0.0443592616003478,0.816444847598413,0.7516331566998592,1.005327686711617,1.0053744955960724,3.0129038151944063e-05,0.0,1113487107.533359,1101614047.4944057,0.9893370475880453,1.0053744955960724
11.2,0.2,1.6473387012688423e-05,1.647426938816075e-05,1.6558788492548136e-05,1.000053563694682,0.4050778119422223,0.0084584396283688,0.6060872160430844,0.0459252714847219,0.8159825712179611,0.7609776709350862,1.0051303704216543,1.005184208917931,1.6558788492548133e-05,3.3881317890172014e-21,3684972039.967851,3647059781.818276,0.9897116564960677,1.0051842089179313
