candidate,formula,status,value_ref
local_core_to_box_inversion,"A_mu^box(D;c)=A_mu^disc(D), solved pointwise in D",tests whether the same c_sigma emerges at each audited D,22.302500000000002
reference_curvature_calibration,c_sigma(D_*)=sigma_mu(D_*) * kappa_iso(D_*)^(1/4),single-point curvature calibration,22.30334764660425
