section,c_sigma_ref,c_sigma_box_local_min,c_sigma_box_local_max,c_sigma_box_local_mean,c_sigma_box_local_rel_span,max_rel_drift_local_vs_ref,mean_rel_drift_local_vs_ref,max_rel_drift_local_vs_exact,mean_rel_drift_local_vs_exact,max_rel_amp_resid_local,mean_rel_amp_resid_local,ref_D,ref_eta,nearest_detail_D,c_sigma_exact_ref,c_sigma_box_local_ref,rel_drift_ref_local_vs_exact,amp_exact_disc_ref,amp_box_local_ref,rel_amp_resid_local_ref
local_core_box_inversion,22.30334764660425,20.58,22.310000000000002,22.201911764705883,0.07792121770117853,0.07726856406987126,0.004806603841729778,0.07662924046690389,0.004550371949736803,0.0013642013915022844,0.00032671297530433425,,,,,,,,,
reference_point_local_inversion,,,,,,,,,,,,9.6,1.0,10.0,22.30334764660425,22.302500000000002,3.800535317299847e-05,0.00027594540365260764,0.0002759076567380842,0.00013679124212173654
