D,eta,mu_mumu_release_bridge,mu_mumu_direct_y2,accept_release,accept_direct_y2,acceptance_gain,acceptance_loss,release_inside_margin,direct_inside_margin,release_outside_margin,direct_outside_margin,z_release,z_direct,direct_minus_release_mu,release_minus_direct_mu,direct_uniform_mu_set_invariance_radius,release_uniform_mu_set_invariance_radius
4.0,0.2,2.408282967882146,2.407168366689106,False,False,False,False,-0.20828296788214562,-0.207168366689106,0.20828296788214562,0.207168366689106,2.5207074197053645,2.5179209167227654,-0.0011146011930396327,0.0011146011930396327,0.1454037407902904,0.10493685123702917
4.0,0.39,2.444858357047335,2.4437158947715045,False,False,False,False,-0.2448583570473346,-0.24371589477150435,0.2448583570473346,0.24371589477150435,2.612145892618337,2.6092897369287615,-0.0011424622758302583,0.0011424622758302583,0.1454037407902904,0.10493685123702917
4.0,0.5800000000000001,2.4816946922032805,2.4805238257938864,False,False,False,False,-0.28169469220328036,-0.28052382579388624,0.28169469220328036,0.28052382579388624,2.7042367305082013,2.701309564484716,-0.0011708664093941223,0.0011708664093941223,0.1454037407902904,0.10493685123702917
4.0,0.77,2.5187871951365346,2.5175873772896415,False,False,False,False,-0.3187871951365344,-0.31758737728964137,0.3187871951365344,0.31758737728964137,2.7969679878413367,2.793968443224104,-0.0011998178468930476,0.0011998178468930476,0.1454037407902904,0.10493685123702917
4.0,0.96,2.5561309648674495,2.554901644209502,False,False,False,False,-0.35613096486744933,-0.35490164420950165,0.35613096486744933,0.35490164420950165,2.8903274121686238,2.8872541105237546,-0.0012293206579476745,0.0012293206579476745,0.1454037407902904,0.10493685123702917
4.0,1.15,2.59372098030432,2.5924616015818147,False,False,False,False,-0.39372098030432,-0.39246160158181453,0.39372098030432,0.39246160158181453,2.9843024507608007,2.981154003954537,-0.0012593787225054776,0.0012593787225054776,0.1454037407902904,0.10493685123702917
4.0,1.34,2.631552103016107,2.6302621072912595,False,False,False,False,-0.4315521030161067,-0.43026210729125935,0.4315521030161067,0.43026210729125935,3.078880257540267,3.075655268228149,-0.001289995724847337,0.001289995724847337,0.1454037407902904,0.10493685123702917
4.0,1.53,2.6696190801249093,2.6682979049771713,False,False,False,False,-0.46961908012490916,-0.46829790497717116,0.46961908012490916,0.46829790497717116,3.1740477003122733,3.1707447624429284,-0.0013211751477379963,0.0013211751477379963,0.1454037407902904,0.10493685123702917
4.0,1.72,2.7079165473133937,2.7065636270466484,False,False,False,False,-0.5079165473133935,-0.5065636270466483,0.5079165473133935,0.5065636270466483,3.2697913682834843,3.266409067616621,-0.0013529202667452722,0.0013529202667452722,0.1454037407902904,0.10493685123702917
4.0,1.91,2.746439031940849,2.7450537977961256,False,False,False,False,-0.546439031940849,-0.5450537977961254,0.546439031940849,0.5450537977961254,3.366097579852123,3.362634494490314,-0.0013852341447235794,0.0013852341447235794,0.1454037407902904,0.10493685123702917
4.0,2.1,2.785180956270464,2.7837628366439815,False,False,False,False,-0.585180956270464,-0.5837628366439813,0.585180956270464,0.5837628366439813,3.4629523906761603,3.459407091609954,-0.001418119626482639,0.001418119626482639,0.1454037407902904,0.10493685123702917
4.0,2.29,2.8241366407956763,2.822685061462021,False,False,False,False,-0.6241366407956761,-0.622685061462021,0.6241366407956761,0.622685061462021,3.5603416019891907,3.556712653655053,-0.0014515793336551397,0.0014515793336551397,0.1454037407902904,0.10493685123702917
4.0,2.4800000000000004,2.863300307669143,2.861814692009382,False,False,False,False,-0.6633003076691426,-0.6618146920093819,0.6633003076691426,0.6618146920093819,3.658250769172857,3.6545367300234552,-0.0014856156597606862,0.0014856156597606862,0.1454037407902904,0.10493685123702917
4.0,2.6700000000000004,2.902666084217795,2.9011458534523125,False,False,False,False,-0.7026660842177948,-0.7011458534523123,0.7026660842177948,0.7011458534523123,3.7566652105444875,3.7528646336307814,-0.0015202307654824665,0.0015202307654824665,0.1454037407902904,0.10493685123702917
4.0,2.8600000000000003,2.942228006562729,2.9406725799885445,False,False,False,False,-0.7422280065627289,-0.7406725799885443,0.7422280065627289,0.7406725799885443,3.8555700164068227,3.851681449971361,-0.0015554265741846152,0.0015554265741846152,0.1454037407902904,0.10493685123702917
4.0,3.0500000000000003,2.981980023305745,2.9803888185381093,False,False,False,False,-0.7819800233057448,-0.7803888185381092,0.7819800233057448,0.7803888185381092,3.9549500582643624,3.9509720463452735,-0.0015912047676356345,0.0015912047676356345,0.1454037407902904,0.10493685123702917
4.0,3.24,3.021915999311396,3.020288432529394,False,False,False,False,-0.821915999311396,-0.8202884325293938,0.821915999311396,0.8202884325293938,4.0547899982784905,4.050721081323485,-0.0016275667820022655,0.0016275667820022655,0.1454037407902904,0.10493685123702917
