D,sigma_l,sigma_r,frame_power,rho_max,z_max,z_margin,sigma_mu,amp_exact_disc,amp_box_continuum,amp_infinite_volume,rel_amp_box_vs_exact,rel_amp_inf_vs_exact,rel_sup_exact_factorization,rel_sup_box_candidate,rel_sup_infinite_candidate,mean_rel_box_candidate,mean_rel_infinite_candidate
4.0,2.5,2.5,0.0,3.0,8.0,6.0,2.5,0.007944244960265977,0.007944939221616628,0.006060475452946821,8.739173503871245e-05,0.23712379423608396,5.459865105899226e-16,8.739173503834127e-05,0.2371237942360843,8.73917350384393e-05,0.23712379423608415
5.0,2.5,2.5,0.0,3.0,8.5,6.0,2.5,0.005542472170062985,0.005542995965607715,0.004228250248255606,9.450576000341665e-05,0.2371183618938124,7.825840982216264e-16,9.450576000362044e-05,0.23711836189381225,9.450576000370024e-05,0.23711836189381222
6.0,2.5,2.5,0.0,3.0,9.0,6.0,2.5,0.003569566513184227,0.00356989128291511,0.0027231471573304447,9.098296100760587e-05,0.23712104893620126,4.860634331643125e-16,9.098296100778899e-05,0.23712104893620126,9.09829610076884e-05,0.23712104893620115
7.0,2.5,2.5,0.0,3.0,9.5,6.0,2.5,0.0021221882597193312,0.0021223737217008643,0.001618966940179573,8.739186105836833e-05,0.2371237882572734,5.109643978641236e-16,8.739186105842178e-05,0.23712378825727332,8.739186105836218e-05,0.23712378825727343
8.0,2.5,2.5,0.0,3.0,10.0,6.0,2.5,0.0011646733262768367,0.0011647833946095084,0.0008885078952220912,9.450575555261222e-05,0.2371183617105544,5.58626675042811e-16,9.450575555270141e-05,0.23711836171055437,9.450575555244888e-05,0.23711836171055445
9.0,2.5,2.5,0.0,3.0,10.5,6.0,2.5,0.0005900453760590095,0.0005900990601344502,0.00045013319757049617,9.098296100419635e-05,0.23712104893187225,1.1026921560011327e-15,9.098296100440296e-05,0.2371210489318725,9.098296100407726e-05,0.23712104893187227
10.0,2.5,2.5,0.0,3.0,11.0,6.0,2.5,0.00027594540365260764,0.0002759695190349839,0.00021051218418633954,8.739186106047852e-05,0.2371237882571985,9.824068746284713e-16,8.739186106101033e-05,0.2371237882571981,8.739186106051005e-05,0.23712378825719838
11.0,2.5,2.5,0.0,3.0,11.5,6.0,2.5,0.00011912768726097251,0.00011913894551306431,9.08803252232835e-05,9.45057555523356e-05,0.23711836171055384,1.0240339631496233e-15,9.45057555525358e-05,0.23711836171055364,9.450575555252143e-05,0.23711836171055373
12.0,2.5,2.5,0.0,3.0,12.0,6.0,2.5,4.74748189220879e-05,4.7479138321686574e-05,3.621754006143173e-05,9.098296100434825e-05,0.23712104893187205,1.142076337585734e-15,9.098296100450899e-05,0.23712104893187183,9.098296100445158e-05,0.23712104893187197
13.0,2.5,2.5,0.0,3.0,12.5,6.0,2.5,1.7465072567888394e-05,1.7466598873083667e-05,1.3323688398403829e-05,8.739186106095274e-05,0.23712378825719804,1.552187433042119e-15,8.739186106136378e-05,0.23712378825719782,8.73918610606916e-05,0.2371237882571983
14.0,2.5,2.5,0.0,3.0,13.0,6.0,2.5,5.93101831016755e-06,5.93157882553415e-06,4.524664965185326e-06,9.450575555277703e-05,0.23711836171055342,1.4283522206555527e-15,9.450575555267093e-05,0.23711836171055345,9.450575555270373e-05,0.23711836171055345
15.0,2.5,2.5,0.0,3.0,13.5,6.0,2.5,1.8592988281080565e-06,1.85946799262083e-06,1.418419939709274e-06,9.09829610044546e-05,0.23712104893187194,1.594767311929993e-15,9.098296100454961e-05,0.23712104893187191,9.098296100430608e-05,0.23712104893187214
16.0,2.5,2.5,0.0,3.0,14.0,6.0,2.5,5.380536693157631e-07,5.381006908272751e-07,4.1046834496192346e-07,8.739186106056579e-05,0.2371237882571984,1.9681083080545162e-15,8.739186106078955e-05,0.2371237882571983,8.739186106038128e-05,0.2371237882571986
17.0,2.5,2.5,0.0,3.0,14.5,6.0,2.5,1.4373210702080572e-07,1.4374569053217678e-07,1.0965058527882622e-07,9.450575555184954e-05,0.2371183617105542,2.3944411139610068e-15,9.45057555524969e-05,0.2371183617105537,9.450575555184134e-05,0.23711836171055428
18.0,2.5,2.5,0.0,3.0,15.0,6.0,2.5,3.544402606248347e-08,3.5447250864924507e-08,2.7039501424178747e-08,9.098296100318277e-05,0.2371210489318729,2.4275535112353616e-15,9.098296100354394e-05,0.2371210489318727,9.098296100326925e-05,0.23712104893187283
19.0,2.5,2.5,0.0,3.0,15.5,6.0,2.5,8.068425131764437e-09,8.069130246452532e-09,6.155209599250871e-09,8.739186106089148e-05,0.2371237882571981,2.6659327937799085e-15,8.73918610615849e-05,0.23712378825719768,8.739186106091042e-05,0.23712378825719801
20.0,2.5,2.5,0.0,3.0,16.0,6.0,2.5,1.6954550977317768e-09,1.695615327996793e-09,1.2934315626038108e-09,9.45057555523212e-05,0.23711836171055395,3.0497086204546275e-15,9.450575555270738e-05,0.23711836171055362,9.450575555237222e-05,0.23711836171055392
