D,eta,C_uv_ee,C_uv_mumu,C_uv_tautau,C_match_ee,C_match_mumu,C_match_tautau,C_ir_ee,C_ir_mumu,C_ir_tautau,R_e_over_mu_uv,R_e_over_mu_match,R_e_over_mu_ir,R_tau_over_mu_uv,R_tau_over_mu_match,R_tau_over_mu_ir,abs_delta_R_e_uv_to_ir,abs_delta_R_tau_uv_to_ir,abs_delta_R_tau_match_to_ir
12.0,0.2,2.510492526187209e-06,8.248761138314983e-06,4.859955493187072e-07,2.510636414459371e-06,8.249233914065274e-06,4.860234040361144e-07,2.5230587326746684e-06,8.290050102392172e-06,4.884281876799136e-07,0.09262759967410092,0.09262759967410092,0.09262759967410092,0.0034712598774535577,0.0034712598774535577,0.003471259877453557,0.0,8.673617379884035e-19,8.673617379884035e-19
12.8,0.2,6.987777679838202e-07,2.0494321184607085e-06,2.0546569946694125e-07,6.987984982818434e-07,2.049492917960264e-06,2.054717949172813e-07,7.028363625309511e-07,2.061335493756547e-06,2.066590716743671e-07,0.11625485053413934,0.11625485053413934,0.11625485053413934,0.010051053522388706,0.010051053522388704,0.010051053522388704,0.0,1.734723475976807e-18,0.0
13.6,0.2,2.232727299602033e-07,5.624265717181725e-07,8.965344399731105e-08,2.2327901846050345e-07,5.624424125226706e-07,8.965596909614235e-08,2.2457883585941453e-07,5.657166674827793e-07,9.017790075524279e-08,0.15759400907427393,0.15759400907427393,0.1575940090742739,0.025409861250642398,0.025409861250642388,0.025409861250642405,2.7755575615628914e-17,6.938893903907228e-18,1.734723475976807e-17
14.4,0.2,1.1131066673668665e-07,2.793823306840649e-07,4.0799391706625195e-08,1.1131424088457724e-07,2.793913015562837e-07,4.080070176130442e-08,1.1194199199074732e-07,2.809669148579826e-07,4.103079528266915e-08,0.15873609645568446,0.15873609645568446,0.1587360964556845,0.02132600487222824,0.021326004872228247,0.021326004872228247,5.551115123125783e-17,6.938893903907228e-18,0.0
15.2,0.2,4.9719954079899026e-08,1.465733532996885e-07,1.1801348079610915e-08,4.9721888417321914e-08,1.465790556847315e-07,1.1801807206930184e-08,4.9993770147796374e-08,1.4738055716786893e-07,1.1866340068981104e-08,0.11506715892868834,0.1150671589286884,0.1150671589286884,0.006482659225034179,0.006482659225034181,0.006482659225034183,6.938893903907228e-17,4.336808689942018e-18,1.734723475976807e-18
16.0,0.2,2.0165371176482906e-08,5.61253032907805e-08,5.197701772296492e-09,2.0166262665458962e-08,5.612778452897461e-08,5.197931556999698e-09,2.0273225883781632e-08,5.6425490086525615e-08,5.225501736818388e-09,0.12909072470345656,0.12909072470345656,0.12909072470345656,0.008576405627970891,0.008576405627970888,0.008576405627970888,0.0,3.469446951953614e-18,0.0
16.8,0.2,8.364325250162602e-09,2.705844584190968e-08,2.415816165380267e-09,8.364733981272514e-09,2.7059768079899077e-08,2.4159342166507624e-09,8.407783901677903e-09,2.7199033819208433e-08,2.4283680580573543e-09,0.09555559644345123,0.09555559644345123,0.0955555964434512,0.007971169961774199,0.007971169961774199,0.007971169961774197,2.7755575615628914e-17,1.734723475976807e-18,1.734723475976807e-18
17.6,0.2,3.484410888318046e-09,7.139226485334225e-09,8.222198924376402e-10,3.484526560191978e-09,7.1394634860016125e-09,8.222471876444314e-10,3.5041462588015162e-09,7.179662382296273e-09,8.26876867380101e-10,0.23820803403493518,0.23820803403493515,0.2382080340349353,0.013263973327376865,0.013263973327376862,0.013263973327376862,1.1102230246251565e-16,3.469446951953614e-18,0.0
18.4,0.2,0.0,0.0,0.0,9.999999999999999e-31,9.999999999999999e-31,9.999999999999999e-31,1.0058704800739689e-30,1.0058704800739689e-30,1.0058704800739689e-30,,1.0,1.0,,1.0,1.0,,,0.0
19.200000000000003,0.2,0.0,0.0,0.0,9.999999999999999e-31,9.999999999999999e-31,9.999999999999999e-31,1.0057161736535278e-30,1.0057161736535278e-30,1.0057161736535278e-30,,1.0,1.0,,1.0,1.0,,,0.0
20.0,0.2,0.0,0.0,0.0,9.999999999999999e-31,9.999999999999999e-31,9.999999999999999e-31,1.0055641423643003e-30,1.0055641423643003e-30,1.0055641423643003e-30,,1.0,1.0,,1.0,1.0,,,0.0
4.0,0.39,0.0001643537204814,0.001479879334397,0.000341863111011,0.0001643578599079,0.0014799166067615,0.0003418717212039,0.0001648732188311,0.0014845570190259,0.0003429436908815,0.01233407168515151,0.012334071685147139,0.012334071685149085,0.05336442936277607,0.05336442936278772,0.053364429362766454,2.4251434194155763e-15,9.617306950815419e-15,2.1267709815475655e-14
4.8,0.39,0.0001957482366241,0.001568408250068,0.0001519655378412,0.0001957535907155,0.0015684511490548,0.0001519696943914,0.0001965164337453,0.0015745633333692,0.0001525619135261,0.015576772632220359,0.015576772632230946,0.015576772632228873,0.009387976348327942,0.009387976348329804,0.009387976348328957,8.51402282009417e-15,1.0148132334464322e-15,8.465450562766819e-16
5.6,0.39,0.0001571487821813,0.0013021843961999,5.952962446598845e-05,0.0001571563586288,0.0013022471770346,5.953249450461445e-05,0.0001578690401575,0.0013081526810623,5.980246582210007e-05,0.014563879121013477,0.014563879121012865,0.01456387912101474,0.0020898798169465957,0.0020898798169466993,0.0020898798169466954,1.2628786905111156e-15,9.974659986866641e-17,3.903127820947816e-18
6.4,0.39,0.000104032401728,0.0006722762677837,2.7226661152841032e-05,0.0001040392467092,0.0006723205012954,2.7228452575343095e-05,0.0001045536492191,0.0006756446637075,2.7363078543785983e-05,0.023946480300563476,0.02394648030053279,0.023946480300552995,0.0016401864209743093,0.0016401864209741402,0.001640186420974193,1.0481199241851868e-14,1.1622647289044608e-16,5.2909066017292616e-17
7.2,0.39,7.600594590530699e-05,0.000120965493191,1.75679713156894e-05,7.601128754365097e-05,0.0001209739945511,1.7569205978952753e-05,7.639656879578268e-05,0.0001215871799556,1.7658259669493698e-05,0.3947954470727773,0.39479544707285,0.394795447072594,0.021092119656869447,0.02109211965687332,0.021092119656859653,1.8329782136561334e-13,9.794248745365053e-15,1.3666151543745286e-14
8.0,0.39,6.31393068273821e-05,8.591083025389693e-05,1.3492972088047451e-05,6.314435269668827e-05,8.591769594253412e-05,1.3494050398487162e-05,6.34501863393511e-05,8.633383009859273e-05,1.3559407543051916e-05,0.5401368248255926,0.5401368248255928,0.5401368248255928,0.0246671748157328,0.02466717481573281,0.024667174815732818,2.220446049250313e-16,1.734723475976807e-17,6.938893903907228e-18
8.8,0.39,2.2146857620247044e-05,5.848230796281681e-05,7.04775033011198e-06,2.2147783742948853e-05,5.8484753537443575e-05,7.048045048292289e-06,2.227039895804181e-05,5.880853855891035e-05,7.087064643643736e-06,0.14340860803367275,0.14340860803367275,0.14340860803367275,0.014522855437485426,0.014522855437485422,0.014522855437485426,0.0,0.0,3.469446951953614e-18
9.6,0.39,1.0975147121485077e-05,4.357983841062823e-05,3.956029580418546e-06,1.097556609483082e-05,4.358150205946171e-05,3.956180600804044e-06,1.1036307700610506e-05,4.382269330139947e-05,3.9780751218128915e-06,0.06342339272126737,0.06342339272126735,0.06342339272126737,0.008240391194847135,0.008240391194847138,0.008240391194847138,0.0,3.469446951953614e-18,0.0
10.4,0.39,7.422066720531848e-06,2.9967975391542698e-05,2.1099882180731836e-06,7.422412298066547e-06,2.9969370725139884e-05,2.1100864608610894e-06,7.461956585435098e-06,3.0129038143307735e-05,2.121328340458982e-06,0.06133874717577905,0.061338747175779064,0.06133874717577905,0.004957300592166154,0.004957300592166157,0.004957300592166157,0.0,2.6020852139652106e-18,0.0
11.2,0.39,4.558509357281854e-06,1.6473383521677937e-05,7.956065756958455e-07,4.558753527859591e-06,1.6474265896870462e-05,7.956491913190707e-07,4.582141622118534e-06,1.6558784983346235e-05,7.997311663962273e-07,0.07657377930524237,0.07657377930524237,0.07657377930524237,0.0023325507890293836,0.002332550789029384,0.002332550789029384,0.0,4.336808689942018e-19,0.0
12.0,0.39,2.51049659930808e-06,8.248753787970822e-06,4.859945413114452e-07,2.5106404877527253e-06,8.249226563099512e-06,4.860223959592766e-07,2.523062826122174e-06,8.290042715054741e-06,4.884271746152364e-07,0.09262806531841147,0.09262806531841147,0.09262806531841147,0.003471251664287818,0.003471251664287818,0.0034712516642878186,0.0,4.336808689942018e-19,4.336808689942018e-19
12.8,0.39,6.987844538077155e-07,2.0493996179638756e-06,2.0546948193091949e-07,6.98805184171483e-07,2.0494604161103625e-06,2.0547557745448236e-07,7.028430870536371e-07,2.061302804101351e-06,2.0666287606818602e-07,0.1162607625358288,0.11626076253582884,0.1162607625358288,0.010051742394417973,0.010051742394417975,0.010051742394417975,0.0,1.734723475976807e-18,0.0
13.6,0.39,2.2326970559833706e-07,5.62447153419074e-07,8.964636729611576e-08,2.2327599410743398e-07,5.62462995040002e-07,8.964889223336479e-08,2.2457579390009273e-07,5.657373698211057e-07,9.017078269455313e-08,0.15757820650196439,0.15757820650196439,0.15757820650196436,0.025403990682069073,0.025403990682069073,0.025403990682069062,2.7755575615628914e-17,1.0408340855860843e-17,1.0408340855860843e-17
14.4,0.39,1.1131341964120477e-07,2.794082993936715e-07,4.07869702735668e-08,1.1131699400372097e-07,2.7941727141658917e-07,4.078827997565093e-08,1.1194476063596904e-07,2.809930311740192e-07,4.101830344497538e-08,0.1587144416624021,0.1587144416624021,0.1587144416624021,0.021309059826751596,0.021309059826751613,0.021309059826751596,0.0,0.0,1.734723475976807e-17
15.2,0.39,4.970961639269153e-08,1.4671605106442874e-07,1.177067464215624e-08,4.971155106211795e-08,1.4672176116800545e-07,1.1771132749983485e-08,4.998337626742592e-08,1.475240429717416e-07,1.1835497882595686e-08,0.114795685288302,0.11479568528830197,0.11479568528830209,0.0064364655967319535,0.006436465596731958,0.006436465596731958,8.326672684688674e-17,4.336808689942018e-18,0.0
16.0,0.39,2.0154824721208212e-08,5.614789054568102e-08,5.199793552793773e-09,2.0155715837076912e-08,5.615037304190469e-08,5.200023454001696e-09,2.0262623114309965e-08,5.6448198410452903e-08,5.227604729383279e-09,0.12885199941989478,0.1288519994198948,0.12885199941989472,0.008576405627970886,0.008576405627970888,0.008576405627970888,5.551115123125783e-17,1.734723475976807e-18,0.0
16.8,0.39,9.525971967553445e-09,2.4653082118783833e-08,2.201061903443079e-09,9.526423104072637e-09,2.4654249653781027e-08,2.2011661426124816e-09,9.575451771008916e-09,2.4781135157567056e-08,2.212494659149966e-09,0.14930561944289253,0.14930561944289253,0.14930561944289253,0.007971169961774197,0.007971169961774202,0.007971169961774202,0.0,5.204170427930421e-18,0.0
17.6,0.39,3.484410888318046e-09,7.139226485334225e-09,8.222198924376402e-10,3.484526560191978e-09,7.1394634860016125e-09,8.222471876444314e-10,3.5041462588015162e-09,7.179662382296273e-09,8.26876867380101e-10,0.23820803403493518,0.23820803403493515,0.2382080340349353,0.013263973327376865,0.013263973327376862,0.013263973327376862,1.1102230246251565e-16,3.469446951953614e-18,0.0
18.4,0.39,0.0,0.0,0.0,9.999999999999999e-31,9.999999999999999e-31,9.999999999999999e-31,1.0058704800739689e-30,1.0058704800739689e-30,1.0058704800739689e-30,,1.0,1.0,,1.0,1.0,,,0.0
19.200000000000003,0.39,0.0,0.0,0.0,9.999999999999999e-31,9.999999999999999e-31,9.999999999999999e-31,1.0057161736535278e-30,1.0057161736535278e-30,1.0057161736535278e-30,,1.0,1.0,,1.0,1.0,,,0.0
20.0,0.39,0.0,0.0,0.0,9.999999999999999e-31,9.999999999999999e-31,9.999999999999999e-31,1.0055641423643003e-30,1.0055641423643003e-30,1.0055641423643003e-30,,1.0,1.0,,1.0,1.0,,,0.0
4.0,0.5800000000000001,0.0001659330026446,0.0014838405094366,0.0003402200273142,0.0001659371864204,0.0014838779224636,0.000340228605501,0.0001664574974646,0.0014885307557914,0.0003412954230409,0.012505213116086033,0.012505213116096831,0.012505213116097253,0.05257088686491427,0.052570886864915005,0.052570886864916774,1.1220191442617988e-14,2.5049406993105094e-15,1.7694179454963432e-15
4.8,0.5800000000000001,0.0001958833193433,0.0015684959230168,0.0001519054189714,0.0001958886771702,0.001568538824728,0.0001519095739088,0.0001966520466259,0.0015746513507105,0.0001525015587567,0.015596534892147263,0.015596534892152694,0.015596534892152345,0.009379501245001127,0.009379501244997807,0.009379501245003597,5.082739784612045e-15,2.4702462297909733e-15,5.790506962810582e-15
5.6,0.5800000000000001,0.000157156536095,0.001302179565397,5.952772796673076e-05,0.000157164112866,0.0013022423455819,5.953059789486582e-05,0.000157876829559,0.0013081478276997,5.980056061149847e-05,0.014565424424305595,0.014565424424301837,0.014565424424292997,0.0020897621650103524,0.0020897621650105246,0.0020897621650103797,1.2597561882543573e-14,2.7321894746634712e-17,1.448494102440634e-16
6.4,0.5800000000000001,0.0001040327918013,0.0006722757578882,2.7226587873248646e-05,0.0001040396368017,0.0006723199913235,2.7228379289197595e-05,0.0001045540412403,0.0006756441512142,2.73630048952909e-05,0.023946696202578395,0.02394669620262389,0.023946696202621912,0.0016401800800042185,0.0016401800800045132,0.0016401800800042732,4.351727311835418e-14,5.4643789493269423e-17,2.400423609882907e-16
7.2,0.5800000000000001,7.600596946658674e-05,0.000120965481726,1.7567967055044743e-05,7.60113111061113e-05,0.0001209739830846,1.7569201717898807e-05,7.639659247767494e-05,0.0001215871684309,1.7658255386841587e-05,0.3947957666769063,0.3947957666765731,0.3947957666768322,0.021092113424386952,0.02109211342436915,0.021092113424382993,7.41073868937292e-14,3.958638972179074e-15,1.384309333829492e-14
8.0,0.5800000000000001,6.313930858617432e-05,8.591082932490227e-05,1.349297177222348e-05,6.31443544555797e-05,8.591769501340899e-05,1.3494050082629118e-05,6.345018810676157e-05,8.633382916496747e-05,1.3559407225664045e-05,0.5401368665989302,0.5401368665989302,0.5401368665989302,0.024667174194461496,0.024667174194461496,0.024667174194461496,0.0,0.0,0.0
8.8,0.5800000000000001,2.2146857658873487e-05,5.848230792059077e-05,7.04775031939265e-06,2.21477837815764e-05,5.848475349521442e-05,7.0480450375723485e-06,2.227039899688321e-05,5.880853851644741e-05,7.087064632864447e-06,0.14340860874100297,0.14340860874100297,0.14340860874100297,0.014522855414280032,0.014522855414280028,0.014522855414280028,0.0,3.469446951953614e-18,0.0
9.6,0.5800000000000001,1.0975147149201868e-05,4.3579838227844995e-05,3.956029603160251e-06,1.0975566122547704e-05,4.358150187666767e-05,3.9561806235462685e-06,1.103630772848078e-05,4.3822693117593805e-05,3.978075144680978e-06,0.06342339357363082,0.06342339357363076,0.06342339357363076,0.008240391358712818,0.008240391358712818,0.008240391358712821,5.551115123125783e-17,3.469446951953614e-18,3.469446951953614e-18
10.4,0.5800000000000001,7.4220667591848335e-06,2.9967975434604077e-05,2.109988192023306e-06,7.422412336721331e-06,2.9969370768203263e-05,2.1100864348099986e-06,7.461956624295823e-06,3.0129038186600545e-05,2.121328314269099e-06,0.061338747638387724,0.06133874763838774,0.061338747638387724,0.004957300455514244,0.004957300455514244,0.004957300455514244,0.0,0.0,0.0
11.2,0.5800000000000001,4.558508610097314e-06,1.6473385567782725e-05,7.956066873864388e-07,4.55875278064941e-06,1.647426794313682e-05,7.956493030181566e-07,4.582140871074888e-06,1.6558787040110696e-05,7.997312786683708e-07,0.07657373518090779,0.07657373518090775,0.07657373518090779,0.002332550864499008,0.002332550864499008,0.002332550864499008,0.0,0.0,0.0
12.0,0.5800000000000001,2.510494419358609e-06,8.248759932846803e-06,4.859946757239118e-07,2.5106383077258923e-06,8.249232708484022e-06,4.860225303886579e-07,2.523060635308838e-06,8.290048890845853e-06,4.884273097097576e-07,0.09262776644887445,0.09262776644887448,0.09262776644887448,0.0034712484126028565,0.0034712484126028565,0.0034712484126028565,2.7755575615628914e-17,0.0,0.0
12.8,0.5800000000000001,6.987835376805643e-07,2.0494095611429716e-06,2.0546683004976264e-07,6.9880426806417e-07,2.0494703597223266e-06,2.0547292550847837e-07,7.028421656527852e-07,2.0613128051704436e-06,2.0666020879845427e-07,0.11625932956775893,0.11625932956775893,0.11625932956775893,0.010051385397615034,0.01005138539761503,0.010051385397615034,0.0,0.0,3.469446951953614e-18
13.6,0.5800000000000001,2.23257213948853e-07,5.624780701442199e-07,8.964772358412813e-08,2.2326350221556777e-07,5.624939129116884e-07,8.965024860352746e-08,2.2456322928675674e-07,5.657684676809873e-07,9.017214696081619e-08,0.15754325417998902,0.15754325417998907,0.157543254179989,0.02540196669866501,0.025401966698665,0.02540196669866501,2.7755575615628914e-17,0.0,1.0408340855860843e-17
14.4,0.5800000000000001,1.1133857147543007e-07,2.793325203394674e-07,4.079004438719317e-08,1.1134214634294561e-07,2.7934148916976373e-07,4.079135407711199e-08,1.1197005482055549e-07,2.809168215569948e-07,4.1021394882678225e-08,0.15887233911644455,0.15887233911644444,0.1588723391164445,0.021323837093676558,0.021323837093676547,0.02132383709367654,5.551115123125783e-17,1.734723475976807e-17,6.938893903907228e-18
15.2,0.5800000000000001,4.9709897395962283e-08,1.46776561877834e-07,1.1761015684834396e-08,4.9711832328952215e-08,1.4678227508237881e-07,1.1761473476510414e-08,4.998365907224105e-08,1.4758488777917398e-07,1.1825785791740362e-08,0.114702349143135,0.114702349143135,0.114702349143135,0.006420609209073627,0.006420609209073627,0.006420609209073627,0.0,0.0,0.0
16.0,0.5800000000000001,2.0151203156635068e-08,5.6155628670608733e-08,5.200510171917285e-09,2.0152094144413563e-08,5.615811159822602e-08,5.200740113076088e-09,2.025898221194428e-08,5.645597801259928e-08,5.228325189665774e-09,0.12877020161245256,0.1287702016124526,0.1287702016124525,0.008576405627970888,0.008576405627970888,0.008576405627970888,5.551115123125783e-17,0.0,0.0
16.8,0.5800000000000001,9.525971967553445e-09,2.4653082118783823e-08,2.201061903443079e-09,9.526423104072637e-09,2.4654249653781024e-08,2.201166142612481e-09,9.575451771008916e-09,2.4781135157567053e-08,2.2124946591499654e-09,0.14930561944289267,0.14930561944289258,0.14930561944289258,0.007971169961774204,0.007971169961774202,0.007971169961774197,8.326672684688674e-17,6.938893903907228e-18,5.204170427930421e-18
17.6,0.5800000000000001,3.484410888318046e-09,7.139226485334223e-09,8.222198924376402e-10,3.484526560191978e-09,7.139463486001611e-09,8.222471876444314e-10,3.5041462588015162e-09,7.179662382296271e-09,8.26876867380101e-10,0.2382080340349353,0.23820803403493523,0.23820803403493546,0.013263973327376872,0.013263973327376869,0.013263973327376872,1.6653345369377348e-16,0.0,3.469446951953614e-18
18.4,0.5800000000000001,1.794980359023228e-09,1.996930012438708e-09,3.8732741948561017e-10,1.7950266888233063e-09,1.9969815547120153e-09,3.87337416699128e-10,1.8055643572322854e-09,2.008704795137036e-09,3.8961127328576285e-10,0.8079671677376633,0.8079671677376635,0.8079671677376626,0.03762103995312789,0.03762103995312788,0.03762103995312787,6.661338147750939e-16,2.0816681711721685e-17,6.938893903907228e-18
19.200000000000003,0.5800000000000001,0.0,0.0,0.0,9.999999999999999e-31,9.999999999999999e-31,9.999999999999999e-31,1.0057161736535278e-30,1.0057161736535278e-30,1.0057161736535278e-30,,1.0,1.0,,1.0,1.0,,,0.0
20.0,0.5800000000000001,0.0,0.0,0.0,9.999999999999999e-31,9.999999999999999e-31,9.999999999999999e-31,1.0055641423643003e-30,1.0055641423643003e-30,1.0055641423643003e-30,,1.0,1.0,,1.0,1.0,,,0.0
4.0,0.77,0.0001675153126583,0.0014877342575363,0.0003385871307277,0.0001675195408508,0.00148777180889,0.000338595676881,0.0001680448135103,0.0014924368518506,0.0003396573742256,0.0126782204070134,0.01267822040702092,0.012678220407018468,0.05179527786359491,0.05179527786358058,0.0517952778635695,5.06886199680423e-15,2.541022947610827e-14,1.1081413564539844e-14
4.8,0.77,0.0001960184128151,0.0015685832784841,0.0001518453408612,0.000196023774377,0.0015686261829044,0.0001518494941863,0.0001967876703005,0.0015747390493178,0.0001524412449061,0.015616315503830074,0.015616315503827324,0.01561631550382722,0.009371039739959845,0.009371039739958039,0.009371039739952364,2.8536201179818477e-15,7.480127628411992e-15,5.674280489920136e-15
5.6,0.77,0.0001571642899394,0.0013021747334724,5.952583158434521e-05,0.0001571718670339,0.0013022375130075,5.952870140199437e-05,0.000157884618891,0.0013081429732102,5.979865551830406e-05,0.014566969833291964,0.01456696983328546,0.014566969833289518,0.0020896445273185936,0.0020896445273185446,0.0020896445273186188,2.445960101127298e-15,2.5153490401663703e-17,7.41594285980085e-17
6.4,0.77,0.0001040331818745,0.0006722752479888,2.722651459407748e-05,0.0001040400268938,0.0006723194813479,2.7228306003473334e-05,0.0001045544332612,0.0006756436387171,2.736293124721915e-05,0.023946912106125894,0.023946912106095244,0.02394691210612361,0.001640173739106546,0.0016401737391063252,0.0016401737391061903,2.282896094385478e-15,3.5561831257524545e-16,1.3487475025719675e-16
7.2,0.77,7.600599302778622e-05,0.0001209654702605,1.756796279458077e-05,7.601133466849135e-05,0.0001209739716175,1.756919745702555e-05,7.63966161594865e-05,0.0001215871569057,1.7658251104371084e-05,0.394796086283655,0.3947960862835683,0.3947960862836734,0.021092107192512418,0.021092107192507783,0.02109210719251341,1.84297022087776e-14,9.922618282587337e-16,5.627442956068762e-15
8.0,0.77,6.313931035142344e-05,8.591082838921968e-05,1.3492971457122962e-05,6.314435622092831e-05,8.591769407759505e-05,1.3494049767494531e-05,6.345018988066048e-05,8.633382822462101e-05,1.3559406909003134e-05,0.5401369085668404,0.5401369085668402,0.5401369085668404,0.02466717357967589,0.024667173579675884,0.02466717357967589,0.0,0.0,6.938893903907228e-18
8.8,0.77,2.214685772470437e-05,5.8482307832126536e-05,7.0477503040651206e-06,2.2147783847409052e-05,5.848475340674389e-05,7.048045022243865e-06,2.227039906308033e-05,5.880853842748708e-05,7.087064617451102e-06,0.1434086100274176,0.14340861002741753,0.14340861002741762,0.014522855395047557,0.014522855395047557,0.01452285539504756,2.7755575615628914e-17,3.469446951953614e-18,3.469446951953614e-18
9.6,0.77,1.0975147130492073e-05,4.357983829417551e-05,3.956029602874588e-06,1.097556610383757e-05,4.358150194300219e-05,3.9561806232607295e-06,1.10363077096671e-05,4.382269318429544e-05,3.978075144393858e-06,0.06342339316432312,0.06342339316432312,0.06342339316432315,0.008240391332438245,0.008240391332438245,0.008240391332438245,2.7755575615628914e-17,0.0,0.0
10.4,0.77,7.422066822631817e-06,2.9967975633545645e-05,2.1099880989933163e-06,7.422412400172198e-06,2.9969370967157848e-05,2.1100863417759413e-06,7.461956688084737e-06,3.0129038386615093e-05,2.1213282207393854e-06,0.061338747872696005,0.061338747872696005,0.06133874787269602,0.004957299952558834,0.004957299952558837,0.004957299952558837,1.3877787807814457e-17,2.6020852139652106e-18,0.0
11.2,0.77,4.558508374417912e-06,1.6473387120039976e-05,7.956065388971954e-07,4.558752544968565e-06,1.647426949551762e-05,7.956491545229109e-07,4.582140634184914e-06,1.6558788600455783e-05,7.997311294112894e-07,0.07657371283222747,0.07657371283222747,0.0765737128322275,0.0023325495542370032,0.0023325495542370032,0.0023325495542370032,2.7755575615628914e-17,0.0,0.0
12.0,0.77,2.5104954008600457e-06,8.248754488780397e-06,4.859951475504296e-07,2.510639289243462e-06,8.249227263973764e-06,4.860230022344514e-07,2.5230616216828352e-06,8.290043419396832e-06,4.884277838901857e-07,0.09262796114256619,0.09262796114256619,0.09262796114256619,0.0034712597346734076,0.0034712597346734076,0.003471259734673407,0.0,4.336808689942018e-19,4.336808689942018e-19
12.8,0.77,6.987822254986868e-07,2.0494121097501023e-06,2.0546750395309563e-07,6.988029558498174e-07,2.0494729084239895e-06,2.0547359943370089e-07,7.028408458560703e-07,2.061315368599258e-06,2.0666088661781586e-07,0.11625860378838442,0.11625860378838444,0.11625860378838444,0.010051426332540133,0.010051426332540128,0.010051426332540128,2.7755575615628914e-17,5.204170427930421e-18,0.0
