D,eta,C_uv_ee,C_uv_mumu,C_uv_tautau,C_match_ee,C_match_mumu,C_match_tautau,C_ir_ee,C_ir_mumu,C_ir_tautau,R_e_over_mu_uv,R_e_over_mu_match,R_e_over_mu_ir,R_tau_over_mu_uv,R_tau_over_mu_match,R_tau_over_mu_ir,abs_delta_R_e_uv_to_ir,abs_delta_R_tau_uv_to_ir,abs_delta_R_tau_match_to_ir
4.0,0.2,0.0001627775423225,0.0014758502143104,0.0003435162004482,0.0001627816374716,0.0014758873436746,0.0003435248426112,0.0001632920540069,0.0014805151218205,0.0003446019958004,0.012164784190262465,0.012164784190264939,0.012164784190265607,0.05417636739594726,0.05417636739594738,0.054176367395932276,3.1415842149939976e-15,1.4981071938535706e-14,1.5105972028806036e-14
4.8,0.2,0.000195613164723,0.0015683202593658,0.0001520256974688,0.0001956185150783,0.0015683631556131,0.0001520298556322,0.0001963808317244,0.0015744749970209,0.0001526223092126,0.015557028717781644,0.015557028717773806,0.015557028717780462,0.009396465073013612,0.009396465073012623,0.009396465073015427,1.1813466871402056e-15,1.8145207558717402e-15,2.8033131371785203e-15
5.6,0.2,0.0001571410281985,0.0013021892258809,5.9531521082067194e-05,0.0001571486043224,0.0013022520073653,5.953439123118917e-05,0.0001578612506865,0.0013081575332978,5.9804371150057565e-05,0.01456233392344912,0.014562333923435752,0.014562333923451156,0.0020899974831254846,0.002089997483125549,0.0020899974831257257,2.0365653607967715e-15,2.411265631607762e-16,1.7694179454963432e-16
6.4,0.2,0.0001040320116527,0.0006722767776805,2.7226734432871954e-05,0.0001040388566149,0.0006723210112685,2.7228525861927185e-05,0.000104553257196,0.000675645176202,2.7363152192721813e-05,0.023946264398836018,0.023946264398828417,0.023946264398829492,0.0016401927619935312,0.001640192761993389,0.0016401927619937627,6.526029716624748e-15,2.3158558404290375e-16,3.7383290907300193e-16
7.2,0.2,7.600592234179314e-05,0.0001209655046577,1.756797557663314e-05,7.601126397895645e-05,0.0001209740060194,1.7569210240305824e-05,7.639654511164491e-05,0.000121587191482,1.7658263952446447e-05,0.39479512743453266,0.39479512743436007,0.3947951274342974,0.021092125889476995,0.021092125889467774,0.021092125889464436,2.3525625891807067e-13,1.2559397966072083e-14,3.337607967779377e-15
8.0,0.2,6.313930504949174e-05,8.591083119440962e-05,1.3492972406410483e-05,6.314435091869764e-05,8.591769688317887e-05,1.3494050716884571e-05,6.345018455274895e-05,8.633383104379341e-05,1.3559407862991456e-05,0.5401367825806687,0.5401367825806687,0.5401367825806687,0.024667175439673443,0.024667175439673443,0.024667175439673453,0.0,1.0408340855860843e-17,1.0408340855860843e-17
8.8,0.2,2.214685757277516e-05,5.848230801141066e-05,7.047750343537498e-06,2.2147783695475597e-05,5.848475358604107e-05,7.048045061718563e-06,2.227039891030573e-05,5.880853860777689e-05,7.08706465714434e-06,0.14340860718055798,0.14340860718055803,0.14340860718055798,0.014522855468681133,0.014522855468681133,0.014522855468681133,0.0,0.0,0.0
9.6,0.2,1.0975147167186832e-05,4.3579838328899834e-05,3.956029559913731e-06,1.0975566140533804e-05,4.358150197772813e-05,3.956180580298259e-06,1.103630774656642e-05,4.382269321921357e-05,3.978075101193623e-06,0.06342339348735665,0.06342339348735665,0.06342339348735665,0.00824039114033186,0.008240391140331862,0.008240391140331862,0.0,1.734723475976807e-18,0.0
10.4,0.2,7.422066641493796e-06,2.996797540013284e-05,2.1099883030150735e-06,7.422412219024818e-06,2.9969370733730445e-05,2.110086545806935e-06,7.46195650597226e-06,3.0129038151944063e-05,2.121328425857392e-06,0.06133874583421398,0.06133874583421397,0.06133874583421397,0.004957300988456744,0.004957300988456742,0.004957300988456742,1.3877787807814457e-17,1.734723475976807e-18,0.0
11.2,0.2,4.558508069825639e-06,1.6473387012688423e-05,7.956067069737132e-07,4.558752240360096e-06,1.647426938816075e-05,7.956493226084526e-07,4.58214032801369e-06,1.6558788492548136e-05,7.997312983591723e-07,0.076573703597171,0.076573703597171,0.076573703597171,0.002332550570167384,0.0023325505701673847,0.0023325505701673847,0.0,8.673617379884035e-19,0.0
