subset,b4_fit,rel_drift_vs_full,max_sigma_relerr_on_full_grid,mean_sigma_relerr_on_full_grid
full_window,0.4244007048874372,2.6159782767552613e-16,8.46544030763674e-07,2.6093714454526494e-07
excluding_D5,0.42442731049377264,6.268982598034255e-05,9.098989248723655e-07,2.5418141608495446e-07
outer_window,0.4243990174382438,3.976075378893952e-06,8.425257738142733e-07,2.613656237712213e-07
left_half,0.4241738325873666,0.0005345709784598682,7.082265547353472e-07,3.3751658512493066e-07
right_half,0.42493007269405253,0.0012473301776339525,2.107106969795325e-06,2.5148566733001377e-07
