D,eta,mu_mumu_release_bridge,mu_mumu_direct_y2,chi2_release_bridge,chi2_direct_y2,accept_release,accept_direct_y2,acceptance_gain,acceptance_loss,crossing_type,s_cross,y2_cross_over_release,amp_cross_over_release,abs_mu_cross_validation_error
4.0,0.2,2.408282967882146,2.407168366689106,6.353965895757677,6.339925742870012,False,False,False,False,none,,,,
4.0,0.39,2.444858357047335,2.4437158947715045,6.823306164322848,6.808392931241766,False,False,False,False,none,,,,
4.0,0.5800000000000001,2.4816946922032805,2.4805238257938864,7.312896294629686,7.297073363176606,False,False,False,False,none,,,,
4.0,0.77,2.5187871951365346,2.5175873772896415,7.823029925009216,7.806259661732124,False,False,False,False,none,,,,
4.0,0.96,2.5561309648674495,2.554901644209502,8.353992549533373,8.336236298736317,False,False,False,False,none,,,,
4.0,1.15,2.59372098030432,2.5924616015818147,8.906061117616922,8.887279195294166,False,False,False,False,none,,,,
4.0,1.34,2.631552103016107,2.6302621072912595,9.479503640271222,9.459655328979569,False,False,False,False,none,,,,
4.0,1.53,2.6696190801249093,2.6682979049771713,10.074578803857632,10.053622348559262,False,False,False,False,none,,,,
4.0,1.72,2.7079165473133937,2.7065636270466484,10.69153559210118,10.669428197008084,False,False,False,False,none,,,,
4.0,1.91,2.746439031940849,2.7450537977961256,11.33061291708632,11.30731074353613,False,False,False,False,none,,,,
4.0,2.1,2.785180956270464,2.7837628366439815,11.992039260089737,11.96749742548124,False,False,False,False,none,,,,
4.0,2.29,2.8241366407956763,2.822685061462021,12.676032322854956,12.650204900669968,False,False,False,False,none,,,,
4.0,2.4800000000000004,2.863300307669143,2.861814692009382,13.382798690153802,13.35563871109053,False,False,False,False,none,,,,
4.0,2.6700000000000004,2.902666084217795,2.9011458534523125,14.11253350411526,14.0839929583567,False,False,False,False,none,,,,
4.0,2.8600000000000003,2.942228006562729,2.9406725799885445,14.865420151415307,14.835449992053489,False,False,False,False,none,,,,
4.0,3.0500000000000003,2.981980023305745,2.9803888185381093,15.641629963365284,15.61018011100176,False,False,False,False,none,,,,
4.0,3.24,3.021915999311396,3.020288432529394,16.44132193013928,16.408341278678503,False,False,False,False,none,,,,
4.0,3.43,3.062029719556629,3.0603652057525528,17.264642429309287,17.230078852960727,False,False,False,False,none,,,,
4.0,3.62,3.102314893048903,3.10061284628114,18.11172496935061,18.075525330852752,False,False,False,False,none,,,,
4.0,3.81,3.142765156816272,3.141024990465431,18.982689948830274,18.94480010890721,False,False,False,False,none,,,,
4.0,4.0,3.1833740799527437,3.1815952069807456,19.87764443154559,19.838009259604785,False,False,False,False,none,,,,
4.8,0.2,13.73924432710559,13.707227951806598,951.6059410250468,946.67412411081,False,False,False,False,none,,,,
4.8,0.39,13.751521356529606,13.719451394756586,953.5004988800432,948.5555166735624,False,False,False,False,none,,,,
4.8,0.5800000000000001,13.763800559811964,13.731676949747646,955.3972767675416,950.4391024558588,False,False,False,False,none,,,,
4.8,0.77,13.77608192335063,13.743904603180088,957.2962735842888,952.324880327566,False,False,False,False,none,,,,
4.8,0.96,13.788365433470666,13.756134341381822,959.1974882075676,954.2128491392198,False,False,False,False,none,,,,
4.8,1.15,13.800651076542122,13.768366150725669,961.100919513408,956.1030077401026,False,False,False,False,none,,,,
4.8,1.34,13.81293883889613,13.780600017545863,963.0065663636,957.995354965354,False,False,False,False,none,,,,
4.8,1.53,13.825228706864252,13.79283592817724,964.914427611772,959.8898896420036,False,False,False,False,none,,,,
4.8,1.72,13.837520666769784,13.805073868946536,966.824502102034,961.786610587626,False,False,False,False,none,,,,
4.8,1.91,13.849814704934918,13.817313826179555,968.7367886700856,963.685516611437,False,False,False,False,none,,,,
4.8,2.1,13.862110807677343,13.82955578619777,970.6512861426776,965.5866065137652,False,False,False,False,none,,,,
