D,level,dr,dz,rho_max,z_max,Nr,Nz,sigma_l,sigma_r,frame_power,n_eigs,window_k,window_gap_scale,window_sigma_mult,window_floor,frame_model,dirac_rescaling_power,higgs_rescaling_power,yukawa_net_omega_power,lambda_1,lambda_2,lambda_3,track_idx_1,track_idx_2,track_idx_3,track_score_1,track_score_2,track_score_3,parity_1,parity_2,parity_3,y_eff_center_1,y_eff_center_2,y_eff_center_3,y_eff_raw_1,y_eff_raw_2,y_eff_raw_3,y_eff_cum_1,y_eff_cum_2,y_eff_cum_3,nwin_1,nwin_2,nwin_3,sigma_mc_1,sigma_mc_2,sigma_mc_3,B1,B2,B3,sigma_scale_e,sigma_scale_mu,sigma_scale_tau,y_eff_flavor_e_1,y_eff_flavor_e_2,y_eff_flavor_e_3,y_eff_flavor_mu_1,y_eff_flavor_mu_2,y_eff_flavor_mu_3,y_eff_flavor_tau_1,y_eff_flavor_tau_2,y_eff_flavor_tau_3,g_uv_e_1,g_uv_e_2,g_uv_e_3,g_uv_mu_1,g_uv_mu_2,g_uv_mu_3,g_uv_tau_1,g_uv_tau_2,g_uv_tau_3,build_s,solve_s,raw_vs_mu1_abs,raw_vs_mu2_abs,raw_vs_mu3_abs,guv_mu1_sq_vs_raw_abs,guv_mu2_sq_vs_raw_abs,guv_mu3_sq_vs_raw_abs,center2_vs_raw2_abs,center2_vs_raw2_rel,center2_over_raw2
4.0,fine,0.06,0.03,3.0,8.0,50,533,2.5,2.5,0.0,8,1,1.0,2.0,0.05,minimal_dirac_conformal,-1.5,-1.0,0.0,1.3016179943485544,1.6419653290034042,2.0667054238124885,0,1,2,1.0,1.0,1.0,-0.9999999515593548,0.9999999427843502,-0.9999999890237043,5.9006660300466624e-05,0.0085265918644,2.5644414973347643e-05,0.0032558644413614,0.0041510630369783,0.0026742579992386,0.0032558644413614,0.0074069274783398,0.0100811854775784,2,3,4,0.3403473346548498,0.3403473346548498,0.4247400948090842,0.3229644418905738,0.734727824898525,1.0,1.5,1.0,0.7978827341882164,0.0006829977457923,0.0008641526672548,0.0005201338683683,0.0032558644413614,0.0041510630369783,0.0026742579992386,0.0042634912101992,0.0054448197959781,0.0039305899974893,0.0261342255632796,0.0293964737214328,0.0228064435712442,0.0570601826264295,0.0644287438724234,0.0517132284743337,0.0652954149247801,0.0737890221915034,0.0626944175943073,0.0058400630950927,0.1361417770385742,0.0,0.0,0.0,8.716985466783456e-17,3.5561831257524545e-17,3.729655473350135e-17,0.0043755288274217,1.0540742909572378,2.054074290957238
5.0,fine,0.06,0.03,3.0,8.5,50,567,2.5,2.5,0.0,8,1,1.0,2.0,0.05,minimal_dirac_conformal,-1.5,-1.0,0.0,1.902468798907046,1.5294372486180516,2.346351275965947,1,0,2,0.0725784012509218,0.6725336157191478,0.0974002689548471,-0.9999999805358204,0.9999999465400105,0.9999999903249536,2.0622707802981275e-05,0.0066764647920015,0.0017991731757645,0.0023611449296273,0.0041636137201183,0.0013173214575746,0.0023611449296273,0.0065247586497457,0.0078420801073204,3,2,4,0.3730315502889945,0.3730315502889945,0.4438824770589007,0.3010865608760252,0.832018872601803,1.0,1.5,1.0,0.7978827341882164,0.0005794830549226,0.0011661066538297,0.0002193859594658,0.0023611449296273,0.0041636137201183,0.0013173214575746,0.0026724355293862,0.0042208835699275,0.0018498174894363,0.0240724542770912,0.0341483038206834,0.0148116832083966,0.048591613778793,0.0645260700811568,0.0362949233030551,0.0516956045460947,0.0649683274367408,0.043009504640676,0.0069379806518554,0.1585218906402588,0.0,0.0,0.0,8.586881206085195e-17,5.811323644522304e-17,5.2258544713801314e-17,0.0025128510718832,0.6035264654214375,1.6035264654214374
6.0,fine,0.06,0.03,3.0,9.0,50,600,2.5,2.5,0.0,8,1,1.0,2.0,0.05,minimal_dirac_conformal,-1.5,-1.0,0.0,2.1661095646916135,1.4382880086583418,3.1362387829019616,2,0,4,0.0918081144451665,0.7398697758086009,0.0685971968005507,1.0,1.0,1.0000000000000002,0.0014966795366417,0.0047363161657552,0.0003059205087501,0.0010291859989143,0.0029481641928965,0.0006015766241894,0.0010291859989143,0.0039773501918109,0.0045789268160003,4,2,5,0.3969782759136842,0.3308432801195875,0.2676385656714259,0.2247657672356897,0.8686206073249964,1.0,1.5,1.0,0.7978827341882164,0.0001754885278022,0.0012091921587973,0.0022839668269006,0.0010291859989143,0.0029481641928965,0.0006015766241894,0.0010410956318571,0.002219225040297,0.0004135794617437,0.0132472083022155,0.0347734404222147,0.0477908655173841,0.032080928897312,0.0542969998517095,0.0245270590203842,0.0322660135724436,0.0471086514378947,0.0203366531598438,0.0034289360046386,0.1949169635772705,0.0,0.0,0.0,8.803721640582296e-17,4.119968255444917e-17,1.0083080204115191e-17,0.0017881519728587003,0.6065306597126411,1.6065306597126412
7.0,fine,0.06,0.03,3.0,9.5,50,633,2.5,2.5,0.0,8,1,1.0,2.0,0.05,minimal_dirac_conformal,-1.5,-1.0,0.0,2.0125544418994568,1.6566764300111472,3.396993706951384,1,0,4,0.6404352897583571,0.0385848468229253,0.4433339202337032,0.9999999908530648,-0.999999954851696,0.9999702963335164,0.0011044989488959,9.803740908067328e-06,0.0009005980289176,0.0005244253482742,0.0004230957018619,0.0003975619404769,0.0005244253482742,0.0009475210501362,0.0013450829906132,3,2,4,0.3558780118883096,0.3558780118883096,0.05,0.3898832651472443,0.7044331515219411,1.0,1.5,1.0,0.7978827341882164,3.6997345745061065e-05,3.0741544011011676e-05,0.0027037451587548,0.0005244253482742,0.0004230957018619,0.0003975619404769,0.0004127681564007,0.0003322794848838,8.163695667692047e-05,0.0060825443479732,0.0055445057499304,0.0519975495456738,0.0229003351127073,0.020569290261502,0.0199389553506944,0.0203166964932959,0.0182285349077722,0.0090353171873997,0.0033998489379882,0.1871581077575683,0.0,0.0,0.0,9.486769009248164e-17,2.108773225484306e-17,8.473039977974217e-17,0.00041329196095383266,0.9768285499830786,0.023171450016921478
8.0,fine,0.06,0.03,3.0,10.0,50,667,2.5,2.5,0.0,8,1,1.0,2.0,0.05,minimal_dirac_conformal,-1.5,-1.0,0.0,1.8773610895547916,1.5583406888546971,3.3906805095328587,1,0,5,0.6128218000543506,0.3117448667456777,0.9389349908793015,0.9999999831517844,-0.9999999522962928,0.999999924049612,0.0007291109665956,5.818029320409001e-06,0.0004934088820552,0.0003468292412476,0.0002788905285962,0.0003069837468867,0.0003468292412476,0.0006257197698439,0.0009327035167307,3,2,3,0.3190204007000945,0.3190204007000945,0.0748367747160467,0.3718536866498991,0.6708667423461535,1.0,1.5,1.0,0.7978827341882164,8.262376515880884e-05,6.722131237780873e-05,0.002899254805166,0.0003468292412476,0.0002788905285962,0.0003069837468867,0.0001787706514939,0.0001434925901272,4.3472571877414286e-05,0.0090897615567631,0.008198860431658,0.0538447286664728,0.018623352041124,0.0167000158262288,0.0175209516547126,0.0133705142569011,0.0119788392646066,0.0065933733306566,0.0054631233215332,0.2121779918670654,0.0,0.0,0.0,3.74049749507499e-17,9.23198149871407e-17,7.621941272573096e-17,0.00027307249927579103,0.9791386629381279,0.020861337061872074
9.0,fine,0.06,0.03,3.0,10.5,50,700,2.5,2.5,0.0,8,1,1.0,2.0,0.05,minimal_dirac_conformal,-1.5,-1.0,0.0,2.4807140479055376,1.7646580305983224,3.3853113319260215,3,1,6,0.1386730841325923,0.1109075901385568,0.9387427870934806,1.0000000000000002,1.0000000000000002,1.0,0.000139365636212,0.0004283841462546,0.0002423826849284,9.151779556435968e-05,0.0002028181296014,0.0001312387680865,9.151779556435968e-05,0.0002943359251658,0.0004255746932523,4,3,3,0.3796056602450477,0.2880903274848048,0.05,0.2150452012664502,0.6916198961842045,1.0,1.5,1.0,0.7978827341882164,3.156179622513679e-05,0.0001069240811872,0.0016430796340077,9.151779556435968e-05,0.0002028181296014,0.0001312387680865,3.98843218272693e-05,6.641324663584178e-05,2.208824436364795e-05,0.0056179886280711,0.0103404101073033,0.0405349186999035,0.0095664933786816,0.0142414230188368,0.0114559490260098,0.0063154035363759,0.0081494322891746,0.0046998132264642,0.0055339336395263,0.2241871356964111,0.0,0.0,0.0,7.724940478959219e-19,5.467089454758156e-17,3.4884204899721105e-17,0.0002255660166532,1.1121590416818585,2.1121590416818585
10.0,fine,0.06,0.03,3.0,11.0,50,733,2.5,2.5,0.0,8,1,1.0,2.0,0.05,minimal_dirac_conformal,-1.5,-1.0,0.0,2.3205460481841937,1.6672096300858628,3.380007670589258,2,0,5,0.5794137116835458,0.7113896042406996,0.958375827718487,0.9999999940538464,0.9999999628038926,0.999999948763576,8.172211652387692e-05,0.0002267138297992,0.0001157055917596,5.223319773496199e-05,0.0001414235473956,7.205016264885467e-05,5.223319773496199e-05,0.0001936567451306,0.0002657069077795,4,2,3,0.3471445069118641,0.3061919111864668,0.0673795114978319,0.1965820089943057,0.728835944646791,1.0,1.5,1.0,0.7978827341882164,3.298638656952803e-05,0.0001494097550893,0.0015151996264135,5.223319773496199e-05,0.0001414235473956,7.205016264885467e-05,1.3689056428075183e-05,2.8389746054441074e-05,4.506551834475997e-06,0.0057433776272789,0.0122233283147156,0.038925565203521,0.0072272538169737,0.0118921632765321,0.0084882367220085,0.0036998724880832,0.0053282028916362,0.0021228640640596,0.0039680004119873,0.2214479446411132,0.0,0.0,0.0,1.0706496453294356e-18,9.871660780480518e-17,1.0706496453294356e-18,8.529028240360001e-05,0.6030840264883186,1.6030840264883186
11.0,fine,0.06,0.03,3.0,11.5,50,767,2.5,2.5,0.0,8,1,1.0,2.0,0.05,minimal_dirac_conformal,-1.5,-1.0,0.0,2.176196750430066,1.580018809405752,3.375356921796737,2,0,6,0.610960486619115,0.7213529392342253,0.914583274396506,0.999999994772094,0.9999999579082516,0.9999992054059774,4.315878100436022e-05,0.0001090107791932,4.9608278456255595e-05,2.6842335475477e-05,6.800121245545987e-05,2.1727820772317777e-05,2.6842335475477e-05,9.484354793093688e-05,0.0001165713687032,4,2,3,0.3175607259572932,0.2786172150670207,0.05,0.2302652510137986,0.8136092849040114,1.0,1.5,1.0,0.7978827341882164,3.1514956283798875e-05,0.0001408497575328,0.0007294159494993,2.6842335475477e-05,6.800121245545987e-05,2.1727820772317777e-05,4.069534949748793e-06,8.04377348284725e-06,8.409191174746093e-07,0.0056138183337011,0.0118680140517625,0.0270077016700679,0.0051809589339693,0.0082462847668183,0.0046613110572367,0.0020173088384649,0.0028361547000908,0.0009170164215948,0.0038719177246093,0.2154610157012939,0.0,0.0,0.0,6.979551485375435e-19,3.3881317890172014e-19,6.539094352803199e-19,4.1009566737740125e-05,0.6030711108952799,1.6030711108952798
12.0,fine,0.06,0.03,3.0,12.0,50,800,2.5,2.5,0.0,8,1,1.0,2.0,0.05,minimal_dirac_conformal,-1.5,-1.0,0.0,2.0529042076893593,1.5060471875221828,3.371197240199423,2,0,6,0.6203551965346291,0.722389360827204,0.9658157890286406,0.9999999999999998,1.0,1.0000000000000002,2.0387745624738655e-05,4.750643599191846e-05,1.9608243684290987e-05,1.2344523925903674e-05,2.9570824375314875e-05,1.2202469294697666e-05,1.2344523925903674e-05,4.191534830121855e-05,5.411781759591622e-05,4,2,3,0.2918485812414415,0.255008438925735,0.0609993268252151,0.2281046146035867,0.7745202996578621,1.0,1.5,1.0,0.7978827341882164,2.7822024839933135e-05,0.0001199712358665,0.0006845315985015,1.2344523925903674e-05,2.9570824375314875e-05,1.2202469294697666e-05,1.043985817224449e-06,1.983973202505661e-06,2.7706609575506656e-07,0.0052746587415616,0.0109531381743582,0.0261635547757091,0.0035134774691043,0.0054379062492208,0.0034932032999379,0.0010217562415882,0.0014085358364293,0.0005263706828415,0.0092527866363525,0.2893350124359131,0.0,0.0,0.0,1.1519648082658485e-19,2.405573570202213e-19,6.318865786517081e-19,1.7935611616603585e-05,0.6065306597125466,1.6065306597125466
13.0,fine,0.06,0.03,3.0,12.5,50,833,2.5,2.5,0.0,8,1,1.0,2.0,0.05,minimal_dirac_conformal,-1.5,-1.0,0.0,2.5750983865583144,1.9437681735782184,3.367482914927214,3,1,6,0.1346237640476821,0.1825509738070623,0.8884700147713654,0.9999999921376872,0.9999999903768924,0.9999998821982322,3.2275011223907846e-06,8.698048261501504e-06,7.186049164354897e-06,2.011435309162574e-06,4.089817692816734e-06,3.431555313598372e-06,2.011435309162574e-06,6.101253001979308e-06,9.53280831557768e-06,4,3,3,0.3306951731891154,0.2686653648542987,0.05,0.2110013379662384,0.6400268210585096,1.0,1.5,1.0,0.7978827341882164,3.035849289217767e-06,1.2899793990216653e-05,0.0003142848883232,2.011435309162574e-06,4.089817692816734e-06,3.431555313598372e-06,1.274770980207746e-07,1.990330192674532e-07,7.49746231305466e-08,0.0017423688728905,0.0035916283201657,0.0177280819132606,0.0014182507920542,0.0020223297685631,0.0018524457653595,0.0003570393508015,0.0004461311682313,0.0002738149432199,0.0108218193054199,0.322822093963623,0.0,0.0,0.0,2.0837010502455788e-19,2.524158182817815e-19,2.795208725939191e-20,4.6082305686847695e-06,1.1267569644433209,2.126756964443321
