D,sigma_mu,kappa_rho_fd,kappa_z_fd,kappa_iso_fd,kappa_rho_analytic,kappa_z_analytic,kappa_iso_analytic,relerr_kappa_rho_analytic,relerr_kappa_z_analytic,relerr_kappa_iso_analytic,c_sigma_exact,c_sigma_analytic,relerr_csigma_analytic,c_sigma_self,relerr_csigma_self,delta_kappa_mirror,mirror_fraction
4.0,2.5,6308.3559795060755,6308.379260969943,6308.363739994032,6309.417988621159,6309.441274146751,6309.425750463022,0.0001683495856183992,0.00016834960817568856,0.0001683495931372736,22.280205405639244,22.281143062324787,4.2084741521675184e-05,22.319782286451296,0.001776324773111737,-43.88037198595339,-0.0069066988336836275
5.0,2.5,6317.084738764578,6317.096695459768,6317.088724329641,6318.1481182328225,6318.16007701627,6318.152104493972,0.00016833389327808312,0.00016833390523629532,0.00016833389726422787,22.28790525098099,22.288843144266544,4.208081804857322e-05,22.319782286451296,0.001430239186291482,-35.15401795500384,-0.005533184971331619
6.0,2.5,6322.917214912849,6322.924147992737,6322.919525939479,6323.9815099415955,6323.988444230462,6323.983821371217,0.00016832341664008155,0.00016832342327921523,0.00016832341885297808,22.293046519433712,22.29398457067649,4.20781987764407e-05,22.319782286451296,0.0011992872752621953,-29.32230107775831,-0.0046152822660551415
7.0,2.5,6327.089750602256,6327.0941226534205,6327.091207952643,6328.154700561479,6328.159073375303,6328.156158166087,0.00016831592425603503,0.00016831592848753907,0.0001683159256666844,22.296722689130583,22.29766085329686,4.207632571651132e-05,22.319782286451296,0.0010342146530779583,-25.149964282888504,-0.003958563273698211
8.0,2.5,6330.222683391896,6330.225615307939,6330.223660697244,6331.288125076835,6331.291057503456,6331.289102552375,0.00016831030095265653,0.00016831030365493937,0.00016831030185326945,22.299481874382497,22.300420123297076,4.207491994057122e-05,22.319782286451296,0.0009103535312235955,-22.017019896600686,-0.0034654429476969543
9.0,2.5,6332.66149539935,6332.663556193552,6332.6621823307505,6333.727319851843,6333.72938099854,6333.728006900742,0.00016830592528394028,0.00016830592617633755,0.00016830592558148005,22.301629109551108,22.30256742441402,4.2073826010735615e-05,22.319782286451296,0.0008139843421759441,-19.578115548233654,-0.003081563389343969
10.0,2.5,6334.613856587624,6334.615359842033,6334.614357672427,6335.679987454895,6335.681490960588,6335.6804886234595,0.00016830242401644213,0.00016830242374510362,0.00016830242392584793,22.30334764660425,22.304286014250398,4.207295070735029e-05,22.319782286451296,0.0007368687475732827,-17.62563382551616,-0.0027742459572721013
11.0,2.5,6336.212108646322,6336.2132386277635,6336.212485306803,6337.278490339241,6337.27962051235,6337.278867063611,0.0001682995573117907,0.00016829955754738002,0.00016829955739039448,22.304754213072584,22.3056926239148,4.2072234163637034e-05,22.319782286451296,0.0006737609944118539,-16.027255385364697,-0.0025226638031392
12.0,2.5,6337.544579618992,6337.545450357141,6337.5448698650425,6338.611170416137,6338.612041298785,6338.611460710353,0.0001682971667882338,0.00016829716646582504,0.00016829716668076422,22.305926686651315,22.30686513349205,4.207163656189117e-05,22.319782286451296,0.0006211622585612364,-14.694661738622926,-0.002312915741097432
13.0,2.5,6338.672476491781,6338.673161593533,6338.672704859032,6339.739244292613,6339.739929504709,6339.739472696645,0.0001682951445729497,0.00016829514379113064,0.00016829514431226933,22.306919015956026,22.307857493268905,4.207113103360527e-05,22.319782286451296,0.0005766493564651753,-13.566649752330704,-0.002135368498047634
14.0,2.5,6339.639552390253,6339.640101087341,6339.639735289282,6340.706471967103,6340.7070207497145,6340.706654894641,0.00016829341290369726,0.0001682934118281132,0.00016829341254531727,22.307769755397103,22.308708258844803,4.207069814632369e-05,22.319782286451296,0.0005384909018655293,-12.599467554334296,-0.0019831356008196952
15.0,2.5,6340.477913987286,6340.478360218783,6340.478062731118,6341.544965131512,6341.545411426802,6341.545113896609,0.00016829191090983464,0.0001682919091270385,0.00016829191031542123,22.30850719037135,22.309445716466385,4.207032263625621e-05,22.319782286451296,0.0005054168790286084,-11.761008552366548,-0.0018511635242649213
16.0,2.5,6341.211654799395,6341.212022562104,6341.211777386964,6342.2788210869885,6342.279188905375,6342.278943693117,0.00016829059581802142,0.00016829059483813857,0.0001682905954913938,22.30915254267263,22.31009108858562,4.20699939718272e-05,22.319782286451296,0.00047647456613741923,-11.027178755858586,-0.0017356599136463453
17.0,2.5,6341.8592082662435,6341.859514924054,6341.859310485514,6342.926476160256,6342.926782873256,6342.926578397924,0.00016828943358149218,0.00016828943414637365,0.00016828943377000805,22.309722045869837,22.310660609263216,4.206970357811812e-05,22.319782286451296,0.0004509352721102644,-10.379544051052108,-0.001633723269586632
18.0,2.5,6342.434917588236,6342.435175973549,6342.435003716673,6343.502275834133,6343.502534260763,6343.502361976342,0.00016828840339178086,0.00016828840305027626,0.00016828840327787198,22.3102283295224,22.311166908468078,4.206944598750262e-05,22.319782286451296,0.000428232144816576,-9.803760472633257,-0.0015430958753887736
19.0,2.5,6342.950110667545,6342.950330397557,6342.9501839108825,6344.0175497560185,6344.017769522597,6344.017623011544,0.00016828747977659653,0.0001682874797117595,0.00016828747975483616,22.310681366789204,22.311619959643455,4.206921513594253e-05,22.319782286451296,0.00040791760289482504,-9.28849943743171,-0.0014619946305768942
20.0,2.5,6343.413852818003,6343.414041232621,6343.413915622875,6344.481364680863,6344.481553129593,6344.481427497107,0.00016828664937040827,0.0001682866497494384,0.0001682866494969737,22.31108913787859,22.312027743257048,4.206900759795573e-05,22.319782286451296,0.0003896335368920312,-8.824694951868878,-0.001388992562578941
