D,dr,dz,rho_max,z_max,z_margin,sigma_exact,kappa_iso,c_sigma_exact,amp_exact,ref_c,ref_width_log_rmse,ref_amp_log_rmse,ref_max_sigma_relerr,ref_max_amp_relerr,ref_max_kernel_rel_sup,ref_mean_kernel_rel_sup,sigma_from_ref_c,sigma_from_best_amp_c,sigma_from_best_kernel_c,relerr_sigma_best_amp,relerr_sigma_best_kernel
4.0,0.06,0.03,3.0,8.0,6.0,2.5,6308.363739994032,22.280205405639244,0.007944244960265977,22.30334764660425,0.0003837878991382805,0.00431875994269393,0.0010386906468622392,0.010232505897536104,0.010232607605465712,0.002919046171773626,2.502596726617156,2.5033431687251433,2.5033431687251433,0.001337267490057359,0.001337267490057359
5.0,0.06,0.03,3.0,8.5,6.0,2.5,6317.088724329641,22.28790525098099,0.005542472170062985,22.30334764660425,0.0003837878991382805,0.00431875994269393,0.0010386906468622392,0.010232505897536104,0.010232607605465712,0.002919046171773626,2.501732149729793,2.502478333962995,2.502478333962995,0.0009913335851980953,0.0009913335851980953
6.0,0.06,0.03,3.0,9.0,6.0,2.5,6322.919525939479,22.293046519433712,0.003569566513184227,22.30334764660425,0.0003837878991382805,0.00431875994269393,0.0010386906468622392,0.010232505897536104,0.010232607605465712,0.002919046171773626,2.5011551950920614,2.5019012072387135,2.5019012072387135,0.0007604828954854703,0.0007604828954854703
7.0,0.06,0.03,3.0,9.5,6.0,2.5,6327.091207952643,22.296722689130583,0.0021221882597193312,22.30334764660425,0.0003837878991382805,0.00431875994269393,0.0010386906468622392,0.010232505897536104,0.010232607605465712,0.002919046171773626,2.5007428174048303,2.501488706552812,2.501488706552812,0.0005954826211247433,0.0005954826211247433
8.0,0.06,0.03,3.0,10.0,6.0,2.5,6330.223660697244,22.299481874382497,0.0011646733262768367,22.30334764660425,0.0003837878991382805,0.00431875994269393,0.0010386906468622392,0.010232505897536104,0.010232607605465712,0.002919046171773626,2.500433392605659,2.501179189462423,2.501179189462423,0.0004716757849692055,0.0004716757849692055
9.0,0.06,0.03,3.0,10.5,6.0,2.5,6332.6621823307505,22.301629109551108,0.0005900453760590095,22.30334764660425,0.0003837878991382805,0.00431875994269393,0.0010386906468622392,0.010232505897536104,0.010232607605465712,0.002919046171773626,2.50019264703093,2.5009383720812246,2.5009383720812246,0.0003753488324897969,0.0003753488324897969
10.0,0.06,0.03,3.0,11.0,6.0,2.5,6334.614357672427,22.30334764660425,0.00027594540365260764,22.30334764660425,0.0003837878991382805,0.00431875994269393,0.0010386906468622392,0.010232505897536104,0.010232607605465712,0.002919046171773626,2.4999999999999996,2.5007456675900355,2.5007456675900355,0.0002982670360140993,0.0002982670360140993
11.0,0.06,0.03,3.0,11.5,6.0,2.5,6336.212485306803,22.304754213072584,0.00011912768726097251,22.30334764660425,0.0003837878991382805,0.00431875994269393,0.0010386906468622392,0.010232505897536104,0.010232607605465712,0.002919046171773626,2.499842346786822,2.5005879673541016,2.5005879673541016,0.00023518694164059717,0.00023518694164059717
12.0,0.06,0.03,3.0,12.0,6.0,2.5,6337.5448698650425,22.305926686651315,4.74748189220879e-05,22.30334764660425,0.0003837878991382805,0.00431875994269393,0.0010386906468622392,0.010232505897536104,0.010232607605465712,0.002919046171773626,2.4997109467717604,2.5004565281467466,2.5004565281467466,0.00018261125869867278,0.00018261125869867278
13.0,0.06,0.03,3.0,12.5,6.0,2.5,6338.672704859032,22.306919015956026,1.7465072567888394e-05,22.30334764660425,0.0003837878991382805,0.00431875994269393,0.0010386906468622392,0.010232505897536104,0.010232607605465712,0.002919046171773626,2.499599746456557,2.5003452946641547,2.5003452946641547,0.00013811786566186868,0.00013811786566186868
14.0,0.06,0.03,3.0,13.0,6.0,2.5,6339.639735289282,22.307769755397103,5.93101831016755e-06,22.30334764660425,0.0003837878991382805,0.00431875994269393,0.0010386906468622392,0.010232505897536104,0.010232607605465712,0.002919046171773626,2.49950442056273,2.5002499403377563,2.5002499403377563,9.99761351025974e-05,9.99761351025974e-05
15.0,0.06,0.03,3.0,13.5,6.0,2.5,6340.478062731118,22.30850719037135,1.8592988281080565e-06,22.30334764660425,0.0003837878991382805,0.00431875994269393,0.0010386906468622392,0.010232505897536104,0.010232607605465712,0.002919046171773626,2.4994217963888095,2.500167291519768,2.500167291519768,6.691660790725251e-05,6.691660790725251e-05
