D,zmax,Nz,E1,omega2_1,stable1,S1,has_tp1
6.0,60.0,3001,-0.48032802312828965,0.5196719768717104,True,4.28295330215218,True
6.0,60.0,5001,-0.4795641258254095,0.5204358741745905,True,4.293776648537612,True
6.0,60.0,8001,-0.47931199807905633,0.5206880019209437,True,4.2908933134383505,True
6.0,80.0,3001,-0.4812518674960485,0.5187481325039516,True,4.269971732053421,True
6.0,80.0,5001,-0.4798891843778838,0.5201108156221161,True,4.289435199337942,True
6.0,80.0,8001,-0.479437427519251,0.520562572480749,True,4.281584505003245,True
6.0,100.0,3001,-0.4868127582703226,0.5131872417296774,True,4.252801673899896,True
6.0,100.0,5001,-0.4803280231282246,0.5196719768717755,True,4.282953302151937,True
6.0,100.0,8001,-0.47959950057706735,0.5204004994229326,True,4.29081886026043,True
12.0,60.0,3001,-0.4790325919143867,0.5209674080856133,True,8.512695079170644,True
12.0,60.0,5001,-0.4782426143654708,0.5217573856345292,True,8.519428926375275,True
12.0,60.0,8001,-0.47798185302163165,0.5220181469783683,True,8.515816008899723,True
12.0,80.0,3001,-0.47943308293689024,0.5205669170631098,True,8.482286886199082,True
12.0,80.0,5001,-0.4785783844467805,0.5214216155532194,True,8.520105487914543,True
12.0,80.0,8001,-0.47811157804216176,0.5218884219578382,True,8.50733507758035,True
12.0,100.0,3001,-0.48572348914562974,0.5142765108543703,True,8.512331244082304,True
12.0,100.0,5001,-0.479032591914037,0.520967408085963,True,8.512695079167841,True
12.0,100.0,8001,-0.47827920012389435,0.5217207998761056,True,8.51700456756586,True
18.0,60.0,3001,-0.4824579660644801,0.5175420339355199,True,12.755071025721016,True
18.0,60.0,5001,-0.4816649246472543,0.5183350753527457,True,12.758405605690005,True
18.0,60.0,8001,-0.48140314563709513,0.5185968543629049,True,12.753682263249669,True
18.0,80.0,3001,-0.4834164799207672,0.5165835200792328,True,12.771885238600703,True
18.0,80.0,5001,-0.482002419868275,0.5179975801317249,True,12.74162701475581,True
18.0,80.0,8001,-0.4815333770069206,0.5184666229930794,True,12.74575962063224,True
18.0,100.0,3001,-0.4891705237343354,0.5108294762656647,True,12.783250749198457,True
18.0,100.0,5001,-0.4824579660645789,0.5175420339354211,True,12.755071025722232,True
18.0,100.0,8001,-0.4817016531417351,0.5182983468582649,True,12.756146272147095,True
