D,n,E,omega2,omega_real,omega_imag,S_z,z1,z2,has_bound,has_stable_bound,has_turning_points,is_physical_tunnel
15.0,3,0.0017469525266616591,0.0017469525266616591,0.0417965611822511,0.0,,,,False,False,False,False
15.5,1,-20.88472377149106,-20.88472377149106,,4.569980718940843,,,,True,False,False,False
15.5,2,-20.88472377148625,-20.88472377148625,,4.569980718940316,,,,True,False,False,False
15.5,3,0.0017569491533622054,0.0017569491533622054,0.04191597730415224,0.0,,,,False,False,False,False
16.0,1,-20.89959225866406,-20.89959225866406,,4.571607185516277,,,,True,False,False,False
16.0,2,-20.89959225865885,-20.89959225865885,,4.571607185515708,,,,True,False,False,False
16.0,3,0.0017670801489698346,0.0017670801489698346,0.042036652447237456,0.0,,,,False,False,False,False
16.5,1,-20.913575526571567,-20.913575526571567,,4.573136289962455,,,,True,False,False,False
16.5,2,-20.91357552656532,-20.91357552656532,,4.573136289961772,,,,True,False,False,False
16.5,3,0.0017773439243959554,0.0017773439243959554,0.042158556953434206,0.0,,,,False,False,False,False
17.0,1,-20.926750338204826,-20.926750338204826,,4.574576520095038,,,,True,False,False,False
17.0,2,-20.926750338200726,-20.926750338200726,,4.57457652009459,,,,True,False,False,False
17.0,3,0.0017877390708677802,0.0017877390708677802,0.04228166353004314,0.0,,,,False,False,False,False
17.5,1,-20.939184831097897,-20.939184831097897,,4.575935405039925,,,,True,False,False,False
17.5,2,-20.93918483109232,-20.93918483109232,,4.575935405039315,,,,True,False,False,False
17.5,3,0.001798264338016699,0.001798264338016699,0.042405946965215845,0.0,,,,False,False,False,False
18.0,1,-20.950939695629604,-20.950939695629604,,4.577219646863105,,,,True,False,False,False
18.0,2,-20.950939695626783,-20.950939695626783,,4.577219646862797,,,,True,False,False,False
18.0,3,0.0018089186139708196,0.0018089186139708196,0.042531383870864345,0.0,,,,False,False,False,False
18.5,1,-20.96206916533325,-20.96206916533325,,4.578435231095145,,,,True,False,False,False
18.5,2,-20.962069165331513,-20.962069165331513,,4.5784352310949545,,,,True,False,False,False
18.5,3,0.0018197009072848064,0.0018197009072848064,0.04265795245068387,0.0,,,,False,False,False,False
19.0,1,-20.972621853255056,-20.972621853255056,,4.579587519990753,,,,True,False,False,False
19.0,2,-20.972621853250807,-20.972621853250807,,4.579587519990289,,,,True,False,False,False
19.0,3,0.0018306103303399948,0.0018306103303399948,0.04278563228865497,0.0,,,,False,False,False,False
19.5,1,-20.982641461627736,-20.982641461627736,,4.580681331595523,,,,True,False,False,False
19.5,2,-20.98264146162399,-20.98264146162399,,4.580681331595114,,,,True,False,False,False
19.5,3,0.0018416460838941997,0.0018416460838941997,0.0429144041540157,0.0,,,,False,False,False,False
20.0,1,-20.992167386659432,-20.992167386659432,,4.58172100707359,,,,True,False,False,False
20.0,2,-20.992167386657698,-20.992167386657698,,4.5817210070734005,,,,True,False,False,False
20.0,3,0.0018528074426978915,0.0018528074426978915,0.043044249821525424,0.0,,,,False,False,False,False
