D,R,R_tail_root,parity,ell,h,E0_real,E0_imag,Gamma_dtn,transfer_pair,R_start,R_ref,boundary_F_abs_min,m_rouche_budget,a_start_real,a_start_imag,b_start_real,b_start_imag,initial_delta_at_R_start,transfer_delta_at_R,transfer_delta_over_budget,jost_log_scale_a,jost_log_scale_b,jost_nfev_a,jost_nfev_b,matrix_det_minus_one_abs_short_diag,matrix_nfev_short_diag,jost_denom_a_abs,jost_denom_b_abs,jost_denom_product_abs,jost_denom_floor_endpoints,jost_denom_floor_segment,jost_pole_initial_real,jost_pole_initial_imag,jost_pole_distance_segment,exact_projective_gain,exact_projective_delta,exact_projective_delta_over_budget,exact_projective_formula_rel_error,exact_projective_formula_abs_error_over_budget,segment_gain_bound,segment_delta_bound,segment_delta_bound_over_budget,exact_projective_status,segment_projective_status,jost_required_product,jost_observed_product,jost_product_margin,transfer_upper_ratio_with_formula_error,jost_product_lower_from_transfer,jost_product_lower_from_transfer_margin,pole_endpoint_distance_a,pole_endpoint_distance_b,pole_endpoint_distance_product,projective_B_abs_from_a,projective_B_abs_from_b,projective_B_abs_floor,projective_B_abs_rel_mismatch,pole_product_lower_bound,pole_product_lower_margin,pole_product_identity_rel_error,jost_product_bound_status,pole_exclusion_status
6.0,60.0,400.0,even,1.0,0.05,0.0092614760389061,-0.0033160702851386,0.0033008158249878,1600_to_3200,1600.0,3200.0,0.3374138893125741,0.0084353472328143,0.0170530874338893,0.0972185500042517,-0.0170561509769556,-0.097219657034884,0.1974073364937628,1.2374793117587465e-15,1.4670164459203612e-13,8.202080291116504,26.724660379509615,5308.0,5308.0,,,3648.532427686767,403991784582.7618,1473977126569250.8,3648.53242768676,1209.5099087596093,0.0170530877253889,0.0972185482454178,5.910172850524783e-10,6.784365794926178e-16,1.3392835813757663e-16,1.5877041506552547e-14,0.8917732548213406,1.308246030854836e-13,6.835670791542123e-07,1.3494115641065417e-07,1.5997107491404676e-05,passes_exact_projective_budget,passes_segment_projective_budget,23.402396018249203,1473977126569250.8,62984026311658.11,2.775262476775197e-13,84324898317532.48,3603259181315.2754,1.7828260421939463e-09,0.19740733481174985,3.519429374224872e-10,2046488182995.6228,2046488216701.844,2046486136507.4397,1.6470273767677874e-08,1473972680365561.0,62983836322407.164,1.647027203638185e-08,passes_jost_product_lower_bound,passes_projective_pole_exclusion
6.0,60.0,400.0,odd,1.0,0.05,0.010772654646807,-0.0036291617273143,0.0036097645895319,1600_to_3200,1600.0,3200.0,0.3343827725076107,0.0083595693126902,0.0173220967727679,0.1047467366886577,-0.0173247627999708,-0.1047476415431031,0.2123400560162052,5.382743800758553e-15,6.439020479903509e-13,8.4094110049248,27.078030017693592,5308.0,5308.0,,,4489.115665705459,575226675139.0823,2582259078698515.0,4489.115665705452,1408.0516353837077,0.0173220970288305,0.104746735051442,5.197703254323998e-10,3.8725781167705696e-16,8.223034542421934e-17,9.836672482563104e-15,0.9847233402762676,6.340653755077876e-13,5.04385783711081e-07,1.0710130556698852e-07,1.2811820987524212e-05,passes_exact_projective_budget,passes_segment_projective_budget,25.400836822282635,2582259078698515.0,101660393976991.1,1.2779674234981385e-12,19875945939151.562,782491776873.8856,1.657118972968141e-09,0.21234005444271153,3.518727329381053e-10,2708988152893.3315,2708988074100.151,2708985365112.0767,2.9085834347377095e-08,2582251256822095.0,101660086039245.78,2.908583268021843e-08,passes_jost_product_lower_bound,passes_projective_pole_exclusion
6.0,80.0,400.0,even,1.0,0.0666666666666666,0.0066008777080276,-0.0027049482824944,0.0026960622878862,1600_to_3200,1600.0,3200.0,0.1217320976509424,0.0040577365883647,0.0164350352281619,0.0822808172826931,-0.0164391975917961,-0.0822825470198049,0.1678148266812486,8.095001181843431e-15,1.994954824089677e-12,7.306779570473833,25.504008013391964,5234.0,5234.0,,,1490.3698214738324,119192779298.97565,177641321204784.1,1490.369821473831,557.3753161355484,0.0164350356164748,0.0822808152206032,7.847441912030994e-10,5.629320887831073e-15,9.446835091245042e-16,2.3281045690183883e-13,0.883300386509718,1.7621443671878382e-12,3.218878148283724e-06,5.401754785622917e-07,0.0001331223618879,passes_exact_projective_budget,passes_segment_projective_budget,41.35675715433251,177641321204784.1,4295339708137.0166,3.7570991912775155e-12,11007618828267.602,266162523023.50665,2.098333069369293e-09,0.1678148247351811,3.521313962722425e-10,710263705619.3375,710263705766.5608,710262995355.6318,2.0727972639777502e-10,177640788244532.22,4295326821240.4478,2.072789835736054e-10,passes_jost_product_lower_bound,passes_projective_pole_exclusion
6.0,80.0,400.0,odd,1.0,0.0666666666666666,0.0066008777113058,-0.0027049482904822,0.0026960622958433,1600_to_3200,1600.0,3200.0,0.1217321021226802,0.0040577367374226,0.0164350352710143,0.0822808173111726,-0.0164391976346498,-0.0822825470482942,0.167814826753903,1.3592459420009896e-14,3.349763747522799e-12,7.306780589118188,25.504008079129665,5234.0,5234.0,,,1490.3713396314106,119192787134.43524,177641513835949.66,1490.3713396314097,557.3761555761413,0.0164350356593281,0.0822808152490808,7.847453204743733e-10,5.629314783499824e-15,9.446824851362084e-16,2.328101959951787e-13,0.9304995177145418,3.1169535515276204e-12,3.218868452659253e-06,5.401738517266167e-07,0.0001331219560758,passes_exact_projective_budget,passes_segment_projective_budget,41.35675565302837,177641513835949.66,4295344521855.446,6.466717299050419e-12,6395318116402.829,154637809843.15506,2.0983350910815443e-09,0.16781482480783388,3.5213173569797953e-10,710263744797.4188,710263752150.1683,710263034533.674,1.0352139595269937e-08,177640979072976.94,4295331591368.896,1.0352138720503541e-08,passes_jost_product_lower_bound,passes_projective_pole_exclusion
6.0,100.0,400.0,even,1.0,0.0833333333333333,0.0044173683334497,-0.0021188553782595,0.0021141897675973,1600_to_3200,1600.0,3200.0,0.0523355393205626,0.0021806474716901,0.0156813472344293,0.0675454624874263,-0.015687272644778,-0.0675483678853209,0.1386878989598834,1.26595740795149e-14,5.805419832350579e-12,6.352730332361801,24.167838505055673,5160.0,5160.0,,,574.0579402123216,31329892323.522957,17985173454315.414,574.0579402123216,246.07237273271917,0.0156813477762037,0.0675454600046708,1.0892874924325792e-09,5.5601354223250886e-14,7.711234996546905e-15,3.536213485515989e-12,0.3908772168706019,2.2692063468345907e-12,1.6514836792828034e-05,2.2904080164626994e-06,0.0010503339243034,passes_exact_projective_budget,passes_segment_projective_budget,63.59941290849457,17985173454315.414,282788356555.93365,8.07462617918517e-12,7876445038784.399,123844618662.0756,2.541179721859711e-09,0.13868789666400716,3.5243087066995006e-10,225902141148.91837,225902137656.78815,225901911754.65048,1.5458597252532415e-08,17985119220824.28,282787503820.21405,1.5458597349295496e-08,passes_jost_product_lower_bound,passes_projective_pole_exclusion
6.0,100.0,400.0,odd,1.0,0.0833333333333333,0.0044173683350498,-0.0021188553800381,0.0021141897693703,1600_to_3200,1600.0,3200.0,0.0523355314527734,0.0021806471438655,0.0156813472443136,0.0675454625015655,-0.0156872726546563,-0.0675483678994516,0.1386878989918905,4.4478309924045326e-15,2.039683955708679e-12,6.35273026891586,24.16783851988896,5160.0,5160.0,,,574.057903790676,31329892788.248234,17985172580008.4,574.057903790676,246.0725208471077,0.0156813477860887,0.0675454600188103,1.0892881344956255e-09,5.5601356926180416e-14,7.711235373190164e-15,3.536214189848581e-12,0.7337069205998333,1.4965302341399017e-12,1.65148169118254e-05,2.290405259736807e-06,0.001050332818026,passes_exact_projective_budget,passes_segment_projective_budget,63.59942248430294,17985172580008.4,282788300230.98627,5.032744423988483e-12,12637112781196.537,198698546112.04245,2.5411795729830764e-09,0.13868789669601483,3.524308501039e-10,225902140050.96567,225902140955.52356,225901914148.82562,4.004202386128761e-09,17985118552528.562,282787450734.5958,4.004202523891843e-09,passes_jost_product_lower_bound,passes_projective_pole_exclusion
6.0,120.0,400.0,even,1.0,0.1,0.0035016243975835,-0.0018378939529164,0.0018346838025795,1600_to_3200,1600.0,3200.0,0.0240102008488947,0.0012005100424447,0.0152418661391155,0.0602746596561009,-0.0152490894896155,-0.0602785594812829,0.1243494150349705,2.4109457473485272e-14,2.0082678712448285e-11,5.659027446776172,23.25523634018947,5112.0,5112.0,,,286.8695109751795,12578267249.136456,3608321374674.892,286.86951097517954,132.6373014658067,0.0152418667937388,0.0602746568966798,1.311259344768271e-09,2.7713717714240445e-13,3.4461845862100993e-14,2.870600381811252e-11,0.4293911797891311,8.623325105664239e-12,5.684190769462261e-05,7.0682579712981105e-06,0.0058877124900215,passes_exact_projective_budget,passes_segment_projective_budget,103.58048715839752,3608321374674.892,34835918170.15659,3.7329328923776756e-11,2774772184879.4146,26788560867.030613,2.8360071299522475e-09,0.12434941252030635,3.526558205129621e-10,101152605698.84737,101152606950.05226,101152504546.24167,1.2369477492926689e-08,3608310505088.676,34835813231.60577,1.2369477836090103e-08,passes_jost_product_lower_bound,passes_projective_pole_exclusion
6.0,120.0,400.0,odd,1.0,0.1,0.003501624401755,-0.0018378939523014,0.0018346838019618,1600_to_3200,1600.0,3200.0,0.0240102010297344,0.0012005100514867,0.0152418661260969,0.0602746596874147,-0.0152490894765835,-0.0602785595125942,0.124349415089296,2.1765531694371182e-14,1.8130236950050183e-11,5.659028555548288,23.25523631980495,5112.0,5112.0,,,286.8698290482708,12578266992.734575,3608325301929.2783,286.869829048271,132.63744242989617,0.0152418667807209,0.0602746569279905,1.311260768887846e-09,2.771368755099009e-13,3.4461808369331235e-14,2.870597237120463e-11,0.5833203090666266,1.0575735421154446e-11,5.684178687408571e-05,7.068242950422985e-06,0.0058876999335987,passes_exact_projective_budget,passes_segment_projective_budget,103.58048642350215,3608325301929.2783,34835956332.31703,3.928170779235908e-11,2636860479451.043,25457116204.976093,2.836010315997435e-09,0.12434941257462905,3.5265621684986913e-10,101152604216.59561,101152604843.91635,101152503063.9914,6.2017260031423e-09,3608314454586.416,34835851608.5101,6.201726915410424e-09,passes_jost_product_lower_bound,passes_projective_pole_exclusion
6.0,60.0,800.0,even,1.0,0.05,0.0100336639045976,-0.0020046965244911,0.0019947133724832,1600_to_3200,1600.0,3200.0,1.8437704327783464,0.0460942608194586,0.0100054368626985,0.1001646620569765,-0.0100103618437709,-0.1001668457653568,0.2013289478048984,5.259224842799906e-07,1.140971728215615e-05,-2.853671820384202,15.708968688077452,5308.0,5308.0,,,0.0576323163777485,6642298.944274848,382811.07423203345,0.0576323163777485,0.0108756053573,0.0100054370201583,0.1001646603172446,3.296410140691588e-10,2.6122546271842426e-06,5.259224754894809e-07,1.14097170914489e-05,1.6714458859055455e-08,1.9070725010605298e-13,8454.601066175655,1702.1559367633174,36927.71955776224,passes_exact_projective_budget,not_lifted_segment_projective,4.36776605646115,382811.07423203345,87644.59205999566,1.14097174728634e-05,382810.6786240127,87644.5014855428,1.7468430590062024e-09,0.20132894608943996,3.516900720533721e-10,32992269.15698777,32992269.980512492,32992236.164718613,2.496114154780033e-08,382809.9162445859,87644.32693877978,2.4961142882232285e-08,passes_jost_product_lower_bound,passes_projective_pole_exclusion
6.0,60.0,800.0,odd,1.0,0.05,0.0100336639072853,-0.0020046965768186,0.0019947134245475,1600_to_3200,1600.0,3200.0,1.843768750582952,0.0460942187645738,0.0100054371200001,0.1001646620960909,-0.0100103621273487,-0.1001668458305061,0.2013289479624189,5.259214055401327e-07,1.1409704289083974e-05,-2.8536702042199824,15.708969089347647,5308.0,5308.0,,,0.0576324095211114,6642301.60963197,382811.8465290474,0.0576324095211115,0.010875445584051,0.0100054372774546,0.1001646603563564,3.296360422554346e-10,2.6122493571371778e-06,5.259214148879331e-07,1.1409704491881647e-05,1.777413932676548e-08,2.0279767371137226e-13,8454.849484319695,1702.2059518586843,36928.83831164815,passes_exact_projective_budget,not_lifted_segment_projective,4.367770044887981,382811.8465290474,87644.68884461735,1.1409704694679321e-05,382811.45691305684,87644.5996421212,1.7468451658944977e-09,0.20132894624695738,3.5169049650613065e-10,32992282.68556926,32992283.19351695,32992249.693286575,1.5395954496557666e-08,382810.6922009199,87644.42456144409,1.5395955291845407e-08,passes_jost_product_lower_bound,passes_projective_pole_exclusion
