D,ell,N_target,z_cap_frac,scan_axis,window_min,window_max,window_center,n_points,Gamma_cap_min,Gamma_cap_max,Gamma_cap_rel_span,Gamma_cap_over_eta_rel_span,candidate_overlap_min,rel_Gamma_exact_vs_narrow_max,regime_guess
6.0,1.0,3.0,0.8,eta_cap,5e-05,6.12e-05,5.5317266743757324e-05,3.0,7.734103080198948e-07,9.466540857822218e-07,0.20253150473113551,1.386294331203508e-07,0.999999976091537,0.0,absorber_linear_like
6.0,1.0,3.0,0.825,eta_cap,5e-05,6.12e-05,5.5317266743757324e-05,3.0,5.302220653693457e-07,6.489917469411294e-07,0.20253154996881273,9.410126822845538e-08,0.9999999878429094,0.0,absorber_linear_like
6.0,1.0,3.0,0.85,eta_cap,5e-05,6.12e-05,5.5317266743757324e-05,3.0,3.4073505301295735e-07,4.170596806913114e-07,0.20253158662815654,5.80169906830061e-08,0.999999994581401,0.0,absorber_linear_like
6.0,1.0,3.0,0.875,eta_cap,5e-05,6.12e-05,5.5317266743757324e-05,3.0,2.006357923012747e-07,2.455782020372867e-07,0.2025316135520501,3.151531073207226e-08,0.9999999979771917,0.0,absorber_linear_like
6.0,1.0,3.0,0.9,eta_cap,5e-05,6.12e-05,5.5317266743757324e-05,3.0,1.0421078078266165e-07,1.2755399384951346e-07,0.20253163100620677,1.433482636903064e-08,0.9999999994138686,0.0,absorber_linear_like
12.0,1.0,3.0,0.8,eta_cap,5e-05,6.12e-05,5.5317266743757324e-05,3.0,7.863839962170144e-07,9.62533879049078e-07,0.20253150590799598,1.374710442770463e-07,0.9999988690408989,0.0,absorber_linear_like
12.0,1.0,3.0,0.825,eta_cap,5e-05,6.12e-05,5.5317266743757324e-05,3.0,5.392420480672202e-07,6.600322051452741e-07,0.2025315506166544,9.346362156471915e-08,0.9999987941591744,0.0,absorber_linear_like
12.0,1.0,3.0,0.85,eta_cap,5e-05,6.12e-05,5.5317266743757324e-05,3.0,3.466028223625555e-07,4.2424183009005523e-07,0.20253158694308898,5.770697311595424e-08,0.9999986256816592,0.0,absorber_linear_like
12.0,1.0,3.0,0.875,eta_cap,5e-05,6.12e-05,5.5317266743757324e-05,3.0,2.041270260698184e-07,2.498514720673241e-07,0.20253161368229158,3.138718123178135e-08,0.9999989486300043,0.0,absorber_linear_like
12.0,1.0,3.0,0.9,eta_cap,5e-05,6.12e-05,5.5317266743757324e-05,3.0,1.0603970509374935e-07,1.2979259717962503e-07,0.2025316310488373,1.4292988742063616e-08,0.9999989432969154,0.0,absorber_linear_like
18.0,1.0,3.0,0.8,eta_cap,5e-05,6.12e-05,5.5317266743757324e-05,3.0,8.134744227933866e-07,9.956925591796674e-07,0.20253150851941756,1.349005035579267e-07,0.9999998766485416,0.0,absorber_linear_like
18.0,1.0,3.0,0.825,eta_cap,5e-05,6.12e-05,5.5317266743757324e-05,3.0,5.580702249659962e-07,6.830778924918129e-07,0.2025315520688467,9.20342524446901e-08,0.9999999293559377,0.0,absorber_linear_like
18.0,1.0,3.0,0.85,eta_cap,5e-05,6.12e-05,5.5317266743757324e-05,3.0,3.588474218516393e-07,4.3922921930842896e-07,0.20253158765692922,5.700435124437055e-08,0.9999999333085688,0.0,absorber_linear_like
18.0,1.0,3.0,0.875,eta_cap,5e-05,6.12e-05,5.5317266743757324e-05,3.0,2.114104953774601e-07,2.587664382961303e-07,0.20253161398092925,3.109321565574757e-08,0.9999999570459968,0.0,absorber_linear_like
18.0,1.0,3.0,0.9,eta_cap,5e-05,6.12e-05,5.5317266743757324e-05,3.0,1.0985441849699189e-07,1.344618063316552e-07,0.2025316311485743,1.4194832608624463e-08,0.9999999271963294,0.0,absorber_linear_like
