D,R_tail,parity,R0,R1,center_mode,tube_factor,tube_radius_min,slab_index,R_left,R_right,delta_R,node_upper_beta,sampled_dH_dR_abs_max,cauchy_guard_factor,cauchy_L_bound,five_percent_reserve,cauchy_remainder_bound,remainder_over_reserve,beta_cauchy,beta_s22_inflated,beta_cauchy_over_s22_inflated,cauchy_contribution,s22_inflated_contribution,dF_dE_abs_min,curved_numerator_abs_max,dF_dE_CR_rel_mismatch_max,cauchy_slab_pass
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,0.0,60.0,60.625,0.625,0.0033059079926411,5.2812552533502975e-05,5.0,0.0002640627626675149,0.000165295399632055,8.25196133335984e-05,0.4992251055824045,0.003388427605974698,0.0034712033922731,0.9761535764563204,0.0021177672537341864,0.0021695021201707,,,,1.0
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,1.0,60.625,61.25,0.625,0.0032729001473076,5.186643135476621e-05,5.0,0.00025933215677383104,0.00016364500736538003,8.10412989918222e-05,0.4952262234977718,0.0033539414462994224,0.003436545154673,0.9759631534998883,0.002096213403937139,0.0021478407216706,,,,1.0
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,2.0,61.25,61.875,0.625,0.0032404836277109,5.0958894313277854e-05,5.0,0.00025479447156638926,0.00016202418138554502,7.962327236449664e-05,0.49142832683122095,0.0033201069000753968,0.0034025078090964,0.9757823012776902,0.002075066812547123,0.0021265673806853,,,,1.0
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,3.0,61.875,62.5,0.625,0.0032086343187651,5.0086857135602655e-05,5.0,0.00025043428567801326,0.00016043171593825502,7.826071427437914e-05,0.4878132345383575,0.003286895033039479,0.0033690660347033,0.9756101540256519,0.0020543093956496743,0.0021056662716896,,,,1.0
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,4.0,62.5,63.125,0.625,0.0031773300330553,4.923926811416998e-05,5.0,0.0002461963405708499,0.00015886650165276503,7.69363564283906e-05,0.48428306551717626,0.0032542663894836905,0.0033361965347081,0.9754420507389029,0.0020339164934273066,0.0020851228341925,,,,1.0
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,5.0,63.125,63.75,0.625,0.003146555490484,4.841275272432638e-05,5.0,0.0002420637636216319,0.0001573277745242,7.564492613175997e-05,0.4808110097567314,0.00322220041661576,0.0033038832650082,0.9752767147503205,0.00201387526038485,0.0020649270406301,,,,1.0
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,6.0,63.75,64.375,0.625,0.0031162975200313,4.7605238412783137e-05,5.0,0.00023802619206391568,0.000155814876001565,7.438318501997365e-05,0.4773817938874241,0.0031906807050512734,0.0032721123960328,0.9751134187565633,0.001994175440657046,0.0020450702475205,,,,1.0
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,7.0,64.375,65.0,0.625,0.0030865442460233,4.680980863117565e-05,5.0,0.00023404904315587824,0.000154327212301165,7.314032598621195e-05,0.4739301960789699,0.003159684572009512,0.0032408714583245,0.9749490569561309,0.001974802857505945,0.0020255446614528,,,,1.0
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,8.0,65.0,65.625,0.625,0.0030572881156288,4.60307131237174e-05,5.0,0.000230153565618587,0.00015286440578144,7.192298925580843e-05,0.47050187313481806,0.0031292111048846086,0.0032101525214102,0.9747858034826226,0.0019557569405528803,0.0020063453258814,,,,1.0
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,9.0,65.625,66.25,0.625,0.0030285189199265,4.526466913907789e-05,5.0,0.00022632334569538948,0.000151425945996325,7.072604552980921e-05,0.4670668891282718,0.003099244965456309,0.0031799448659228,0.9746222328156396,0.0019370281034101933,0.0019874655412017,,,,1.0
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,10.0,66.25,66.875,0.625,0.0030002285017146,4.4516272682320475e-05,5.0,0.00022258136341160237,0.00015001142508573001,6.955667606612574e-05,0.46367585686473417,0.003069785177780726,0.0031502399268003,0.9744607550888063,0.0019186157361129538,0.0019688999542502,,,,1.0
