D,R_tail,parity,R0,R1,center_mode,tube_factor,tube_radius_min,slab_index,R_left,R_right,delta_R,node_upper_beta,sampled_dH_dR_abs_max,cauchy_guard_factor,cauchy_L_bound,five_percent_reserve,cauchy_remainder_bound,remainder_over_reserve,beta_cauchy,beta_s22_inflated,beta_cauchy_over_s22_inflated,cauchy_contribution,s22_inflated_contribution,dF_dE_abs_min,curved_numerator_abs_max,dF_dE_CR_rel_mismatch_max,cauchy_slab_pass
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,11.0,66.875,67.5,0.625,0.0029724058312881,4.378162814716591e-05,5.0,0.00021890814073582954,0.00014862029156440502,6.840879397994673e-05,0.4602924221172153,0.0030408146252680467,0.0031210261228525,0.9742996391484403,0.0019005091407925292,0.0019506413267828,,,,1.0
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,12.0,67.5,68.125,0.625,0.0029450423136961,4.3067371597339114e-05,5.0,0.00021533685798669558,0.000147252115684805,6.729276812084237e-05,0.45699016145128524,0.0030123350818169426,0.0030922944293809,0.974142388640539,0.0018827094261355893,0.0019326840183631,,,,1.0
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,13.0,68.125,68.75,0.625,0.0029181252064478,4.2368662382673286e-05,5.0,0.00021184331191336642,0.00014590626032239,6.6201034972927e-05,0.45372306045437133,0.002984326241420727,0.0030640314667702,0.973986812402586,0.0018652039008879543,0.0019150196667313,,,,1.0
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,14.0,68.75,69.375,0.625,0.0028916447924586,4.1690933329704974e-05,5.0,0.00020845466664852486,0.00014458223962293,6.514208332766402e-05,0.4505538404824434,0.002956786875786264,0.0030362270320816,0.9738358971658083,0.001847991797366415,0.001897641895051,,,,1.0
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,15.0,69.375,70.0,0.625,0.0028655879591276,4.10323965013358e-05,5.0,0.00020516198250667902,0.00014327939795638002,6.41131195333372e-05,0.44746921363290343,0.002929701078660937,0.0030088673570839,0.9736890101730212,0.0018310631741630856,0.0018805420981774,,,,1.0
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,16.0,70.0,70.625,0.625,0.0028399427113142,4.039149134883943e-05,5.0,0.00020195745674419716,0.00014199713556571001,6.311170523256161e-05,0.44445759402911544,0.002903054416546762,0.0029819398468799,0.9735455997156756,0.001814409010341726,0.0018637124042999,,,,1.0
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,17.0,70.625,71.25,0.625,0.0028146980292212,3.977001660332366e-05,5.0,0.0001988500830166183,0.00014073490146106,6.214065094269322e-05,0.441543997242837,0.0028768386801638936,0.0029554329306823,0.9734068570115506,0.0017980241751024335,0.0018471455816764,,,,1.0
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,18.0,71.25,71.875,0.625,0.0027898417688441,3.916571161129284e-05,5.0,0.0001958285580564642,0.000139492088442205,6.119642439264507e-05,0.4387089266213134,0.002851038193236745,0.0029293338572863,0.9732718536486357,0.0017818988707729655,0.0018308336608039,,,,1.0
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,19.0,71.875,72.5,0.625,0.0027653631990871,3.85779788835465e-05,5.0,0.0001928898944177325,0.000138268159954355,6.0278092005541404e-05,0.43595063408264323,0.0028256412910926416,0.0029036313590414,0.9731405063849062,0.001766025806932901,0.0018147695994009,,,,1.0
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,20.0,72.5,73.125,0.625,0.0027412519622848,3.800551174000244e-05,5.0,0.0001900275587000122,0.00013706259811424002,5.938361209375381e-05,0.43325905761875527,0.002800635574378554,0.0028783145603991,0.9730123360770634,0.0017503972339865963,0.0017989466002494,,,,1.0
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,21.0,73.125,73.75,0.625,0.0027174985174473,3.744996451648039e-05,5.0,0.00018724982258240194,0.000135874925872365,5.851556955700061e-05,0.43065760059341335,0.0027760140870043007,0.0028533734433197,0.972888457171103,0.0017350088043776878,0.0017833584020748,,,,1.0
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,22.0,73.75,74.375,0.625,0.0026940922896245,3.690575805327112e-05,5.0,0.0001845287902663556,0.00013470461448122502,5.7665246958236126e-05,0.42808664855555817,0.0027517575365827362,0.0028287969041058,0.9727660308835723,0.0017198484603642102,0.0017679980650661,,,,1.0
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,23.0,74.375,75.0,0.625,0.0026710261908412,3.63770350800402e-05,5.0,0.000181885175400201,0.00013355130954206002,5.683911731256281e-05,0.4255976037034827,0.002727865308153763,0.0028045775003833,0.9726475049382473,0.0017049158175961017,0.0017528609377395,,,,1.0
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,24.0,75.0,75.625,0.625,0.0026482905439162,3.585978742536924e-05,5.0,0.00017929893712684622,0.00013241452719581,5.6030917852139444e-05,0.4231478149620462,0.0027043214617683397,0.002780705071112,0.9725308483315296,0.0016902009136052123,0.001737940669445,,,,1.0
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,25.0,75.625,76.25,0.625,0.0026258781767754,3.535313621492175e-05,5.0,0.00017676568107460877,0.00013129390883877002,5.523927533581524e-05,0.42072991675226545,0.0026811174521112154,0.0027571720856141,0.9724157103215612,0.0016756984075695096,0.0017232325535088,,,,1.0
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,26.0,76.25,76.875,0.625,0.002603782466641,3.486149503127422e-05,5.0,0.00017430747515637113,0.00013018912333205,5.447108598636598e-05,0.4183996680539615,0.002658253552627366,0.0027339715899731,0.9723047460977899,0.0016614084703921038,0.0017087322437332,,,,1.0
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,27.0,76.875,77.5,0.625,0.0025819940322465,3.43793382486364e-05,5.0,0.000171896691243182,0.000129099701612325,5.371771601349437e-05,0.4160948115496342,0.0026357117482599945,0.0027110937338588,0.9721949910261821,0.0016473198426624966,0.0016944335836617,,,,1.0
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,28.0,77.5,78.125,0.625,0.0025605069458411,3.390756565206168e-05,5.0,0.00016953782826030842,0.000128025347292055,5.298057133134638e-05,0.4138287647873793,0.0026134875171724466,0.0026885322931332,0.9720870840374781,0.0016334296982327791,0.0016803326832082,,,,1.0
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,29.0,78.125,78.75,0.625,0.0025393147173086,3.3447926951328534e-05,5.0,0.00016723963475664266,0.00012696573586543002,5.226238586145083e-05,0.4116259044632587,0.002591577103170051,0.002666280453174,0.9719821859268328,0.0016197356894812817,0.0016664252832337,,,,1.0
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,30.0,78.75,79.375,0.625,0.002518409762964,3.2999996917435634e-05,5.0,0.00016499998458717816,0.0001259204881482,5.1562495183493174e-05,0.4094845560224287,0.002569972258147493,0.0026443302511122,0.9718802169534491,0.0016062326613421832,0.0016527064069451,,,,1.0
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,31.0,79.375,80.0,0.625,0.0024977847648906,3.255876102307778e-05,5.0,0.0001627938051153889,0.00012488923824453,5.087306409855903e-05,0.4073454591735987,0.0025486578289891587,0.0026226740031351,0.9717783551987538,0.0015929111431182241,0.0016391712519594,,,,1.0
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,0.0,60.0,60.625,0.625,0.0034716515091858,6.408101187590568e-05,5.0,0.0003204050593795284,0.00017358257545929,0.00010012658105610262,0.5768239167507059,0.0035717780902419028,0.0036452340846451,0.9798487579405071,0.002232361306401189,0.0022782713029032,,,,1.0
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,1.0,60.625,61.25,0.625,0.0034316008767634,6.28174252574859e-05,5.0,0.0003140871262874295,0.00017158004383817003,9.815222696482172e-05,0.5720492008814058,0.003529753103728222,0.0036031809206015,0.9796213905181812,0.0022060956898301387,0.0022519880753759,,,,1.0
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,2.0,61.25,61.875,0.625,0.0033923399859774,6.159804595704046e-05,5.0,0.0003079902297852023,0.00016961699929887,9.624694680787573e-05,0.5674369149656153,0.0034885869327852754,0.0035619569852763,0.9794017578554971,0.002180366832990797,0.0022262231157977,,,,1.0
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,3.0,61.875,62.5,0.625,0.0033538412072543,6.041574202255013e-05,5.0,0.00030207871011275067,0.000167692060362715,9.439959691023458e-05,0.5629342063425656,0.0034482408041645344,0.003521533267617,0.9791873431591739,0.002155150502602834,0.0022009582922606,,,,1.0
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,4.0,62.5,63.125,0.625,0.0033160813684902,5.926004160018289e-05,5.0,0.00029630020800091444,0.00016580406842451,9.259381500028576e-05,0.5584532145689983,0.0034086751834904857,0.0034818854369147,0.9789739625985265,0.0021304219896815537,0.0021761783980717,,,,1.0
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,5.0,63.125,63.75,0.625,0.0032790438424901,5.813338340454332e-05,5.0,0.0002906669170227166,0.000163952192124505,9.083341156959893e-05,0.5540237699330071,0.003369877254059699,0.0034429960346146,0.978763036663478,0.0021061732837873116,0.0021518725216341,,,,1.0
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,6.0,63.75,64.375,0.625,0.0032427104778622,5.7027477979267746e-05,5.0,0.0002851373898963387,0.00016213552389311,8.910543434260585e-05,0.5495737898953581,0.0033318159122048057,0.0034048460017554,0.978551132852134,0.0020823849451280037,0.0021280287510971,,,,1.0
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,7.0,64.375,65.0,0.625,0.0032070683041252,5.594416376540484e-05,5.0,0.0002797208188270242,0.00016035341520626,8.741275588344507e-05,0.5451256262363197,0.003294481060008645,0.0033674217193315,0.9783393155350512,0.002059050662505403,0.0021046385745821,,,,1.0
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,8.0,65.0,65.625,0.625,0.0031721032017718,5.488148211424335e-05,5.0,0.00027440741057121673,0.00015860516008859,8.575231580350523e-05,0.5406653589051433,0.003257855517575305,0.0033307083618604,0.9781269218526228,0.002036159698484566,0.0020816927261627,,,,1.0
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,9.0,65.625,66.25,0.625,0.0031378022754504,5.384034633380344e-05,5.0,0.0002692017316690172,0.00015689011377252002,8.412554114656788e-05,0.5362067699724163,0.0032219278165969683,0.0032946923892229,0.9779146080939306,0.0020137048853731054,0.0020591827432643,,,,1.0
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,10.0,66.25,66.875,0.625,0.0031041520589918,5.282439171052852e-05,5.0,0.0002641219585526426,0.00015520760294959,8.253811204770082e-05,0.5317916808141702,0.003186690171039501,0.0032593596619414,0.9777043657530528,0.001991681356899688,0.0020370997887133,,,,1.0
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,11.0,66.875,67.5,0.625,0.0030711368141727,5.183005813286928e-05,5.0,0.0002591502906643464,0.000153556840708635,8.098446583260826e-05,0.5273908049871349,0.0031521212800053084,0.0032246936548813,0.9774948002374932,0.001970075800003318,0.0020154335343008,,,,1.0
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,12.0,67.5,68.125,0.625,0.0030387430278397,5.086105765998855e-05,5.0,0.00025430528829994276,0.00015193715139198501,7.947040259373211e-05,0.523047864631246,0.0031182134304334323,0.0031906801792317,0.9772879935538644,0.0019488833940208951,0.0019941751120198,,,,1.0
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,13.0,68.125,68.75,0.625,0.0030069548668022,4.9918085424446175e-05,5.0,0.00024959042712223087,0.00015034774334011,7.799700847569715e-05,0.5187773806438569,0.003084951875277897,0.0031573026101423,0.97708463717352,0.0019280949220486857,0.0019733141313389,,,,1.0
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,14.0,68.75,69.375,0.625,0.0029757560634119,4.8999826633665255e-05,5.0,0.0002449991331683263,0.000148787803170595,7.656222911510196e-05,0.51457328815668,0.003052318292527002,0.0031245438665825,0.9768844422931737,0.001907698932829376,0.001952839916614,,,,1.0
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,15.0,69.375,70.0,0.625,0.0029451311717659,4.810519480346539e-05,5.0,0.00024052597401732698,0.000147256558588295,7.516436688041468e-05,0.5104313695837605,0.0030202955386463143,0.0030923877303541,0.9766872080754471,0.0018876847116539464,0.0019327423314713,,,,1.0
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,16.0,70.0,70.625,0.625,0.0029150654250137,4.723695856511667e-05,5.0,0.00023618479282558336,0.000145753271250685,7.38077477579948e-05,0.5063882760548877,0.002988873172771695,0.0030608186962644,0.9764946798121327,0.0018680457329823094,0.0019130116851652,,,,1.0
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,17.0,70.625,71.25,0.625,0.0028855423259105,4.6391074436692714e-05,5.0,0.00023195537218346357,0.000144277116295525,7.248605380733237e-05,0.5024085292837298,0.0029580283797178324,0.003029819442206,0.976305168061138,0.0018487677373236451,0.0018936371513787,,,,1.0
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,18.0,71.25,71.875,0.625,0.0028565479043876,4.556619176037183e-05,5.0,0.00022783095880185913,0.00014282739521938,7.119717462558098e-05,0.4984840234341847,0.0029277450790131812,0.0029993752996069,0.9761182868302254,0.0018298406743832382,0.0018746095622543,,,,1.0
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,19.0,71.875,72.5,0.625,0.0028280690345373,4.4766427458212826e-05,5.0,0.00022383213729106413,0.000141403451726865,6.994754290345754e-05,0.4946664458981402,0.0028980165774407573,0.0029694724862642,0.9759364974237095,0.0018112603609004734,0.0018559203039151,,,,1.0
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,20.0,72.5,73.125,0.625,0.0028000900173759,4.3983389810040016e-05,5.0,0.0002199169490502001,0.000140004500868795,6.872404657818753e-05,0.490870265968036,0.0028688140639540876,0.0029400945182447,0.9757557269508572,0.0017930087899713047,0.0018375590739029,,,,1.0
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,21.0,73.125,73.75,0.625,0.0027726003987447,4.322101491800734e-05,5.0,0.0002161050745900367,0.00013863001993723502,6.753283580938647e-05,0.48714438503263635,0.0028401332345540866,0.0029112304186819,0.975578304049185,0.001775083271596304,0.0018195190116762,,,,1.0
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,22.0,73.75,74.375,0.625,0.0027455872644209,4.247643109901514e-05,5.0,0.0002123821554950757,0.000137279363221045,6.636942359221115e-05,0.48346249600054003,0.002811956688013111,0.002882866627642,0.975402976000007,0.0017574729300081943,0.0018017916422762,,,,1.0
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,23.0,74.375,75.0,0.625,0.002719039494984,4.174992081671797e-05,5.0,0.00020874960408358983,0.0001359519747492,6.523425127612182e-05,0.4798330542565782,0.0027842737462601217,0.0028549914697332,0.9752301454407893,0.001740171091412576,0.0017843696685833,,,,1.0
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,24.0,75.0,75.625,0.625,0.0026929457944736,4.1039089542945634e-05,5.0,0.00020519544771472817,0.00013464728972368002,6.412357741085255e-05,0.47623370319926556,0.002757069371884453,0.0028275930841973,0.9750587477713869,0.001723168357427783,0.0017672456776233,,,,1.0
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,25.0,75.625,76.25,0.625,0.0026672963635092,4.03460314389259e-05,5.0,0.0002017301571946295,0.00013336481817546002,6.304067412332172e-05,0.4726934358384002,0.002730337037632522,0.0028006611816847,0.9748901636113385,0.0017064606485203261,0.0017504132385529,,,,1.0
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,26.0,76.25,76.875,0.625,0.0026420800938599,3.966504297711337e-05,5.0,0.00019832521488556687,0.000132104004692995,6.197662965173965e-05,0.46915027137724646,0.0027040567235116397,0.0027741840985529,0.9747214414941529,0.0016900354521947748,0.0017338650615955,,,,1.0
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,27.0,76.875,77.5,0.625,0.0026172894419992,3.900363586302816e-05,5.0,0.0001950181793151408,0.00013086447209996,6.0943181035981496e-05,0.46569691573302213,0.0026782326230351816,0.0027481539140992,0.9745569959872726,0.0016738953893969885,0.001717596196312,,,,1.0
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,28.0,77.5,78.125,0.625,0.0025929121695848,3.835365594550902e-05,5.0,0.0001917682797275451,0.00012964560847924,5.992758741485784e-05,0.4622415530908937,0.002652839756999658,0.0027225577780641,0.9743924549090687,0.0016580248481247862,0.00170159861129,,,,1.0
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,29.0,78.125,78.75,0.625,0.0025689411346189,3.7718392133957725e-05,5.0,0.00018859196066978862,0.000128447056730945,5.893498770930894e-05,0.45882707793576505,0.002627876122328209,0.0026973881913498,0.9742298608541003,0.0016424225764551307,0.0016858676195936,,,,1.0
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,30.0,78.75,79.375,0.625,0.0025453671395352,3.709988387278068e-05,5.0,0.0001854994193639034,0.00012726835697676002,5.7968568551219814e-05,0.45548296472315764,0.00260333570808642,0.0026726354965119,0.9740706173677912,0.0016270848175540123,0.0016703971853199,,,,1.0
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,31.0,79.375,80.0,0.625,0.0025221797121147,3.649032830875739e-05,5.0,0.00018245164154378693,0.000126108985605735,5.701613798243342e-05,0.4521179653342681,0.002579195850097133,0.0026482886977204,0.9739103793016446,0.0016119974063107082,0.0016551804360752,,,,1.0
