D,R_tail,parity,R0,R1,center_mode,tube_radius_min,n_slabs,n_direct_samples,z_skeleton,dR_step,dE_step,cauchy_R_step,direct_guard_factor,sampled_direct_dH_dR_abs_max,direct_L_bound_global,s24_interval_L_bound,direct_L_global_over_s24_L,max_direct_L_over_s24_L,max_direct_remainder_over_reserve,median_direct_remainder_over_reserve,direct_integral_ratio,s24_interval_integral_ratio,min_dF_dE_abs,max_dF_dE_CR_rel_mismatch,n_special_interval_pass,special_interval_status
6.0,400.0,even,60.0,80.0,cubic_path,0.064,32.0,480.0,corners_center,0.5,6.4e-05,0.15625,2.0,6.990415493454387e-05,0.00013980830986908775,0.0002640627626675,0.5294510610158625,0.5294510610158625,0.3299494229170378,0.19912573432207845,0.9067261123321566,0.9226933468967724,96.91114270086052,0.028944753023880162,32.0,special_interval_certificate_closed
6.0,400.0,odd,60.0,80.0,cubic_path,0.064,32.0,480.0,corners_center,0.5,6.4e-05,0.15625,2.0,0.0001424025640298106,0.0002848051280596212,0.0003204050593795,0.888890857751054,0.888890857751054,0.5428509455429785,0.3091989825879472,0.9383871664750283,0.9543136851681651,96.9128409885041,0.02478819382993453,32.0,special_interval_certificate_closed
