tube_kind,pad_factor,n_segments,n_endpoint_index_ok,n_rouche_pass_from_R0,n_symmetric_rouche_pass,max_rouche_ratio_from_R0,median_rouche_ratio_from_R0,min_rouche_ratio_from_R0,max_symmetric_rouche_ratio,min_boundary_F_abs,max_half_re_over_box,max_half_im_over_box,large_tube_status
segment,200.0,6.0,1.0,2.0,0.0,4.684265046830119,1.2287926199784738,0.7832545169171758,8.209126246795966,0.42969905951401655,220.85888467750598,204.6210671841605,large_tube_rouche_not_closed
segment,216.0,6.0,2.0,2.0,0.0,6.650997968212286,2.988101222670117,0.9628217474800819,10.823588043248906,0.5399654391039892,236.85888467750598,220.6210671841605,large_tube_rouche_not_closed
segment,224.0,6.0,1.0,2.0,0.0,3.8546133834795038,1.550612678219696,0.943335489686817,6.388930098675072,0.5637881776157708,244.85888467750598,228.62106718416047,large_tube_rouche_not_closed
segment,232.0,6.0,4.0,2.0,0.0,2.592377677793654,1.1847257929289796,0.928552579679969,3.8837849525690578,0.7344149046451722,252.858884677506,236.6210671841605,large_tube_rouche_not_closed
segment,240.0,6.0,4.0,0.0,0.0,5.147565388883453,1.8725449731079786,1.47434551068733,7.417096570134348,0.942900978126687,260.858884677506,244.6210671841605,large_tube_rouche_not_closed
segment,248.0,6.0,2.0,2.0,0.0,22.741269071690386,1.7511492705709872,0.963774680904109,32.5234877696174,0.9144683914028228,268.858884677506,252.6210671841605,large_tube_rouche_not_closed
segment,256.0,6.0,4.0,2.0,0.0,2.9555842955130065,1.4527292041247504,0.8279719661511955,4.024556014476489,0.9059620343786474,276.858884677506,260.6210671841605,large_tube_rouche_not_closed
segment,272.0,6.0,5.0,0.0,0.0,3.3543780098862572,1.475068912264142,1.110568849862816,5.170146978411908,1.5134135684286179,292.858884677506,276.6210671841605,large_tube_rouche_not_closed
segment,288.0,6.0,0.0,2.0,0.0,8.999711211388275,1.2102458170031896,0.9576552201475563,14.170985419114713,1.655382090898751,308.858884677506,292.6210671841605,large_tube_rouche_not_closed
segment,304.0,6.0,0.0,0.0,0.0,1.3928706200862908,1.1382699709785087,1.0571758926226784,3.448986645399619,1.8343866548797623,324.85888467750596,308.6210671841605,large_tube_rouche_not_closed
segment,320.0,6.0,0.0,0.0,0.0,2.5201891409555706,2.045372104699693,1.0512854276534773,5.2455618615728525,1.7977711897157072,340.858884677506,324.6210671841605,large_tube_rouche_not_closed
segment,336.0,6.0,0.0,0.0,0.0,1.4980804677607644,1.2889093084812018,1.044921381291456,3.2020149356172656,1.7014241786014053,356.85888467750607,340.62106718416055,large_tube_rouche_not_closed
